S2001_C01_001E,S2001_C01_001M,S2001_C01_002E,S2001_C01_002M,S2001_C01_003E,S2001_C01_003M,S2001_C01_004E,S2001_C01_004M,S2001_C01_005E,S2001_C01_005M,S2001_C01_006E,S2001_C01_006M,S2001_C01_007E,S2001_C01_007M,S2001_C01_008E,S2001_C01_008M,S2001_C01_009E,S2001_C01_009M,S2001_C01_010E,S2001_C01_010M,S2001_C01_011E,S2001_C01_011M,S2001_C01_012E,S2001_C01_012M,S2001_C01_013E,S2001_C01_013M,S2001_C01_014E,S2001_C01_014M,S2001_C01_015E,S2001_C01_015M,S2001_C01_016E,S2001_C01_016M,S2001_C01_017E,S2001_C01_017M,S2001_C01_018E,S2001_C01_018M,S2001_C01_019E,S2001_C01_019M,S2001_C01_020E,S2001_C01_020M,S2001_C01_021E,S2001_C01_021M,S2001_C02_001E,S2001_C02_001M,S2001_C02_002E,S2001_C02_002M,S2001_C02_003E,S2001_C02_003M,S2001_C02_004E,S2001_C02_004M,S2001_C02_005E,S2001_C02_005M,S2001_C02_006E,S2001_C02_006M,S2001_C02_007E,S2001_C02_007M,S2001_C02_008E,S2001_C02_008M,S2001_C02_009E,S2001_C02_009M,S2001_C02_010E,S2001_C02_010M,S2001_C02_011E,S2001_C02_011M,S2001_C02_012E,S2001_C02_012M,S2001_C02_013E,S2001_C02_013M,S2001_C02_014E,S2001_C02_014M,S2001_C02_015E,S2001_C02_015M,S2001_C02_016E,S2001_C02_016M,S2001_C02_017E,S2001_C02_017M,S2001_C02_018E,S2001_C02_018M,S2001_C02_019E,S2001_C02_019M,S2001_C02_020E,S2001_C02_020M,S2001_C02_021E,S2001_C02_021M,S2001_C03_001E,S2001_C03_001M,S2001_C03_002E,S2001_C03_002M,S2001_C03_003E,S2001_C03_003M,S2001_C03_004E,S2001_C03_004M,S2001_C03_005E,S2001_C03_005M,S2001_C03_006E,S2001_C03_006M,S2001_C03_007E,S2001_C03_007M,S2001_C03_008E,S2001_C03_008M,S2001_C03_009E,S2001_C03_009M,S2001_C03_010E,S2001_C03_010M,S2001_C03_011E,S2001_C03_011M,S2001_C03_012E,S2001_C03_012M,S2001_C03_013E,S2001_C03_013M,S2001_C03_014E,S2001_C03_014M,S2001_C03_015E,S2001_C03_015M,S2001_C03_016E,S2001_C03_016M,S2001_C03_017E,S2001_C03_017M,S2001_C03_018E,S2001_C03_018M,S2001_C03_019E,S2001_C03_019M,S2001_C03_020E,S2001_C03_020M,S2001_C03_021E,S2001_C03_021M,S2001_C01_001M,S2001_C01_001EA,S2001_C01_001MA,S2001_C01_002M,S2001_C01_002EA,S2001_C01_002MA,S2001_C01_003M,S2001_C01_003EA,S2001_C01_003MA,S2001_C01_004M,S2001_C01_004EA,S2001_C01_004MA,S2001_C01_005M,S2001_C01_005EA,S2001_C01_005MA,S2001_C01_006M,S2001_C01_006EA,S2001_C01_006MA,S2001_C01_007M,S2001_C01_007EA,S2001_C01_007MA,S2001_C01_008M,S2001_C01_008EA,S2001_C01_008MA,S2001_C01_009M,S2001_C01_009EA,S2001_C01_009MA,S2001_C01_010M,S2001_C01_010EA,S2001_C01_010MA,S2001_C01_011M,S2001_C01_011EA,S2001_C01_011MA,S2001_C01_012M,S2001_C01_012EA,S2001_C01_012MA,S2001_C01_013M,S2001_C01_013EA,S2001_C01_013MA,S2001_C01_014M,S2001_C01_014EA,S2001_C01_014MA,S2001_C01_015M,S2001_C01_015EA,S2001_C01_015MA,S2001_C01_016M,S2001_C01_016EA,S2001_C01_016MA,S2001_C01_017M,S2001_C01_017EA,S2001_C01_017MA,S2001_C01_018M,S2001_C01_018EA,S2001_C01_018MA,S2001_C01_019M,S2001_C01_019EA,S2001_C01_019MA,S2001_C01_020M,S2001_C01_020EA,S2001_C01_020MA,S2001_C01_021M,S2001_C01_021EA,S2001_C01_021MA,S2001_C02_001M,S2001_C02_001EA,S2001_C02_001MA,S2001_C02_002M,S2001_C02_002EA,S2001_C02_002MA,S2001_C02_003M,S2001_C02_003EA,S2001_C02_003MA,S2001_C02_004M,S2001_C02_004EA,S2001_C02_004MA,S2001_C02_005M,S2001_C02_005EA,S2001_C02_005MA,S2001_C02_006M,S2001_C02_006EA,S2001_C02_006MA,S2001_C02_007M,S2001_C02_007EA,S2001_C02_007MA,S2001_C02_008M,S2001_C02_008EA,S2001_C02_008MA,S2001_C02_009M,S2001_C02_009EA,S2001_C02_009MA,S2001_C02_010M,S2001_C02_010EA,S2001_C02_010MA,S2001_C02_011M,S2001_C02_011EA,S2001_C02_011MA,S2001_C02_012M,S2001_C02_012EA,S2001_C02_012MA,S2001_C02_013M,S2001_C02_013EA,S2001_C02_013MA,S2001_C02_014M,S2001_C02_014EA,S2001_C02_014MA,S2001_C02_015M,S2001_C02_015EA,S2001_C02_015MA,S2001_C02_016M,S2001_C02_016EA,S2001_C02_016MA,S2001_C02_017M,S2001_C02_017EA,S2001_C02_017MA,S2001_C02_018M,S2001_C02_018EA,S2001_C02_018MA,S2001_C02_019M,S2001_C02_019EA,S2001_C02_019MA,S2001_C02_020M,S2001_C02_020EA,S2001_C02_020MA,S2001_C02_021M,S2001_C02_021EA,S2001_C02_021MA,S2001_C03_001M,S2001_C03_001EA,S2001_C03_001MA,S2001_C03_002M,S2001_C03_002EA,S2001_C03_002MA,S2001_C03_003M,S2001_C03_003EA,S2001_C03_003MA,S2001_C03_004M,S2001_C03_004EA,S2001_C03_004MA,S2001_C03_005M,S2001_C03_005EA,S2001_C03_005MA,S2001_C03_006M,S2001_C03_006EA,S2001_C03_006MA,S2001_C03_007M,S2001_C03_007EA,S2001_C03_007MA,S2001_C03_008M,S2001_C03_008EA,S2001_C03_008MA,S2001_C03_009M,S2001_C03_009EA,S2001_C03_009MA,S2001_C03_010M,S2001_C03_010EA,S2001_C03_010MA,S2001_C03_011M,S2001_C03_011EA,S2001_C03_011MA,S2001_C03_012M,S2001_C03_012EA,S2001_C03_012MA,S2001_C03_013M,S2001_C03_013EA,S2001_C03_013MA,S2001_C03_014M,S2001_C03_014EA,S2001_C03_014MA,S2001_C03_015M,S2001_C03_015EA,S2001_C03_015MA,S2001_C03_016M,S2001_C03_016EA,S2001_C03_016MA,S2001_C03_017M,S2001_C03_017EA,S2001_C03_017MA,S2001_C03_018M,S2001_C03_018EA,S2001_C03_018MA,S2001_C03_019M,S2001_C03_019EA,S2001_C03_019MA,S2001_C03_020M,S2001_C03_020EA,S2001_C03_020MA,S2001_C03_021M,S2001_C03_021EA,S2001_C03_021MA,state
2312645,15550,29164,651,1513428,14884,2.1,0.2,4.6,0.3,16.8,0.6,17.4,0.5,20.3,0.6,14.8,0.4,5.9,0.3,8.2,0.4,9.8,0.4,-888888888,-888888888,52869,748,33888,933,20524,831,27144,461,31547,422,48304,1367,57307,2047,21.1,-888888888.0,1191597,9195,35550,525,845043,9879,1.9,0.2,3.5,0.4,12.6,0.7,16.0,0.6,18.5,0.8,16.3,0.7,6.9,0.5,10.2,0.6,14.2,0.6,47034,689,61686,1167,41300,431,24248,1379,32314,730,41354,684,62244,2551,78381,4419,-888888888,-888888888,1121048,11226,23511,470,668385,10595,2.5,0.4,6.1,0.5,22.1,0.8,19.3,0.9,22.5,0.9,12.8,0.7,4.6,0.4,5.7,0.5,4.4,0.4,35012,763,41722,610,27485,543,15561,1186,21249,493,25835,483,40235,712,50932,566,-888888888,-888888888,15550,null,null,651,null,null,14884,null,null,0.2,null,null,0.3,null,null,0.6,null,null,0.5,null,null,0.6,null,null,0.4,null,null,0.3,null,null,0.4,null,null,0.4,null,null,-888888888,(X),(X),748,null,null,933,null,null,831,null,null,461,null,null,422,null,null,1367,null,null,2047,null,null,-888888888.0,null,(X),9195,null,null,525,null,null,9879,null,null,0.2,null,null,0.4,null,null,0.7,null,null,0.6,null,null,0.8,null,null,0.7,null,null,0.5,null,null,0.6,null,null,0.6,null,null,689,null,null,1167,null,null,431,null,null,1379,null,null,730,null,null,684,null,null,2551,null,null,4419,null,null,-888888888,(X),(X),11226,null,null,470,null,null,10595,null,null,0.4,null,null,0.5,null,null,0.8,null,null,0.9,null,null,0.9,null,null,0.7,null,null,0.4,null,null,0.5,null,null,0.4,null,null,763,null,null,610,null,null,543,null,null,1186,null,null,493,null,null,483,null,null,712,null,null,566,null,null,-888888888,(X),(X),01
430665,4554,36209,684,241795,5287,1.8,0.4,1.4,0.3,11.3,1.1,12.2,1.0,19.5,1.4,16.4,1.2,8.5,0.9,13.2,1.0,15.7,1.3,-888888888,-888888888,64380,2106,43493,1757,27147,6451,32063,1360,41663,1404,51665,2080,75950,5467,19.0,-888888888.0,240020,3157,42368,1924,142532,4215,2.0,0.6,1.1,0.4,11.3,1.4,10.7,1.3,17.0,1.8,14.8,1.6,8.0,1.0,14.3,1.5,20.8,1.8,56422,2880,71455,3031,51041,860,40247,9716,37298,2674,51608,2017,62614,5468,87728,6606,-888888888,-888888888,190645,3803,30859,646,99263,3531,1.6,0.5,1.9,0.6,11.2,1.4,14.3,1.6,23.1,2.2,18.5,2.2,9.2,1.5,11.7,1.5,8.5,1.2,47518,2255,54221,1699,35727,843,19508,3616,26350,1770,32088,1292,45672,2298,67823,3337,-888888888,-888888888,4554,null,null,684,null,null,5287,null,null,0.4,null,null,0.3,null,null,1.1,null,null,1.0,null,null,1.4,null,null,1.2,null,null,0.9,null,null,1.0,null,null,1.3,null,null,-888888888,(X),(X),2106,null,null,1757,null,null,6451,null,null,1360,null,null,1404,null,null,2080,null,null,5467,null,null,-888888888.0,null,(X),3157,null,null,1924,null,null,4215,null,null,0.6,null,null,0.4,null,null,1.4,null,null,1.3,null,null,1.8,null,null,1.6,null,null,1.0,null,null,1.5,null,null,1.8,null,null,2880,null,null,3031,null,null,860,null,null,9716,null,null,2674,null,null,2017,null,null,5468,null,null,6606,null,null,-888888888,(X),(X),3803,null,null,646,null,null,3531,null,null,0.5,null,null,0.6,null,null,1.4,null,null,1.6,null,null,2.2,null,null,2.2,null,null,1.5,null,null,1.5,null,null,1.2,null,null,2255,null,null,1699,null,null,843,null,null,3616,null,null,1770,null,null,1292,null,null,2298,null,null,3337,null,null,-888888888,(X),(X),02
3368413,16317,30675,201,2140142,19665,2.1,0.2,4.0,0.2,14.7,0.5,17.1,0.5,21.0,0.5,14.5,0.4,5.8,0.3,9.2,0.3,11.5,0.3,-888888888,-888888888,57345,733,35919,273,21300,436,27708,1038,34251,869,50479,470,62034,1128,22.8,-888888888.0,1799597,10850,34951,919,1238463,13189,2.2,0.2,3.4,0.3,13.0,0.5,15.2,0.6,19.6,0.7,15.4,0.6,6.2,0.3,10.0,0.4,14.9,0.5,46386,520,64065,1077,40935,293,23800,1003,31501,506,40626,459,60656,863,78600,3561,-888888888,-888888888,1568816,11168,26303,325,901679,12998,2.0,0.2,4.7,0.4,17.1,0.7,19.5,0.7,23.0,0.8,13.4,0.5,5.2,0.4,8.0,0.4,6.9,0.4,37966,650,48115,701,31166,336,16957,565,24000,920,29896,852,41479,581,50815,869,-888888888,-888888888,16317,null,null,201,null,null,19665,null,null,0.2,null,null,0.2,null,null,0.5,null,null,0.5,null,null,0.5,null,null,0.4,null,null,0.3,null,null,0.3,null,null,0.3,null,null,-888888888,(X),(X),733,null,null,273,null,null,436,null,null,1038,null,null,869,null,null,470,null,null,1128,null,null,-888888888.0,null,(X),10850,null,null,919,null,null,13189,null,null,0.2,null,null,0.3,null,null,0.5,null,null,0.6,null,null,0.7,null,null,0.6,null,null,0.3,null,null,0.4,null,null,0.5,null,null,520,null,null,1077,null,null,293,null,null,1003,null,null,506,null,null,459,null,null,863,null,null,3561,null,null,-888888888,(X),(X),11168,null,null,325,null,null,12998,null,null,0.2,null,null,0.4,null,null,0.7,null,null,0.7,null,null,0.8,null,null,0.5,null,null,0.4,null,null,0.4,null,null,0.4,null,null,650,null,null,701,null,null,336,null,null,565,null,null,920,null,null,852,null,null,581,null,null,869,null,null,-888888888,(X),(X),04
1426582,11539,27687,624,937514,10858,1.9,0.3,4.2,0.4,19.5,0.8,20.3,0.6,20.8,0.6,13.7,0.6,5.2,0.4,6.4,0.4,8.0,0.5,-888888888,-888888888,49330,960,31687,266,22442,1009,26629,485,30419,583,45963,1007,56296,1528,19.6,-888888888.0,741617,7529,31890,359,523156,7919,1.7,0.3,2.9,0.4,15.7,0.8,19.8,1.0,19.8,0.8,14.9,0.8,6.2,0.5,8.2,0.6,10.9,0.7,41156,488,56129,1581,36955,555,25970,669,31222,550,37055,1333,57465,3887,70813,4584,-888888888,-888888888,684965,8986,23450,623,414358,7985,2.2,0.4,5.9,0.6,24.4,1.2,20.9,1.0,22.1,1.1,12.2,1.0,4.0,0.5,4.1,0.5,4.3,0.6,32242,406,40745,983,26908,437,17073,1431,21770,509,24837,885,40284,1007,50713,967,-888888888,-888888888,11539,null,null,624,null,null,10858,null,null,0.3,null,null,0.4,null,null,0.8,null,null,0.6,null,null,0.6,null,null,0.6,null,null,0.4,null,null,0.4,null,null,0.5,null,null,-888888888,(X),(X),960,null,null,266,null,null,1009,null,null,485,null,null,583,null,null,1007,null,null,1528,null,null,-888888888.0,null,(X),7529,null,null,359,null,null,7919,null,null,0.3,null,null,0.4,null,null,0.8,null,null,1.0,null,null,0.8,null,null,0.8,null,null,0.5,null,null,0.6,null,null,0.7,null,null,488,null,null,1581,null,null,555,null,null,669,null,null,550,null,null,1333,null,null,3887,null,null,4584,null,null,-888888888,(X),(X),8986,null,null,623,null,null,7985,null,null,0.4,null,null,0.6,null,null,1.2,null,null,1.0,null,null,1.1,null,null,1.0,null,null,0.5,null,null,0.5,null,null,0.6,null,null,406,null,null,983,null,null,437,null,null,1431,null,null,509,null,null,885,null,null,1007,null,null,967,null,null,-888888888,(X),(X),05
20186444,42799,32499,285,12595768,41054,1.8,0.1,3.4,0.1,13.8,0.2,14.1,0.2,17.2,0.2,13.4,0.2,6.2,0.1,11.0,0.2,19.1,0.2,-888888888,-888888888,69779,350,40005,205,21558,133,30231,163,36985,202,60121,376,82271,392,21.0,-888888888.0,10897496,23703,37947,452,7474387,30460,1.5,0.1,2.9,0.1,12.9,0.2,13.6,0.2,16.5,0.3,13.2,0.2,5.9,0.2,11.0,0.2,22.5,0.2,51417,147,76464,516,44942,522,25541,233,33677,960,42923,1055,71138,422,100984,320,-888888888,-888888888,9288948,32334,28554,391,5121381,27373,2.1,0.1,4.0,0.2,15.2,0.3,15.0,0.3,18.2,0.3,13.7,0.3,6.5,0.2,11.0,0.2,14.2,0.2,45489,293,60023,403,32866,496,16542,177,23934,394,31451,216,50241,280,70763,469,-888888888,-888888888,42799,null,null,285,null,null,41054,null,null,0.1,null,null,0.1,null,null,0.2,null,null,0.2,null,null,0.2,null,null,0.2,null,null,0.1,null,null,0.2,null,null,0.2,null,null,-888888888,(X),(X),350,null,null,205,null,null,133,null,null,163,null,null,202,null,null,376,null,null,392,null,null,-888888888.0,null,(X),23703,null,null,452,null,null,30460,null,null,0.1,null,null,0.1,null,null,0.2,null,null,0.2,null,null,0.3,null,null,0.2,null,null,0.2,null,null,0.2,null,null,0.2,null,null,147,null,null,516,null,null,522,null,null,233,null,null,960,null,null,1055,null,null,422,null,null,320,null,null,-888888888,(X),(X),32334,null,null,391,null,null,27373,null,null,0.1,null,null,0.2,null,null,0.3,null,null,0.3,null,null,0.3,null,null,0.3,null,null,0.2,null,null,0.2,null,null,0.2,null,null,293,null,null,403,null,null,496,null,null,177,null,null,394,null,null,216,null,null,280,null,null,469,null,null,-888888888,(X),(X),06
3157872,14044,35274,231,2013299,16181,1.5,0.1,2.9,0.2,11.7,0.3,14.7,0.5,20.8,0.5,15.5,0.4,6.8,0.3,11.0,0.3,15.2,0.4,-888888888,-888888888,64303,726,40893,229,25649,719,31515,332,36440,366,51136,472,65657,1085,18.7,-888888888.0,1698417,7880,40637,291,1193409,10511,1.4,0.2,2.5,0.3,10.7,0.5,13.3,0.6,19.5,0.6,15.2,0.6,6.8,0.4,12.0,0.4,18.6,0.6,51264,329,70708,1031,46979,516,30551,921,36370,656,41856,493,61754,970,83031,2523,-888888888,-888888888,1459455,10817,30019,364,819890,10720,1.6,0.2,3.5,0.4,13.2,0.6,16.8,0.8,22.6,0.8,16.0,0.6,6.7,0.4,9.4,0.5,10.2,0.5,43206,1180,54979,817,34561,841,18493,1405,25539,834,30658,511,41535,535,52422,1833,-888888888,-888888888,14044,null,null,231,null,null,16181,null,null,0.1,null,null,0.2,null,null,0.3,null,null,0.5,null,null,0.5,null,null,0.4,null,null,0.3,null,null,0.3,null,null,0.4,null,null,-888888888,(X),(X),726,null,null,229,null,null,719,null,null,332,null,null,366,null,null,472,null,null,1085,null,null,-888888888.0,null,(X),7880,null,null,291,null,null,10511,null,null,0.2,null,null,0.3,null,null,0.5,null,null,0.6,null,null,0.6,null,null,0.6,null,null,0.4,null,null,0.4,null,null,0.6,null,null,329,null,null,1031,null,null,516,null,null,921,null,null,656,null,null,493,null,null,970,null,null,2523,null,null,-888888888,(X),(X),10817,null,null,364,null,null,10720,null,null,0.2,null,null,0.4,null,null,0.6,null,null,0.8,null,null,0.8,null,null,0.6,null,null,0.4,null,null,0.5,null,null,0.5,null,null,1180,null,null,817,null,null,841,null,null,1405,null,null,834,null,null,511,null,null,535,null,null,1833,null,null,-888888888,(X),(X),08
2011643,10571,40323,363,1247949,13482,1.3,0.1,1.7,0.2,7.6,0.4,11.9,0.5,17.8,0.6,16.6,0.6,8.6,0.4,13.7,0.5,20.8,0.6,-888888888,-888888888,80417,1255,47481,717,23388,1740,35458,586,41504,629,61257,741,80306,1225,19.5,-888888888.0,1033403,7211,48114,1699,707120,9535,1.3,0.2,1.2,0.2,6.2,0.6,10.2,0.7,15.7,0.8,15.9,0.8,8.6,0.6,14.4,0.7,26.6,0.8,64220,1893,93524,1886,56059,943,26684,1365,41255,715,51478,794,75424,1768,100290,2058,-888888888,-888888888,978240,7284,32263,425,540829,8999,1.3,0.2,2.4,0.3,9.4,0.7,14.1,0.8,20.6,0.9,17.4,0.8,8.7,0.6,12.8,0.7,13.2,0.7,50991,476,63279,1253,39708,993,18862,1561,28827,1571,33633,1979,50499,772,66176,1509,-888888888,-888888888,10571,null,null,363,null,null,13482,null,null,0.1,null,null,0.2,null,null,0.4,null,null,0.5,null,null,0.6,null,null,0.6,null,null,0.4,null,null,0.5,null,null,0.6,null,null,-888888888,(X),(X),1255,null,null,717,null,null,1740,null,null,586,null,null,629,null,null,741,null,null,1225,null,null,-888888888.0,null,(X),7211,null,null,1699,null,null,9535,null,null,0.2,null,null,0.2,null,null,0.6,null,null,0.7,null,null,0.8,null,null,0.8,null,null,0.6,null,null,0.7,null,null,0.8,null,null,1893,null,null,1886,null,null,943,null,null,1365,null,null,715,null,null,794,null,null,1768,null,null,2058,null,null,-888888888,(X),(X),7284,null,null,425,null,null,8999,null,null,0.2,null,null,0.3,null,null,0.7,null,null,0.8,null,null,0.9,null,null,0.8,null,null,0.6,null,null,0.7,null,null,0.7,null,null,476,null,null,1253,null,null,993,null,null,1561,null,null,1571,null,null,1979,null,null,772,null,null,1509,null,null,-888888888,(X),(X),09
492098,6563,35408,698,325719,6890,1.2,0.4,2.3,0.6,11.1,1.0,16.6,1.1,21.5,1.2,15.1,0.9,6.8,0.7,12.2,1.1,13.1,1.0,-888888888,-888888888,60878,1774,40032,1022,26171,1687,31751,730,36993,1052,54225,4473,71356,2536,20.1,-888888888.0,250370,4076,40276,764,175678,4407,1.2,0.5,1.9,0.6,8.1,1.3,15.4,1.3,21.6,1.6,15.6,1.3,6.8,1.0,12.2,1.3,17.1,1.4,50924,929,67154,2261,44735,3057,30328,1651,38196,1909,42882,3310,63177,5655,77815,7436,-888888888,-888888888,241728,4756,30883,713,150041,5083,1.2,0.5,2.8,0.9,14.6,1.6,18.1,1.8,21.3,1.6,14.5,1.5,6.9,1.1,12.2,1.7,8.5,1.1,41771,1071,53529,2160,35110,1367,21073,1839,25730,1717,32057,1770,47586,5289,67053,4413,-888888888,-888888888,6563,null,null,698,null,null,6890,null,null,0.4,null,null,0.6,null,null,1.0,null,null,1.1,null,null,1.2,null,null,0.9,null,null,0.7,null,null,1.1,null,null,1.0,null,null,-888888888,(X),(X),1774,null,null,1022,null,null,1687,null,null,730,null,null,1052,null,null,4473,null,null,2536,null,null,-888888888.0,null,(X),4076,null,null,764,null,null,4407,null,null,0.5,null,null,0.6,null,null,1.3,null,null,1.3,null,null,1.6,null,null,1.3,null,null,1.0,null,null,1.3,null,null,1.4,null,null,929,null,null,2261,null,null,3057,null,null,1651,null,null,1909,null,null,3310,null,null,5655,null,null,7436,null,null,-888888888,(X),(X),4756,null,null,713,null,null,5083,null,null,0.5,null,null,0.9,null,null,1.6,null,null,1.8,null,null,1.6,null,null,1.5,null,null,1.1,null,null,1.7,null,null,1.1,null,null,1071,null,null,2160,null,null,1367,null,null,1839,null,null,1717,null,null,1770,null,null,5289,null,null,4413,null,null,-888888888,(X),(X),10
411258,5726,50364,1289,280977,6059,1.1,0.3,1.9,0.4,6.2,0.9,9.9,1.0,13.5,1.1,13.5,1.1,8.2,0.9,14.6,1.1,31.1,1.3,-888888888,-888888888,91151,2732,60200,2488,22167,3308,30311,1933,35313,2842,65886,2321,89436,3272,23.3,-888888888.0,199846,3658,56181,2211,144364,3908,1.2,0.5,1.4,0.5,5.2,1.1,9.2,1.5,12.3,1.5,12.9,1.6,7.3,1.2,15.5,1.8,34.8,2.1,75343,4700,98538,3948,65574,2363,28220,7697,31629,3562,37627,6261,77132,5772,96341,5252,-888888888,-888888888,211412,3573,43880,3215,136613,3810,0.9,0.3,2.5,0.6,7.2,1.5,10.6,1.4,14.7,1.5,14.2,1.4,9.1,1.2,13.7,1.3,27.1,2.0,64908,2547,83344,3973,52047,2003,21203,1485,27248,2476,34067,3567,56371,5392,78086,5514,-888888888,-888888888,5726,null,null,1289,null,null,6059,null,null,0.3,null,null,0.4,null,null,0.9,null,null,1.0,null,null,1.1,null,null,1.1,null,null,0.9,null,null,1.1,null,null,1.3,null,null,-888888888,(X),(X),2732,null,null,2488,null,null,3308,null,null,1933,null,null,2842,null,null,2321,null,null,3272,null,null,-888888888.0,null,(X),3658,null,null,2211,null,null,3908,null,null,0.5,null,null,0.5,null,null,1.1,null,null,1.5,null,null,1.5,null,null,1.6,null,null,1.2,null,null,1.8,null,null,2.1,null,null,4700,null,null,3948,null,null,2363,null,null,7697,null,null,3562,null,null,6261,null,null,5772,null,null,5252,null,null,-888888888,(X),(X),3573,null,null,3215,null,null,3810,null,null,0.3,null,null,0.6,null,null,1.5,null,null,1.4,null,null,1.5,null,null,1.4,null,null,1.2,null,null,1.3,null,null,2.0,null,null,2547,null,null,3973,null,null,2003,null,null,1485,null,null,2476,null,null,3567,null,null,5392,null,null,5514,null,null,-888888888,(X),(X),11
10124756,33429,29550,349,6586328,37082,1.8,0.1,4.3,0.2,17.8,0.3,18.9,0.3,20.8,0.3,13.2,0.2,5.2,0.2,7.7,0.2,10.3,0.2,-888888888,-888888888,54297,357,32100,129,20825,262,26129,208,31670,183,45031,678,59576,2054,21.5,-888888888.0,5294640,23709,31908,164,3692407,25965,1.6,0.1,3.6,0.2,16.2,0.4,17.8,0.4,19.3,0.4,13.6,0.3,5.5,0.2,8.7,0.3,13.6,0.3,41586,196,61318,605,36558,240,23238,703,30382,264,36275,397,52227,420,76636,1647,-888888888,-888888888,4830116,21613,25833,193,2893921,21435,2.0,0.2,5.2,0.3,19.9,0.4,20.4,0.4,22.7,0.5,12.6,0.4,4.8,0.2,6.3,0.3,6.1,0.2,36112,216,45338,375,29473,406,16726,475,21795,216,28610,623,40336,307,50382,451,-888888888,-888888888,33429,null,null,349,null,null,37082,null,null,0.1,null,null,0.2,null,null,0.3,null,null,0.3,null,null,0.3,null,null,0.2,null,null,0.2,null,null,0.2,null,null,0.2,null,null,-888888888,(X),(X),357,null,null,129,null,null,262,null,null,208,null,null,183,null,null,678,null,null,2054,null,null,-888888888.0,null,(X),23709,null,null,164,null,null,25965,null,null,0.1,null,null,0.2,null,null,0.4,null,null,0.4,null,null,0.4,null,null,0.3,null,null,0.2,null,null,0.3,null,null,0.3,null,null,196,null,null,605,null,null,240,null,null,703,null,null,264,null,null,397,null,null,420,null,null,1647,null,null,-888888888,(X),(X),21613,null,null,193,null,null,21435,null,null,0.2,null,null,0.3,null,null,0.4,null,null,0.4,null,null,0.5,null,null,0.4,null,null,0.2,null,null,0.3,null,null,0.2,null,null,216,null,null,375,null,null,406,null,null,475,null,null,216,null,null,623,null,null,307,null,null,451,null,null,-888888888,(X),(X),12
