S1602_C01_001E,S1602_C01_001M,S1602_C01_002E,S1602_C01_002M,S1602_C01_003E,S1602_C01_003M,S1602_C01_004E,S1602_C01_004M,S1602_C01_005E,S1602_C01_005M,S1602_C02_001E,S1602_C02_001M,S1602_C02_002E,S1602_C02_002M,S1602_C02_003E,S1602_C02_003M,S1602_C02_004E,S1602_C02_004M,S1602_C02_005E,S1602_C02_005M,S1602_C03_001E,S1602_C03_001M,S1602_C03_002E,S1602_C03_002M,S1602_C03_003E,S1602_C03_003M,S1602_C03_004E,S1602_C03_004M,S1602_C03_005E,S1602_C03_005M,S1602_C04_001E,S1602_C04_001M,S1602_C04_002E,S1602_C04_002M,S1602_C04_003E,S1602_C04_003M,S1602_C04_004E,S1602_C04_004M,S1602_C04_005E,S1602_C04_005M,S1602_C01_001M,S1602_C01_001EA,S1602_C01_001MA,S1602_C01_002M,S1602_C01_002EA,S1602_C01_002MA,S1602_C01_003M,S1602_C01_003EA,S1602_C01_003MA,S1602_C01_004M,S1602_C01_004EA,S1602_C01_004MA,S1602_C01_005M,S1602_C01_005EA,S1602_C01_005MA,S1602_C02_001M,S1602_C02_001EA,S1602_C02_001MA,S1602_C02_002M,S1602_C02_002EA,S1602_C02_002MA,S1602_C02_003M,S1602_C02_003EA,S1602_C02_003MA,S1602_C02_004M,S1602_C02_004EA,S1602_C02_004MA,S1602_C02_005M,S1602_C02_005EA,S1602_C02_005MA,S1602_C03_001M,S1602_C03_001EA,S1602_C03_001MA,S1602_C03_002M,S1602_C03_002EA,S1602_C03_002MA,S1602_C03_003M,S1602_C03_003EA,S1602_C03_003MA,S1602_C03_004M,S1602_C03_004EA,S1602_C03_004MA,S1602_C03_005M,S1602_C03_005EA,S1602_C03_005MA,S1602_C04_001M,S1602_C04_001EA,S1602_C04_001MA,S1602_C04_002M,S1602_C04_002EA,S1602_C04_002MA,S1602_C04_003M,S1602_C04_003EA,S1602_C04_003MA,S1602_C04_004M,S1602_C04_004EA,S1602_C04_004MA,S1602_C04_005M,S1602_C04_005EA,S1602_C04_005MA,state
1852518,12189,55293,2923,19140,1899,16613,1464,6183,1189,-888888888.0,-888888888.0,3.0,0.2,1.0,0.1,0.9,0.1,0.3,0.1,21323,2484,12337,2010,2099,772,5722,1215,1165,595,1.2,0.1,22.3,3.5,11.0,3.8,34.4,6.5,18.8,9.1,12189,null,null,2923,null,null,1899,null,null,1464,null,null,1189,null,null,-888888888.0,(X),(X),0.2,null,null,0.1,null,null,0.1,null,null,0.1,null,null,2484,null,null,2010,null,null,772,null,null,1215,null,null,595,null,null,0.1,null,null,3.5,null,null,3.8,null,null,6.5,null,null,9.1,null,null,01
248468,2841,11267,1485,9038,1592,14688,1378,13525,1166,-888888888.0,-888888888.0,4.5,0.6,3.6,0.6,5.9,0.5,5.4,0.5,6792,1211,1152,566,745,409,3409,950,1486,428,2.7,0.5,10.2,4.9,8.2,4.1,23.2,6.1,11.0,3.0,2841,null,null,1485,null,null,1592,null,null,1378,null,null,1166,null,null,-888888888.0,(X),(X),0.6,null,null,0.6,null,null,0.5,null,null,0.5,null,null,1211,null,null,566,null,null,409,null,null,950,null,null,428,null,null,0.5,null,null,4.9,null,null,4.1,null,null,6.1,null,null,3.0,null,null,02
2519052,11479,490932,6793,72422,4163,60003,2951,68772,3615,-888888888.0,-888888888.0,19.5,0.3,2.9,0.2,2.4,0.1,2.7,0.1,104571,4240,74579,4457,6572,1316,12000,1574,11420,1323,4.2,0.2,15.2,0.9,9.1,1.7,20.0,2.5,16.6,1.8,11479,null,null,6793,null,null,4163,null,null,2951,null,null,3615,null,null,-888888888.0,(X),(X),0.3,null,null,0.2,null,null,0.1,null,null,0.1,null,null,4240,null,null,4457,null,null,1316,null,null,1574,null,null,1323,null,null,0.2,null,null,0.9,null,null,1.7,null,null,2.5,null,null,1.8,null,null,04
1142718,7341,54435,2921,12003,1662,13108,1569,3128,899,-888888888.0,-888888888.0,4.8,0.2,1.1,0.1,1.1,0.1,0.3,0.1,18418,2578,13711,2204,1022,476,3315,944,370,293,1.6,0.2,25.2,3.9,8.5,3.9,25.3,7.2,11.8,9.6,7341,null,null,2921,null,null,1662,null,null,1569,null,null,899,null,null,-888888888.0,(X),(X),0.2,null,null,0.1,null,null,0.1,null,null,0.1,null,null,2578,null,null,2204,null,null,476,null,null,944,null,null,293,null,null,0.2,null,null,3.9,null,null,3.9,null,null,7.2,null,null,9.6,null,null,05
12944178,15703,3344873,19072,769689,11453,1427369,11074,158211,6096,-888888888.0,-888888888.0,25.8,0.1,5.9,0.1,11.0,0.1,1.2,0.1,1210306,17074,674516,14068,123222,5422,379681,8154,32887,3075,9.4,0.1,20.2,0.4,16.0,0.6,26.6,0.5,20.8,1.8,15703,null,null,19072,null,null,11453,null,null,11074,null,null,6096,null,null,-888888888.0,(X),(X),0.1,null,null,0.1,null,null,0.1,null,null,0.1,null,null,17074,null,null,14068,null,null,5422,null,null,8154,null,null,3075,null,null,0.1,null,null,0.4,null,null,0.6,null,null,0.5,null,null,1.8,null,null,06
2108992,7767,249454,5731,64454,3987,47987,2610,18951,2558,-888888888.0,-888888888.0,11.8,0.3,3.1,0.2,2.3,0.1,0.9,0.1,63876,3798,42136,3320,5780,1081,11795,1419,4165,1187,3.0,0.2,16.9,1.3,9.0,1.5,24.6,2.8,22.0,5.6,7767,null,null,5731,null,null,3987,null,null,2610,null,null,2558,null,null,-888888888.0,(X),(X),0.3,null,null,0.2,null,null,0.1,null,null,0.1,null,null,3798,null,null,3320,null,null,1081,null,null,1419,null,null,1187,null,null,0.2,null,null,1.3,null,null,1.5,null,null,2.8,null,null,5.6,null,null,08
1357269,7141,167190,4764,117688,5028,33669,2344,16078,1853,-888888888.0,-888888888.0,12.3,0.3,8.7,0.4,2.5,0.2,1.2,0.1,67603,4154,37163,3130,19655,2326,8573,1501,2212,621,5.0,0.3,22.2,1.8,16.7,1.8,25.5,3.9,13.8,4.0,7141,null,null,4764,null,null,5028,null,null,2344,null,null,1853,null,null,-888888888.0,(X),(X),0.3,null,null,0.4,null,null,0.2,null,null,0.1,null,null,4154,null,null,3130,null,null,2326,null,null,1501,null,null,621,null,null,0.3,null,null,1.8,null,null,1.8,null,null,3.9,null,null,4.0,null,null,09
351085,3936,23127,1419,11583,1812,9925,1147,3570,896,-888888888.0,-888888888.0,6.6,0.4,3.3,0.5,2.8,0.3,1.0,0.3,9680,1439,5297,1232,1982,703,2336,759,65,80,2.8,0.4,22.9,5.2,17.1,5.3,23.5,7.3,1.8,2.3,3936,null,null,1419,null,null,1812,null,null,1147,null,null,896,null,null,-888888888.0,(X),(X),0.4,null,null,0.5,null,null,0.3,null,null,0.3,null,null,1439,null,null,1232,null,null,703,null,null,759,null,null,80,null,null,0.4,null,null,5.2,null,null,5.3,null,null,7.3,null,null,2.3,null,null,10
281241,3152,26008,1775,14268,1915,6361,913,6861,1306,-888888888.0,-888888888.0,9.2,0.6,5.1,0.7,2.3,0.3,2.4,0.5,11160,1882,7264,1429,1119,672,954,426,1823,774,4.0,0.7,27.9,5.0,7.8,4.2,15.0,6.4,26.6,9.4,3152,null,null,1775,null,null,1915,null,null,913,null,null,1306,null,null,-888888888.0,(X),(X),0.6,null,null,0.7,null,null,0.3,null,null,0.5,null,null,1882,null,null,1429,null,null,672,null,null,426,null,null,774,null,null,0.7,null,null,5.0,null,null,4.2,null,null,6.4,null,null,9.4,null,null,11
7573456,23478,1525166,15733,450239,10237,130765,5887,59568,4547,-888888888.0,-888888888.0,20.1,0.2,5.9,0.1,1.7,0.1,0.8,0.1,541932,12021,426256,11424,80571,4836,25868,2873,9237,1763,7.2,0.2,27.9,0.7,17.9,1.0,19.8,1.9,15.5,2.5,23478,null,null,15733,null,null,10237,null,null,5887,null,null,4547,null,null,-888888888.0,(X),(X),0.2,null,null,0.1,null,null,0.1,null,null,0.1,null,null,12021,null,null,11424,null,null,4836,null,null,2873,null,null,1763,null,null,0.2,null,null,0.7,null,null,1.0,null,null,1.9,null,null,2.5,null,null,12
3686135,15528,264997,7063,119509,6446,92594,4468,41980,4280,-888888888.0,-888888888.0,7.2,0.2,3.2,0.2,2.5,0.1,1.1,0.1,111324,6298,66460,4944,13927,1836,25335,2794,5602,1448,3.0,0.2,25.1,1.7,11.7,1.5,27.4,2.7,13.3,3.1,15528,null,null,7063,null,null,6446,null,null,4468,null,null,4280,null,null,-888888888.0,(X),(X),0.2,null,null,0.2,null,null,0.1,null,null,0.1,null,null,6298,null,null,4944,null,null,1836,null,null,2794,null,null,1448,null,null,0.2,null,null,1.7,null,null,1.5,null,null,2.7,null,null,3.1,null,null,13
455868,4824,14050,1844,10018,1589,117928,4432,5802,1114,-888888888.0,-888888888.0,3.1,0.4,2.2,0.3,25.9,0.9,1.3,0.2,28178,2609,394,211,783,359,26803,2566,198,207,6.2,0.6,2.8,1.5,7.8,3.3,22.7,1.9,3.4,3.5,4824,null,null,1844,null,null,1589,null,null,4432,null,null,1114,null,null,-888888888.0,(X),(X),0.4,null,null,0.3,null,null,0.9,null,null,0.2,null,null,2609,null,null,211,null,null,359,null,null,2566,null,null,207,null,null,0.6,null,null,1.5,null,null,3.3,null,null,1.9,null,null,3.5,null,null,15
610872,4143,47136,2609,13714,2086,5056,1091,2839,860,-888888888.0,-888888888.0,7.7,0.4,2.2,0.3,0.8,0.2,0.5,0.1,11938,1810,9627,1731,971,525,999,465,341,254,2.0,0.3,20.4,3.5,7.1,3.5,19.8,8.5,12.0,8.6,4143,null,null,2609,null,null,2086,null,null,1091,null,null,860,null,null,-888888888.0,(X),(X),0.4,null,null,0.3,null,null,0.2,null,null,0.1,null,null,1810,null,null,1731,null,null,525,null,null,465,null,null,254,null,null,0.3,null,null,3.5,null,null,3.5,null,null,8.5,null,null,8.6,null,null,16
4822046,12932,557850,6876,307584,7849,152922,4641,51990,3860,-888888888.0,-888888888.0,11.6,0.1,6.4,0.2,3.2,0.1,1.1,0.1,220549,6492,105967,4901,64428,4158,39300,2698,10854,1910,4.6,0.1,19.0,0.8,20.9,1.2,25.7,1.5,20.9,3.5,12932,null,null,6876,null,null,7849,null,null,4641,null,null,3860,null,null,-888888888.0,(X),(X),0.1,null,null,0.2,null,null,0.1,null,null,0.1,null,null,6492,null,null,4901,null,null,4158,null,null,2698,null,null,1910,null,null,0.1,null,null,0.8,null,null,1.2,null,null,1.5,null,null,3.5,null,null,17
2533270,10440,119845,3790,56974,3529,34916,2224,13269,1835,-888888888.0,-888888888.0,4.7,0.1,2.2,0.1,1.4,0.1,0.5,0.1,43720,3906,23817,2823,6420,1651,11188,1619,2295,728,1.7,0.2,19.9,2.3,11.3,2.8,32.0,4.1,17.3,5.0,10440,null,null,3790,null,null,3529,null,null,2224,null,null,1835,null,null,-888888888.0,(X),(X),0.1,null,null,0.1,null,null,0.1,null,null,0.1,null,null,3906,null,null,2823,null,null,1651,null,null,1619,null,null,728,null,null,0.2,null,null,2.3,null,null,2.8,null,null,4.1,null,null,5.0,null,null,18
1247932,7106,50837,2633,23742,2085,18463,1660,7894,1406,-888888888.0,-888888888.0,4.1,0.2,1.9,0.2,1.5,0.1,0.6,0.1,23591,2540,11274,1601,3259,1097,6323,1357,2735,905,1.9,0.2,22.2,2.9,13.7,4.2,34.2,6.1,34.6,9.6,7106,null,null,2633,null,null,2085,null,null,1660,null,null,1406,null,null,-888888888.0,(X),(X),0.2,null,null,0.2,null,null,0.1,null,null,0.1,null,null,2540,null,null,1601,null,null,1097,null,null,1357,null,null,905,null,null,0.2,null,null,2.9,null,null,4.2,null,null,6.1,null,null,9.6,null,null,19
1110407,6778,76570,3107,22297,2446,21681,2076,5610,1191,-888888888.0,-888888888.0,6.9,0.3,2.0,0.2,2.0,0.2,0.5,0.1,30619,2926,19341,2230,2920,1010,7407,1432,951,551,2.8,0.3,25.3,2.6,13.1,4.1,34.2,5.4,17.0,8.8,6778,null,null,3107,null,null,2446,null,null,2076,null,null,1191,null,null,-888888888.0,(X),(X),0.3,null,null,0.2,null,null,0.2,null,null,0.1,null,null,2926,null,null,2230,null,null,1010,null,null,1432,null,null,551,null,null,0.3,null,null,2.6,null,null,4.1,null,null,5.4,null,null,8.8,null,null,20
1717706,9131,47637,2917,26784,2297,15733,1554,7098,1353,-888888888.0,-888888888.0,2.8,0.2,1.6,0.1,0.9,0.1,0.4,0.1,20472,2209,9920,1523,4134,1127,3911,949,2507,884,1.2,0.1,20.8,3.1,15.4,3.9,24.9,5.3,35.3,10.2,9131,null,null,2917,null,null,2297,null,null,1554,null,null,1353,null,null,-888888888.0,(X),(X),0.2,null,null,0.1,null,null,0.1,null,null,0.1,null,null,2209,null,null,1523,null,null,1127,null,null,949,null,null,884,null,null,0.1,null,null,3.1,null,null,3.9,null,null,5.3,null,null,10.2,null,null,21
