B22005I_001E,B22005I_001EA,B22005I_001M,B22005I_001MA,B22005I_002E,B22005I_002EA,B22005I_002M,B22005I_002MA,B22005I_003E,B22005I_003EA,B22005I_003M,B22005I_003MA,GEO_ID,NAME,state
33075,null,1934,null,3320,null,924,null,29755,null,1932,null,0400000US01,Alabama,01
10340,null,1595,null,762,null,392,null,9578,null,1579,null,0400000US02,Alaska,02
487626,null,7502,null,77408,null,4485,null,410218,null,8236,null,0400000US04,Arizona,04
39466,null,2384,null,5131,null,1173,null,34335,null,2409,null,0400000US05,Arkansas,05
3260557,null,14714,null,299191,null,8392,null,2961366,null,15651,null,0400000US06,California,06
283980,null,4760,null,35214,null,2814,null,248766,null,5191,null,0400000US08,Colorado,08
127048,null,3706,null,32281,null,2610,null,94767,null,3845,null,0400000US09,Connecticut,09
15705,null,1292,null,2507,null,944,null,13198,null,1129,null,0400000US10,Delaware,10
18671,null,1407,null,1200,null,689,null,17471,null,1563,null,0400000US11,District of Columbia,11
1207966,null,11670,null,154613,null,5541,null,1053353,null,11547,null,0400000US12,Florida,12
187408,null,5294,null,16471,null,2834,null,170937,null,5142,null,0400000US13,Georgia,13
28988,null,1888,null,4112,null,923,null,24876,null,1848,null,0400000US15,Hawaii,15
39785,null,2152,null,5721,null,970,null,34064,null,2164,null,0400000US16,Idaho,16
502527,null,6239,null,61388,null,4088,null,441139,null,7607,null,0400000US17,Illinois,17
85219,null,3116,null,13284,null,1825,null,71935,null,3195,null,0400000US18,Indiana,18
35902,null,1563,null,6620,null,1283,null,29282,null,1665,null,0400000US19,Iowa,19
70393,null,2399,null,8093,null,1499,null,62300,null,2435,null,0400000US20,Kansas,20
25432,null,1658,null,3914,null,848,null,21518,null,1642,null,0400000US21,Kentucky,21
43345,null,2238,null,6511,null,1142,null,36834,null,2135,null,0400000US22,Louisiana,22
3566,null,758,null,774,null,502,null,2792,null,745,null,0400000US23,Maine,23
94456,null,2754,null,6318,null,1345,null,88138,null,2695,null,0400000US24,Maryland,24
169072,null,5139,null,48670,null,3259,null,120402,null,4685,null,0400000US25,Massachusetts,25
109466,null,3891,null,24164,null,2398,null,85302,null,3805,null,0400000US26,Michigan,26
56804,null,2497,null,7078,null,1626,null,49726,null,2211,null,0400000US27,Minnesota,27
14482,null,1704,null,1567,null,654,null,12915,null,1680,null,0400000US28,Mississippi,28
50288,null,2444,null,7307,null,1427,null,42981,null,2450,null,0400000US29,Missouri,29
5920,null,856,null,1007,null,649,null,4913,null,905,null,0400000US30,Montana,30
37441,null,1932,null,4064,null,929,null,33377,null,1945,null,0400000US31,Nebraska,31
182459,null,4353,null,15094,null,2406,null,167365,null,4734,null,0400000US32,Nevada,32
10051,null,1265,null,1200,null,644,null,8851,null,1301,null,0400000US33,New Hampshire,33
417536,null,6228,null,47967,null,3474,null,369569,null,6172,null,0400000US34,New Jersey,34
294392,null,4703,null,37606,null,2713,null,256786,null,4677,null,0400000US35,New Mexico,35
969458,null,9774,null,235615,null,7839,null,733843,null,9568,null,0400000US36,New York,36
174941,null,5358,null,22366,null,2582,null,152575,null,5183,null,0400000US37,North Carolina,37
4075,null,800,null,888,null,551,null,3187,null,734,null,0400000US38,North Dakota,38
85420,null,3426,null,16460,null,2371,null,68960,null,3370,null,0400000US39,Ohio,39
76689,null,2592,null,9279,null,1457,null,67410,null,2450,null,0400000US40,Oklahoma,40
103455,null,3660,null,19505,null,2243,null,83950,null,3516,null,0400000US41,Oregon,41
175807,null,4173,null,50735,null,3544,null,125072,null,5005,null,0400000US42,Pennsylvania,42
34345,null,2022,null,8871,null,1350,null,25474,null,2072,null,0400000US44,Rhode Island,44
43605,null,2372,null,4330,null,948,null,39275,null,2240,null,0400000US45,South Carolina,45
5060,null,812,null,1083,null,597,null,3977,null,738,null,0400000US46,South Dakota,46
58554,null,2675,null,10396,null,1612,null,48158,null,2680,null,0400000US47,Tennessee,47
2462189,null,14305,null,406804,null,10043,null,2055385,null,15370,null,0400000US48,Texas,48
81031,null,3008,null,6649,null,1624,null,74382,null,3092,null,0400000US49,Utah,49
2414,null,540,null,164,null,154,null,2250,null,528,null,0400000US50,Vermont,50
144912,null,4409,null,7445,null,1685,null,137467,null,4637,null,0400000US51,Virginia,51
163166,null,4133,null,27616,null,2605,null,135550,null,4301,null,0400000US53,Washington,53
5387,null,1054,null,784,null,452,null,4603,null,1016,null,0400000US54,West Virginia,54
75377,null,2581,null,12388,null,1708,null,62989,null,2901,null,0400000US55,Wisconsin,55
12094,null,1422,null,605,null,436,null,11489,null,1402,null,0400000US56,Wyoming,56
1174025,null,9883,null,389911,null,7800,null,784114,null,9713,null,0400000US72,Puerto Rico,72
