C15002B_001E,C15002B_001EA,C15002B_001M,C15002B_001MA,C15002B_002E,C15002B_002EA,C15002B_002M,C15002B_002MA,C15002B_003E,C15002B_003EA,C15002B_003M,C15002B_003MA,C15002B_004E,C15002B_004EA,C15002B_004M,C15002B_004MA,C15002B_005E,C15002B_005EA,C15002B_005M,C15002B_005MA,C15002B_006E,C15002B_006EA,C15002B_006M,C15002B_006MA,C15002B_007E,C15002B_007EA,C15002B_007M,C15002B_007MA,C15002B_008E,C15002B_008EA,C15002B_008M,C15002B_008MA,C15002B_009E,C15002B_009EA,C15002B_009M,C15002B_009MA,C15002B_010E,C15002B_010EA,C15002B_010M,C15002B_010MA,C15002B_011E,C15002B_011EA,C15002B_011M,C15002B_011MA,GEO_ID,NAME,state
726764,null,5645,null,321983,null,4208,null,79340,null,4166,null,119644,null,4862,null,84369,null,4046,null,38630,null,3189,null,404781,null,3190,null,88759,null,4153,null,120069,null,6036,null,130659,null,5223,null,65294,null,3777,null,0400000US01,Alabama,01
13576,null,1841,null,7218,null,1054,null,352,null,223,null,1934,null,653,null,3724,null,961,null,1208,null,623,null,6358,null,1172,null,601,null,385,null,1108,null,484,null,3505,null,992,null,1144,null,568,null,0400000US02,Alaska,02
137598,null,2976,null,72773,null,1835,null,9535,null,1722,null,20889,null,2378,null,27357,null,2509,null,14992,null,1968,null,64825,null,1992,null,8505,null,1880,null,13627,null,2068,null,26664,null,2241,null,16029,null,2367,null,0400000US04,Arizona,04
251829,null,3387,null,113288,null,2774,null,25670,null,2704,null,49410,null,3454,null,25139,null,2466,null,13069,null,1591,null,138541,null,2280,null,31242,null,2220,null,45838,null,3234,null,43331,null,3058,null,18130,null,2159,null,0400000US05,Arkansas,05
1394700,null,7880,null,666143,null,5825,null,99943,null,4983,null,184809,null,6528,null,251411,null,7882,null,129980,null,6219,null,728557,null,4416,null,87029,null,5406,null,161614,null,6548,null,319634,null,6972,null,160280,null,7542,null,0400000US06,California,06
113953,null,2316,null,61204,null,1844,null,9173,null,1686,null,16099,null,1673,null,21752,null,2272,null,14180,null,1836,null,52749,null,1620,null,6923,null,1555,null,14530,null,2020,null,18835,null,1792,null,12461,null,1907,null,0400000US08,Colorado,08
200970,null,3303,null,91913,null,2303,null,17574,null,1873,null,34854,null,3151,null,24002,null,2401,null,15483,null,2205,null,109057,null,2116,null,21115,null,2471,null,31886,null,2994,null,34681,null,3184,null,21375,null,2735,null,0400000US09,Connecticut,09
108022,null,1512,null,48221,null,947,null,9271,null,1478,null,15727,null,1651,null,13946,null,1803,null,9277,null,1814,null,59801,null,936,null,9747,null,1614,null,16557,null,1850,null,21530,null,2394,null,11967,null,2426,null,0400000US10,Delaware,10
209362,null,1987,null,89655,null,994,null,18142,null,2361,null,30906,null,2942,null,21847,null,2343,null,18760,null,2160,null,119707,null,1279,null,21961,null,2611,null,38934,null,3046,null,32386,null,2770,null,26426,null,2468,null,0400000US11,District of Columbia,11
1665996,null,8346,null,771297,null,5260,null,189374,null,8966,null,268935,null,9095,null,202801,null,7375,null,110187,null,6386,null,894699,null,5568,null,188160,null,7201,null,271476,null,9081,null,279252,null,7996,null,155811,null,6454,null,0400000US12,Florida,12
