B25055_001E,B25055_001EA,B25055_001M,B25055_001MA,B25055_002E,B25055_002EA,B25055_002M,B25055_002MA,B25055_003E,B25055_003EA,B25055_003M,B25055_003MA,B25055_004E,B25055_004EA,B25055_004M,B25055_004MA,B25055_005E,B25055_005EA,B25055_005M,B25055_005MA,B25055_006E,B25055_006EA,B25055_006M,B25055_006MA,B25055_007E,B25055_007EA,B25055_007M,B25055_007MA,B25055_008E,B25055_008EA,B25055_008M,B25055_008MA,B25055_009E,B25055_009EA,B25055_009M,B25055_009MA,B25055_010E,B25055_010EA,B25055_010M,B25055_010MA,B25055_011E,B25055_011EA,B25055_011M,B25055_011MA,B25055_012E,B25055_012EA,B25055_012M,B25055_012MA,B25055_013E,B25055_013EA,B25055_013M,B25055_013MA,GEO_ID,NAME,state
461292,null,11376,null,363205,null,10566,null,1251,null,609,null,361954,null,10588,null,47350,null,3274,null,258,null,164,null,47092,null,3303,null,23996,null,2268,null,131,null,121,null,23865,null,2266,null,26741,null,2557,null,3858,null,803,null,22883,null,2326,null,0400000US01,Alabama,01
74165,null,3737,null,62317,null,3699,null,173,null,161,null,62144,null,3706,null,7309,null,1202,null,0,null,240,null,7309,null,1202,null,2880,null,634,null,83,null,142,null,2797,null,632,null,1659,null,501,null,15,null,25,null,1644,null,497,null,0400000US02,Alaska,02
686512,null,12788,null,548141,null,11792,null,1862,null,778,null,546279,null,11939,null,67738,null,4228,null,298,null,238,null,67440,null,4163,null,28335,null,2534,null,869,null,514,null,27466,null,2408,null,42298,null,2908,null,14230,null,1919,null,28068,null,2395,null,0400000US04,Arizona,04
324646,null,7464,null,257056,null,7423,null,784,null,451,null,256272,null,7483,null,31617,null,2589,null,302,null,220,null,31315,null,2610,null,16568,null,1592,null,328,null,229,null,16240,null,1626,null,19405,null,1911,null,3300,null,850,null,16105,null,1785,null,0400000US05,Arkansas,05
5060972,null,28990,null,3951549,null,25794,null,13985,null,2010,null,3937564,null,25695,null,545313,null,10566,null,3575,null,1144,null,541738,null,10654,null,279769,null,6902,null,5626,null,1217,null,274143,null,6991,null,284341,null,7811,null,44615,null,3017,null,239726,null,7178,null,0400000US06,California,06
594740,null,9361,null,486992,null,9134,null,1504,null,785,null,485488,null,9061,null,54529,null,3920,null,138,null,150,null,54391,null,3899,null,23431,null,2264,null,272,null,199,null,23159,null,2223,null,29788,null,2250,null,7340,null,1034,null,22448,null,2111,null,0400000US08,Colorado,08
394785,null,7645,null,283845,null,6349,null,1338,null,684,null,282507,null,6295,null,44557,null,2868,null,283,null,196,null,44274,null,2853,null,28102,null,2382,null,353,null,332,null,27749,null,2329,null,38281,null,2708,null,7871,null,1277,null,30410,null,2542,null,0400000US09,Connecticut,09
81497,null,4352,null,62731,null,3882,null,466,null,390,null,62265,null,3899,null,7586,null,1359,null,24,null,41,null,7562,null,1363,null,4495,null,1189,null,0,null,263,null,4495,null,1189,null,6685,null,907,null,1153,null,379,null,5532,null,847,null,0400000US10,Delaware,10
138629,null,4812,null,103842,null,4099,null,205,null,202,null,103637,null,4103,null,16961,null,1852,null,0,null,296,null,16961,null,1852,null,10043,null,1376,null,284,null,295,null,9759,null,1365,null,7783,null,1048,null,702,null,323,null,7081,null,988,null,0400000US11,District of Columbia,11
2037653,null,21903,null,1565177,null,20981,null,7848,null,1833,null,1557329,null,21008,null,211854,null,7970,null,1228,null,658,null,210626,null,7930,null,115179,null,4439,null,1697,null,614,null,113482,null,4477,null,145443,null,5684,null,36577,null,2763,null,108866,null,5249,null,0400000US12,Florida,12
1058909,null,15012,null,864948,null,15094,null,1852,null,632,null,863096,null,14979,null,107945,null,5407,null,1278,null,720,null,106667,null,5344,null,48282,null,3776,null,1034,null,589,null,47248,null,3734,null,37734,null,2648,null,7204,null,1149,null,30530,null,2416,null,0400000US13,Georgia,13
165076,null,5486,null,122846,null,4597,null,230,null,225,null,122616,null,4569,null,20468,null,2223,null,0,null,275,null,20468,null,2223,null,10109,null,1654,null,114,null,113,null,9995,null,1643,null,11653,null,1445,null,1230,null,599,null,10423,null,1423,null,0400000US15,Hawaii,15
154056,null,5804,null,124291,null,5054,null,292,null,189,null,123999,null,5065,null,15128,null,2095,null,85,null,144,null,15043,null,2082,null,6336,null,1465,null,186,null,179,null,6150,null,1408,null,8301,null,1169,null,1646,null,547,null,6655,null,1142,null,0400000US16,Idaho,16
1401018,null,15112,null,1058090,null,13944,null,4320,null,1098,null,1053770,null,13751,null,153870,null,6359,null,1104,null,480,null,152766,null,6283,null,87422,null,4518,null,2180,null,766,null,85242,null,4372,null,101636,null,3761,null,19726,null,1821,null,81910,null,3710,null,0400000US17,Illinois,17
654763,null,11225,null,506862,null,10510,null,3496,null,1232,null,503366,null,10378,null,67291,null,3540,null,490,null,395,null,66801,null,3574,null,37292,null,2352,null,970,null,490,null,36322,null,2306,null,43318,null,2411,null,7958,null,1256,null,35360,null,2054,null,0400000US18,Indiana,18
304228,null,5693,null,229673,null,5489,null,374,null,366,null,229299,null,5454,null,27366,null,1976,null,309,null,275,null,27057,null,2008,null,16087,null,1461,null,506,null,311,null,15581,null,1393,null,31102,null,2148,null,7002,null,1207,null,24100,null,2017,null,0400000US19,Iowa,19
316841,null,6187,null,247290,null,6385,null,1136,null,750,null,246154,null,6304,null,27861,null,2542,null,324,null,188,null,27537,null,2534,null,16293,null,1855,null,57,null,83,null,16236,null,1846,null,25397,null,2075,null,5644,null,858,null,19753,null,1869,null,0400000US20,Kansas,20
460774,null,8957,null,357388,null,7864,null,563,null,281,null,356825,null,7819,null,49106,null,3642,null,675,null,466,null,48431,null,3701,null,26802,null,2539,null,614,null,497,null,26188,null,2557,null,27478,null,2006,null,4655,null,1014,null,22823,null,1876,null,0400000US21,Kentucky,21
