B19070_001E,B19070_001EA,B19070_001M,B19070_001MA,GEO_ID,NAME,state
2496151400,null,127049004,null,0400000US01,Alabama,01
744152000,null,54276029,null,0400000US02,Alaska,02
2966224300,null,136591804,null,0400000US04,Arizona,04
1413583900,null,94343625,null,0400000US05,Arkansas,05
18228915200,null,395864012,null,0400000US06,California,06
2498634600,null,135477647,null,0400000US08,Colorado,08
1729353400,null,109949219,null,0400000US09,Connecticut,09
388935400,null,44848049,null,0400000US10,Delaware,10
244884700,null,40181786,null,0400000US11,District of Columbia,11
9990371100,null,221269254,null,0400000US12,Florida,12
4159920000,null,185037716,null,0400000US13,Georgia,13
617909200,null,59455268,null,0400000US15,Hawaii,15
731828300,null,60689859,null,0400000US16,Idaho,16
5541250600,null,176163681,null,0400000US17,Illinois,17
2775047700,null,112574738,null,0400000US18,Indiana,18
1558220400,null,90510959,null,0400000US19,Iowa,19
1275515200,null,74566153,null,0400000US20,Kansas,20
2117738200,null,105747036,null,0400000US21,Kentucky,21
1985516100,null,108502246,null,0400000US22,Louisiana,22
783387200,null,61605876,null,0400000US23,Maine,23
2575308400,null,148469625,null,0400000US24,Maryland,24
3472619300,null,161110900,null,0400000US25,Massachusetts,25
5437854100,null,157372915,null,0400000US26,Michigan,26
2508676000,null,103554789,null,0400000US27,Minnesota,27
1139775500,null,73336431,null,0400000US28,Mississippi,28
2631776600,null,103938616,null,0400000US29,Missouri,29
450095800,null,45621827,null,0400000US30,Montana,30
891632700,null,57338808,null,0400000US31,Nebraska,31
1287345600,null,110886058,null,0400000US32,Nevada,32
591474800,null,56408222,null,0400000US33,New Hampshire,33
4213826000,null,149893916,null,0400000US34,New Jersey,34
1047248200,null,89952726,null,0400000US35,New Mexico,35
8871151000,null,247661778,null,0400000US36,New York,36
4617804800,null,197137662,null,0400000US37,North Carolina,37
322083400,null,33354690,null,0400000US38,North Dakota,38
5048482100,null,161651372,null,0400000US39,Ohio,39
1974208700,null,99384430,null,0400000US40,Oklahoma,40
2124391700,null,109297671,null,0400000US41,Oregon,41
5909739100,null,171626893,null,0400000US42,Pennsylvania,42
538789000,null,50298817,null,0400000US44,Rhode Island,44
2175439600,null,106053470,null,0400000US45,South Carolina,45
418619300,null,37607461,null,0400000US46,South Dakota,46
2816988500,null,132811133,null,0400000US47,Tennessee,47
9893756500,null,239781535,null,0400000US48,Texas,48
1079322200,null,84555495,null,0400000US49,Utah,49
325346700,null,44900191,null,0400000US50,Vermont,50
3795801000,null,144496602,null,0400000US51,Virginia,51
3896455000,null,165833035,null,0400000US53,Washington,53
967203000,null,59831608,null,0400000US54,West Virginia,54
2765889600,null,103527040,null,0400000US55,Wisconsin,55
204216400,null,31648538,null,0400000US56,Wyoming,56
1159839700,null,57407789,null,0400000US72,Puerto Rico,72
