C15002G_001E,C15002G_001EA,C15002G_001M,C15002G_001MA,C15002G_002E,C15002G_002EA,C15002G_002M,C15002G_002MA,C15002G_003E,C15002G_003EA,C15002G_003M,C15002G_003MA,C15002G_004E,C15002G_004EA,C15002G_004M,C15002G_004MA,C15002G_005E,C15002G_005EA,C15002G_005M,C15002G_005MA,C15002G_006E,C15002G_006EA,C15002G_006M,C15002G_006MA,C15002G_007E,C15002G_007EA,C15002G_007M,C15002G_007MA,C15002G_008E,C15002G_008EA,C15002G_008M,C15002G_008MA,C15002G_009E,C15002G_009EA,C15002G_009M,C15002G_009MA,C15002G_010E,C15002G_010EA,C15002G_010M,C15002G_010MA,C15002G_011E,C15002G_011EA,C15002G_011M,C15002G_011MA,GEO_ID,NAME,state
29123,null,3095,null,15002,null,2276,null,3041,null,916,null,3441,null,905,null,5389,null,1441,null,3131,null,829,null,14121,null,1832,null,2279,null,665,null,3973,null,922,null,5384,null,1172,null,2485,null,573,null,0400000US01,Alabama,01
19489,null,2482,null,10035,null,1444,null,847,null,357,null,3437,null,832,null,3416,null,1031,null,2335,null,829,null,9454,null,1593,null,732,null,333,null,2438,null,803,null,4514,null,1072,null,1770,null,512,null,0400000US02,Alaska,02
61955,null,4542,null,29663,null,2549,null,4066,null,1056,null,7379,null,1542,null,11763,null,1865,null,6455,null,1304,null,32292,null,3219,null,4007,null,1043,null,7393,null,1767,null,12558,null,1999,null,8334,null,1598,null,0400000US04,Arizona,04
25425,null,2641,null,11679,null,1820,null,2097,null,643,null,4400,null,1142,null,3468,null,893,null,1714,null,685,null,13746,null,1724,null,3637,null,868,null,3360,null,826,null,4977,null,1033,null,1772,null,683,null,0400000US05,Arkansas,05
535396,null,12867,null,258876,null,9064,null,42674,null,3767,null,57347,null,3888,null,95607,null,5896,null,63248,null,3887,null,276520,null,7399,null,40091,null,3678,null,52853,null,3698,null,109491,null,5351,null,74085,null,3737,null,0400000US06,California,06
62710,null,3951,null,30260,null,2693,null,3612,null,995,null,6942,null,1597,null,10389,null,1762,null,9317,null,1718,null,32450,null,2961,null,3289,null,814,null,6262,null,1364,null,13166,null,1752,null,9733,null,1683,null,0400000US08,Colorado,08
30828,null,3573,null,14869,null,2312,null,2015,null,841,null,3827,null,1033,null,5010,null,1225,null,4017,null,976,null,15959,null,2113,null,2222,null,745,null,2938,null,786,null,5965,null,1274,null,4834,null,1198,null,0400000US09,Connecticut,09
6120,null,1343,null,3121,null,913,null,233,null,194,null,645,null,362,null,1381,null,545,null,862,null,552,null,2999,null,823,null,418,null,396,null,803,null,350,null,938,null,495,null,840,null,417,null,0400000US10,Delaware,10
7050,null,2010,null,3287,null,1083,null,58,null,102,null,383,null,435,null,1345,null,757,null,1501,null,571,null,3763,null,1232,null,225,null,213,null,440,null,339,null,911,null,648,null,2187,null,767,null,0400000US11,District of Columbia,11
145344,null,7601,null,70312,null,5374,null,10507,null,1834,null,20147,null,2753,null,20662,null,2310,null,18996,null,2345,null,75032,null,4680,null,10225,null,1690,null,19451,null,2501,null,28175,null,2689,null,17181,null,2348,null,0400000US12,Florida,12
51407,null,4148,null,24015,null,2652,null,3983,null,1024,null,5771,null,1525,null,8188,null,1647,null,6073,null,1316,null,27392,null,2819,null,2466,null,890,null,5591,null,1246,null,10532,null,1747,null,8803,null,1796,null,0400000US13,Georgia,13
136110,null,6187,null,67531,null,3851,null,7042,null,1231,null,25236,null,2789,null,22840,null,2486,null,12413,null,1525,null,68579,null,4104,null,4725,null,1074,null,25296,null,2556,null,25351,null,3034,null,13207,null,1874,null,0400000US15,Hawaii,15
14554,null,2124,null,7037,null,1429,null,1055,null,527,null,2041,null,746,null,2351,null,629,null,1590,null,512,null,7517,null,1182,null,1017,null,408,null,1598,null,473,null,3738,null,853,null,1164,null,447,null,0400000US16,Idaho,16
75950,null,5526,null,35579,null,3157,null,6711,null,1451,null,9964,null,1626,null,9598,null,1336,null,9306,null,1620,null,40371,null,3737,null,5058,null,1240,null,8485,null,1195,null,15281,null,1945,null,11547,null,1884,null,0400000US17,Illinois,17
42045,null,3611,null,21087,null,2516,null,4264,null,1010,null,6661,null,1253,null,5843,null,1111,null,4319,null,1189,null,20958,null,2291,null,3274,null,798,null,6988,null,1453,null,6519,null,1381,null,4177,null,1001,null,0400000US18,Indiana,18
14818,null,2067,null,7882,null,1420,null,1157,null,562,null,2562,null,802,null,2871,null,768,null,1292,null,501,null,6936,null,1284,null,1045,null,415,null,2061,null,669,null,2447,null,678,null,1383,null,552,null,0400000US19,Iowa,19
29118,null,2426,null,14200,null,1963,null,2097,null,660,null,3775,null,902,null,5326,null,1228,null,3002,null,751,null,14918,null,1677,null,2628,null,779,null,3701,null,868,null,5424,null,1213,null,3165,null,905,null,0400000US20,Kansas,20
19686,null,2114,null,7977,null,1464,null,1378,null,568,null,1915,null,662,null,3053,null,861,null,1631,null,655,null,11709,null,1559,null,2331,null,702,null,2826,null,799,null,4401,null,1026,null,2151,null,701,null,0400000US21,Kentucky,21
20256,null,2330,null,9670,null,1753,null,1976,null,787,null,3476,null,868,null,2614,null,886,null,1604,null,727,null,10586,null,1476,null,1428,null,495,null,3041,null,734,null,4026,null,923,null,2091,null,770,null,0400000US22,Louisiana,22
9108,null,1198,null,4441,null,931,null,1231,null,468,null,976,null,390,null,1494,null,592,null,740,null,401,null,4667,null,734,null,695,null,363,null,1567,null,501,null,1531,null,477,null,874,null,404,null,0400000US23,Maine,23
47491,null,3580,null,21790,null,2778,null,2199,null,802,null,5790,null,1675,null,7788,null,1368,null,6013,null,1386,null,25701,null,2190,null,2565,null,727,null,4575,null,990,null,10004,null,1517,null,8557,null,1230,null,0400000US24,Maryland,24
57311,null,4945,null,28759,null,3378,null,9045,null,2036,null,7575,null,1967,null,5567,null,1259,null,6572,null,1356,null,28552,null,2688,null,7752,null,1239,null,7718,null,1537,null,6244,null,1392,null,6838,null,1297,null,0400000US25,Massachusetts,25
