B05009_001E,B05009_001EA,B05009_001M,B05009_001MA,B05009_002E,B05009_002EA,B05009_002M,B05009_002MA,B05009_003E,B05009_003EA,B05009_003M,B05009_003MA,B05009_004E,B05009_004EA,B05009_004M,B05009_004MA,B05009_005E,B05009_005EA,B05009_005M,B05009_005MA,B05009_006E,B05009_006EA,B05009_006M,B05009_006MA,B05009_007E,B05009_007EA,B05009_007M,B05009_007MA,B05009_008E,B05009_008EA,B05009_008M,B05009_008MA,B05009_009E,B05009_009EA,B05009_009M,B05009_009MA,B05009_010E,B05009_010EA,B05009_010M,B05009_010MA,B05009_011E,B05009_011EA,B05009_011M,B05009_011MA,B05009_012E,B05009_012EA,B05009_012M,B05009_012MA,B05009_013E,B05009_013EA,B05009_013M,B05009_013MA,B05009_014E,B05009_014EA,B05009_014M,B05009_014MA,B05009_015E,B05009_015EA,B05009_015M,B05009_015MA,B05009_016E,B05009_016EA,B05009_016M,B05009_016MA,B05009_017E,B05009_017EA,B05009_017M,B05009_017MA,B05009_018E,B05009_018EA,B05009_018M,B05009_018MA,B05009_019E,B05009_019EA,B05009_019M,B05009_019MA,B05009_020E,B05009_020EA,B05009_020M,B05009_020MA,B05009_021E,B05009_021EA,B05009_021M,B05009_021MA,B05009_022E,B05009_022EA,B05009_022M,B05009_022MA,B05009_023E,B05009_023EA,B05009_023M,B05009_023MA,B05009_024E,B05009_024EA,B05009_024M,B05009_024MA,B05009_025E,B05009_025EA,B05009_025M,B05009_025MA,B05009_026E,B05009_026EA,B05009_026M,B05009_026MA,B05009_027E,B05009_027EA,B05009_027M,B05009_027MA,B05009_028E,B05009_028EA,B05009_028M,B05009_028MA,B05009_029E,B05009_029EA,B05009_029M,B05009_029MA,B05009_030E,B05009_030EA,B05009_030M,B05009_030MA,B05009_031E,B05009_031EA,B05009_031M,B05009_031MA,B05009_032E,B05009_032EA,B05009_032M,B05009_032MA,B05009_033E,B05009_033EA,B05009_033M,B05009_033MA,B05009_034E,B05009_034EA,B05009_034M,B05009_034MA,B05009_035E,B05009_035EA,B05009_035M,B05009_035MA,B05009_036E,B05009_036EA,B05009_036M,B05009_036MA,B05009_037E,B05009_037EA,B05009_037M,B05009_037MA,GEO_ID,NAME,state
1046466,null,5430,null,344530,null,5315,null,215102,null,6733,null,212809,null,6943,null,2293,null,1112,null,191761,null,6243,null,14550,null,2193,null,13148,null,2330,null,1402,null,885,null,8791,null,1867,null,8574,null,1895,null,217,null,189,null,129428,null,6431,null,128973,null,6402,null,455,null,342,null,124368,null,6423,null,5060,null,1456,null,4639,null,1491,null,421,null,328,null,701936,null,7078,null,454866,null,10589,null,446932,null,10228,null,7934,null,1739,null,426142,null,9468,null,16523,null,2477,null,10733,null,2066,null,5790,null,1379,null,12201,null,2405,null,11566,null,2388,null,635,null,375,null,247070,null,10263,null,244597,null,9794,null,2473,null,1343,null,241295,null,9389,null,5775,null,1702,null,3895,null,1151,null,1880,null,1113,null,0400000US01,Alabama,01
169141,null,2066,null,58167,null,1856,null,38505,null,2338,null,38302,null,2371,null,203,null,152,null,33517,null,2494,null,1470,null,808,null,1402,null,788,null,68,null,117,null,3518,null,920,null,3434,null,913,null,84,null,105,null,19662,null,2266,null,19662,null,2266,null,0,null,240,null,18783,null,2225,null,879,null,563,null,879,null,563,null,0,null,240,null,110974,null,2506,null,76939,null,3854,null,74797,null,3708,null,2142,null,1271,null,68124,null,3712,null,4154,null,1406,null,3182,null,1252,null,972,null,518,null,4661,null,1331,null,4265,null,1251,null,396,null,309,null,34035,null,3352,null,33929,null,3344,null,106,null,123,null,31080,null,3082,null,2955,null,1135,null,2905,null,1148,null,50,null,83,null,0400000US02,Alaska,02
1606915,null,7658,null,580626,null,6857,null,369584,null,9124,null,363299,null,9239,null,6285,null,2015,null,239615,null,7761,null,84293,null,6062,null,78784,null,5990,null,5509,null,1976,null,45676,null,5305,null,45433,null,5276,null,243,null,205,null,211042,null,9424,null,207666,null,8965,null,3376,null,1276,null,157817,null,8068,null,53225,null,5826,null,49912,null,5433,null,3313,null,1272,null,1026289,null,7939,null,681387,null,12195,null,630258,null,12311,null,51129,null,4727,null,451333,null,11139,null,161963,null,8309,null,116608,null,7811,null,45355,null,4614,null,68091,null,6251,null,64177,null,5988,null,3914,null,1598,null,344902,null,11656,null,325749,null,10872,null,19153,null,3646,null,262708,null,10403,null,82194,null,8304,null,63754,null,7193,null,18440,null,3613,null,0400000US04,Arizona,04
653695,null,4644,null,221393,null,4062,null,136468,null,5306,null,135278,null,5173,null,1190,null,701,null,117188,null,5113,null,12131,null,2418,null,11630,null,2363,null,501,null,490,null,7149,null,1891,null,7054,null,1922,null,95,null,128,null,84925,null,5237,null,84530,null,5185,null,395,null,439,null,78159,null,4595,null,6766,null,1688,null,6371,null,1532,null,395,null,439,null,432302,null,5515,null,279776,null,8151,null,273686,null,7872,null,6090,null,1396,null,253149,null,7425,null,16676,null,2527,null,11674,null,2419,null,5002,null,1234,null,9951,null,2119,null,9226,null,2078,null,725,null,687,null,152526,null,7706,null,150508,null,7757,null,2018,null,912,null,141809,null,7509,null,10717,null,2382,null,8916,null,2142,null,1801,null,859,null,0400000US05,Arkansas,05
8849842,null,13754,null,3035482,null,14293,null,2084383,null,21961,null,2039540,null,22008,null,44843,null,4161,null,941324,null,18581,null,788738,null,16073,null,749741,null,15356,null,38997,null,4049,null,354321,null,13420,null,351668,null,13320,null,2653,null,1032,null,951099,null,20621,null,930185,null,20768,null,20914,null,2947,null,597969,null,18599,null,353130,null,11658,null,334535,null,11639,null,18595,null,2785,null,5814360,null,16296,null,3958245,null,30997,null,3619611,null,31139,null,338634,null,12533,null,1775253,null,25079,null,1660619,null,27255,null,1347893,null,26738,null,312726,null,12107,null,522373,null,16768,null,502976,null,16146,null,19397,null,2836,null,1856115,null,28215,null,1737652,null,26952,null,118463,null,8281,null,1142063,null,22948,null,714052,null,19358,null,601417,null,19157,null,112635,null,8123,null,0400000US06,California,06
1150539,null,5702,null,409582,null,5619,null,301994,null,7274,null,295302,null,7250,null,6692,null,1314,null,221060,null,7131,null,52154,null,4860,null,47445,null,4599,null,4709,null,1079,null,28780,null,3191,null,28454,null,3153,null,326,null,319,null,107588,null,7425,null,105995,null,7309,null,1593,null,885,null,87967,null,6042,null,19621,null,3523,null,18273,null,3400,null,1348,null,871,null,740957,null,6957,null,538240,null,9980,null,507062,null,8694,null,31178,null,4154,null,419615,null,8468,null,73714,null,6450,null,47129,null,5214,null,26585,null,3797,null,44911,null,4924,null,42259,null,4858,null,2652,null,1058,null,202717,null,8238,null,193541,null,8104,null,9176,null,2240,null,170116,null,7620,null,32601,null,4478,null,24175,null,3679,null,8426,null,2185,null,0400000US08,Colorado,08
777009,null,3502,null,242827,null,3181,null,170976,null,4522,null,168214,null,4553,null,2762,null,871,null,122458,null,4136,null,26169,null,3128,null,24239,null,2949,null,1930,null,752,null,22349,null,2948,null,22184,null,2955,null,165,null,236,null,71851,null,4611,null,70976,null,4675,null,875,null,522,null,59988,null,3947,null,11863,null,2191,null,11186,null,2170,null,677,null,506,null,534182,null,4215,null,376374,null,8037,null,356046,null,7681,null,20328,null,2362,null,291041,null,8526,null,52125,null,4106,null,35744,null,3454,null,16381,null,2240,null,33208,null,3622,null,32074,null,3601,null,1134,null,654,null,157808,null,7923,null,153049,null,7723,null,4759,null,1246,null,137008,null,7221,null,20800,null,3352,null,16714,null,2920,null,4086,null,1216,null,0400000US09,Connecticut,09
195255,null,1979,null,67667,null,1800,null,43546,null,2561,null,43009,null,2493,null,537,null,365,null,32664,null,2494,null,6424,null,1673,null,5991,null,1621,null,433,null,353,null,4458,null,1510,null,4458,null,1510,null,0,null,263,null,24121,null,2451,null,23833,null,2503,null,288,null,335,null,20900,null,2413,null,3221,null,1250,null,2933,null,1242,null,288,null,335,null,127588,null,2002,null,84596,null,3884,null,79864,null,3897,null,4732,null,1262,null,69854,null,3599,null,8619,null,1475,null,5444,null,1457,null,3175,null,998,null,6123,null,2336,null,4922,null,1968,null,1201,null,1104,null,42992,null,3680,null,41606,null,3595,null,1386,null,756,null,38449,null,3621,null,4543,null,1534,null,3172,null,1283,null,1371,null,757,null,0400000US10,Delaware,10
102808,null,2319,null,39484,null,1336,null,19498,null,1553,null,18708,null,1691,null,790,null,514,null,11019,null,1603,null,4600,null,1388,null,4028,null,1427,null,572,null,493,null,3879,null,1474,null,3879,null,1474,null,0,null,296,null,19986,null,1815,null,19841,null,1813,null,145,null,175,null,18669,null,1856,null,1317,null,699,null,1248,null,712,null,69,null,117,null,63324,null,2163,null,24485,null,3028,null,22648,null,2853,null,1837,null,805,null,14849,null,2507,null,5640,null,1806,null,4113,null,1531,null,1527,null,796,null,3996,null,1963,null,3938,null,1952,null,58,null,91,null,38839,null,3456,null,37889,null,3330,null,950,null,726,null,35723,null,3400,null,3116,null,1114,null,2406,null,840,null,710,null,626,null,0400000US11,District of Columbia,11
3765030,null,12270,null,1279414,null,10848,null,812643,null,15841,null,797131,null,16380,null,15512,null,2757,null,507963,null,13100,null,191799,null,10878,null,179717,null,10457,null,12082,null,2476,null,112881,null,7078,null,111381,null,7256,null,1500,null,864,null,466771,null,13233,null,460654,null,13140,null,6117,null,1747,null,370324,null,13226,null,96447,null,7676,null,91352,null,7299,null,5095,null,1613,null,2485616,null,13971,null,1584887,null,21987,null,1463307,null,20559,null,121580,null,7076,null,1052541,null,18816,null,345628,null,12203,null,240770,null,10339,null,104858,null,6749,null,186718,null,10333,null,174660,null,10142,null,12058,null,2279,null,900729,null,16229,null,851364,null,16118,null,49365,null,5588,null,695682,null,14093,null,205047,null,10407,null,157467,null,9182,null,47580,null,5500,null,0400000US12,Florida,12
