B07004G_001E,B07004G_001EA,B07004G_001M,B07004G_001MA,B07004G_002E,B07004G_002EA,B07004G_002M,B07004G_002MA,B07004G_003E,B07004G_003EA,B07004G_003M,B07004G_003MA,B07004G_004E,B07004G_004EA,B07004G_004M,B07004G_004MA,B07004G_005E,B07004G_005EA,B07004G_005M,B07004G_005MA,B07004G_006E,B07004G_006EA,B07004G_006M,B07004G_006MA,GEO_ID,NAME,state
58143,null,5231,null,46412,null,4674,null,7710,null,2699,null,1933,null,783,null,2022,null,865,null,66,null,81,null,0400000US01,Alabama,01
52958,null,4270,null,39381,null,4503,null,9229,null,1993,null,2508,null,857,null,1649,null,1077,null,191,null,176,null,0400000US02,Alaska,02
161741,null,9096,null,120593,null,7978,null,26612,null,3931,null,3650,null,1657,null,9569,null,1991,null,1317,null,657,null,0400000US04,Arizona,04
54084,null,4598,null,41546,null,3840,null,8179,null,2267,null,1470,null,854,null,2701,null,1121,null,188,null,245,null,0400000US05,Arkansas,05
1266220,null,25676,null,1051419,null,23201,null,141631,null,8080,null,46193,null,4750,null,19116,null,2659,null,7861,null,2056,null,0400000US06,California,06
144960,null,8394,null,110687,null,7600,null,18390,null,3245,null,8886,null,2107,null,6235,null,1827,null,762,null,505,null,0400000US08,Colorado,08
71944,null,6344,null,58891,null,6037,null,9078,null,2221,null,1663,null,748,null,1876,null,840,null,436,null,387,null,0400000US09,Connecticut,09
14307,null,2470,null,11994,null,2325,null,1125,null,560,null,338,null,349,null,850,null,422,null,0,null,263,null,0400000US10,Delaware,10
11596,null,3413,null,9464,null,3236,null,681,null,399,null,0,null,296,null,1303,null,562,null,148,null,178,null,0400000US11,District of Columbia,11
328949,null,13866,null,253868,null,13048,null,45383,null,6314,null,13407,null,2730,null,12513,null,2719,null,3778,null,1598,null,0400000US12,Florida,12
129087,null,8647,null,93740,null,7912,null,15199,null,3089,null,10106,null,2531,null,9362,null,2279,null,680,null,533,null,0400000US13,Georgia,13
268295,null,10667,null,226691,null,9180,null,30923,null,5157,null,2802,null,919,null,6472,null,2641,null,1407,null,709,null,0400000US15,Hawaii,15
37354,null,3425,null,28485,null,3125,null,4701,null,1423,null,1647,null,707,null,2452,null,1068,null,69,null,128,null,0400000US16,Idaho,16
213384,null,11094,null,173726,null,9624,null,25382,null,4673,null,8280,null,1925,null,5187,null,1633,null,809,null,422,null,0400000US17,Illinois,17
118496,null,6866,null,87241,null,6024,null,18862,null,3549,null,6044,null,1556,null,5130,null,1810,null,1219,null,771,null,0400000US18,Indiana,18
42845,null,3554,null,30339,null,3414,null,8324,null,1855,null,1861,null,799,null,2080,null,757,null,241,null,236,null,0400000US19,Iowa,19
72173,null,4408,null,53979,null,3734,null,11699,null,2244,null,2754,null,851,null,3698,null,1583,null,43,null,77,null,0400000US20,Kansas,20
