B22005A_001E,B22005A_001EA,B22005A_001M,B22005A_001MA,B22005A_002E,B22005A_002EA,B22005A_002M,B22005A_002MA,B22005A_003E,B22005A_003EA,B22005A_003M,B22005A_003MA,GEO_ID,NAME,state
1312845,null,8415,null,81132,null,4393,null,1231713,null,9617,null,0400000US01,Alabama,01
179499,null,2875,null,8244,null,1169,null,171255,null,3132,null,0400000US02,Alaska,02
1924225,null,11411,null,130910,null,6898,null,1793315,null,11815,null,0400000US04,Arizona,04
899265,null,6781,null,81484,null,4184,null,817781,null,7723,null,0400000US05,Arkansas,05
8307546,null,23840,null,338845,null,10403,null,7968701,null,24302,null,0400000US06,California,06
1656516,null,8854,null,70164,null,4564,null,1586352,null,8961,null,0400000US08,Colorado,08
1105250,null,5968,null,45902,null,3207,null,1059348,null,6498,null,0400000US09,Connecticut,09
247864,null,3046,null,13020,null,1650,null,234844,null,3397,null,0400000US10,Delaware,10
102601,null,2759,null,1435,null,744,null,101166,null,2767,null,0400000US11,District of Columbia,11
5753871,null,22654,null,322643,null,9935,null,5431228,null,24344,null,0400000US12,Florida,12
2260404,null,13291,null,121043,null,6594,null,2139361,null,13750,null,0400000US13,Georgia,13
149510,null,3122,null,6601,null,1315,null,142909,null,3179,null,0400000US15,Hawaii,15
536640,null,4369,null,38194,null,3337,null,498446,null,4973,null,0400000US16,Idaho,16
3654045,null,15383,null,204002,null,7221,null,3450043,null,16129,null,0400000US17,Illinois,17
2173505,null,10038,null,165419,null,6504,null,2008086,null,11382,null,0400000US18,Indiana,18
1147801,null,6477,null,91946,null,4124,null,1055855,null,7193,null,0400000US19,Iowa,19
982043,null,6845,null,58138,null,3371,null,923905,null,7454,null,0400000US20,Kansas,20
1520070,null,9630,null,192614,null,6367,null,1327456,null,10624,null,0400000US21,Kentucky,21
1103235,null,7298,null,111684,null,4876,null,991551,null,8023,null,0400000US22,Louisiana,22
525427,null,4951,null,69479,null,3910,null,455948,null,6316,null,0400000US23,Maine,23
1346505,null,7575,null,44808,null,3541,null,1301697,null,7996,null,0400000US24,Maryland,24
2114532,null,8455,null,127323,null,5519,null,1987209,null,9550,null,0400000US25,Massachusetts,25
3141306,null,11601,null,286367,null,6185,null,2854939,null,12619,null,0400000US26,Michigan,26
1905999,null,7804,null,78795,null,3591,null,1827204,null,8191,null,0400000US27,Minnesota,27
691092,null,6643,null,42392,null,3427,null,648700,null,7213,null,0400000US28,Mississippi,28
2001552,null,7992,null,183324,null,5651,null,1818228,null,8492,null,0400000US29,Missouri,29
349140,null,3475,null,23212,null,2187,null,325928,null,3753,null,0400000US30,Montana,30
643486,null,4203,null,34478,null,2708,null,609008,null,4605,null,0400000US31,Nebraska,31
763851,null,7323,null,33413,null,3264,null,730438,null,7547,null,0400000US32,Nevada,32
483018,null,4439,null,23842,null,2791,null,459176,null,4534,null,0400000US33,New Hampshire,33
2331725,null,10100,null,64680,null,3698,null,2267045,null,10656,null,0400000US34,New Jersey,34
578163,null,6064,null,46646,null,3216,null,531517,null,6652,null,0400000US35,New Mexico,35
5121538,null,16765,null,365714,null,10158,null,4755824,null,20648,null,0400000US36,New York,36
2640873,null,13066,null,160815,null,6781,null,2480058,null,13834,null,0400000US37,North Carolina,37
256721,null,2457,null,15558,null,1894,null,241163,null,3253,null,0400000US38,North Dakota,38
3845814,null,13135,null,297204,null,8469,null,3548610,null,14461,null,0400000US39,Ohio,39
1112636,null,7393,null,97653,null,4630,null,1014983,null,7461,null,0400000US40,Oklahoma,40
1329459,null,7766,null,147441,null,6387,null,1182018,null,9742,null,0400000US41,Oregon,41
4208239,null,12212,null,285474,null,7354,null,3922765,null,12766,null,0400000US42,Pennsylvania,42
345866,null,3978,null,20288,null,2019,null,325578,null,4368,null,0400000US44,Rhode Island,44
1203638,null,9146,null,74795,null,3994,null,1128843,null,9666,null,0400000US45,South Carolina,45
293473,null,2994,null,18438,null,1987,null,275035,null,3625,null,0400000US46,South Dakota,46
1988050,null,10031,null,205250,null,7014,null,1782800,null,10604,null,0400000US47,Tennessee,47
6409951,null,19961,null,505199,null,11283,null,5904752,null,19760,null,0400000US48,Texas,48
796707,null,5599,null,41105,null,3325,null,755602,null,6290,null,0400000US49,Utah,49
243552,null,2522,null,20358,null,1817,null,223194,null,2675,null,0400000US50,Vermont,50
2194516,null,10957,null,104644,null,5471,null,2089872,null,11340,null,0400000US51,Virginia,51
2155622,null,8736,null,162059,null,6599,null,1993563,null,10237,null,0400000US53,Washington,53
714192,null,6409,null,88061,null,4164,null,626131,null,6717,null,0400000US54,West Virginia,54
2053597,null,8121,null,107206,null,4317,null,1946391,null,8797,null,0400000US55,Wisconsin,55
195130,null,3018,null,7590,null,1245,null,187540,null,3061,null,0400000US56,Wyoming,56
895767,null,9913,null,287845,null,6428,null,607922,null,8822,null,0400000US72,Puerto Rico,72
