C25055_001E,C25055_001EA,C25055_001M,C25055_001MA,C25055_002E,C25055_002EA,C25055_002M,C25055_002MA,C25055_003E,C25055_003EA,C25055_003M,C25055_003MA,C25055_004E,C25055_004EA,C25055_004M,C25055_004MA,C25055_005E,C25055_005EA,C25055_005M,C25055_005MA,GEO_ID,NAME,state
461292,null,11376,null,363205,null,10566,null,47350,null,3274,null,23996,null,2268,null,26741,null,2557,null,0400000US01,Alabama,01
74165,null,3737,null,62317,null,3699,null,7309,null,1202,null,2880,null,634,null,1659,null,501,null,0400000US02,Alaska,02
686512,null,12788,null,548141,null,11792,null,67738,null,4228,null,28335,null,2534,null,42298,null,2908,null,0400000US04,Arizona,04
324646,null,7464,null,257056,null,7423,null,31617,null,2589,null,16568,null,1592,null,19405,null,1911,null,0400000US05,Arkansas,05
5060972,null,28990,null,3951549,null,25794,null,545313,null,10566,null,279769,null,6902,null,284341,null,7811,null,0400000US06,California,06
594740,null,9361,null,486992,null,9134,null,54529,null,3920,null,23431,null,2264,null,29788,null,2250,null,0400000US08,Colorado,08
394785,null,7645,null,283845,null,6349,null,44557,null,2868,null,28102,null,2382,null,38281,null,2708,null,0400000US09,Connecticut,09
81497,null,4352,null,62731,null,3882,null,7586,null,1359,null,4495,null,1189,null,6685,null,907,null,0400000US10,Delaware,10
138629,null,4812,null,103842,null,4099,null,16961,null,1852,null,10043,null,1376,null,7783,null,1048,null,0400000US11,District of Columbia,11
2037653,null,21903,null,1565177,null,20981,null,211854,null,7970,null,115179,null,4439,null,145443,null,5684,null,0400000US12,Florida,12
1058909,null,15012,null,864948,null,15094,null,107945,null,5407,null,48282,null,3776,null,37734,null,2648,null,0400000US13,Georgia,13
165076,null,5486,null,122846,null,4597,null,20468,null,2223,null,10109,null,1654,null,11653,null,1445,null,0400000US15,Hawaii,15
154056,null,5804,null,124291,null,5054,null,15128,null,2095,null,6336,null,1465,null,8301,null,1169,null,0400000US16,Idaho,16
1401018,null,15112,null,1058090,null,13944,null,153870,null,6359,null,87422,null,4518,null,101636,null,3761,null,0400000US17,Illinois,17
654763,null,11225,null,506862,null,10510,null,67291,null,3540,null,37292,null,2352,null,43318,null,2411,null,0400000US18,Indiana,18
304228,null,5693,null,229673,null,5489,null,27366,null,1976,null,16087,null,1461,null,31102,null,2148,null,0400000US19,Iowa,19
316841,null,6187,null,247290,null,6385,null,27861,null,2542,null,16293,null,1855,null,25397,null,2075,null,0400000US20,Kansas,20
460774,null,8957,null,357388,null,7864,null,49106,null,3642,null,26802,null,2539,null,27478,null,2006,null,0400000US21,Kentucky,21
