C20005A_001E,C20005A_001EA,C20005A_001M,C20005A_001MA,C20005A_002E,C20005A_002EA,C20005A_002M,C20005A_002MA,C20005A_003E,C20005A_003EA,C20005A_003M,C20005A_003MA,C20005A_004E,C20005A_004EA,C20005A_004M,C20005A_004MA,C20005A_005E,C20005A_005EA,C20005A_005M,C20005A_005MA,C20005A_006E,C20005A_006EA,C20005A_006M,C20005A_006MA,C20005A_007E,C20005A_007EA,C20005A_007M,C20005A_007MA,C20005A_008E,C20005A_008EA,C20005A_008M,C20005A_008MA,C20005A_009E,C20005A_009EA,C20005A_009M,C20005A_009MA,C20005A_010E,C20005A_010EA,C20005A_010M,C20005A_010MA,C20005A_011E,C20005A_011EA,C20005A_011M,C20005A_011MA,C20005A_012E,C20005A_012EA,C20005A_012M,C20005A_012MA,C20005A_013E,C20005A_013EA,C20005A_013M,C20005A_013MA,C20005A_014E,C20005A_014EA,C20005A_014M,C20005A_014MA,C20005A_015E,C20005A_015EA,C20005A_015M,C20005A_015MA,C20005A_016E,C20005A_016EA,C20005A_016M,C20005A_016MA,C20005A_017E,C20005A_017EA,C20005A_017M,C20005A_017MA,C20005A_018E,C20005A_018EA,C20005A_018M,C20005A_018MA,C20005A_019E,C20005A_019EA,C20005A_019M,C20005A_019MA,C20005A_020E,C20005A_020EA,C20005A_020M,C20005A_020MA,C20005A_021E,C20005A_021EA,C20005A_021M,C20005A_021MA,C20005A_022E,C20005A_022EA,C20005A_022M,C20005A_022MA,C20005A_023E,C20005A_023EA,C20005A_023M,C20005A_023MA,C20005A_024E,C20005A_024EA,C20005A_024M,C20005A_024MA,C20005A_025E,C20005A_025EA,C20005A_025M,C20005A_025MA,C20005A_026E,C20005A_026EA,C20005A_026M,C20005A_026MA,C20005A_027E,C20005A_027EA,C20005A_027M,C20005A_027MA,C20005A_028E,C20005A_028EA,C20005A_028M,C20005A_028MA,C20005A_029E,C20005A_029EA,C20005A_029M,C20005A_029MA,C20005A_030E,C20005A_030EA,C20005A_030M,C20005A_030MA,C20005A_031E,C20005A_031EA,C20005A_031M,C20005A_031MA,C20005A_032E,C20005A_032EA,C20005A_032M,C20005A_032MA,C20005A_033E,C20005A_033EA,C20005A_033M,C20005A_033MA,C20005A_034E,C20005A_034EA,C20005A_034M,C20005A_034MA,C20005A_035E,C20005A_035EA,C20005A_035M,C20005A_035MA,C20005A_036E,C20005A_036EA,C20005A_036M,C20005A_036MA,C20005A_037E,C20005A_037EA,C20005A_037M,C20005A_037MA,C20005A_038E,C20005A_038EA,C20005A_038M,C20005A_038MA,C20005A_039E,C20005A_039EA,C20005A_039M,C20005A_039MA,GEO_ID,NAME,state
2638114,null,4664,null,1279568,null,3957,null,684333,null,10227,null,0,null,271,null,684333,null,10227,null,11914,null,1652,null,55898,null,4457,null,107292,null,5789,null,204740,null,6943,null,158934,null,6228,null,145555,null,5482,null,595235,null,10817,null,341953,null,8090,null,253282,null,8298,null,123128,null,5550,null,56760,null,4014,null,26681,null,2662,null,26181,null,2895,null,11098,null,1539,null,9434,null,1357,null,1358546,null,3075,null,452908,null,6709,null,79,null,106,null,452829,null,6710,null,11089,null,1723,null,80562,null,4347,null,101919,null,5116,null,152255,null,5850,null,73005,null,3837,null,33999,null,2880,null,905638,null,6788,null,570822,null,6918,null,334816,null,7281,null,184114,null,5761,null,79047,null,3604,null,29828,null,2683,null,27049,null,2579,null,11139,null,1648,null,3639,null,886,null,0400000US01,Alabama,01
379421,null,2409,null,202076,null,1758,null,104218,null,3488,null,313,null,474,null,103905,null,3480,null,1255,null,546,null,4693,null,1097,null,9835,null,1925,null,27839,null,2683,null,29671,null,2814,null,30612,null,2131,null,97858,null,3328,null,31142,null,2158,null,66716,null,3270,null,19632,null,2226,null,13222,null,2224,null,6906,null,1372,null,9874,null,1624,null,8717,null,1765,null,8365,null,1645,null,177345,null,1376,null,71072,null,3546,null,0,null,240,null,71072,null,3546,null,1498,null,590,null,6038,null,1202,null,11901,null,1713,null,28905,null,2455,null,13873,null,1828,null,8857,null,1363,null,106273,null,3730,null,43101,null,2423,null,63172,null,3530,null,28077,null,2460,null,12603,null,1753,null,8651,null,1637,null,7056,null,1239,null,4689,null,979,null,2096,null,755,null,0400000US02,Alaska,02
4080349,null,17544,null,2022777,null,11254,null,1031243,null,13759,null,0,null,302,null,1031243,null,13759,null,15470,null,2307,null,103812,null,6216,null,165737,null,8149,null,301683,null,9604,null,221129,null,8238,null,223412,null,6322,null,991534,null,13310,null,544912,null,9060,null,446622,null,12460,null,193995,null,7526,null,101559,null,5440,null,52537,null,4552,null,53562,null,5028,null,22355,null,2552,null,22614,null,2314,null,2057572,null,8961,null,703538,null,12458,null,70,null,114,null,703468,null,12455,null,19700,null,2482,null,97674,null,5704,null,141563,null,5959,null,252534,null,8201,null,117254,null,5723,null,74743,null,4683,null,1354034,null,13103,null,830805,null,11698,null,523229,null,11670,null,251038,null,7798,null,129312,null,6057,null,55741,null,3604,null,55076,null,3928,null,22479,null,2809,null,9583,null,1751,null,0400000US04,Arizona,04
1799221,null,4204,null,873448,null,3587,null,435969,null,7607,null,67,null,125,null,435902,null,7605,null,9053,null,1712,null,49892,null,3587,null,81132,null,5349,null,144126,null,6177,null,85314,null,4424,null,66385,null,3757,null,437479,null,6859,null,251385,null,6660,null,186094,null,6100,null,94639,null,4574,null,40427,null,2605,null,20388,null,2633,null,17053,null,1999,null,8296,null,1596,null,5291,null,939,null,925773,null,2870,null,313270,null,5602,null,0,null,269,null,313270,null,5602,null,11478,null,1767,null,67765,null,3614,null,80604,null,4150,null,97133,null,4733,null,39093,null,2373,null,17197,null,1991,null,612503,null,6572,null,375870,null,6609,null,236633,null,7818,null,134812,null,6174,null,53491,null,4095,null,18654,null,2185,null,22105,null,2052,null,6012,null,1262,null,1559,null,591,null,0400000US05,Arkansas,05
18218182,null,47889,null,9066772,null,29238,null,4564787,null,29509,null,268,null,169,null,4564519,null,29482,null,73719,null,4641,null,409001,null,14386,null,577648,null,12227,null,1053522,null,14936,null,951941,null,15608,null,1498688,null,16625,null,4501985,null,33293,null,2289423,null,25177,null,2212562,null,23854,null,847477,null,14352,null,490866,null,14222,null,265274,null,10402,null,266674,null,8626,null,155091,null,6371,null,187180,null,6473,null,9151410,null,25827,null,2901831,null,23609,null,387,null,296,null,2901444,null,23636,null,62318,null,4670,null,345266,null,10973,null,443252,null,11718,null,867772,null,14926,null,601430,null,12133,null,581406,null,12896,null,6249579,null,27155,null,3624286,null,23569,null,2625293,null,22217,null,1155031,null,14758,null,618409,null,13990,null,301772,null,9089,null,287013,null,7710,null,150480,null,5284,null,112588,null,5042,null,0400000US06,California,06
3331918,null,10526,null,1668640,null,6868,null,954207,null,11140,null,0,null,275,null,954207,null,11140,null,15597,null,2178,null,86137,null,5822,null,118163,null,5643,null,260713,null,7729,null,216648,null,7822,null,256949,null,7138,null,714433,null,10850,null,304862,null,7328,null,409571,null,9735,null,174242,null,5538,null,86177,null,4969,null,51658,null,4012,null,48441,null,3952,null,25164,null,2550,null,23889,null,2369,null,1663278,null,5253,null,634381,null,10479,null,44,null,72,null,634337,null,10496,null,18359,null,2391,null,74701,null,3933,null,120157,null,5880,null,218414,null,6856,null,126059,null,4887,null,76647,null,4385,null,1028897,null,10401,null,510511,null,8250,null,518386,null,10319,null,245708,null,7371,null,121350,null,5906,null,58231,null,3365,null,55638,null,3508,null,24089,null,2597,null,13370,null,2135,null,0400000US08,Colorado,08
2279806,null,8282,null,1096419,null,5048,null,602484,null,6877,null,0,null,275,null,602484,null,6877,null,5437,null,1035,null,20319,null,2376,null,50394,null,4058,null,133380,null,5468,null,160510,null,5512,null,232444,null,5194,null,493935,null,8150,null,242231,null,5918,null,251704,null,6873,null,107448,null,4821,null,51065,null,3851,null,26451,null,2770,null,31383,null,2401,null,17817,null,2269,null,17540,null,1906,null,1183387,null,4452,null,411314,null,6954,null,229,null,287,null,411085,null,6987,null,4518,null,806,null,24537,null,2713,null,57191,null,4190,null,139415,null,4841,null,98705,null,4245,null,86719,null,3006,null,772073,null,7964,null,407086,null,6957,null,364987,null,6640,null,152568,null,4198,null,85113,null,4455,null,44162,null,2755,null,43720,null,2450,null,25948,null,2487,null,13476,null,1362,null,0400000US09,Connecticut,09
515393,null,2655,null,247700,null,1747,null,131539,null,3154,null,0,null,263,null,131539,null,3154,null,1031,null,495,null,8092,null,1230,null,16047,null,2283,null,41209,null,2602,null,31920,null,2646,null,33240,null,2340,null,116161,null,3414,null,60791,null,2887,null,55370,null,2828,null,26614,null,2168,null,11012,null,1780,null,6326,null,1251,null,5628,null,1196,null,3899,null,962,null,1891,null,676,null,267693,null,1508,null,101532,null,3958,null,54,null,86,null,101478,null,3932,null,1748,null,755,null,10709,null,1551,null,18695,null,2166,null,35648,null,2787,null,22173,null,2169,null,12505,null,1617,null,166161,null,4175,null,96933,null,3430,null,69228,null,3525,null,36324,null,2894,null,13928,null,1757,null,7970,null,1185,null,5745,null,974,null,3841,null,877,null,1420,null,530,null,0400000US10,Delaware,10
196337,null,2788,null,97960,null,1659,null,60022,null,2563,null,0,null,296,null,60022,null,2563,null,311,null,367,null,1889,null,646,null,2728,null,1025,null,9853,null,1738,null,11192,null,1495,null,34049,null,2262,null,37938,null,2635,null,13330,null,1861,null,24608,null,2802,null,9625,null,1500,null,2885,null,973,null,2458,null,907,null,2769,null,915,null,2830,null,836,null,4041,null,1024,null,98377,null,1612,null,48960,null,2297,null,0,null,296,null,48960,null,2297,null,733,null,493,null,1876,null,852,null,1553,null,554,null,10249,null,1403,null,13259,null,1700,null,21290,null,1508,null,49417,null,2406,null,20637,null,1891,null,28780,null,1906,null,12038,null,1633,null,5439,null,1125,null,2680,null,766,null,4404,null,1131,null,1931,null,717,null,2288,null,624,null,0400000US11,District of Columbia,11
11758727,null,20115,null,5732604,null,15121,null,2741807,null,21188,null,275,null,290,null,2741532,null,21210,null,49370,null,4826,null,269498,null,9969,null,456783,null,14669,null,810425,null,14841,null,563429,null,10993,null,592027,null,12554,null,2990797,null,22913,null,1768124,null,13278,null,1222673,null,21582,null,521208,null,12967,null,299393,null,12018,null,145334,null,6534,null,132269,null,7259,null,59571,null,4179,null,64898,null,3863,null,6026123,null,10892,null,2035526,null,18995,null,135,null,158,null,2035391,null,19008,null,48588,null,3656,null,306998,null,11432,null,454789,null,11718,null,692992,null,14649,null,335320,null,10129,null,196704,null,7743,null,3990597,null,20496,null,2593654,null,17524,null,1396943,null,16109,null,649614,null,11957,null,359603,null,10184,null,165652,null,6467,null,147513,null,5842,null,53216,null,3573,null,21345,null,2240,null,0400000US12,Florida,12
