C17002_001E,C17002_001EA,C17002_001M,C17002_001MA,C17002_002E,C17002_002EA,C17002_002M,C17002_002MA,C17002_003E,C17002_003EA,C17002_003M,C17002_003MA,C17002_004E,C17002_004EA,C17002_004M,C17002_004MA,C17002_005E,C17002_005EA,C17002_005M,C17002_005MA,C17002_006E,C17002_006EA,C17002_006M,C17002_006MA,C17002_007E,C17002_007EA,C17002_007M,C17002_007MA,C17002_008E,C17002_008EA,C17002_008M,C17002_008MA,GEO_ID,NAME,state
4541756,null,2634,null,290311,null,16266,null,422524,null,18252,null,241763,null,13168,null,239828,null,13555,null,317202,null,15191,null,118984,null,9384,null,2911144,null,28550,null,0400000US01,Alabama,01
669783,null,1041,null,24077,null,3168,null,32319,null,4298,null,23186,null,3728,null,21714,null,3539,null,34409,null,4404,null,17634,null,3548,null,516444,null,7814,null,0400000US02,Alaska,02
6379266,null,4360,null,422935,null,20024,null,515989,null,21940,null,306422,null,18483,null,316095,null,21807,null,432427,null,21135,null,169519,null,12490,null,4215879,null,30397,null,0400000US04,Arizona,04
2774152,null,2142,null,190965,null,11053,null,289586,null,15084,null,173948,null,11072,null,173929,null,10822,null,232644,null,13512,null,91657,null,9216,null,1621423,null,22483,null,0400000US05,Arkansas,05
35984461,null,8122,null,1941542,null,46636,null,2836576,null,57704,null,1730499,null,45124,null,1733417,null,47368,null,2309234,null,46494,null,927628,null,34086,null,24505565,null,89483,null,0400000US06,California,06
4835406,null,2605,null,229675,null,14311,null,323214,null,17581,null,193161,null,13022,null,208272,null,13745,null,277016,null,14258,null,102445,null,9298,null,3501623,null,30072,null,0400000US08,Colorado,08
3390665,null,2405,null,138900,null,9662,null,175906,null,11665,null,89898,null,7286,null,93587,null,7680,null,145066,null,10739,null,58341,null,6411,null,2688967,null,23114,null,0400000US09,Connecticut,09
850832,null,828,null,37079,null,4867,null,48015,null,6528,null,30230,null,5446,null,29076,null,4797,null,47444,null,6643,null,22940,null,4982,null,636048,null,11005,null,0400000US10,Delaware,10
561874,null,839,null,54901,null,6135,null,41868,null,6060,null,18975,null,3869,null,19774,null,5069,null,28663,null,5270,null,10690,null,3870,null,387003,null,8894,null,0400000US11,District of Columbia,11
17923483,null,5659,null,994321,null,30164,null,1376487,null,34735,null,836795,null,28865,null,901296,null,28001,null,1216392,null,36811,null,497434,null,20215,null,12100758,null,52897,null,0400000US12,Florida,12
9418066,null,4470,null,588479,null,26578,null,792363,null,26375,null,446735,null,23229,null,457115,null,20633,null,628730,null,22456,null,267469,null,16595,null,6237175,null,48465,null,0400000US13,Georgia,13
1260602,null,1337,null,55739,null,6084,null,59392,null,6493,null,36615,null,6180,null,43526,null,6491,null,60770,null,8087,null,24631,null,4914,null,979929,null,15127,null,0400000US15,Hawaii,15
1489034,null,1709,null,74813,null,6450,null,112992,null,10022,null,78319,null,7712,null,79106,null,8380,null,131224,null,10709,null,49040,null,5953,null,963540,null,13780,null,0400000US16,Idaho,16
