C21001I_001E,C21001I_001EA,C21001I_001M,C21001I_001MA,C21001I_002E,C21001I_002EA,C21001I_002M,C21001I_002MA,C21001I_003E,C21001I_003EA,C21001I_003M,C21001I_003MA,C21001I_004E,C21001I_004EA,C21001I_004M,C21001I_004MA,C21001I_005E,C21001I_005EA,C21001I_005M,C21001I_005MA,C21001I_006E,C21001I_006EA,C21001I_006M,C21001I_006MA,C21001I_007E,C21001I_007EA,C21001I_007M,C21001I_007MA,C21001I_008E,C21001I_008EA,C21001I_008M,C21001I_008MA,C21001I_009E,C21001I_009EA,C21001I_009M,C21001I_009MA,C21001I_010E,C21001I_010EA,C21001I_010M,C21001I_010MA,C21001I_011E,C21001I_011EA,C21001I_011M,C21001I_011MA,C21001I_012E,C21001I_012EA,C21001I_012M,C21001I_012MA,C21001I_013E,C21001I_013EA,C21001I_013M,C21001I_013MA,C21001I_014E,C21001I_014EA,C21001I_014M,C21001I_014MA,C21001I_015E,C21001I_015EA,C21001I_015M,C21001I_015MA,GEO_ID,NAME,state
77780,null,1997,null,44922,null,2302,null,43169,null,2305,null,2484,null,670,null,40685,null,2345,null,1753,null,593,null,1059,null,542,null,694,null,394,null,32858,null,1337,null,30504,null,1520,null,842,null,404,null,29662,null,1527,null,2354,null,721,null,69,null,109,null,2285,null,739,null,0400000US01,Alabama,01
23889,null,1823,null,12564,null,1815,null,11931,null,1753,null,1281,null,665,null,10650,null,1768,null,633,null,311,null,133,null,184,null,500,null,265,null,11325,null,577,null,10563,null,656,null,351,null,241,null,10212,null,705,null,762,null,399,null,64,null,110,null,698,null,367,null,0400000US02,Alaska,02
1220727,null,1842,null,635874,null,1563,null,593504,null,1609,null,37915,null,3355,null,555589,null,3713,null,42370,null,687,null,16088,null,1689,null,26282,null,1808,null,584853,null,855,null,531271,null,907,null,3669,null,982,null,527602,null,1229,null,53582,null,748,null,56,null,75,null,53526,null,745,null,0400000US04,Arizona,04
92012,null,1573,null,51372,null,1414,null,50124,null,1354,null,1906,null,639,null,48218,null,1574,null,1248,null,470,null,92,null,85,null,1156,null,478,null,40640,null,1086,null,39037,null,1151,null,458,null,358,null,38579,null,1155,null,1603,null,660,null,0,null,269,null,1603,null,660,null,0400000US05,Arkansas,05
8772844,null,3106,null,4504160,null,3159,null,4199590,null,3060,null,178279,null,7405,null,4021311,null,8091,null,304570,null,1161,null,77210,null,3381,null,227360,null,3377,null,4268684,null,1357,null,3860439,null,1528,null,14611,null,2221,null,3845828,null,2788,null,408245,null,941,null,2030,null,612,null,406215,null,1046,null,0400000US06,California,06
639888,null,1026,null,339677,null,1486,null,317016,null,1692,null,29100,null,2801,null,287916,null,3071,null,22661,null,921,null,10358,null,1123,null,12303,null,1243,null,300211,null,1144,null,272456,null,1093,null,2766,null,826,null,269690,null,1182,null,27755,null,773,null,154,null,154,null,27601,null,791,null,0400000US08,Colorado,08
278468,null,303,null,139292,null,588,null,130865,null,546,null,5619,null,1250,null,125246,null,1343,null,8427,null,423,null,1313,null,503,null,7114,null,639,null,139176,null,475,null,127596,null,514,null,1244,null,594,null,126352,null,850,null,11580,null,451,null,93,null,108,null,11487,null,492,null,0400000US09,Connecticut,09
35395,null,302,null,19013,null,416,null,18258,null,565,null,1001,null,457,null,17257,null,675,null,755,null,394,null,159,null,151,null,596,null,374,null,16382,null,247,null,15405,null,546,null,0,null,263,null,15405,null,546,null,977,null,507,null,13,null,23,null,964,null,507,null,0400000US10,Delaware,10
37671,null,599,null,19458,null,590,null,18413,null,589,null,359,null,330,null,18054,null,677,null,1045,null,0,*****,53,null,58,null,992,null,58,null,18213,null,101,null,16395,null,101,null,334,null,280,null,16061,null,293,null,1818,null,0,*****,116,null,208,null,1702,null,208,null,0400000US11,District of Columbia,11
2826767,null,5526,null,1420140,null,7251,null,1246810,null,7190,null,65705,null,4167,null,1181105,null,8376,null,173330,null,1225,null,20794,null,2009,null,152536,null,2023,null,1406627,null,3234,null,1169115,null,3164,null,7770,null,1482,null,1161345,null,2944,null,237512,null,1223,null,824,null,390,null,236688,null,1240,null,0400000US12,Florida,12
