B16005I_001E,B16005I_001EA,B16005I_001M,B16005I_001MA,B16005I_002E,B16005I_002EA,B16005I_002M,B16005I_002MA,B16005I_003E,B16005I_003EA,B16005I_003M,B16005I_003MA,B16005I_004E,B16005I_004EA,B16005I_004M,B16005I_004MA,B16005I_005E,B16005I_005EA,B16005I_005M,B16005I_005MA,B16005I_006E,B16005I_006EA,B16005I_006M,B16005I_006MA,B16005I_007E,B16005I_007EA,B16005I_007M,B16005I_007MA,B16005I_008E,B16005I_008EA,B16005I_008M,B16005I_008MA,B16005I_009E,B16005I_009EA,B16005I_009M,B16005I_009MA,B16005I_010E,B16005I_010EA,B16005I_010M,B16005I_010MA,B16005I_011E,B16005I_011EA,B16005I_011M,B16005I_011MA,GEO_ID,NAME,state
109233,null,2227,null,49346,null,3388,null,25760,null,3436,null,23586,null,2538,null,16154,null,2209,null,7432,null,1572,null,59887,null,3597,null,5669,null,1834,null,54218,null,3640,null,12398,null,1824,null,41820,null,3458,null,0400000US01,Alabama,01
36815,null,1708,null,29728,null,1724,null,19676,null,2095,null,10052,null,1781,null,9033,null,1625,null,1019,null,534,null,7087,null,1690,null,762,null,476,null,6325,null,1665,null,3232,null,1028,null,3093,null,1226,null,0400000US02,Alaska,02
1720773,null,1561,null,1074005,null,15330,null,486420,null,15082,null,587585,null,14383,null,469779,null,12479,null,117806,null,7391,null,646768,null,15205,null,21292,null,3545,null,625476,null,15291,null,168334,null,8466,null,457142,null,15249,null,0400000US04,Arizona,04
133031,null,1892,null,62332,null,3371,null,27826,null,3124,null,34506,null,2827,null,25441,null,2784,null,9065,null,1909,null,70699,null,3370,null,3203,null,1092,null,67496,null,3596,null,16383,null,2618,null,51113,null,3290,null,0400000US05,Arkansas,05
12024296,null,879,null,6761788,null,39440,null,2677105,null,38818,null,4084683,null,36783,null,3373231,null,35490,null,711452,null,16824,null,5262508,null,39412,null,151307,null,8232,null,5111201,null,41146,null,1278639,null,21726,null,3832562,null,37138,null,0400000US06,California,06
878705,null,753,null,601342,null,10870,null,378860,null,12598,null,222482,null,7752,null,169824,null,6583,null,52658,null,4719,null,277363,null,10912,null,10109,null,1831,null,267254,null,10826,null,76863,null,6593,null,190391,null,9058,null,0400000US08,Colorado,08
375300,null,986,null,260629,null,7088,null,79649,null,5487,null,180980,null,7043,null,126783,null,6565,null,54197,null,3761,null,114671,null,6967,null,7976,null,1369,null,106695,null,6635,null,37427,null,3380,null,69268,null,5520,null,0400000US09,Connecticut,09
49392,null,452,null,27683,null,2613,null,12294,null,2016,null,15389,null,2467,null,10090,null,1581,null,5299,null,1692,null,21709,null,2547,null,2590,null,1295,null,19119,null,2729,null,5559,null,1449,null,13560,null,2357,null,0400000US10,Delaware,10
45937,null,0,*****,17411,null,1943,null,8986,null,1794,null,8425,null,1481,null,6949,null,1478,null,1476,null,768,null,28526,null,1943,null,8549,null,2437,null,19977,null,2355,null,7773,null,1441,null,12204,null,2003,null,0400000US11,District of Columbia,11
3508577,null,2345,null,1606238,null,24410,null,424296,null,14619,null,1181942,null,21633,null,927462,null,20077,null,254480,null,10326,null,1902339,null,24230,null,70906,null,4759,null,1831433,null,23461,null,617433,null,15879,null,1214000,null,22793,null,0400000US12,Florida,12
655479,null,3443,null,261669,null,8608,null,92970,null,6351,null,168699,null,6969,null,128019,null,7157,null,40680,null,4217,null,393810,null,8282,null,14951,null,2383,null,378859,null,8303,null,99534,null,7039,null,279325,null,8434,null,0400000US13,Georgia,13
96855,null,0,*****,82081,null,2816,null,66938,null,4051,null,15143,null,2939,null,10962,null,1878,null,4181,null,1993,null,14774,null,2817,null,2015,null,767,null,12759,null,2727,null,5494,null,1463,null,7265,null,1911,null,0400000US15,Hawaii,15
135432,null,686,null,85854,null,3645,null,44769,null,4352,null,41085,null,2946,null,33584,null,2903,null,7501,null,1547,null,49578,null,3571,null,4751,null,1763,null,44827,null,3488,null,11160,null,2556,null,33667,null,2990,null,0400000US16,Idaho,16
1743055,null,1963,null,926242,null,15028,null,297848,null,13259,null,628394,null,13382,null,492990,null,13824,null,135404,null,6560,null,816813,null,15256,null,25317,null,3494,null,791496,null,14945,null,209393,null,8406,null,582103,null,15320,null,0400000US17,Illinois,17
282332,null,1746,null,162668,null,5275,null,85778,null,5213,null,76890,null,4645,null,58642,null,4146,null,18248,null,2065,null,119664,null,5351,null,6443,null,1342,null,113221,null,5405,null,29878,null,3243,null,83343,null,5048,null,0400000US18,Indiana,18
106381,null,1718,null,61923,null,3288,null,32325,null,3427,null,29598,null,2462,null,22401,null,2348,null,7197,null,1336,null,44458,null,2986,null,2142,null,740,null,42316,null,3126,null,12050,null,1865,null,30266,null,2712,null,0400000US19,Iowa,19
221391,null,1094,null,132354,null,4510,null,69977,null,5513,null,62377,null,4194,null,52498,null,4385,null,9879,null,1713,null,89037,null,4220,null,2849,null,843,null,86188,null,4297,null,22346,null,2266,null,63842,null,3605,null,0400000US20,Kansas,20
84394,null,1924,null,43264,null,2729,null,26480,null,2461,null,16784,null,2343,null,11988,null,1897,null,4796,null,1241,null,41130,null,2692,null,2668,null,765,null,38462,null,2844,null,11163,null,2037,null,27299,null,2284,null,0400000US21,Kentucky,21
134506,null,2342,null,80158,null,4617,null,45609,null,3417,null,34549,null,3573,null,24527,null,2772,null,10022,null,2452,null,54348,null,4000,null,4232,null,1174,null,50116,null,3980,null,17544,null,2402,null,32572,null,3633,null,0400000US22,Louisiana,22
12010,null,796,null,10262,null,902,null,6755,null,1199,null,3507,null,1089,null,2439,null,951,null,1068,null,548,null,1748,null,667,null,738,null,483,null,1010,null,477,null,629,null,380,null,381,null,271,null,0400000US23,Maine,23
