B11002G_001E,B11002G_001EA,B11002G_001M,B11002G_001MA,B11002G_002E,B11002G_002EA,B11002G_002M,B11002G_002MA,B11002G_003E,B11002G_003EA,B11002G_003M,B11002G_003MA,B11002G_004E,B11002G_004EA,B11002G_004M,B11002G_004MA,B11002G_005E,B11002G_005EA,B11002G_005M,B11002G_005MA,B11002G_006E,B11002G_006EA,B11002G_006M,B11002G_006MA,B11002G_007E,B11002G_007EA,B11002G_007M,B11002G_007MA,B11002G_008E,B11002G_008EA,B11002G_008M,B11002G_008MA,B11002G_009E,B11002G_009EA,B11002G_009M,B11002G_009MA,B11002G_010E,B11002G_010EA,B11002G_010M,B11002G_010MA,B11002G_011E,B11002G_011EA,B11002G_011M,B11002G_011MA,B11002G_012E,B11002G_012EA,B11002G_012M,B11002G_012MA,GEO_ID,NAME,state
50785,null,6311,null,43877,null,6037,null,32989,null,5438,null,32511,null,5305,null,478,null,418,null,2100,null,1175,null,1861,null,960,null,239,null,313,null,8788,null,2788,null,8162,null,2471,null,626,null,739,null,6908,null,1697,null,0400000US01,Alabama,01
36103,null,5543,null,30938,null,5354,null,16584,null,4108,null,16392,null,4076,null,192,null,296,null,6667,null,2823,null,5058,null,2162,null,1609,null,994,null,7687,null,2315,null,6957,null,1962,null,730,null,526,null,5165,null,1407,null,0400000US02,Alaska,02
99823,null,9039,null,81358,null,7880,null,47713,null,5972,null,46909,null,5920,null,804,null,607,null,9065,null,3467,null,7829,null,2979,null,1236,null,660,null,24580,null,5851,null,22268,null,5198,null,2312,null,1373,null,18465,null,3545,null,0400000US04,Arizona,04
44333,null,5203,null,37435,null,5088,null,24840,null,4162,null,24762,null,4168,null,78,null,95,null,1517,null,891,null,1154,null,705,null,363,null,373,null,11078,null,3350,null,10469,null,3096,null,609,null,480,null,6898,null,1564,null,0400000US05,Arkansas,05
794797,null,25385,null,662555,null,24191,null,442981,null,20073,null,435233,null,19518,null,7748,null,2223,null,54820,null,7950,null,48734,null,7282,null,6086,null,1699,null,164754,null,13705,null,154064,null,12882,null,10690,null,2038,null,132242,null,8363,null,0400000US06,California,06
99782,null,9596,null,81906,null,9222,null,58975,null,8216,null,58642,null,8311,null,333,null,379,null,6326,null,2506,null,5162,null,1829,null,1164,null,854,null,16605,null,4260,null,14973,null,3755,null,1632,null,835,null,17876,null,2710,null,0400000US08,Colorado,08
46888,null,6193,null,39457,null,5813,null,20547,null,3858,null,20448,null,3848,null,99,null,118,null,2982,null,1656,null,2642,null,1504,null,340,null,300,null,15928,null,3520,null,14879,null,3284,null,1049,null,586,null,7431,null,1871,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
226780,null,13318,null,190037,null,13027,null,120652,null,11138,null,119916,null,11065,null,736,null,567,null,15875,null,3702,null,14073,null,3403,null,1802,null,662,null,53510,null,6939,null,50447,null,6676,null,3063,null,871,null,36743,null,4745,null,0400000US12,Florida,12
89690,null,8711,null,72186,null,8192,null,50632,null,6429,null,50059,null,6509,null,573,null,484,null,3562,null,1702,null,3007,null,1416,null,555,null,370,null,17992,null,4059,null,16296,null,3536,null,1696,null,1119,null,17504,null,3382,null,0400000US13,Georgia,13
202497,null,11677,null,181127,null,11200,null,120231,null,9842,null,118691,null,9648,null,1540,null,683,null,17194,null,4204,null,16214,null,4004,null,980,null,571,null,43702,null,7011,null,38619,null,6127,null,5083,null,1954,null,21370,null,4358,null,0400000US15,Hawaii,15
29358,null,5166,null,26223,null,5017,null,19346,null,4021,null,19346,null,4021,null,0,null,259,null,1198,null,1078,null,944,null,848,null,254,null,264,null,5679,null,2591,null,5000,null,2062,null,679,null,714,null,3135,null,1042,null,0400000US16,Idaho,16
