B10061_001E,B10061_001EA,B10061_001M,B10061_001MA,B10061_002E,B10061_002EA,B10061_002M,B10061_002MA,B10061_003E,B10061_003EA,B10061_003M,B10061_003MA,B10061_004E,B10061_004EA,B10061_004M,B10061_004MA,B10061_005E,B10061_005EA,B10061_005M,B10061_005MA,B10061_006E,B10061_006EA,B10061_006M,B10061_006MA,B10061_007E,B10061_007EA,B10061_007M,B10061_007MA,B10061_008E,B10061_008EA,B10061_008M,B10061_008MA,B10061_009E,B10061_009EA,B10061_009M,B10061_009MA,B10061_010E,B10061_010EA,B10061_010M,B10061_010MA,B10061_011E,B10061_011EA,B10061_011M,B10061_011MA,GEO_ID,NAME,state
105283,null,5919,null,83198,null,5257,null,47463,null,3639,null,29895,null,2833,null,17568,null,2606,null,35735,null,3351,null,22085,null,2964,null,12623,null,2095,null,9756,null,1921,null,2867,null,1056,null,9462,null,1836,null,0400000US01,Alabama,01
12579,null,1833,null,10365,null,1840,null,4947,null,1065,null,2978,null,855,null,1969,null,643,null,5418,null,1264,null,2214,null,840,null,1165,null,479,null,773,null,344,null,392,null,390,null,1049,null,648,null,0400000US02,Alaska,02
148138,null,8069,null,108471,null,6978,null,43906,null,4360,null,29818,null,3382,null,14088,null,2076,null,64565,null,5370,null,39667,null,4945,null,14621,null,2395,null,11534,null,2038,null,3087,null,1107,null,25046,null,4386,null,0400000US04,Arizona,04
68947,null,4485,null,50963,null,3977,null,30047,null,3085,null,20555,null,2549,null,9492,null,1680,null,20916,null,2659,null,17984,null,2832,null,10589,null,2035,null,8453,null,1803,null,2136,null,898,null,7395,null,1869,null,0400000US05,Arkansas,05
1004456,null,21114,null,683537,null,16618,null,194951,null,8762,null,108710,null,6114,null,86241,null,5569,null,488586,null,13299,null,320919,null,13803,null,99657,null,6342,null,71215,null,5432,null,28442,null,3067,null,221262,null,10048,null,0400000US06,California,06
91225,null,6898,null,70196,null,5408,null,28749,null,3369,null,18077,null,2465,null,10672,null,2036,null,41447,null,4288,null,21029,null,2888,null,11240,null,2114,null,8833,null,1877,null,2407,null,932,null,9789,null,2088,null,0400000US08,Colorado,08
57675,null,4047,null,43765,null,3864,null,12512,null,1846,null,7779,null,1641,null,4733,null,885,null,31253,null,3369,null,13910,null,2187,null,7030,null,1568,null,5243,null,1319,null,1787,null,672,null,6880,null,1500,null,0400000US09,Connecticut,09
20830,null,2781,null,17484,null,2726,null,6105,null,1604,null,4081,null,1423,null,2024,null,712,null,11379,null,2132,null,3346,null,1069,null,2071,null,797,null,1768,null,774,null,303,null,254,null,1275,null,764,null,0400000US10,Delaware,10
11011,null,1840,null,5928,null,1512,null,2529,null,758,null,1142,null,615,null,1387,null,407,null,3399,null,1157,null,5083,null,1347,null,2042,null,809,null,1237,null,580,null,805,null,574,null,3041,null,1132,null,0400000US11,District of Columbia,11
393605,null,14019,null,295125,null,11272,null,113890,null,6300,null,68727,null,4910,null,45163,null,4556,null,181235,null,9084,null,98480,null,7218,null,35429,null,4012,null,26960,null,3429,null,8469,null,1741,null,63051,null,5789,null,0400000US12,Florida,12
241808,null,10250,null,174650,null,8593,null,77982,null,5548,null,48127,null,4196,null,29855,null,2987,null,96668,null,5953,null,67158,null,5490,null,33626,null,3252,null,26078,null,2944,null,7548,null,1700,null,33532,null,4152,null,0400000US13,Georgia,13
50124,null,4087,null,35300,null,3016,null,8364,null,1811,null,4099,null,1221,null,4265,null,1207,null,26936,null,2270,null,14824,null,3024,null,3296,null,1131,null,2394,null,1007,null,902,null,471,null,11528,null,2602,null,0400000US15,Hawaii,15
25046,null,3355,null,19429,null,2594,null,10279,null,2146,null,5954,null,1484,null,4325,null,1143,null,9150,null,1467,null,5617,null,1657,null,3308,null,1377,null,2333,null,1015,null,975,null,635,null,2309,null,870,null,0400000US16,Idaho,16
257032,null,9589,null,192609,null,7481,null,66472,null,4848,null,42425,null,3899,null,24047,null,2705,null,126137,null,7415,null,64423,null,5257,null,27173,null,3088,null,20942,null,2648,null,6231,null,1354,null,37250,null,4300,null,0400000US17,Illinois,17
112481,null,7498,null,86733,null,6140,null,45223,null,4065,null,29843,null,3058,null,15380,null,2206,null,41510,null,4211,null,25748,null,3608,null,14022,null,2493,null,11434,null,2231,null,2588,null,962,null,11726,null,2786,null,0400000US18,Indiana,18
33370,null,2867,null,27200,null,2397,null,13008,null,1650,null,8943,null,1321,null,4065,null,930,null,14192,null,1906,null,6170,null,1425,null,3844,null,1263,null,3322,null,1123,null,522,null,403,null,2326,null,685,null,0400000US19,Iowa,19
40928,null,3424,null,32425,null,2924,null,15584,null,2047,null,10239,null,1691,null,5345,null,1077,null,16841,null,1977,null,8503,null,1666,null,4411,null,1089,null,3111,null,938,null,1300,null,536,null,4092,null,1358,null,0400000US20,Kansas,20
86497,null,5606,null,67542,null,4937,null,39303,null,3811,null,26836,null,3425,null,12467,null,1709,null,28239,null,2837,null,18955,null,2603,null,10187,null,1965,null,8455,null,1764,null,1732,null,664,null,8768,null,1837,null,0400000US21,Kentucky,21
122542,null,6656,null,93056,null,6114,null,52008,null,4477,null,34390,null,3738,null,17618,null,2261,null,41048,null,3821,null,29486,null,3519,null,17511,null,2576,null,13888,null,2279,null,3623,null,1359,null,11975,null,2877,null,0400000US22,Louisiana,22
19356,null,2582,null,16553,null,2536,null,6572,null,1770,null,4841,null,1519,null,1731,null,701,null,9981,null,1691,null,2803,null,838,null,1420,null,517,null,1078,null,429,null,342,null,278,null,1383,null,665,null,0400000US23,Maine,23
120196,null,6615,null,93181,null,6395,null,34244,null,3649,null,21159,null,2700,null,13085,null,2208,null,58937,null,4959,null,27015,null,2980,null,12985,null,2396,null,9952,null,2277,null,3033,null,961,null,14030,null,1977,null,0400000US24,Maryland,24
109247,null,6079,null,83532,null,5276,null,21817,null,2402,null,12451,null,1808,null,9366,null,1721,null,61715,null,4559,null,25715,null,3338,null,9378,null,1973,null,7266,null,1953,null,2112,null,882,null,16337,null,2532,null,0400000US25,Massachusetts,25
175812,null,7335,null,138183,null,6562,null,58731,null,4366,null,38573,null,3856,null,20158,null,2027,null,79452,null,4812,null,37629,null,3693,null,16007,null,2318,null,12621,null,2210,null,3386,null,884,null,21622,null,2700,null,0400000US26,Michigan,26
58874,null,4340,null,46765,null,3655,null,16162,null,2099,null,11482,null,1980,null,4680,null,940,null,30603,null,3072,null,12109,null,1930,null,5363,null,1340,null,4576,null,1284,null,787,null,336,null,6746,null,1517,null,0400000US27,Minnesota,27
85686,null,5468,null,67110,null,4652,null,40450,null,3293,null,26961,null,2673,null,13489,null,2095,null,26660,null,3024,null,18576,null,2740,null,10956,null,2038,null,8939,null,1867,null,2017,null,827,null,7620,null,1684,null,0400000US28,Mississippi,28
103025,null,5801,null,78147,null,4988,null,39439,null,3208,null,25939,null,2746,null,13500,null,1703,null,38708,null,3421,null,24878,null,3064,null,11372,null,2135,null,8283,null,1688,null,3089,null,1038,null,13506,null,2475,null,0400000US29,Missouri,29
14050,null,2450,null,11050,null,2125,null,5220,null,1467,null,3163,null,1208,null,2057,null,698,null,5830,null,1505,null,3000,null,1104,null,1889,null,933,null,1151,null,693,null,738,null,460,null,1111,null,551,null,0400000US30,Montana,30
20040,null,2329,null,14916,null,2069,null,6337,null,1340,null,4313,null,1111,null,2024,null,632,null,8579,null,1640,null,5124,null,1238,null,2361,null,817,null,2029,null,745,null,332,null,243,null,2763,null,958,null,0400000US31,Nebraska,31
56514,null,5479,null,39402,null,4975,null,14745,null,2617,null,9005,null,1983,null,5740,null,1282,null,24657,null,3548,null,17112,null,2589,null,7810,null,2034,null,6420,null,1841,null,1390,null,800,null,9302,null,1819,null,0400000US32,Nevada,32
18132,null,2565,null,15448,null,2449,null,3422,null,976,null,2186,null,811,null,1236,null,523,null,12026,null,2060,null,2684,null,1083,null,1411,null,805,null,1332,null,767,null,79,null,145,null,1273,null,695,null,0400000US33,New Hampshire,33
182879,null,7615,null,134842,null,6768,null,32254,null,3264,null,16694,null,2521,null,15560,null,2109,null,102588,null,6018,null,48037,null,4553,null,18322,null,2249,null,13269,null,2002,null,5053,null,1364,null,29715,null,3955,null,0400000US34,New Jersey,34
45672,null,3574,null,35855,null,3185,null,19237,null,2575,null,13393,null,2513,null,5844,null,1177,null,16618,null,1842,null,9817,null,1780,null,4706,null,1228,null,2681,null,923,null,2025,null,794,null,5111,null,1099,null,0400000US35,New Mexico,35
400838,null,12461,null,247665,null,8460,null,66853,null,5486,null,37816,null,3796,null,29037,null,3342,null,180812,null,7315,null,153173,null,9177,null,61839,null,5716,null,40894,null,4083,null,20945,null,2859,null,91334,null,6437,null,0400000US36,New York,36
187528,null,9122,null,139693,null,8439,null,72013,null,6253,null,47663,null,5184,null,24350,null,2766,null,67680,null,4839,null,47835,null,4494,null,25771,null,3320,null,20848,null,2939,null,4923,null,1019,null,22064,null,3087,null,0400000US37,North Carolina,37
5004,null,1117,null,3793,null,966,null,1862,null,625,null,1488,null,618,null,374,null,187,null,1931,null,812,null,1211,null,595,null,900,null,534,null,737,null,473,null,163,null,192,null,311,null,192,null,0400000US38,North Dakota,38
205855,null,8975,null,156013,null,7525,null,68905,null,4884,null,46578,null,4375,null,22327,null,2463,null,87108,null,5346,null,49842,null,4894,null,27004,null,2896,null,21450,null,2432,null,5554,null,1374,null,22838,null,3533,null,0400000US39,Ohio,39
81366,null,5938,null,62303,null,5254,null,35385,null,3678,null,22771,null,2854,null,12614,null,1837,null,26918,null,3102,null,19063,null,2383,null,11478,null,1533,null,8676,null,1457,null,2802,null,720,null,7585,null,1689,null,0400000US40,Oklahoma,40
59994,null,4419,null,45493,null,4227,null,15709,null,2334,null,8978,null,1659,null,6731,null,1417,null,29784,null,3907,null,14501,null,2070,null,7671,null,1926,null,5394,null,1556,null,2277,null,933,null,6830,null,1423,null,0400000US41,Oregon,41
205061,null,8418,null,156227,null,7016,null,56865,null,4705,null,37089,null,3802,null,19776,null,2165,null,99362,null,4679,null,48834,null,4655,null,23005,null,2920,null,18603,null,2776,null,4402,null,1142,null,25829,null,3254,null,0400000US42,Pennsylvania,42
18887,null,2767,null,14007,null,2171,null,2020,null,874,null,1272,null,591,null,748,null,493,null,11987,null,2025,null,4880,null,1415,null,2041,null,865,null,1953,null,832,null,88,null,147,null,2839,null,1037,null,0400000US44,Rhode Island,44
104066,null,5866,null,76709,null,4511,null,36698,null,4056,null,23183,null,3265,null,13515,null,2437,null,40011,null,3260,null,27357,null,4120,null,11967,null,2589,null,9372,null,2278,null,2595,null,857,null,15390,null,3002,null,0400000US45,South Carolina,45
8857,null,1416,null,6359,null,1150,null,3660,null,970,null,2615,null,773,null,1045,null,555,null,2699,null,839,null,2498,null,825,null,1856,null,652,null,1207,null,489,null,649,null,391,null,642,null,393,null,0400000US46,South Dakota,46
141667,null,7693,null,110865,null,7040,null,55553,null,3821,null,37249,null,2970,null,18304,null,2246,null,55312,null,5373,null,30802,null,3477,null,15752,null,2424,null,12987,null,2424,null,2765,null,765,null,15050,null,2215,null,0400000US47,Tennessee,47
674320,null,15417,null,520642,null,14424,null,225462,null,9177,null,152166,null,7668,null,73296,null,4895,null,295180,null,10687,null,153678,null,8304,null,73280,null,6682,null,61024,null,6197,null,12256,null,2082,null,80398,null,5067,null,0400000US48,Texas,48
52801,null,4425,null,45074,null,4000,null,15549,null,2348,null,9305,null,1826,null,6244,null,1324,null,29525,null,3520,null,7727,null,2037,null,2593,null,1097,null,1622,null,610,null,971,null,665,null,5134,null,1503,null,0400000US49,Utah,49
7016,null,1306,null,5520,null,1215,null,2315,null,733,null,1657,null,694,null,658,null,312,null,3205,null,985,null,1496,null,699,null,835,null,482,null,437,null,304,null,398,null,400,null,661,null,506,null,0400000US50,Vermont,50
159059,null,7185,null,121363,null,6950,null,47378,null,3757,null,29847,null,3364,null,17531,null,2364,null,73985,null,5432,null,37696,null,4345,null,18679,null,2981,null,14301,null,2697,null,4378,null,1130,null,19017,null,2927,null,0400000US51,Virginia,51
105012,null,6327,null,76949,null,4939,null,29148,null,2878,null,17190,null,2300,null,11958,null,1601,null,47801,null,4056,null,28063,null,3586,null,11595,null,2137,null,9233,null,1921,null,2362,null,856,null,16468,null,2859,null,0400000US53,Washington,53
37014,null,4727,null,30211,null,4317,null,16575,null,2951,null,9705,null,2157,null,6870,null,1529,null,13636,null,2512,null,6803,null,1853,null,3266,null,928,null,2220,null,806,null,1046,null,591,null,3537,null,1358,null,0400000US54,West Virginia,54
68228,null,4259,null,51559,null,3726,null,20613,null,2341,null,13765,null,2076,null,6848,null,1066,null,30946,null,2644,null,16669,null,1989,null,7777,null,1345,null,5925,null,1253,null,1852,null,682,null,8892,null,1722,null,0400000US55,Wisconsin,55
11691,null,1969,null,9909,null,1800,null,5055,null,1207,null,3892,null,1105,null,1163,null,406,null,4854,null,1548,null,1782,null,856,null,1210,null,766,null,975,null,736,null,235,null,242,null,572,null,344,null,0400000US56,Wyoming,56
129588,null,5306,null,105500,null,5123,null,48622,null,2955,null,27336,null,2825,null,21286,null,2188,null,56878,null,4384,null,24088,null,2845,null,12009,null,1824,null,8904,null,1440,null,3105,null,883,null,12079,null,2082,null,0400000US72,Puerto Rico,72
