B21005_001E,B21005_001EA,B21005_001M,B21005_001MA,B21005_002E,B21005_002EA,B21005_002M,B21005_002MA,B21005_003E,B21005_003EA,B21005_003M,B21005_003MA,B21005_004E,B21005_004EA,B21005_004M,B21005_004MA,B21005_005E,B21005_005EA,B21005_005M,B21005_005MA,B21005_006E,B21005_006EA,B21005_006M,B21005_006MA,B21005_007E,B21005_007EA,B21005_007M,B21005_007MA,B21005_008E,B21005_008EA,B21005_008M,B21005_008MA,B21005_009E,B21005_009EA,B21005_009M,B21005_009MA,B21005_010E,B21005_010EA,B21005_010M,B21005_010MA,B21005_011E,B21005_011EA,B21005_011M,B21005_011MA,B21005_012E,B21005_012EA,B21005_012M,B21005_012MA,B21005_013E,B21005_013EA,B21005_013M,B21005_013MA,B21005_014E,B21005_014EA,B21005_014M,B21005_014MA,B21005_015E,B21005_015EA,B21005_015M,B21005_015MA,B21005_016E,B21005_016EA,B21005_016M,B21005_016MA,B21005_017E,B21005_017EA,B21005_017M,B21005_017MA,B21005_018E,B21005_018EA,B21005_018M,B21005_018MA,B21005_019E,B21005_019EA,B21005_019M,B21005_019MA,B21005_020E,B21005_020EA,B21005_020M,B21005_020MA,B21005_021E,B21005_021EA,B21005_021M,B21005_021MA,B21005_022E,B21005_022EA,B21005_022M,B21005_022MA,B21005_023E,B21005_023EA,B21005_023M,B21005_023MA,B21005_024E,B21005_024EA,B21005_024M,B21005_024MA,B21005_025E,B21005_025EA,B21005_025M,B21005_025MA,B21005_026E,B21005_026EA,B21005_026M,B21005_026MA,B21005_027E,B21005_027EA,B21005_027M,B21005_027MA,B21005_028E,B21005_028EA,B21005_028M,B21005_028MA,B21005_029E,B21005_029EA,B21005_029M,B21005_029MA,B21005_030E,B21005_030EA,B21005_030M,B21005_030MA,B21005_031E,B21005_031EA,B21005_031M,B21005_031MA,B21005_032E,B21005_032EA,B21005_032M,B21005_032MA,B21005_033E,B21005_033EA,B21005_033M,B21005_033MA,B21005_034E,B21005_034EA,B21005_034M,B21005_034MA,GEO_ID,NAME,state
2882566,null,3361,null,1049805,null,4623,null,32635,null,2692,null,27931,null,2500,null,24634,null,2495,null,3297,null,1022,null,4704,null,1091,null,1017170,null,5120,null,757366,null,10066,null,677939,null,10797,null,79427,null,5336,null,259804,null,8219,null,1290599,null,5012,null,115310,null,4980,null,98415,null,4830,null,93989,null,4507,null,4426,null,1244,null,16895,null,1819,null,1175289,null,6105,null,923057,null,8869,null,879716,null,9365,null,43341,null,4164,null,252232,null,7395,null,542162,null,2266,null,101081,null,3420,null,63972,null,3161,null,61814,null,3184,null,2158,null,658,null,37109,null,2664,null,441081,null,3485,null,243028,null,5276,null,235258,null,4979,null,7770,null,1498,null,198053,null,4707,null,0400000US01,Alabama,01
437820,null,3484,null,165849,null,3526,null,8681,null,1757,null,7764,null,1735,null,7514,null,1717,null,250,null,232,null,917,null,447,null,157168,null,3637,null,126268,null,4101,null,111975,null,4161,null,14293,null,2031,null,30900,null,2895,null,196240,null,2584,null,26015,null,3043,null,23049,null,2689,null,21766,null,2767,null,1283,null,663,null,2966,null,1160,null,170225,null,3583,null,140244,null,3927,null,131496,null,3953,null,8748,null,1295,null,29981,null,2427,null,75731,null,993,null,18283,null,1614,null,12066,null,1399,null,11150,null,1423,null,916,null,508,null,6217,null,1103,null,57448,null,1691,null,39277,null,1916,null,37694,null,1973,null,1583,null,548,null,18171,null,1676,null,0400000US02,Alaska,02
3904538,null,3400,null,1510514,null,3362,null,41953,null,4390,null,35647,null,4051,null,33104,null,3786,null,2543,null,1084,null,6306,null,1587,null,1468561,null,5105,null,1125629,null,9772,null,1035403,null,11005,null,90226,null,5920,null,342932,null,9193,null,1717964,null,2789,null,140040,null,6023,null,120537,null,5743,null,115761,null,5484,null,4776,null,1161,null,19503,null,2277,null,1577924,null,6366,null,1267168,null,10189,null,1209257,null,9695,null,57911,null,4367,null,310756,null,10265,null,676060,null,1587,null,129656,null,4362,null,82018,null,4123,null,78295,null,4017,null,3723,null,918,null,47638,null,3154,null,546404,null,4515,null,336051,null,5928,null,321682,null,6035,null,14369,null,2004,null,210353,null,5661,null,0400000US04,Arizona,04
1741654,null,3404,null,640426,null,4803,null,17431,null,2074,null,15571,null,2098,null,14543,null,2080,null,1028,null,479,null,1860,null,740,null,622995,null,5302,null,466269,null,7899,null,419097,null,7989,null,47172,null,4178,null,156726,null,6574,null,771604,null,3879,null,64388,null,4039,null,51962,null,3657,null,49812,null,3717,null,2150,null,682,null,12426,null,1621,null,707216,null,5450,null,559453,null,6525,null,533333,null,6590,null,26120,null,2601,null,147763,null,5438,null,329624,null,2017,null,64363,null,3385,null,37096,null,2521,null,35798,null,2554,null,1298,null,500,null,27267,null,2255,null,265261,null,3444,null,153143,null,4584,null,148427,null,4811,null,4716,null,931,null,112118,null,4034,null,0400000US05,Arkansas,05
23117286,null,8193,null,8956819,null,9019,null,171028,null,8216,null,143767,null,7705,null,130131,null,7083,null,13636,null,2436,null,27261,null,4055,null,8785791,null,12267,null,6656819,null,30838,null,5985749,null,31787,null,671070,null,16049,null,2128972,null,28254,null,10493105,null,8444,null,490797,null,11020,null,419181,null,9273,null,395790,null,9247,null,23391,null,2229,null,71616,null,4734,null,10002308,null,15746,null,8080608,null,24548,null,7619112,null,24093,null,461496,null,11447,null,1921700,null,21955,null,3667362,null,3083,null,501051,null,8980,null,334597,null,7947,null,315362,null,8052,null,19235,null,2154,null,166454,null,6055,null,3166311,null,9571,null,2042264,null,16341,null,1935317,null,16716,null,106947,null,5326,null,1124047,null,14935,null,0400000US06,California,06
3193592,null,2958,null,1186987,null,4707,null,42381,null,4377,null,33146,null,3752,null,30947,null,3615,null,2199,null,760,null,9235,null,1584,null,1144606,null,6543,null,928962,null,7610,null,871619,null,8364,null,57343,null,4399,null,215644,null,7075,null,1459026,null,4216,null,127832,null,5722,null,111787,null,5278,null,107415,null,5069,null,4372,null,1190,null,16045,null,1986,null,1331194,null,7026,null,1129476,null,8786,null,1088310,null,8680,null,41166,null,3057,null,201718,null,8063,null,547579,null,2436,null,108522,null,3827,null,77531,null,3294,null,75037,null,3269,null,2494,null,864,null,30991,null,2462,null,439057,null,4428,null,300439,null,6041,null,288560,null,5950,null,11879,null,1779,null,138618,null,4689,null,0400000US08,Colorado,08
2206849,null,1786,null,725152,null,2474,null,12911,null,1933,null,11172,null,1806,null,10327,null,1793,null,845,null,437,null,1739,null,675,null,712241,null,2915,null,570587,null,6974,null,517823,null,8050,null,52764,null,4363,null,141654,null,6297,null,1073749,null,2425,null,56439,null,4396,null,50129,null,3981,null,47576,null,3853,null,2553,null,872,null,6310,null,1449,null,1017310,null,5000,null,858551,null,6746,null,819738,null,8144,null,38813,null,3221,null,158759,null,5726,null,407948,null,1055,null,57036,null,2923,null,41540,null,2248,null,39036,null,2227,null,2504,null,664,null,15496,null,1965,null,350912,null,2943,null,251346,null,4511,null,241765,null,4423,null,9581,null,1434,null,99566,null,4004,null,0400000US09,Connecticut,09
540439,null,1927,null,188615,null,1875,null,3418,null,1063,null,3081,null,1042,null,2902,null,1065,null,179,null,229,null,337,null,267,null,185197,null,1975,null,146420,null,3898,null,133473,null,4270,null,12947,null,1878,null,38777,null,3452,null,248675,null,1030,null,21145,null,2273,null,18155,null,1918,null,17338,null,1923,null,817,null,371,null,2990,null,934,null,227530,null,2275,null,191274,null,3032,null,180569,null,3685,null,10705,null,1840,null,36256,null,2120,null,103149,null,845,null,19207,null,1796,null,13164,null,1489,null,12849,null,1482,null,315,null,226,null,6043,null,1264,null,83942,null,1944,null,53178,null,2221,null,51183,null,2237,null,1995,null,587,null,30764,null,2060,null,0400000US10,Delaware,10
406201,null,943,null,182198,null,823,null,2639,null,955,null,2391,null,966,null,1942,null,687,null,449,null,678,null,248,null,241,null,179559,null,1442,null,135363,null,3289,null,122306,null,3394,null,13057,null,2307,null,44196,null,3117,null,160814,null,633,null,9191,null,1684,null,8085,null,1570,null,7657,null,1533,null,428,null,290,null,1106,null,537,null,151623,null,1745,null,128020,null,3289,null,119059,null,3647,null,8961,null,1855,null,23603,null,2838,null,63189,null,540,null,7525,null,1087,null,4298,null,949,null,4090,null,943,null,208,null,205,null,3227,null,849,null,55664,null,1268,null,36921,null,2307,null,34935,null,2141,null,1986,null,814,null,18743,null,1839,null,0400000US11,District of Columbia,11
11083549,null,7439,null,3845410,null,9343,null,107742,null,7005,null,93186,null,7120,null,86384,null,6716,null,6802,null,1603,null,14556,null,2179,null,3737668,null,11880,null,2889772,null,18745,null,2597462,null,20168,null,292310,null,10051,null,847896,null,15484,null,5096357,null,7508,null,400849,null,10778,null,345175,null,9650,null,325094,null,8855,null,20081,null,2590,null,55674,null,4615,null,4695508,null,14030,null,3844170,null,16858,null,3619388,null,20600,null,224782,null,8775,null,851338,null,13817,null,2141782,null,3434,null,354715,null,6938,null,219549,null,6186,null,208205,null,6370,null,11344,null,1496,null,135166,null,5889,null,1787067,null,7767,null,1126316,null,11041,null,1064779,null,11290,null,61537,null,3699,null,660751,null,9969,null,0400000US12,Florida,12
