C05003F_001E,C05003F_001EA,C05003F_001M,C05003F_001MA,C05003F_002E,C05003F_002EA,C05003F_002M,C05003F_002MA,C05003F_003E,C05003F_003EA,C05003F_003M,C05003F_003MA,C05003F_004E,C05003F_004EA,C05003F_004M,C05003F_004MA,C05003F_005E,C05003F_005EA,C05003F_005M,C05003F_005MA,C05003F_006E,C05003F_006EA,C05003F_006M,C05003F_006MA,C05003F_007E,C05003F_007EA,C05003F_007M,C05003F_007MA,C05003F_008E,C05003F_008EA,C05003F_008M,C05003F_008MA,C05003F_009E,C05003F_009EA,C05003F_009M,C05003F_009MA,C05003F_010E,C05003F_010EA,C05003F_010M,C05003F_010MA,C05003F_011E,C05003F_011EA,C05003F_011M,C05003F_011MA,C05003F_012E,C05003F_012EA,C05003F_012M,C05003F_012MA,C05003F_013E,C05003F_013EA,C05003F_013M,C05003F_013MA,C05003F_014E,C05003F_014EA,C05003F_014M,C05003F_014MA,C05003F_015E,C05003F_015EA,C05003F_015M,C05003F_015MA,GEO_ID,NAME,state
33459,null,4931,null,19647,null,3327,null,7742,null,2013,null,6131,null,1750,null,1611,null,660,null,11905,null,2036,null,2798,null,1143,null,9107,null,1948,null,13812,null,2518,null,5899,null,1612,null,5032,null,1463,null,867,null,610,null,7913,null,1380,null,2631,null,819,null,5282,null,1105,null,0400000US01,Alabama,01
8553,null,2195,null,4905,null,1566,null,1392,null,643,null,1304,null,624,null,88,null,113,null,3513,null,1234,null,2252,null,916,null,1261,null,696,null,3648,null,992,null,1163,null,556,null,1163,null,556,null,0,null,240,null,2485,null,718,null,1711,null,562,null,774,null,390,null,0400000US02,Alaska,02
442577,null,23553,null,229925,null,13362,null,77166,null,6565,null,71201,null,6270,null,5965,null,1897,null,152759,null,9350,null,84848,null,6469,null,67911,null,6126,null,212652,null,12623,null,77114,null,6733,null,70817,null,6075,null,6297,null,1772,null,135538,null,7627,null,75859,null,5548,null,59679,null,5195,null,0400000US04,Arizona,04
62280,null,5645,null,32037,null,3203,null,11023,null,2061,null,8824,null,1946,null,2199,null,835,null,21014,null,2076,null,4927,null,1385,null,16087,null,1889,null,30243,null,3547,null,13997,null,2323,null,11683,null,2121,null,2314,null,1021,null,16246,null,1787,null,3638,null,989,null,12608,null,1643,null,0400000US05,Arkansas,05
5228278,null,64372,null,2710922,null,35767,null,881650,null,15380,null,802481,null,15238,null,79169,null,4808,null,1829272,null,25893,null,671444,null,16919,null,1157828,null,23887,null,2517356,null,35786,null,847233,null,18583,null,774913,null,17954,null,72320,null,5457,null,1670123,null,22341,null,654214,null,16195,null,1015909,null,17885,null,0400000US06,California,06
234656,null,13697,null,123653,null,7533,null,38006,null,3364,null,35156,null,3014,null,2850,null,1245,null,85647,null,5987,null,50524,null,4376,null,35123,null,3711,null,111003,null,8065,null,39817,null,4979,null,36187,null,4688,null,3630,null,1230,null,71186,null,4289,null,43189,null,3095,null,27997,null,3323,null,0400000US08,Colorado,08
159822,null,10325,null,82569,null,5851,null,27058,null,3195,null,25437,null,3211,null,1621,null,738,null,55511,null,4340,null,33867,null,3366,null,21644,null,3311,null,77253,null,5380,null,22095,null,2657,null,20568,null,2621,null,1527,null,866,null,55158,null,3767,null,36672,null,3529,null,18486,null,2523,null,0400000US09,Connecticut,09
15589,null,3408,null,7594,null,1797,null,2274,null,814,null,2128,null,788,null,146,null,145,null,5320,null,1177,null,2155,null,950,null,3165,null,769,null,7995,null,1939,null,3440,null,1156,null,3243,null,1092,null,197,null,205,null,4555,null,1095,null,2738,null,1055,null,1817,null,576,null,0400000US10,Delaware,10
18958,null,3748,null,9950,null,2106,null,2581,null,879,null,2389,null,856,null,192,null,255,null,7369,null,1601,null,1860,null,843,null,5509,null,1453,null,9008,null,2009,null,2742,null,1021,null,2707,null,1026,null,35,null,60,null,6266,null,1440,null,1685,null,879,null,4581,null,1378,null,0400000US11,District of Columbia,11
480978,null,23831,null,252675,null,13148,null,73326,null,6325,null,65736,null,5563,null,7590,null,1727,null,179349,null,9477,null,70135,null,5490,null,109214,null,7662,null,228303,null,13095,null,68967,null,6953,null,60958,null,6660,null,8009,null,1956,null,159336,null,9005,null,71298,null,5407,null,88038,null,6714,null,0400000US12,Florida,12
345171,null,18299,null,197983,null,11236,null,71217,null,5086,null,60159,null,4227,null,11058,null,2484,null,126766,null,8074,null,20779,null,3251,null,105987,null,7577,null,147188,null,8833,null,62592,null,5336,null,53496,null,5498,null,9096,null,2233,null,84596,null,5122,null,17299,null,3016,null,67297,null,4721,null,0400000US13,Georgia,13
18358,null,3575,null,11378,null,2360,null,2864,null,1175,null,1910,null,898,null,954,null,1172,null,8514,null,1774,null,6384,null,1878,null,2130,null,1006,null,6980,null,1950,null,1961,null,984,null,1490,null,881,null,471,null,475,null,5019,null,1390,null,3229,null,1134,null,1790,null,728,null,0400000US15,Hawaii,15
27714,null,4102,null,16646,null,2728,null,5476,null,1236,null,4692,null,1194,null,784,null,650,null,11170,null,2022,null,5373,null,1309,null,5797,null,1589,null,11068,null,1960,null,3852,null,1078,null,3728,null,1069,null,124,null,108,null,7216,null,1229,null,3544,null,814,null,3672,null,821,null,0400000US16,Idaho,16
839621,null,29224,null,448302,null,16048,null,146836,null,8021,null,132386,null,8208,null,14450,null,2765,null,301466,null,10346,null,100676,null,7292,null,200790,null,8308,null,391319,null,15095,null,137523,null,8185,null,122490,null,8262,null,15033,null,2663,null,253796,null,8651,null,92928,null,6266,null,160868,null,7086,null,0400000US17,Illinois,17
135989,null,8562,null,75252,null,5323,null,27068,null,2494,null,23575,null,2213,null,3493,null,1205,null,48184,null,3931,null,18015,null,2445,null,30169,null,3278,null,60737,null,4440,null,23258,null,2509,null,19779,null,2228,null,3479,null,1187,null,37479,null,3261,null,15779,null,2161,null,21700,null,3054,null,0400000US18,Indiana,18
39669,null,4877,null,23174,null,2672,null,8122,null,1421,null,7086,null,1394,null,1036,null,452,null,15052,null,1823,null,5576,null,1202,null,9476,null,1497,null,16495,null,2758,null,6236,null,1372,null,5214,null,1231,null,1022,null,515,null,10259,null,1649,null,3971,null,1068,null,6288,null,1229,null,0400000US19,Iowa,19
69533,null,7123,null,36239,null,4220,null,11328,null,1704,null,10014,null,1611,null,1314,null,659,null,24911,null,3046,null,8956,null,1568,null,15955,null,2397,null,33294,null,3859,null,12581,null,2261,null,11291,null,2052,null,1290,null,734,null,20713,null,2172,null,8958,null,1286,null,11755,null,1854,null,0400000US20,Kansas,20
34446,null,4036,null,19796,null,2370,null,7605,null,1532,null,6514,null,1472,null,1091,null,494,null,12191,null,1687,null,2928,null,861,null,9263,null,1415,null,14650,null,2443,null,6673,null,1403,null,5303,null,1289,null,1370,null,781,null,7977,null,1507,null,2211,null,896,null,5766,null,1282,null,0400000US21,Kentucky,21
37065,null,5474,null,21181,null,3295,null,6581,null,1565,null,5597,null,1415,null,984,null,641,null,14600,null,2429,null,5268,null,1420,null,9332,null,2089,null,15884,null,2810,null,5062,null,1526,null,4345,null,1389,null,717,null,451,null,10822,null,1915,null,4943,null,1469,null,5879,null,1234,null,0400000US22,Louisiana,22
3509,null,1373,null,1612,null,694,null,561,null,462,null,500,null,442,null,61,null,102,null,1051,null,521,null,881,null,485,null,170,null,166,null,1897,null,954,null,739,null,505,null,607,null,500,null,132,null,192,null,1158,null,626,null,866,null,546,null,292,null,418,null,0400000US23,Maine,23
135287,null,10828,null,71298,null,5771,null,21555,null,2266,null,18640,null,2185,null,2915,null,997,null,49743,null,4497,null,9712,null,1786,null,40031,null,4212,null,63989,null,6123,null,23667,null,3878,null,21280,null,3688,null,2387,null,884,null,40322,null,3172,null,8711,null,1761,null,31611,null,2819,null,0400000US24,Maryland,24
256616,null,15152,null,122812,null,8162,null,42495,null,3696,null,38173,null,3414,null,4322,null,1368,null,80317,null,5919,null,36797,null,3844,null,43520,null,4624,null,133804,null,8178,null,44739,null,3847,null,41399,null,3635,null,3340,null,1119,null,89065,null,5493,null,41321,null,4232,null,47744,null,4454,null,0400000US25,Massachusetts,25
144094,null,9956,null,75673,null,5575,null,24265,null,2787,null,21301,null,2755,null,2964,null,826,null,51408,null,3853,null,24293,null,2969,null,27115,null,3806,null,68421,null,5441,null,24349,null,2777,null,22430,null,2608,null,1919,null,634,null,44072,null,3659,null,24366,null,2494,null,19706,null,2654,null,0400000US26,Michigan,26
55598,null,6025,null,30186,null,3539,null,9461,null,1846,null,7847,null,1807,null,1614,null,762,null,20725,null,2498,null,5553,null,1049,null,15172,null,2234,null,25412,null,3266,null,10013,null,1992,null,8332,null,1696,null,1681,null,675,null,15399,null,1985,null,4693,null,945,null,10706,null,1819,null,0400000US27,Minnesota,27
20699,null,4251,null,12076,null,2925,null,3103,null,1221,null,2668,null,1205,null,435,null,328,null,8973,null,2367,null,2200,null,769,null,6773,null,2268,null,8623,null,2008,null,2532,null,1108,null,2212,null,1126,null,320,null,246,null,6091,null,1292,null,1954,null,718,null,4137,null,1172,null,0400000US28,Mississippi,28
50712,null,6147,null,25932,null,3194,null,9179,null,2056,null,7531,null,1681,null,1648,null,790,null,16753,null,2097,null,6404,null,1264,null,10349,null,1721,null,24780,null,3576,null,9655,null,2202,null,7583,null,1879,null,2072,null,1189,null,15125,null,1887,null,7145,null,1281,null,7980,null,1545,null,0400000US29,Missouri,29
6184,null,1820,null,2637,null,1004,null,843,null,487,null,843,null,487,null,0,null,235,null,1794,null,686,null,1468,null,621,null,326,null,354,null,3547,null,1278,null,1119,null,671,null,1119,null,671,null,0,null,235,null,2428,null,904,null,1655,null,736,null,773,null,543,null,0400000US30,Montana,30
46526,null,4938,null,23757,null,2913,null,8267,null,1891,null,7581,null,1773,null,686,null,430,null,15490,null,1963,null,5196,null,1112,null,10294,null,1959,null,22769,null,2610,null,9725,null,1784,null,8600,null,1850,null,1125,null,554,null,13044,null,1436,null,5386,null,1077,null,7658,null,1238,null,0400000US31,Nebraska,31
112916,null,10586,null,60486,null,6220,null,19823,null,3262,null,17720,null,3019,null,2103,null,1133,null,40663,null,4077,null,17558,null,2615,null,23105,null,3190,null,52430,null,5758,null,17991,null,2850,null,15673,null,2668,null,2318,null,1074,null,34439,null,3804,null,13458,null,2147,null,20981,null,2776,null,0400000US32,Nevada,32
8184,null,2523,null,3914,null,1275,null,1168,null,640,null,858,null,613,null,310,null,247,null,2746,null,947,null,1793,null,803,null,953,null,637,null,4270,null,1431,null,1403,null,773,null,1080,null,742,null,323,null,289,null,2867,null,876,null,1496,null,676,null,1371,null,552,null,0400000US33,New Hampshire,33
507267,null,16654,null,260540,null,10621,null,81566,null,4334,null,70848,null,4534,null,10718,null,2334,null,178974,null,7895,null,74685,null,5119,null,104289,null,6179,null,246727,null,8509,null,76615,null,4547,null,67609,null,4608,null,9006,null,1666,null,170112,null,6296,null,75240,null,4969,null,94872,null,5450,null,0400000US34,New Jersey,34
207897,null,11458,null,105440,null,6111,null,31691,null,3134,null,29575,null,2840,null,2116,null,854,null,73749,null,4083,null,57894,null,3532,null,15855,null,2048,null,102457,null,7132,null,27509,null,2841,null,24896,null,2603,null,2613,null,967,null,74948,null,4857,null,60676,null,4469,null,14272,null,2057,null,0400000US35,New Mexico,35
