C24010H_001E,C24010H_001EA,C24010H_001M,C24010H_001MA,C24010H_002E,C24010H_002EA,C24010H_002M,C24010H_002MA,C24010H_003E,C24010H_003EA,C24010H_003M,C24010H_003MA,C24010H_004E,C24010H_004EA,C24010H_004M,C24010H_004MA,C24010H_005E,C24010H_005EA,C24010H_005M,C24010H_005MA,C24010H_006E,C24010H_006EA,C24010H_006M,C24010H_006MA,C24010H_007E,C24010H_007EA,C24010H_007M,C24010H_007MA,C24010H_008E,C24010H_008EA,C24010H_008M,C24010H_008MA,C24010H_009E,C24010H_009EA,C24010H_009M,C24010H_009MA,C24010H_010E,C24010H_010EA,C24010H_010M,C24010H_010MA,C24010H_011E,C24010H_011EA,C24010H_011M,C24010H_011MA,C24010H_012E,C24010H_012EA,C24010H_012M,C24010H_012MA,C24010H_013E,C24010H_013EA,C24010H_013M,C24010H_013MA,C24010H_014E,C24010H_014EA,C24010H_014M,C24010H_014MA,C24010H_015E,C24010H_015EA,C24010H_015M,C24010H_015MA,GEO_ID,NAME,state
1487545,null,11703,null,808776,null,8170,null,245799,null,7292,null,76792,null,4566,null,146293,null,5569,null,6497,null,1628,null,166635,null,6855,null,166760,null,6186,null,678769,null,7540,null,263142,null,5781,null,111816,null,6052,null,253229,null,7011,null,1498,null,710,null,5806,null,1228,null,43278,null,2875,null,0400000US01,Alabama,01
240774,null,4161,null,130284,null,3502,null,43853,null,2481,null,15579,null,2111,null,18423,null,2322,null,1629,null,598,null,31848,null,3183,null,18952,null,2246,null,110490,null,2844,null,49737,null,2324,null,18497,null,2251,null,37957,null,2369,null,251,null,214,null,903,null,527,null,3145,null,964,null,0400000US02,Alaska,02
1830681,null,13346,null,968659,null,8751,null,365361,null,9191,null,127543,null,5484,null,215286,null,8234,null,887,null,352,null,148833,null,6737,null,110749,null,6105,null,862022,null,9028,null,364334,null,8886,null,152158,null,6506,null,317102,null,8294,null,1281,null,577,null,5271,null,1119,null,21876,null,2374,null,0400000US04,Arizona,04
995055,null,9173,null,525367,null,7345,null,145222,null,6490,null,53299,null,3637,null,98623,null,4655,null,9467,null,1475,null,98795,null,4536,null,119961,null,5333,null,469688,null,6101,null,174181,null,6374,null,90566,null,4930,null,171319,null,5530,null,1242,null,504,null,2305,null,781,null,30075,null,3123,null,0400000US05,Arkansas,05
7724103,null,29373,null,4161592,null,19604,null,1893472,null,18150,null,467960,null,11155,null,820371,null,14984,null,17928,null,2091,null,536252,null,11272,null,425609,null,10761,null,3562511,null,17811,null,1700370,null,17426,null,555579,null,13001,null,1202235,null,15973,null,5604,null,1641,null,15709,null,2394,null,83014,null,5495,null,0400000US06,California,06
1935947,null,9944,null,1039963,null,6596,null,432734,null,8388,null,112445,null,5292,null,185703,null,6942,null,5047,null,1197,null,173852,null,5883,null,130182,null,6159,null,895984,null,8462,null,396622,null,8686,null,155648,null,6523,null,308283,null,7750,null,1652,null,626,null,7270,null,1354,null,26509,null,2296,null,0400000US08,Colorado,08
1367430,null,11214,null,712783,null,7157,null,298558,null,7443,null,82877,null,5381,null,129768,null,5442,null,1923,null,772,null,100575,null,5365,null,99082,null,4984,null,654647,null,6537,null,299806,null,5912,null,104193,null,5088,null,222327,null,6601,null,515,null,300,null,2454,null,736,null,25352,null,2844,null,0400000US09,Connecticut,09
297365,null,5623,null,153498,null,3237,null,54169,null,2683,null,19073,null,2203,null,29540,null,2774,null,642,null,373,null,28195,null,2258,null,21879,null,2187,null,143867,null,3542,null,62746,null,3313,null,23409,null,2402,null,52772,null,3485,null,81,null,145,null,582,null,293,null,4277,null,1055,null,0400000US10,Delaware,10
129078,null,2560,null,65708,null,1714,null,53383,null,1839,null,3449,null,869,null,7777,null,1387,null,0,null,296,null,800,null,527,null,299,null,298,null,63370,null,1812,null,47927,null,2064,null,3707,null,1023,null,11654,null,1707,null,0,null,296,null,0,null,296,null,82,null,138,null,0400000US11,District of Columbia,11
5075384,null,20759,null,2668873,null,13716,null,944324,null,13991,null,390304,null,10742,null,547374,null,11587,null,11394,null,1753,null,472558,null,12939,null,302919,null,8897,null,2406511,null,15563,null,955398,null,14131,null,434341,null,11220,null,927152,null,13039,null,4346,null,1234,null,18979,null,2443,null,66295,null,5232,null,0400000US12,Florida,12
