C17020I_001E,C17020I_001EA,C17020I_001M,C17020I_001MA,C17020I_002E,C17020I_002EA,C17020I_002M,C17020I_002MA,C17020I_003E,C17020I_003EA,C17020I_003M,C17020I_003MA,C17020I_004E,C17020I_004EA,C17020I_004M,C17020I_004MA,C17020I_005E,C17020I_005EA,C17020I_005M,C17020I_005MA,C17020I_006E,C17020I_006EA,C17020I_006M,C17020I_006MA,C17020I_007E,C17020I_007EA,C17020I_007M,C17020I_007MA,C17020I_008E,C17020I_008EA,C17020I_008M,C17020I_008MA,C17020I_009E,C17020I_009EA,C17020I_009M,C17020I_009MA,GEO_ID,NAME,state
127302,null,2028,null,37032,null,5821,null,18102,null,3215,null,18540,null,3236,null,390,null,309,null,90270,null,5456,null,32352,null,3208,null,54201,null,3188,null,3717,null,952,null,0400000US01,Alabama,01
41641,null,1776,null,4070,null,1570,null,1977,null,1039,null,2093,null,987,null,0,null,240,null,37571,null,1702,null,13373,null,1033,null,22803,null,1343,null,1395,null,544,null,0400000US02,Alaska,02
1919923,null,3453,null,463962,null,23058,null,224998,null,13702,null,221507,null,11425,null,17457,null,2379,null,1455961,null,23365,null,497121,null,14115,null,881193,null,11622,null,77647,null,2437,null,0400000US04,Arizona,04
154773,null,1907,null,48728,null,6395,null,25291,null,3660,null,22599,null,3202,null,838,null,495,null,106045,null,6234,null,39305,null,3599,null,64765,null,3359,null,1975,null,850,null,0400000US05,Arkansas,05
13213120,null,8286,null,2531187,null,58386,null,1166840,null,31818,null,1269550,null,31172,null,94797,null,5841,null,10681933,null,58982,null,3405972,null,32190,null,6673048,null,31645,null,602913,null,6270,null,0400000US06,California,06
973940,null,2576,null,228246,null,17638,null,105159,null,9852,null,115954,null,9649,null,7133,null,1151,null,745694,null,17577,null,242667,null,9742,null,460968,null,9890,null,42059,null,1596,null,0400000US08,Colorado,08
405654,null,1613,null,98243,null,7894,null,43338,null,4520,null,48796,null,4344,null,6109,null,1191,null,307411,null,7497,null,94771,null,4535,null,199523,null,4186,null,13117,null,1371,null,0400000US09,Connecticut,09
57976,null,445,null,13825,null,3641,null,7306,null,2335,null,5995,null,1502,null,524,null,426,null,44151,null,3564,null,15597,null,2257,null,27346,null,1624,null,1208,null,561,null,0400000US10,Delaware,10
49485,null,551,null,8693,null,2762,null,2103,null,1279,null,5715,null,1860,null,875,null,462,null,40792,null,2789,null,10225,null,1295,null,28685,null,1864,null,1882,null,467,null,0400000US11,District of Columbia,11
3777633,null,5434,null,673138,null,23706,null,233658,null,11865,null,350557,null,15694,null,88923,null,5392,null,3104495,null,24155,null,765177,null,12470,null,2026377,null,14411,null,312941,null,6172,null,0400000US12,Florida,12
753304,null,3699,null,187665,null,12125,null,93035,null,7722,null,91075,null,6304,null,3555,null,1101,null,565639,null,12782,null,196798,null,8028,null,351706,null,6843,null,17135,null,1788,null,0400000US13,Georgia,13
108064,null,1237,null,14140,null,3712,null,6899,null,2076,null,6712,null,1890,null,529,null,303,null,93924,null,3346,null,34401,null,2009,null,54759,null,1789,null,4764,null,379,null,0400000US15,Hawaii,15
152155,null,1316,null,33935,null,4848,null,17545,null,2932,null,15309,null,2213,null,1081,null,549,null,118220,null,5024,null,45543,null,2863,null,68998,null,2818,null,3679,null,1010,null,0400000US16,Idaho,16
1938030,null,4613,null,338989,null,15780,null,160053,null,8373,null,167027,null,9055,null,11909,null,1974,null,1599041,null,16197,null,524509,null,8533,null,1006334,null,9017,null,68198,null,2338,null,0400000US17,Illinois,17
320378,null,2490,null,76089,null,6813,null,37155,null,4284,null,37445,null,3551,null,1489,null,616,null,244289,null,6780,null,87994,null,4208,null,146450,null,3717,null,9845,null,1269,null,0400000US18,Indiana,18
118968,null,1565,null,25143,null,3856,null,12591,null,2436,null,12337,null,1881,null,215,null,175,null,93825,null,3892,null,36997,null,2647,null,53652,null,2087,null,3176,null,897,null,0400000US19,Iowa,19
246685,null,1730,null,50774,null,5522,null,26100,null,3610,null,23396,null,2662,null,1278,null,552,null,195911,null,5660,null,69849,null,3690,null,117439,null,3091,null,8623,null,1220,null,0400000US20,Kansas,20
95250,null,2495,null,30330,null,3456,null,16359,null,2278,null,13713,null,1903,null,258,null,196,null,64920,null,4077,null,23442,null,2171,null,39282,null,2330,null,2196,null,849,null,0400000US21,Kentucky,21
