B05003D_001E,B05003D_001EA,B05003D_001M,B05003D_001MA,B05003D_002E,B05003D_002EA,B05003D_002M,B05003D_002MA,B05003D_003E,B05003D_003EA,B05003D_003M,B05003D_003MA,B05003D_004E,B05003D_004EA,B05003D_004M,B05003D_004MA,B05003D_005E,B05003D_005EA,B05003D_005M,B05003D_005MA,B05003D_006E,B05003D_006EA,B05003D_006M,B05003D_006MA,B05003D_007E,B05003D_007EA,B05003D_007M,B05003D_007MA,B05003D_008E,B05003D_008EA,B05003D_008M,B05003D_008MA,B05003D_009E,B05003D_009EA,B05003D_009M,B05003D_009MA,B05003D_010E,B05003D_010EA,B05003D_010M,B05003D_010MA,B05003D_011E,B05003D_011EA,B05003D_011M,B05003D_011MA,B05003D_012E,B05003D_012EA,B05003D_012M,B05003D_012MA,B05003D_013E,B05003D_013EA,B05003D_013M,B05003D_013MA,B05003D_014E,B05003D_014EA,B05003D_014M,B05003D_014MA,B05003D_015E,B05003D_015EA,B05003D_015M,B05003D_015MA,B05003D_016E,B05003D_016EA,B05003D_016M,B05003D_016MA,B05003D_017E,B05003D_017EA,B05003D_017M,B05003D_017MA,B05003D_018E,B05003D_018EA,B05003D_018M,B05003D_018MA,B05003D_019E,B05003D_019EA,B05003D_019M,B05003D_019MA,B05003D_020E,B05003D_020EA,B05003D_020M,B05003D_020MA,B05003D_021E,B05003D_021EA,B05003D_021M,B05003D_021MA,B05003D_022E,B05003D_022EA,B05003D_022M,B05003D_022MA,B05003D_023E,B05003D_023EA,B05003D_023M,B05003D_023MA,GEO_ID,NAME,state
45539,null,2563,null,21829,null,1714,null,6799,null,1250,null,5597,null,1293,null,1202,null,619,null,323,null,364,null,879,null,529,null,15030,null,1059,null,4035,null,1170,null,10995,null,1234,null,5753,null,1113,null,5242,null,1004,null,23710,null,1764,null,5513,null,1091,null,3996,null,1014,null,1517,null,732,null,810,null,638,null,707,null,387,null,18197,null,1471,null,2481,null,871,null,15716,null,1415,null,7729,null,1225,null,7987,null,1295,null,0400000US01,Alabama,01
31826,null,1833,null,15069,null,1261,null,3359,null,839,null,2626,null,782,null,733,null,479,null,351,null,313,null,382,null,333,null,11710,null,1191,null,2205,null,718,null,9505,null,1231,null,5276,null,941,null,4229,null,1087,null,16757,null,1101,null,3195,null,853,null,2517,null,832,null,678,null,346,null,354,null,267,null,324,null,293,null,13562,null,715,null,2381,null,744,null,11181,null,868,null,6491,null,924,null,4690,null,822,null,0400000US02,Alaska,02
154416,null,4412,null,73265,null,2701,null,17810,null,1664,null,13979,null,1503,null,3831,null,1333,null,985,null,463,null,2846,null,1246,null,55455,null,1666,null,13040,null,2214,null,42415,null,2515,null,21354,null,1968,null,21061,null,2491,null,81151,null,2739,null,17189,null,1341,null,13645,null,1456,null,3544,null,1157,null,1957,null,876,null,1587,null,677,null,63962,null,2139,null,12282,null,1433,null,51680,null,2143,null,30122,null,2141,null,21558,null,2399,null,0400000US04,Arizona,04
29466,null,2253,null,14281,null,1244,null,4232,null,1001,null,3538,null,925,null,694,null,400,null,433,null,340,null,261,null,215,null,10049,null,790,null,1876,null,710,null,8173,null,1001,null,3530,null,727,null,4643,null,1192,null,15185,null,1653,null,3807,null,966,null,2959,null,870,null,848,null,470,null,415,null,349,null,433,null,330,null,11378,null,1096,null,2109,null,750,null,9269,null,908,null,5513,null,928,null,3756,null,904,null,0400000US05,Arkansas,05
4548741,null,13354,null,2187489,null,8381,null,478706,null,5159,null,401465,null,6704,null,77241,null,4172,null,20592,null,1916,null,56649,null,3982,null,1708783,null,5717,null,412801,null,10172,null,1295982,null,11185,null,832236,null,12553,null,463746,null,11968,null,2361252,null,7713,null,452924,null,6131,null,380590,null,6963,null,72334,null,4459,null,23208,null,2056,null,49126,null,4000,null,1908328,null,4892,null,392328,null,10663,null,1516000,null,10450,null,980554,null,11357,null,535446,null,11196,null,0400000US06,California,06
126143,null,3427,null,58051,null,2216,null,13716,null,1379,null,9737,null,1475,null,3979,null,1097,null,589,null,331,null,3390,null,1085,null,44335,null,1551,null,11952,null,2023,null,32383,null,2080,null,16694,null,1804,null,15689,null,2428,null,68092,null,2202,null,13994,null,1421,null,8582,null,1392,null,5412,null,1332,null,3025,null,881,null,2387,null,1052,null,54098,null,1435,null,10570,null,1626,null,43528,null,2008,null,22850,null,2126,null,20678,null,2678,null,0400000US08,Colorado,08
121295,null,2685,null,61099,null,1620,null,15404,null,1181,null,12063,null,1108,null,3341,null,916,null,662,null,359,null,2679,null,757,null,45695,null,893,null,4584,null,999,null,41111,null,1258,null,19753,null,1914,null,21358,null,2214,null,60196,null,1714,null,14761,null,1144,null,11528,null,1334,null,3233,null,819,null,1098,null,399,null,2135,null,742,null,45435,null,1004,null,5752,null,1260,null,39683,null,1365,null,18472,null,1513,null,21211,null,1434,null,0400000US09,Connecticut,09
25280,null,810,null,12258,null,593,null,3298,null,414,null,2880,null,393,null,418,null,297,null,178,null,181,null,240,null,195,null,8960,null,386,null,983,null,507,null,7977,null,625,null,4382,null,710,null,3595,null,651,null,13022,null,497,null,3284,null,249,null,2377,null,556,null,907,null,506,null,455,null,242,null,452,null,312,null,9738,null,418,null,421,null,302,null,9317,null,441,null,4424,null,723,null,4893,null,757,null,0400000US10,Delaware,10
20091,null,755,null,9240,null,668,null,1663,null,445,null,995,null,495,null,668,null,461,null,0,null,296,null,668,null,461,null,7577,null,512,null,2937,null,907,null,4640,null,852,null,2038,null,709,null,2602,null,761,null,10851,null,502,null,1213,null,331,null,627,null,357,null,586,null,325,null,473,null,340,null,113,null,187,null,9638,null,355,null,2913,null,715,null,6725,null,794,null,2998,null,726,null,3727,null,723,null,0400000US11,District of Columbia,11
420393,null,5048,null,192948,null,4031,null,45082,null,2610,null,35058,null,2478,null,10024,null,1926,null,2549,null,840,null,7475,null,1717,null,147866,null,2977,null,22532,null,2571,null,125334,null,3072,null,74935,null,3423,null,50399,null,3551,null,227445,null,3773,null,50257,null,2613,null,37207,null,2719,null,13050,null,1815,null,6418,null,1215,null,6632,null,1505,null,177188,null,2418,null,19149,null,2255,null,158039,null,2982,null,91553,null,4010,null,66486,null,4071,null,0400000US12,Florida,12
