B01001A_001E,B01001A_001EA,B01001A_001M,B01001A_001MA,B01001A_002E,B01001A_002EA,B01001A_002M,B01001A_002MA,B01001A_003E,B01001A_003EA,B01001A_003M,B01001A_003MA,B01001A_004E,B01001A_004EA,B01001A_004M,B01001A_004MA,B01001A_005E,B01001A_005EA,B01001A_005M,B01001A_005MA,B01001A_006E,B01001A_006EA,B01001A_006M,B01001A_006MA,B01001A_007E,B01001A_007EA,B01001A_007M,B01001A_007MA,B01001A_008E,B01001A_008EA,B01001A_008M,B01001A_008MA,B01001A_009E,B01001A_009EA,B01001A_009M,B01001A_009MA,B01001A_010E,B01001A_010EA,B01001A_010M,B01001A_010MA,B01001A_011E,B01001A_011EA,B01001A_011M,B01001A_011MA,B01001A_012E,B01001A_012EA,B01001A_012M,B01001A_012MA,B01001A_013E,B01001A_013EA,B01001A_013M,B01001A_013MA,B01001A_014E,B01001A_014EA,B01001A_014M,B01001A_014MA,B01001A_015E,B01001A_015EA,B01001A_015M,B01001A_015MA,B01001A_016E,B01001A_016EA,B01001A_016M,B01001A_016MA,B01001A_017E,B01001A_017EA,B01001A_017M,B01001A_017MA,B01001A_018E,B01001A_018EA,B01001A_018M,B01001A_018MA,B01001A_019E,B01001A_019EA,B01001A_019M,B01001A_019MA,B01001A_020E,B01001A_020EA,B01001A_020M,B01001A_020MA,B01001A_021E,B01001A_021EA,B01001A_021M,B01001A_021MA,B01001A_022E,B01001A_022EA,B01001A_022M,B01001A_022MA,B01001A_023E,B01001A_023EA,B01001A_023M,B01001A_023MA,B01001A_024E,B01001A_024EA,B01001A_024M,B01001A_024MA,B01001A_025E,B01001A_025EA,B01001A_025M,B01001A_025MA,B01001A_026E,B01001A_026EA,B01001A_026M,B01001A_026MA,B01001A_027E,B01001A_027EA,B01001A_027M,B01001A_027MA,B01001A_028E,B01001A_028EA,B01001A_028M,B01001A_028MA,B01001A_029E,B01001A_029EA,B01001A_029M,B01001A_029MA,B01001A_030E,B01001A_030EA,B01001A_030M,B01001A_030MA,B01001A_031E,B01001A_031EA,B01001A_031M,B01001A_031MA,GEO_ID,NAME,state
3276551,null,5764,null,1607180,null,4331,null,100143,null,2209,null,99583,null,3712,null,106668,null,3787,null,64221,null,1312,null,43767,null,1764,null,107138,null,1976,null,106166,null,1827,null,97567,null,1791,null,224238,null,2174,null,241103,null,1874,null,198887,null,739,null,127943,null,829,null,69238,null,1768,null,20518,null,1781,null,1669371,null,4198,null,96746,null,1993,null,97226,null,3744,null,96655,null,3999,null,60459,null,1358,null,41842,null,1664,null,100093,null,2105,null,103064,null,1561,null,97038,null,1695,null,220668,null,1561,null,243841,null,1244,null,213958,null,951,null,148956,null,711,null,103182,null,2838,null,45643,null,2685,null,0400000US01,Alabama,01
474317,null,2992,null,252021,null,2053,null,16588,null,761,null,13766,null,1694,null,16456,null,1689,null,10563,null,451,null,8065,null,1230,null,22205,null,1423,null,19758,null,1036,null,17374,null,1138,null,35647,null,978,null,41235,null,461,null,31937,null,350,null,12709,null,575,null,4635,null,636,null,1083,null,473,null,222296,null,1649,null,14641,null,620,null,14314,null,1303,null,13281,null,1263,null,9339,null,404,null,5367,null,554,null,14922,null,1057,null,17708,null,1040,null,15150,null,530,null,32314,null,676,null,39649,null,485,null,26981,null,263,null,10863,null,675,null,6235,null,695,null,1532,null,500,null,0400000US02,Alaska,02
5203987,null,24782,null,2601348,null,14068,null,190762,null,3907,null,175648,null,6158,null,176173,null,5310,null,104534,null,2242,null,68025,null,1841,null,169795,null,3091,null,197496,null,2974,null,177399,null,3338,null,358451,null,3115,null,345989,null,3144,null,282357,null,2117,null,187241,null,1746,null,127902,null,3360,null,39576,null,3281,null,2602639,null,13436,null,181803,null,3960,null,164747,null,5995,null,166211,null,6191,null,100091,null,2110,null,62144,null,2392,null,152694,null,2670,null,177359,null,2637,null,164827,null,2448,null,337594,null,3024,null,352669,null,2988,null,308288,null,2042,null,212161,null,1312,null,158473,null,3524,null,63578,null,3535,null,0400000US04,Arizona,04
2247623,null,5990,null,1106206,null,4437,null,74663,null,1858,null,70735,null,3373,null,73070,null,3522,null,43430,null,1168,null,34899,null,2473,null,69503,null,2590,null,73509,null,2249,null,68486,null,1418,null,150828,null,1811,null,156613,null,1624,null,135872,null,596,null,89223,null,782,null,52630,null,1304,null,12745,null,1296,null,1141417,null,3883,null,68709,null,1464,null,69050,null,3041,null,63886,null,3177,null,43096,null,1064,null,28199,null,1795,null,68316,null,2502,null,74588,null,1617,null,67872,null,1573,null,147664,null,1663,null,161359,null,1121,null,144694,null,687,null,99945,null,1369,null,71964,null,2567,null,32075,null,2207,null,0400000US05,Arkansas,05
22961988,null,65263,null,11490854,null,36869,null,782349,null,9000,null,717649,null,9694,null,767632,null,10512,null,490334,null,5108,null,348112,null,5047,null,847012,null,7944,null,832143,null,8016,null,758768,null,8905,null,1654121,null,10712,null,1708311,null,8776,null,1261616,null,5264,null,718913,null,3456,null,444971,null,5303,null,158923,null,4244,null,11471134,null,36218,null,744107,null,9085,null,695722,null,10583,null,724241,null,12011,null,468001,null,5345,null,325427,null,5391,null,770343,null,7563,null,760549,null,7615,null,693717,null,6598,null,1559426,null,8944,null,1682048,null,7034,null,1308918,null,5585,null,815587,null,4222,null,612387,null,8819,null,310661,null,7832,null,0400000US06,California,06
4185668,null,14863,null,2105507,null,8851,null,142626,null,2412,null,136355,null,4648,null,131799,null,4321,null,82854,null,1504,null,57689,null,2057,null,147538,null,2551,null,165295,null,2648,null,151921,null,2456,null,313562,null,2851,null,324837,null,2524,null,245513,null,1416,null,121364,null,1153,null,62557,null,1972,null,21597,null,1857,null,2080161,null,8694,null,139181,null,2367,null,125595,null,4467,null,125205,null,4688,null,78565,null,1795,null,50341,null,2019,null,133099,null,2394,null,152712,null,2242,null,138856,null,2418,null,296966,null,2188,null,324662,null,1915,null,249921,null,1500,null,134426,null,1848,null,86010,null,2876,null,44622,null,3162,null,0400000US08,Colorado,08
2805744,null,10563,null,1365968,null,5881,null,76536,null,1475,null,84195,null,3805,null,89230,null,3690,null,57465,null,934,null,39327,null,912,null,86375,null,1397,null,75464,null,1406,null,72710,null,1250,null,198925,null,1770,null,233722,null,1543,null,172020,null,986,null,97254,null,929,null,60017,null,1798,null,22728,null,1779,null,1439776,null,5732,null,73763,null,1663,null,76051,null,3419,null,89443,null,3701,null,55325,null,851,null,38418,null,738,null,83256,null,1036,null,72745,null,1094,null,71601,null,1283,null,203612,null,1579,null,238016,null,1285,null,184015,null,1035,null,113016,null,773,null,86510,null,2879,null,54005,null,2861,null,0400000US09,Connecticut,09
634981,null,3460,null,309201,null,1905,null,19387,null,635,null,19485,null,1393,null,18663,null,1460,null,11944,null,448,null,8883,null,321,null,21008,null,443,null,19137,null,477,null,17528,null,424,null,41811,null,664,null,47227,null,413,null,39121,null,447,null,24816,null,336,null,15904,null,765,null,4287,null,717,null,325780,null,2039,null,18872,null,909,null,17637,null,1497,null,17729,null,1429,null,12237,null,547,null,9098,null,311,null,19972,null,442,null,19581,null,242,null,18020,null,358,null,42708,null,737,null,48431,null,322,null,43173,null,517,null,28860,null,505,null,20402,null,1104,null,9060,null,1086,null,0400000US10,Delaware,10
221911,null,3817,null,111393,null,2037,null,6811,null,588,null,3732,null,663,null,2416,null,619,null,1270,null,131,null,4675,null,813,null,11022,null,797,null,15258,null,694,null,11775,null,641,null,19468,null,725,null,13313,null,484,null,10979,null,472,null,6596,null,157,null,3094,null,437,null,984,null,447,null,110518,null,2186,null,6287,null,490,null,3300,null,772,null,2334,null,630,null,1279,null,137,null,6397,null,1282,null,12250,null,1242,null,16212,null,478,null,11932,null,390,null,15295,null,779,null,10721,null,512,null,11880,null,374,null,6419,null,390,null,3642,null,668,null,2570,null,645,null,0400000US11,District of Columbia,11
14215502,null,25777,null,6999373,null,16932,null,402052,null,4138,null,368722,null,8072,null,407643,null,8797,null,254123,null,2972,null,174680,null,4239,null,425312,null,4961,null,443044,null,4938,null,408280,null,4213,null,969129,null,4697,null,1022861,null,3887,null,856091,null,2624,null,627715,null,2033,null,485574,null,6011,null,154147,null,6184,null,7216129,null,14298,null,378862,null,3622,null,356574,null,7962,null,377166,null,7788,null,237972,null,2751,null,161171,null,2836,null,393768,null,3848,null,411117,null,3991,null,385207,null,3271,null,927053,null,4405,null,1049907,null,4130,null,944079,null,2873,null,719344,null,2349,null,600937,null,6969,null,272972,null,6799,null,0400000US12,Florida,12
