B14002_001E,B14002_001EA,B14002_001M,B14002_001MA,B14002_002E,B14002_002EA,B14002_002M,B14002_002MA,B14002_003E,B14002_003EA,B14002_003M,B14002_003MA,B14002_004E,B14002_004EA,B14002_004M,B14002_004MA,B14002_005E,B14002_005EA,B14002_005M,B14002_005MA,B14002_006E,B14002_006EA,B14002_006M,B14002_006MA,B14002_007E,B14002_007EA,B14002_007M,B14002_007MA,B14002_008E,B14002_008EA,B14002_008M,B14002_008MA,B14002_009E,B14002_009EA,B14002_009M,B14002_009MA,B14002_010E,B14002_010EA,B14002_010M,B14002_010MA,B14002_011E,B14002_011EA,B14002_011M,B14002_011MA,B14002_012E,B14002_012EA,B14002_012M,B14002_012MA,B14002_013E,B14002_013EA,B14002_013M,B14002_013MA,B14002_014E,B14002_014EA,B14002_014M,B14002_014MA,B14002_015E,B14002_015EA,B14002_015M,B14002_015MA,B14002_016E,B14002_016EA,B14002_016M,B14002_016MA,B14002_017E,B14002_017EA,B14002_017M,B14002_017MA,B14002_018E,B14002_018EA,B14002_018M,B14002_018MA,B14002_019E,B14002_019EA,B14002_019M,B14002_019MA,B14002_020E,B14002_020EA,B14002_020M,B14002_020MA,B14002_021E,B14002_021EA,B14002_021M,B14002_021MA,B14002_022E,B14002_022EA,B14002_022M,B14002_022MA,B14002_023E,B14002_023EA,B14002_023M,B14002_023MA,B14002_024E,B14002_024EA,B14002_024M,B14002_024MA,B14002_025E,B14002_025EA,B14002_025M,B14002_025MA,B14002_026E,B14002_026EA,B14002_026M,B14002_026MA,B14002_027E,B14002_027EA,B14002_027M,B14002_027MA,B14002_028E,B14002_028EA,B14002_028M,B14002_028MA,B14002_029E,B14002_029EA,B14002_029M,B14002_029MA,B14002_030E,B14002_030EA,B14002_030M,B14002_030MA,B14002_031E,B14002_031EA,B14002_031M,B14002_031MA,B14002_032E,B14002_032EA,B14002_032M,B14002_032MA,B14002_033E,B14002_033EA,B14002_033M,B14002_033MA,B14002_034E,B14002_034EA,B14002_034M,B14002_034MA,B14002_035E,B14002_035EA,B14002_035M,B14002_035MA,B14002_036E,B14002_036EA,B14002_036M,B14002_036MA,B14002_037E,B14002_037EA,B14002_037M,B14002_037MA,B14002_038E,B14002_038EA,B14002_038M,B14002_038MA,B14002_039E,B14002_039EA,B14002_039M,B14002_039MA,B14002_040E,B14002_040EA,B14002_040M,B14002_040MA,B14002_041E,B14002_041EA,B14002_041M,B14002_041MA,B14002_042E,B14002_042EA,B14002_042M,B14002_042MA,B14002_043E,B14002_043EA,B14002_043M,B14002_043MA,B14002_044E,B14002_044EA,B14002_044M,B14002_044MA,B14002_045E,B14002_045EA,B14002_045M,B14002_045MA,B14002_046E,B14002_046EA,B14002_046M,B14002_046MA,B14002_047E,B14002_047EA,B14002_047M,B14002_047MA,B14002_048E,B14002_048EA,B14002_048M,B14002_048MA,B14002_049E,B14002_049EA,B14002_049M,B14002_049MA,GEO_ID,NAME,state
4479229,null,5046,null,2167256,null,4574,null,574157,null,7535,null,36233,null,2827,null,16874,null,2055,null,19359,null,1791,null,33096,null,3066,null,29105,null,2678,null,3991,null,1096,null,125574,null,5108,null,113878,null,5032,null,11696,null,1511,null,133602,null,4488,null,119128,null,4155,null,14474,null,1913,null,128565,null,3400,null,114777,null,3669,null,13788,null,1802,null,96392,null,5305,null,81870,null,4864,null,14522,null,2954,null,20695,null,2715,null,15871,null,2627,null,4824,null,1051,null,1593099,null,7015,null,2311973,null,4839,null,597228,null,7824,null,34375,null,3109,null,13831,null,2052,null,20544,null,2278,null,28249,null,2790,null,23809,null,2617,null,4440,null,873,null,124128,null,4202,null,110230,null,3945,null,13898,null,1804,null,122890,null,4607,null,108901,null,4623,null,13989,null,1731,null,120157,null,3768,null,106254,null,4093,null,13903,null,1744,null,139511,null,6095,null,119213,null,6251,null,20298,null,3177,null,27918,null,2936,null,22874,null,2828,null,5044,null,1030,null,1714745,null,7167,null,0400000US01,Alabama,01
653314,null,1588,null,339820,null,1863,null,98364,null,3593,null,5058,null,911,null,3406,null,829,null,1652,null,464,null,3356,null,652,null,3205,null,672,null,151,null,109,null,21931,null,1803,null,19338,null,1882,null,2593,null,901,null,18994,null,1910,null,17201,null,1921,null,1793,null,556,null,24313,null,2052,null,22470,null,2022,null,1843,null,665,null,19275,null,2536,null,16730,null,2376,null,2545,null,1157,null,5437,null,1606,null,4577,null,1545,null,860,null,457,null,241456,null,3607,null,313494,null,2202,null,95517,null,2772,null,5118,null,926,null,2551,null,616,null,2567,null,733,null,5026,null,982,null,4447,null,960,null,579,null,311,null,18510,null,1601,null,16469,null,1634,null,2041,null,539,null,20189,null,1906,null,17478,null,2073,null,2711,null,957,null,19804,null,1573,null,18425,null,1625,null,1379,null,490,null,20812,null,2111,null,17115,null,1976,null,3697,null,1063,null,6058,null,1076,null,4783,null,1016,null,1275,null,440,null,217977,null,2833,null,0400000US02,Alaska,02
6185209,null,6091,null,3097531,null,5841,null,834683,null,9588,null,44508,null,4068,null,27528,null,3352,null,16980,null,2224,null,46263,null,3780,null,42254,null,3742,null,4009,null,1118,null,188438,null,5540,null,174306,null,5351,null,14132,null,1886,null,188050,null,6046,null,175634,null,5894,null,12416,null,1912,null,185990,null,4279,null,173708,null,4580,null,12282,null,1641,null,150901,null,6380,null,128664,null,6063,null,22237,null,2696,null,30533,null,3238,null,21628,null,2530,null,8905,null,1802,null,2262848,null,9796,null,3087678,null,5141,null,843929,null,9896,null,40501,null,3331,null,21191,null,2438,null,19310,null,2289,null,42501,null,3687,null,38371,null,3542,null,4130,null,1207,null,178004,null,5886,null,167122,null,5729,null,10882,null,1760,null,176661,null,5908,null,163335,null,5768,null,13326,null,2227,null,177352,null,3771,null,167555,null,3889,null,9797,null,1249,null,185177,null,7665,null,159952,null,7505,null,25225,null,2949,null,43733,null,3310,null,29521,null,2345,null,14212,null,1978,null,2243749,null,10487,null,0400000US04,Arizona,04
2737889,null,3971,null,1338415,null,4899,null,351258,null,5664,null,27254,null,2541,null,18446,null,2288,null,8808,null,1527,null,20468,null,2137,null,18094,null,2075,null,2374,null,881,null,79974,null,3614,null,74084,null,3633,null,5890,null,1092,null,78040,null,3828,null,72406,null,3765,null,5634,null,1318,null,77146,null,2894,null,70374,null,2918,null,6772,null,1312,null,60847,null,4409,null,49620,null,4260,null,11227,null,2449,null,7529,null,1395,null,5800,null,1254,null,1729,null,673,null,987157,null,5930,null,1399474,null,3944,null,366354,null,6231,null,24429,null,2360,null,16122,null,2018,null,8307,null,1421,null,19465,null,2313,null,17754,null,2117,null,1711,null,750,null,77567,null,2980,null,70199,null,3148,null,7368,null,1259,null,71141,null,3404,null,65213,null,3459,null,5928,null,1346,null,76245,null,2503,null,69003,null,2632,null,7242,null,1482,null,81216,null,5059,null,67342,null,4708,null,13874,null,2908,null,16291,null,1976,null,11884,null,1581,null,4407,null,1253,null,1033120,null,6181,null,0400000US05,Arkansas,05
35123959,null,13511,null,17537144,null,11458,null,5130505,null,24153,null,300652,null,8703,null,165067,null,7739,null,135585,null,6169,null,256529,null,9242,null,227055,null,8405,null,29474,null,2790,null,1012426,null,12350,null,918958,null,12047,null,93468,null,5254,null,1054607,null,12744,null,961774,null,11848,null,92833,null,5845,null,1174002,null,12193,null,1077612,null,12788,null,96390,null,5501,null,1115382,null,17790,null,948629,null,15598,null,166753,null,8316,null,216907,null,10052,null,126795,null,7589,null,90112,null,5771,null,12406639,null,24047,null,17586815,null,8459,null,5248256,null,22047,null,289710,null,8002,null,156835,null,5454,null,132875,null,5654,null,252294,null,9316,null,223952,null,8578,null,28342,null,2931,null,961492,null,13012,null,865106,null,13030,null,96386,null,5226,null,1014419,null,13146,null,916203,null,12545,null,98216,null,4905,null,1104406,null,10947,null,1007457,null,12404,null,96949,null,4844,null,1339766,null,18182,null,1127156,null,17404,null,212610,null,8793,null,286169,null,8446,null,172753,null,7074,null,113416,null,6141,null,12338559,null,23737,null,0400000US06,California,06
4726000,null,5289,null,2379756,null,5525,null,631281,null,8465,null,46517,null,3942,null,25010,null,2847,null,21507,null,2519,null,33167,null,2969,null,29213,null,2740,null,3954,null,975,null,133200,null,4269,null,119988,null,4111,null,13212,null,1714,null,127369,null,4445,null,115868,null,4555,null,11501,null,1808,null,136201,null,3220,null,123730,null,3376,null,12471,null,1866,null,125156,null,5008,null,106471,null,4641,null,18685,null,2881,null,29671,null,3019,null,18110,null,2251,null,11561,null,1854,null,1748475,null,7313,null,2346244,null,4931,null,648638,null,7693,null,42719,null,2957,null,23743,null,2974,null,18976,null,1710,null,32928,null,2717,null,27892,null,2333,null,5036,null,1209,null,127734,null,4946,null,116685,null,4809,null,11049,null,1591,null,125399,null,5224,null,112820,null,4837,null,12579,null,1620,null,128274,null,3541,null,117476,null,3626,null,10798,null,1771,null,153472,null,5660,null,129153,null,5844,null,24319,null,2719,null,38112,null,2757,null,23830,null,2294,null,14282,null,1792,null,1697606,null,6952,null,0400000US08,Colorado,08
3376235,null,3578,null,1646328,null,2972,null,463880,null,6874,null,33378,null,2542,null,15202,null,1938,null,18176,null,1670,null,22023,null,2278,null,19112,null,2326,null,2911,null,866,null,92446,null,3165,null,84020,null,3093,null,8426,null,1476,null,93962,null,4281,null,84414,null,4267,null,9548,null,1466,null,105764,null,3154,null,93868,null,3499,null,11896,null,1834,null,92098,null,4668,null,57963,null,4777,null,34135,null,3458,null,24209,null,2759,null,11207,null,1985,null,13002,null,2157,null,1182448,null,6396,null,1729907,null,3273,null,468408,null,6215,null,30826,null,2899,null,14827,null,2237,null,15999,null,1866,null,16427,null,1785,null,14479,null,1674,null,1948,null,649,null,82322,null,3490,null,74536,null,3460,null,7786,null,1536,null,93295,null,3948,null,84432,null,3997,null,8863,null,1422,null,101270,null,3319,null,89332,null,3240,null,11938,null,1795,null,109806,null,4078,null,68151,null,3374,null,41655,null,3014,null,34462,null,3346,null,16692,null,2286,null,17770,null,2667,null,1261499,null,6205,null,0400000US09,Connecticut,09
836991,null,1923,null,405937,null,1403,null,111431,null,2581,null,7836,null,915,null,3377,null,865,null,4459,null,956,null,7093,null,1224,null,5441,null,1121,null,1652,null,601,null,21801,null,1803,null,18077,null,1708,null,3724,null,1033,null,22945,null,2163,null,18558,null,1802,null,4387,null,1092,null,23652,null,1772,null,20075,null,1726,null,3577,null,1115,null,22883,null,2455,null,19347,null,2379,null,3536,null,1003,null,5221,null,1293,null,2943,null,1108,null,2278,null,808,null,294506,null,2661,null,431054,null,1700,null,114044,null,3082,null,6320,null,1189,null,2996,null,899,null,3324,null,818,null,4931,null,1002,null,3398,null,884,null,1533,null,541,null,21636,null,1766,null,17573,null,1840,null,4063,null,1089,null,22432,null,1917,null,18225,null,1924,null,4207,null,1004,null,22088,null,1286,null,18789,null,1474,null,3299,null,830,null,30007,null,2799,null,25090,null,2606,null,4917,null,1335,null,6630,null,1379,null,3589,null,991,null,3041,null,863,null,317010,null,2852,null,0400000US10,Delaware,10
570088,null,1645,null,267794,null,1309,null,74185,null,2535,null,5949,null,1236,null,2980,null,815,null,2969,null,1049,null,2790,null,917,null,2046,null,746,null,744,null,477,null,12219,null,1437,null,9511,null,1408,null,2708,null,945,null,9567,null,1271,null,7266,null,1211,null,2301,null,777,null,14077,null,1531,null,10889,null,1517,null,3188,null,933,null,18349,null,2241,null,5996,null,1570,null,12353,null,2206,null,11234,null,1920,null,3318,null,1079,null,7916,null,1676,null,193609,null,2780,null,302294,null,1287,null,79930,null,3100,null,5668,null,1259,null,3957,null,1158,null,1711,null,697,null,2971,null,949,null,2460,null,910,null,511,null,362,null,11777,null,1393,null,9942,null,1458,null,1835,null,657,null,11473,null,1741,null,8876,null,1667,null,2597,null,685,null,13747,null,1411,null,11631,null,1241,null,2116,null,624,null,24342,null,2559,null,7082,null,1308,null,17260,null,2141,null,9952,null,1300,null,2188,null,951,null,7764,null,1201,null,222364,null,3057,null,0400000US11,District of Columbia,11
17645147,null,10858,null,8644713,null,11265,null,2100695,null,14224,null,149259,null,7189,null,72350,null,5183,null,76909,null,5018,null,108575,null,4997,null,90463,null,4789,null,18112,null,2306,null,443657,null,8623,null,390764,null,9017,null,52893,null,3670,null,461640,null,9599,null,403618,null,9723,null,58022,null,3913,null,463906,null,6983,null,412576,null,7780,null,51330,null,3896,null,397452,null,11568,null,311907,null,10001,null,85545,null,6805,null,76206,null,4253,null,46237,null,3631,null,29969,null,3012,null,6544018,null,14433,null,9000434,null,9001,null,2199105,null,15755,null,144031,null,6669,null,71621,null,4861,null,72410,null,4242,null,101425,null,4998,null,84967,null,5106,null,16458,null,1965,null,426763,null,10133,null,373838,null,10804,null,52925,null,3925,null,424530,null,11334,null,369724,null,11094,null,54806,null,4710,null,444527,null,8758,null,393607,null,8773,null,50920,null,3634,null,545287,null,13002,null,425744,null,12253,null,119543,null,6664,null,112542,null,5852,null,66787,null,4771,null,45755,null,3385,null,6801329,null,16049,null,0400000US12,Florida,12
