C17010I_001E,C17010I_001EA,C17010I_001M,C17010I_001MA,C17010I_002E,C17010I_002EA,C17010I_002M,C17010I_002MA,C17010I_003E,C17010I_003EA,C17010I_003M,C17010I_003MA,C17010I_004E,C17010I_004EA,C17010I_004M,C17010I_004MA,C17010I_005E,C17010I_005EA,C17010I_005M,C17010I_005MA,C17010I_006E,C17010I_006EA,C17010I_006M,C17010I_006MA,C17010I_007E,C17010I_007EA,C17010I_007M,C17010I_007MA,C17010I_008E,C17010I_008EA,C17010I_008M,C17010I_008MA,C17010I_009E,C17010I_009EA,C17010I_009M,C17010I_009MA,C17010I_010E,C17010I_010EA,C17010I_010M,C17010I_010MA,C17010I_011E,C17010I_011EA,C17010I_011M,C17010I_011MA,C17010I_012E,C17010I_012EA,C17010I_012M,C17010I_012MA,C17010I_013E,C17010I_013EA,C17010I_013M,C17010I_013MA,C17010I_014E,C17010I_014EA,C17010I_014M,C17010I_014MA,C17010I_015E,C17010I_015EA,C17010I_015M,C17010I_015MA,C17010I_016E,C17010I_016EA,C17010I_016M,C17010I_016MA,C17010I_017E,C17010I_017EA,C17010I_017M,C17010I_017MA,GEO_ID,NAME,state
24059,null,1797,null,6335,null,1387,null,3625,null,1204,null,3248,null,1213,null,2710,null,1024,null,402,null,259,null,216,null,189,null,2308,null,973,null,2104,null,946,null,17724,null,1823,null,13137,null,1858,null,8228,null,1527,null,4587,null,1137,null,2435,null,943,null,1334,null,792,null,2152,null,719,null,1770,null,640,null,0400000US01,Alabama,01
7117,null,1439,null,521,null,347,null,41,null,73,null,0,null,240,null,480,null,336,null,48,null,80,null,48,null,80,null,432,null,305,null,432,null,305,null,6596,null,1381,null,4921,null,1268,null,2877,null,1174,null,1675,null,619,null,418,null,262,null,305,null,237,null,1257,null,593,null,1013,null,541,null,0400000US02,Alaska,02
373182,null,7183,null,78165,null,5218,null,31450,null,3733,null,26232,null,3245,null,46715,null,4067,null,8204,null,1646,null,7325,null,1665,null,38511,null,3663,null,36125,null,3462,null,295017,null,7590,null,207346,null,6695,null,136976,null,5896,null,87671,null,4761,null,34834,null,3170,null,21121,null,2379,null,52837,null,3030,null,39160,null,2739,null,0400000US04,Arizona,04
30571,null,2146,null,8957,null,1702,null,5313,null,1381,null,4840,null,1394,null,3644,null,1125,null,848,null,421,null,767,null,401,null,2796,null,994,null,2607,null,990,null,21614,null,2054,null,15564,null,1833,null,10551,null,1506,null,6050,null,1253,null,3338,null,955,null,2157,null,827,null,2712,null,753,null,2540,null,768,null,0400000US05,Arkansas,05
2642869,null,14272,null,456393,null,11551,null,207739,null,6777,null,177095,null,6788,null,248654,null,8680,null,49092,null,3922,null,43063,null,3765,null,199562,null,7783,null,183418,null,7393,null,2186476,null,14898,null,1517066,null,16036,null,1034838,null,13173,null,669410,null,11873,null,259837,null,8262,null,153167,null,6150,null,409573,null,8863,null,278258,null,8025,null,0400000US06,California,06
207041,null,4790,null,43146,null,4009,null,21635,null,3049,null,17149,null,2684,null,21511,null,2699,null,4320,null,1488,null,3742,null,1360,null,17191,null,2247,null,16086,null,2149,null,163895,null,4855,null,117495,null,4960,null,71291,null,4419,null,46400,null,3514,null,18188,null,2306,null,10606,null,1944,null,28212,null,2300,null,20530,null,1847,null,0400000US08,Colorado,08
92741,null,3435,null,21554,null,2100,null,3576,null,1001,null,2540,null,818,null,17978,null,2053,null,2021,null,816,null,1766,null,764,null,15957,null,1877,null,14689,null,1846,null,71187,null,3480,null,44152,null,2816,null,28250,null,2620,null,27035,null,2683,null,7590,null,1479,null,3961,null,1051,null,19445,null,2128,null,14214,null,1807,null,0400000US09,Connecticut,09
12513,null,1247,null,2641,null,871,null,1428,null,783,null,1334,null,779,null,1213,null,600,null,419,null,323,null,320,null,281,null,794,null,546,null,631,null,468,null,9872,null,1279,null,7559,null,1060,null,5485,null,980,null,2313,null,836,null,932,null,482,null,744,null,471,null,1381,null,641,null,723,null,412,null,0400000US10,Delaware,10
9570,null,1336,null,1397,null,824,null,584,null,475,null,236,null,358,null,813,null,604,null,55,null,98,null,0,null,296,null,758,null,596,null,516,null,417,null,8173,null,1229,null,4123,null,1068,null,2921,null,881,null,4050,null,1018,null,2189,null,830,null,1207,null,672,null,1861,null,677,null,1146,null,643,null,0400000US11,District of Columbia,11
895190,null,11625,null,130598,null,6375,null,60789,null,4496,null,38840,null,3713,null,69809,null,4710,null,12997,null,2251,null,10153,null,2252,null,56812,null,4158,null,49745,null,3942,null,764592,null,10924,null,544151,null,9932,null,291939,null,8632,null,220441,null,7696,null,82640,null,5278,null,40154,null,3424,null,137801,null,5730,null,84158,null,4804,null,0400000US12,Florida,12
