B12002I_001E,B12002I_001EA,B12002I_001M,B12002I_001MA,B12002I_002E,B12002I_002EA,B12002I_002M,B12002I_002MA,B12002I_003E,B12002I_003EA,B12002I_003M,B12002I_003MA,B12002I_004E,B12002I_004EA,B12002I_004M,B12002I_004MA,B12002I_005E,B12002I_005EA,B12002I_005M,B12002I_005MA,B12002I_006E,B12002I_006EA,B12002I_006M,B12002I_006MA,B12002I_007E,B12002I_007EA,B12002I_007M,B12002I_007MA,B12002I_008E,B12002I_008EA,B12002I_008M,B12002I_008MA,B12002I_009E,B12002I_009EA,B12002I_009M,B12002I_009MA,B12002I_010E,B12002I_010EA,B12002I_010M,B12002I_010MA,B12002I_011E,B12002I_011EA,B12002I_011M,B12002I_011MA,B12002I_012E,B12002I_012EA,B12002I_012M,B12002I_012MA,B12002I_013E,B12002I_013EA,B12002I_013M,B12002I_013MA,GEO_ID,NAME,state
83119,null,2270,null,48281,null,2496,null,18347,null,1954,null,25602,null,2815,null,982,null,528,null,342,null,310,null,3008,null,999,null,34838,null,1452,null,10338,null,1569,null,18551,null,1607,null,1198,null,491,null,1639,null,644,null,3112,null,1026,null,0400000US01,Alabama,01
28768,null,1553,null,16653,null,1487,null,6034,null,1190,null,8086,null,1011,null,731,null,457,null,275,null,216,null,1527,null,681,null,12115,null,519,null,3878,null,898,null,5523,null,890,null,476,null,401,null,390,null,314,null,1848,null,683,null,0400000US02,Alaska,02
1330484,null,1275,null,694169,null,1091,null,301270,null,7852,null,315190,null,8018,null,14435,null,2252,null,8813,null,1684,null,54461,null,4190,null,636315,null,947,null,232142,null,6337,null,279918,null,6703,null,24159,null,3122,null,33975,null,2507,null,66121,null,4636,null,0400000US04,Arizona,04
100460,null,1826,null,56071,null,1751,null,21890,null,2473,null,28898,null,2111,null,1148,null,646,null,507,null,372,null,3628,null,1118,null,44389,null,1288,null,15571,null,1810,null,23896,null,2092,null,1236,null,632,null,1139,null,766,null,2547,null,810,null,0400000US05,Arkansas,05
9545970,null,1000,null,4910664,null,1407,null,2178707,null,16474,null,2274270,null,16138,null,117349,null,7463,null,69176,null,4856,null,271162,null,8821,null,4635306,null,1384,null,1739580,null,13279,null,2069719,null,16359,null,192572,null,7706,null,253266,null,7468,null,380169,null,9974,null,0400000US06,California,06
692432,null,947,null,367683,null,1417,null,140767,null,5544,null,177198,null,5470,null,9757,null,2140,null,7198,null,1607,null,32763,null,3364,null,324749,null,1374,null,104402,null,4027,null,158286,null,4951,null,11410,null,1962,null,17529,null,2113,null,33122,null,2710,null,0400000US08,Colorado,08
301818,null,988,null,151580,null,1144,null,71068,null,3076,null,63443,null,3111,null,3720,null,1100,null,2221,null,719,null,11128,null,1590,null,150238,null,771,null,59020,null,2579,null,56886,null,3160,null,9567,null,1505,null,7060,null,1422,null,17705,null,1987,null,0400000US09,Connecticut,09
38526,null,256,null,20476,null,583,null,7376,null,1172,null,10857,null,1106,null,442,null,319,null,578,null,581,null,1223,null,517,null,18050,null,574,null,6253,null,1114,null,8532,null,1041,null,572,null,448,null,258,null,222,null,2435,null,938,null,0400000US10,Delaware,10
40244,null,0,*****,20978,null,346,null,12011,null,1273,null,6863,null,1143,null,1184,null,679,null,65,null,88,null,855,null,441,null,19266,null,347,null,10069,null,1154,null,6308,null,1291,null,446,null,382,null,1120,null,727,null,1323,null,679,null,0400000US11,District of Columbia,11
2990280,null,4647,null,1505706,null,6938,null,549075,null,10247,null,756213,null,12007,null,36425,null,3950,null,28525,null,2883,null,135468,null,7024,null,1484574,null,3838,null,398538,null,8357,null,695911,null,12547,null,60510,null,3897,null,129974,null,5882,null,199641,null,8483,null,0400000US12,Florida,12
506781,null,3516,null,300141,null,4144,null,125531,null,6737,null,149815,null,6076,null,8539,null,2351,null,3726,null,1291,null,12530,null,2441,null,206640,null,3040,null,65427,null,5024,null,112414,null,4182,null,6789,null,1344,null,5891,null,1255,null,16119,null,2072,null,0400000US13,Georgia,13
75460,null,464,null,39816,null,541,null,19195,null,1560,null,15561,null,1716,null,736,null,536,null,469,null,280,null,3855,null,1054,null,35644,null,424,null,13222,null,1160,null,15490,null,1470,null,1131,null,437,null,1652,null,446,null,4149,null,967,null,0400000US15,Hawaii,15
101302,null,985,null,54527,null,1341,null,21939,null,1760,null,28716,null,1797,null,793,null,519,null,179,null,169,null,2900,null,1001,null,46775,null,1251,null,14190,null,1650,null,25173,null,1596,null,1024,null,484,null,2444,null,801,null,3944,null,1123,null,0400000US16,Idaho,16
1372773,null,2030,null,736174,null,1674,null,319275,null,5727,null,356891,null,7484,null,13888,null,2478,null,9075,null,1642,null,37045,null,3730,null,636599,null,1953,null,234872,null,6088,null,302070,null,7596,null,21239,null,2323,null,27192,null,2307,null,51226,null,3783,null,0400000US17,Illinois,17
216992,null,1636,null,119634,null,1840,null,49621,null,2940,null,58403,null,3096,null,1754,null,511,null,1506,null,685,null,8350,null,1360,null,97358,null,1496,null,34140,null,2328,null,46117,null,2360,null,4650,null,959,null,5475,null,1388,null,6976,null,1101,null,0400000US18,Indiana,18
79854,null,1412,null,42474,null,1363,null,17291,null,1713,null,21532,null,1544,null,1097,null,460,null,234,null,182,null,2320,null,779,null,37380,null,1337,null,14015,null,1555,null,17710,null,1499,null,1068,null,443,null,1262,null,537,null,3325,null,1014,null,0400000US19,Iowa,19
168077,null,1171,null,90471,null,1500,null,35308,null,2219,null,45550,null,2469,null,1503,null,501,null,1494,null,621,null,6616,null,1218,null,77606,null,1234,null,23745,null,1988,null,39463,null,2028,null,3639,null,1194,null,3426,null,835,null,7333,null,1361,null,0400000US20,Kansas,20
