C17010H_001E,C17010H_001EA,C17010H_001M,C17010H_001MA,C17010H_002E,C17010H_002EA,C17010H_002M,C17010H_002MA,C17010H_003E,C17010H_003EA,C17010H_003M,C17010H_003MA,C17010H_004E,C17010H_004EA,C17010H_004M,C17010H_004MA,C17010H_005E,C17010H_005EA,C17010H_005M,C17010H_005MA,C17010H_006E,C17010H_006EA,C17010H_006M,C17010H_006MA,C17010H_007E,C17010H_007EA,C17010H_007M,C17010H_007MA,C17010H_008E,C17010H_008EA,C17010H_008M,C17010H_008MA,C17010H_009E,C17010H_009EA,C17010H_009M,C17010H_009MA,C17010H_010E,C17010H_010EA,C17010H_010M,C17010H_010MA,C17010H_011E,C17010H_011EA,C17010H_011M,C17010H_011MA,C17010H_012E,C17010H_012EA,C17010H_012M,C17010H_012MA,C17010H_013E,C17010H_013EA,C17010H_013M,C17010H_013MA,C17010H_014E,C17010H_014EA,C17010H_014M,C17010H_014MA,C17010H_015E,C17010H_015EA,C17010H_015M,C17010H_015MA,C17010H_016E,C17010H_016EA,C17010H_016M,C17010H_016MA,C17010H_017E,C17010H_017EA,C17010H_017M,C17010H_017MA,GEO_ID,NAME,state
877062,null,8919,null,64183,null,3722,null,29591,null,3043,null,16282,null,2233,null,34592,null,3009,null,4979,null,1076,null,3037,null,845,null,29613,null,2738,null,24784,null,2604,null,812879,null,9223,null,685537,null,9153,null,272983,null,8195,null,127342,null,5447,null,41037,null,3156,null,21355,null,2244,null,86305,null,4101,null,47146,null,3386,null,0400000US01,Alabama,01
111181,null,3397,null,3720,null,870,null,1021,null,386,null,619,null,254,null,2699,null,793,null,683,null,335,null,519,null,272,null,2016,null,715,null,1898,null,715,null,107461,null,3503,null,89655,null,3484,null,41210,null,3212,null,17806,null,2419,null,7581,null,1501,null,4285,null,1075,null,10225,null,1601,null,7715,null,1478,null,0400000US02,Alaska,02
973544,null,10368,null,52878,null,4586,null,24498,null,2752,null,9482,null,1782,null,28380,null,3225,null,5315,null,1633,null,3635,null,1434,null,23065,null,2708,null,20595,null,2442,null,920666,null,10720,null,762244,null,10599,null,267676,null,7085,null,158422,null,6164,null,52788,null,3839,null,30251,null,3237,null,105634,null,5008,null,60785,null,4044,null,0400000US04,Arizona,04
595310,null,6852,null,52969,null,3208,null,20944,null,2185,null,12149,null,1727,null,32025,null,2594,null,4198,null,878,null,3026,null,779,null,27827,null,2568,null,24396,null,2483,null,542341,null,7142,null,456275,null,7415,null,174878,null,5450,null,86066,null,3371,null,25617,null,2371,null,13361,null,1694,null,60449,null,3119,null,32332,null,2408,null,0400000US05,Arkansas,05
3907625,null,20135,null,191824,null,7588,null,77935,null,4995,null,40218,null,3279,null,113889,null,5810,null,20520,null,2259,null,13335,null,1993,null,93369,null,5166,null,77226,null,4510,null,3715801,null,20317,null,3012867,null,19657,null,1193673,null,14808,null,702934,null,11873,null,221634,null,8529,null,114715,null,5774,null,481300,null,10772,null,255332,null,7212,null,0400000US06,California,06
909634,null,10383,null,40625,null,3284,null,17678,null,1900,null,9234,null,1456,null,22947,null,2434,null,4099,null,1250,null,3122,null,1051,null,18848,null,2117,null,16372,null,1885,null,869009,null,10360,null,728185,null,9150,null,308386,null,6995,null,140824,null,6268,null,45050,null,3265,null,25435,null,2936,null,95774,null,5371,null,58658,null,3917,null,0400000US08,Colorado,08
681225,null,6343,null,21580,null,2320,null,8499,null,1338,null,4185,null,1061,null,13081,null,1989,null,1919,null,723,null,924,null,375,null,11162,null,1749,null,9322,null,1706,null,659645,null,5709,null,547476,null,7315,null,232913,null,5439,null,112169,null,5777,null,31676,null,3155,null,14601,null,2090,null,80493,null,4878,null,42040,null,3522,null,0400000US09,Connecticut,09
158777,null,3503,null,5708,null,1258,null,1539,null,515,null,649,null,339,null,4169,null,1147,null,564,null,395,null,321,null,335,null,3605,null,1039,null,3014,null,956,null,153069,null,3575,null,126238,null,3200,null,45187,null,2697,null,26831,null,2590,null,9163,null,1456,null,5275,null,1319,null,17668,null,1945,null,10572,null,1654,null,0400000US10,Delaware,10
30188,null,2103,null,448,null,250,null,220,null,186,null,102,null,118,null,228,null,187,null,0,null,296,null,0,null,296,null,228,null,187,null,228,null,187,null,29740,null,2096,null,26726,null,1977,null,8133,null,1171,null,3014,null,771,null,1284,null,631,null,476,null,299,null,1730,null,525,null,732,null,401,null,0400000US11,District of Columbia,11
2926140,null,18323,null,175253,null,7400,null,85521,null,4916,null,34802,null,3164,null,89732,null,6072,null,17249,null,2488,null,12329,null,2025,null,72483,null,5236,null,60835,null,4731,null,2750887,null,17897,null,2278454,null,17191,null,719738,null,12450,null,472433,null,10896,null,145985,null,6210,null,74078,null,4914,null,326448,null,9006,null,174374,null,6112,null,0400000US12,Florida,12
