C12002D_001E,C12002D_001EA,C12002D_001M,C12002D_001MA,C12002D_002E,C12002D_002EA,C12002D_002M,C12002D_002MA,C12002D_003E,C12002D_003EA,C12002D_003M,C12002D_003MA,C12002D_004E,C12002D_004EA,C12002D_004M,C12002D_004MA,C12002D_005E,C12002D_005EA,C12002D_005M,C12002D_005MA,C12002D_006E,C12002D_006EA,C12002D_006M,C12002D_006MA,GEO_ID,NAME,state
34663,null,2092,null,9313,null,1587,null,21324,null,2147,null,599,null,360,null,1438,null,633,null,1989,null,760,null,0400000US01,Alabama,01
26805,null,1408,null,7661,null,981,null,14523,null,1467,null,718,null,528,null,1558,null,567,null,2345,null,686,null,0400000US02,Alaska,02
124398,null,2833,null,32612,null,2446,null,74039,null,3304,null,1022,null,615,null,7291,null,1397,null,9434,null,1866,null,0400000US04,Arizona,04
22823,null,1423,null,7132,null,1366,null,12015,null,1589,null,471,null,450,null,915,null,448,null,2290,null,949,null,0400000US05,Arkansas,05
3784703,null,8857,null,1169685,null,14459,null,2140123,null,15012,null,53627,null,3944,null,208812,null,7160,null,212456,null,8972,null,0400000US06,California,06
103241,null,2380,null,27844,null,2756,null,61923,null,2791,null,1537,null,541,null,5261,null,1071,null,6676,null,1224,null,0400000US08,Colorado,08
95415,null,1677,null,28036,null,1971,null,59699,null,2415,null,430,null,293,null,3298,null,815,null,3952,null,1033,null,0400000US09,Connecticut,09
19669,null,678,null,4294,null,1019,null,13174,null,1120,null,301,null,352,null,775,null,405,null,1125,null,482,null,0400000US10,Delaware,10
17489,null,664,null,9775,null,1207,null,5891,null,1160,null,116,null,204,null,635,null,495,null,1072,null,574,null,0400000US11,District of Columbia,11
340102,null,3840,null,86160,null,4174,null,215385,null,5189,null,3876,null,1134,null,14045,null,1591,null,20636,null,2767,null,0400000US12,Florida,12
217401,null,4228,null,57782,null,3952,null,138288,null,4539,null,3046,null,1353,null,8632,null,1660,null,9653,null,1835,null,0400000US13,Georgia,13
440274,null,7143,null,119135,null,5224,null,244336,null,6150,null,4227,null,1108,null,40358,null,2414,null,32218,null,3261,null,0400000US15,Hawaii,15
14682,null,1458,null,4388,null,1131,null,8817,null,1232,null,0,null,259,null,825,null,582,null,652,null,399,null,0400000US16,Idaho,16
450132,null,3834,null,136972,null,5310,null,275525,null,5589,null,5522,null,1743,null,16180,null,1709,null,15933,null,2020,null,0400000US17,Illinois,17
67240,null,2080,null,21443,null,1866,null,40031,null,2570,null,601,null,398,null,1868,null,767,null,3297,null,929,null,0400000US18,Indiana,18
36119,null,1663,null,13842,null,1588,null,19080,null,1706,null,530,null,372,null,944,null,411,null,1723,null,645,null,0400000US19,Iowa,19
47084,null,1693,null,13940,null,1704,null,28150,null,1989,null,74,null,92,null,2292,null,613,null,2628,null,778,null,0400000US20,Kansas,20
33512,null,3134,null,10465,null,2187,null,20935,null,2022,null,95,null,114,null,863,null,380,null,1154,null,533,null,0400000US21,Kentucky,21
51534,null,2697,null,17662,null,2278,null,28602,null,2481,null,669,null,500,null,2258,null,884,null,2343,null,780,null,0400000US22,Louisiana,22
8166,null,779,null,2332,null,567,null,4054,null,860,null,242,null,241,null,555,null,281,null,983,null,549,null,0400000US23,Maine,23
233360,null,2358,null,61956,null,3378,null,151248,null,3831,null,2721,null,947,null,8576,null,1194,null,8859,null,1649,null,0400000US24,Maryland,24
260547,null,2276,null,85813,null,3647,null,153196,null,4270,null,2878,null,1066,null,8616,null,1349,null,10044,null,1543,null,0400000US25,Massachusetts,25
183439,null,2645,null,52695,null,2835,null,114847,null,3553,null,1401,null,568,null,6486,null,1122,null,8010,null,1762,null,0400000US26,Michigan,26
136032,null,2155,null,44127,null,2255,null,77163,null,2959,null,2313,null,728,null,4379,null,744,null,8050,null,1428,null,0400000US27,Minnesota,27
18820,null,2472,null,6312,null,1618,null,11354,null,1940,null,168,null,187,null,566,null,429,null,420,null,287,null,0400000US28,Mississippi,28
66219,null,2029,null,18054,null,1930,null,41672,null,2247,null,1011,null,599,null,1911,null,669,null,3571,null,816,null,0400000US29,Missouri,29
5319,null,1133,null,1898,null,1085,null,2894,null,682,null,0,null,235,null,403,null,326,null,124,null,137,null,0400000US30,Montana,30
20758,null,1459,null,7607,null,1006,null,10178,null,1326,null,269,null,242,null,931,null,649,null,1773,null,883,null,0400000US31,Nebraska,31
130528,null,2300,null,31448,null,2256,null,75283,null,3489,null,1587,null,559,null,8029,null,1424,null,14181,null,2033,null,0400000US32,Nevada,32
20416,null,1229,null,6183,null,1444,null,12467,null,1393,null,240,null,247,null,547,null,377,null,979,null,398,null,0400000US33,New Hampshire,33
529246,null,3083,null,122146,null,4555,null,367436,null,5217,null,4773,null,1299,null,19299,null,2068,null,15592,null,2161,null,0400000US34,New Jersey,34
