B19113I_001E,B19113I_001EA,B19113I_001M,B19113I_001MA,GEO_ID,NAME,state
33497,null,3916,null,0400000US01,Alabama,01
61761,null,7905,null,0400000US02,Alaska,02
41977,null,1270,null,0400000US04,Arizona,04
32277,null,4562,null,0400000US05,Arkansas,05
47390,null,489,null,0400000US06,California,06
40162,null,1588,null,0400000US08,Colorado,08
42614,null,4601,null,0400000US09,Connecticut,09
44893,null,6007,null,0400000US10,Delaware,10
43868,null,6614,null,0400000US11,District of Columbia,11
45422,null,959,null,0400000US12,Florida,12
41243,null,1450,null,0400000US13,Georgia,13
63346,null,5231,null,0400000US15,Hawaii,15
35743,null,3815,null,0400000US16,Idaho,16
48657,null,1180,null,0400000US17,Illinois,17
40863,null,2805,null,0400000US18,Indiana,18
38676,null,3480,null,0400000US19,Iowa,19
41723,null,3084,null,0400000US20,Kansas,20
36698,null,4796,null,0400000US21,Kentucky,21
45657,null,4694,null,0400000US22,Louisiana,22
54132,null,20608,null,0400000US23,Maine,23
58364,null,2499,null,0400000US24,Maryland,24
37452,null,2325,null,0400000US25,Massachusetts,25
40445,null,2480,null,0400000US26,Michigan,26
44072,null,3450,null,0400000US27,Minnesota,27
37239,null,4333,null,0400000US28,Mississippi,28
41431,null,3535,null,0400000US29,Missouri,29
45194,null,8176,null,0400000US30,Montana,30
40080,null,3535,null,0400000US31,Nebraska,31
47190,null,1765,null,0400000US32,Nevada,32
52662,null,14261,null,0400000US33,New Hampshire,33
50311,null,1621,null,0400000US34,New Jersey,34
41823,null,1655,null,0400000US35,New Mexico,35
41025,null,810,null,0400000US36,New York,36
33814,null,1844,null,0400000US37,North Carolina,37
32400,null,4811,null,0400000US38,North Dakota,38
41680,null,2432,null,0400000US39,Ohio,39
36864,null,2472,null,0400000US40,Oklahoma,40
37662,null,2287,null,0400000US41,Oregon,41
36512,null,2345,null,0400000US42,Pennsylvania,42
36150,null,2460,null,0400000US44,Rhode Island,44
35934,null,2226,null,0400000US45,South Carolina,45
45321,null,6042,null,0400000US46,South Dakota,46
34377,null,2841,null,0400000US47,Tennessee,47
39382,null,599,null,0400000US48,Texas,48
43451,null,2384,null,0400000US49,Utah,49
81539,null,40229,null,0400000US50,Vermont,50
59514,null,3620,null,0400000US51,Virginia,51
41751,null,1727,null,0400000US53,Washington,53
41754,null,17676,null,0400000US54,West Virginia,54
39057,null,3470,null,0400000US55,Wisconsin,55
50595,null,9917,null,0400000US56,Wyoming,56
21424,null,429,null,0400000US72,Puerto Rico,72
