C05003B_001E,C05003B_001EA,C05003B_001M,C05003B_001MA,C05003B_002E,C05003B_002EA,C05003B_002M,C05003B_002MA,C05003B_003E,C05003B_003EA,C05003B_003M,C05003B_003MA,C05003B_004E,C05003B_004EA,C05003B_004M,C05003B_004MA,C05003B_005E,C05003B_005EA,C05003B_005M,C05003B_005MA,C05003B_006E,C05003B_006EA,C05003B_006M,C05003B_006MA,C05003B_007E,C05003B_007EA,C05003B_007M,C05003B_007MA,C05003B_008E,C05003B_008EA,C05003B_008M,C05003B_008MA,C05003B_009E,C05003B_009EA,C05003B_009M,C05003B_009MA,C05003B_010E,C05003B_010EA,C05003B_010M,C05003B_010MA,C05003B_011E,C05003B_011EA,C05003B_011M,C05003B_011MA,C05003B_012E,C05003B_012EA,C05003B_012M,C05003B_012MA,C05003B_013E,C05003B_013EA,C05003B_013M,C05003B_013MA,C05003B_014E,C05003B_014EA,C05003B_014M,C05003B_014MA,C05003B_015E,C05003B_015EA,C05003B_015M,C05003B_015MA,GEO_ID,NAME,state
1220643,null,5459,null,566475,null,4344,null,170637,null,2929,null,170424,null,2924,null,213,null,272,null,395838,null,2713,null,391372,null,2895,null,4466,null,1088,null,654168,null,4451,null,169299,null,3417,null,169193,null,3389,null,106,null,136,null,484869,null,2342,null,481355,null,2597,null,3514,null,990,null,0400000US01,Alabama,01
24883,null,3362,null,13591,null,1847,null,3609,null,1109,null,3106,null,1024,null,503,null,781,null,9982,null,1492,null,8705,null,1397,null,1277,null,658,null,11292,null,2048,null,3227,null,1194,null,3023,null,1064,null,204,null,344,null,8065,null,1205,null,7191,null,1170,null,874,null,518,null,0400000US02,Alaska,02
235758,null,5217,null,125234,null,3096,null,39632,null,2267,null,36536,null,2716,null,3096,null,1388,null,85602,null,1882,null,75998,null,2644,null,9604,null,1856,null,110524,null,3284,null,33939,null,2421,null,31725,null,2494,null,2214,null,1091,null,76585,null,1893,null,68727,null,2487,null,7858,null,1855,null,0400000US04,Arizona,04
442636,null,4009,null,212073,null,3287,null,69072,null,2270,null,68998,null,2273,null,74,null,124,null,143001,null,2452,null,141142,null,2611,null,1859,null,1094,null,230563,null,3114,null,63439,null,2222,null,63385,null,2206,null,54,null,93,null,167124,null,2068,null,166726,null,2159,null,398,null,487,null,0400000US05,Arkansas,05
2260601,null,14054,null,1115979,null,9567,null,302573,null,6611,null,295790,null,6781,null,6783,null,1959,null,813406,null,5647,null,745034,null,6251,null,68372,null,6046,null,1144622,null,7863,null,285105,null,4580,null,280038,null,4516,null,5067,null,1366,null,859517,null,5405,null,793111,null,7102,null,66406,null,5099,null,0400000US06,California,06
187556,null,4562,null,99045,null,2986,null,26386,null,2056,null,24386,null,2043,null,2000,null,1126,null,72659,null,2271,null,63417,null,2322,null,9242,null,1939,null,88511,null,3024,null,26827,null,1868,null,24961,null,2032,null,1866,null,903,null,61684,null,2032,null,53422,null,2134,null,8262,null,1669,null,0400000US08,Colorado,08
331149,null,5145,null,158159,null,3061,null,46972,null,2071,null,45402,null,2146,null,1570,null,571,null,111187,null,2386,null,84069,null,3545,null,27118,null,2718,null,172990,null,3200,null,45095,null,2009,null,43136,null,2146,null,1959,null,693,null,127895,null,2169,null,95488,null,2855,null,32407,null,2805,null,0400000US09,Connecticut,09
179664,null,2808,null,84000,null,1987,null,25057,null,1673,null,24113,null,1726,null,944,null,711,null,58943,null,859,null,54400,null,1493,null,4543,null,1501,null,95664,null,1302,null,25283,null,853,null,24901,null,1014,null,382,null,499,null,70381,null,965,null,64072,null,1611,null,6309,null,1547,null,0400000US10,Delaware,10
316278,null,3298,null,142350,null,1811,null,36804,null,1185,null,36494,null,1248,null,310,null,308,null,105546,null,1310,null,96648,null,1987,null,8898,null,1647,null,173928,null,1804,null,35941,null,871,null,35733,null,950,null,208,null,256,null,137987,null,1324,null,128624,null,2621,null,9363,null,2089,null,0400000US11,District of Columbia,11
2815369,null,12463,null,1353959,null,7811,null,412681,null,6147,null,394254,null,6612,null,18427,null,2687,null,941278,null,5750,null,701992,null,9595,null,239286,null,8227,null,1461410,null,8406,null,397505,null,5490,null,377482,null,5933,null,20023,null,2454,null,1063905,null,5737,null,793442,null,8157,null,270463,null,8202,null,0400000US12,Florida,12
