B15002I_001E,B15002I_001EA,B15002I_001M,B15002I_001MA,B15002I_002E,B15002I_002EA,B15002I_002M,B15002I_002MA,B15002I_003E,B15002I_003EA,B15002I_003M,B15002I_003MA,B15002I_004E,B15002I_004EA,B15002I_004M,B15002I_004MA,B15002I_005E,B15002I_005EA,B15002I_005M,B15002I_005MA,B15002I_006E,B15002I_006EA,B15002I_006M,B15002I_006MA,B15002I_007E,B15002I_007EA,B15002I_007M,B15002I_007MA,B15002I_008E,B15002I_008EA,B15002I_008M,B15002I_008MA,B15002I_009E,B15002I_009EA,B15002I_009M,B15002I_009MA,B15002I_010E,B15002I_010EA,B15002I_010M,B15002I_010MA,B15002I_011E,B15002I_011EA,B15002I_011M,B15002I_011MA,B15002I_012E,B15002I_012EA,B15002I_012M,B15002I_012MA,B15002I_013E,B15002I_013EA,B15002I_013M,B15002I_013MA,B15002I_014E,B15002I_014EA,B15002I_014M,B15002I_014MA,B15002I_015E,B15002I_015EA,B15002I_015M,B15002I_015MA,B15002I_016E,B15002I_016EA,B15002I_016M,B15002I_016MA,B15002I_017E,B15002I_017EA,B15002I_017M,B15002I_017MA,B15002I_018E,B15002I_018EA,B15002I_018M,B15002I_018MA,B15002I_019E,B15002I_019EA,B15002I_019M,B15002I_019MA,GEO_ID,NAME,state
62087,null,2306,null,34925,null,2368,null,10550,null,1860,null,5708,null,1132,null,7868,null,1848,null,1128,null,572,null,3662,null,860,null,1276,null,549,null,3367,null,1244,null,1366,null,579,null,27162,null,1373,null,5761,null,1040,null,3818,null,923,null,8022,null,1511,null,932,null,443,null,4229,null,934,null,736,null,328,null,2693,null,852,null,971,null,499,null,0400000US01,Alabama,01
20547,null,1679,null,11292,null,1504,null,1155,null,780,null,1335,null,732,null,2688,null,863,null,430,null,381,null,2245,null,927,null,742,null,658,null,1557,null,726,null,1140,null,913,null,9255,null,633,null,459,null,321,null,871,null,447,null,1455,null,504,null,889,null,515,null,2624,null,731,null,825,null,429,null,1239,null,595,null,893,null,450,null,0400000US02,Alaska,02
1014101,null,1909,null,527281,null,1251,null,125195,null,7103,null,93322,null,6040,null,116335,null,6183,null,24461,null,3047,null,92879,null,5775,null,25320,null,2767,null,32653,null,3332,null,17116,null,2245,null,486820,null,1326,null,107753,null,5551,null,83193,null,4992,null,106187,null,5261,null,18160,null,2436,null,93854,null,4826,null,29060,null,2213,null,32850,null,3177,null,15763,null,2659,null,0400000US04,Arizona,04
71905,null,2224,null,39988,null,1735,null,13906,null,2110,null,9023,null,1719,null,8679,null,1484,null,1624,null,542,null,3096,null,1022,null,990,null,547,null,2004,null,848,null,666,null,387,null,31917,null,1342,null,10666,null,1772,null,7234,null,1134,null,5457,null,1320,null,788,null,492,null,3202,null,777,null,1164,null,594,null,1966,null,618,null,1440,null,583,null,0400000US05,Arkansas,05
7214696,null,2249,null,3706667,null,1855,null,979806,null,18698,null,674934,null,14119,null,809238,null,17144,null,94526,null,5121,null,617378,null,12644,null,168652,null,6760,null,258542,null,9378,null,103591,null,5754,null,3508029,null,1491,null,941681,null,14293,null,547922,null,11568,null,728655,null,15086,null,78998,null,4471,null,637542,null,11887,null,196288,null,7458,null,266570,null,7559,null,110373,null,5883,null,0400000US06,California,06
538344,null,2135,null,285978,null,1866,null,61480,null,4534,null,49873,null,3996,null,60453,null,3938,null,17988,null,2693,null,52450,null,3696,null,12724,null,1865,null,21216,null,2517,null,9794,null,1627,null,252366,null,1499,null,44952,null,4204,null,40399,null,3266,null,57301,null,3441,null,15104,null,2063,null,46773,null,3363,null,15550,null,2144,null,23174,null,2455,null,9113,null,1755,null,0400000US08,Colorado,08
229911,null,1200,null,113340,null,745,null,21412,null,2105,null,16592,null,2005,null,30955,null,3177,null,6349,null,1368,null,17279,null,2515,null,5179,null,1546,null,9834,null,1624,null,5740,null,1229,null,116571,null,857,null,19946,null,2503,null,16470,null,2096,null,26789,null,2339,null,5577,null,1197,null,21800,null,2697,null,7438,null,1548,null,12235,null,1871,null,6316,null,1038,null,0400000US09,Connecticut,09
29731,null,259,null,16012,null,286,null,5537,null,1202,null,1491,null,643,null,4266,null,959,null,310,null,199,null,1721,null,621,null,749,null,374,null,558,null,292,null,1380,null,789,null,13719,null,275,null,2683,null,783,null,2629,null,612,null,3309,null,943,null,476,null,303,null,2066,null,666,null,309,null,199,null,1471,null,500,null,776,null,483,null,0400000US10,Delaware,10
32589,null,0,*****,17338,null,0,*****,5392,null,1190,null,2701,null,891,null,925,null,452,null,259,null,383,null,2163,null,826,null,317,null,330,null,2948,null,808,null,2633,null,859,null,15251,null,0,*****,4691,null,1221,null,1688,null,747,null,1959,null,820,null,550,null,398,null,1929,null,988,null,351,null,385,null,1892,null,789,null,2191,null,756,null,0400000US11,District of Columbia,11
2448119,null,3933,null,1219269,null,3793,null,189174,null,8598,null,155830,null,7696,null,300188,null,10713,null,47748,null,3747,null,184670,null,7124,null,95300,null,6425,null,160222,null,6373,null,86137,null,4887,null,1228850,null,2937,null,182334,null,6351,null,117608,null,5920,null,295067,null,9310,null,38456,null,3427,null,207548,null,7254,null,112709,null,5983,null,192699,null,6939,null,82429,null,4457,null,0400000US12,Florida,12
395449,null,4005,null,233148,null,3709,null,70021,null,5798,null,35597,null,4248,null,56613,null,4496,null,6988,null,1805,null,28369,null,3334,null,6631,null,1796,null,20540,null,2835,null,8389,null,1717,null,162301,null,2274,null,37525,null,3153,null,22059,null,2497,null,36625,null,3280,null,6487,null,1511,null,24122,null,3046,null,8929,null,1593,null,18808,null,1852,null,7746,null,1376,null,0400000US13,Georgia,13
55284,null,908,null,28478,null,861,null,1139,null,435,null,2331,null,698,null,8849,null,1814,null,1637,null,649,null,6428,null,1223,null,2922,null,849,null,3625,null,1158,null,1547,null,604,null,26806,null,616,null,931,null,402,null,2267,null,753,null,7528,null,1371,null,1002,null,423,null,8260,null,1190,null,2297,null,690,null,3194,null,879,null,1327,null,607,null,0400000US15,Hawaii,15
72766,null,1183,null,39439,null,1324,null,15141,null,1722,null,5933,null,1501,null,8196,null,1225,null,1825,null,665,null,4324,null,980,null,1251,null,516,null,1754,null,807,null,1015,null,646,null,33327,null,1143,null,10709,null,1539,null,4906,null,1155,null,6131,null,1326,null,1353,null,577,null,6178,null,928,null,1982,null,680,null,1584,null,576,null,484,null,331,null,0400000US16,Idaho,16
1048984,null,2522,null,563933,null,2062,null,154317,null,5939,null,86695,null,5032,null,136679,null,6632,null,24439,null,2759,null,78857,null,5117,null,23622,null,2842,null,41385,null,3828,null,17939,null,2072,null,485051,null,1979,null,126932,null,4883,null,65324,null,3706,null,111951,null,5471,null,16956,null,2117,null,75089,null,4326,null,25003,null,2477,null,45285,null,3063,null,18511,null,1897,null,0400000US17,Illinois,17
163699,null,2180,null,91315,null,1897,null,23431,null,2422,null,16478,null,2211,null,23079,null,2374,null,4615,null,1137,null,11753,null,1798,null,3438,null,920,null,4967,null,1344,null,3554,null,1032,null,72384,null,1586,null,14975,null,1883,null,11770,null,1654,null,17646,null,2017,null,3265,null,879,null,11501,null,1675,null,4985,null,943,null,5802,null,1058,null,2440,null,802,null,0400000US18,Indiana,18
58103,null,2021,null,31798,null,1384,null,7175,null,967,null,5621,null,1104,null,7813,null,1172,null,1242,null,518,null,4632,null,1097,null,1008,null,351,null,2692,null,925,null,1615,null,692,null,26305,null,1500,null,6707,null,987,null,4373,null,978,null,5456,null,1036,null,1470,null,576,null,3131,null,903,null,2036,null,561,null,1907,null,799,null,1225,null,561,null,0400000US19,Iowa,19
