B12005_001E,B12005_001EA,B12005_001M,B12005_001MA,B12005_002E,B12005_002EA,B12005_002M,B12005_002MA,B12005_003E,B12005_003EA,B12005_003M,B12005_003MA,B12005_004E,B12005_004EA,B12005_004M,B12005_004MA,B12005_005E,B12005_005EA,B12005_005M,B12005_005MA,B12005_006E,B12005_006EA,B12005_006M,B12005_006MA,B12005_007E,B12005_007EA,B12005_007M,B12005_007MA,B12005_008E,B12005_008EA,B12005_008M,B12005_008MA,B12005_009E,B12005_009EA,B12005_009M,B12005_009MA,B12005_010E,B12005_010EA,B12005_010M,B12005_010MA,B12005_011E,B12005_011EA,B12005_011M,B12005_011MA,B12005_012E,B12005_012EA,B12005_012M,B12005_012MA,B12005_013E,B12005_013EA,B12005_013M,B12005_013MA,B12005_014E,B12005_014EA,B12005_014M,B12005_014MA,B12005_015E,B12005_015EA,B12005_015M,B12005_015MA,B12005_016E,B12005_016EA,B12005_016M,B12005_016MA,GEO_ID,NAME,state
3735070,null,2776,null,1028115,null,12901,null,995181,null,12352,null,32934,null,3766,null,1881236,null,21616,null,1809227,null,20385,null,72009,null,5740,null,92292,null,4925,null,89915,null,4768,null,2377,null,712,null,284173,null,5961,null,280441,null,5833,null,3732,null,933,null,449254,null,13636,null,440361,null,13487,null,8893,null,1588,null,0400000US01,Alabama,01
537334,null,1673,null,185152,null,5775,null,177123,null,5592,null,8029,null,1468,null,254277,null,7398,null,228890,null,7054,null,25387,null,2486,null,12380,null,2131,null,11030,null,2115,null,1350,null,584,null,18909,null,1712,null,16238,null,1665,null,2671,null,691,null,66616,null,4438,null,62172,null,4497,null,4444,null,1023,null,0400000US02,Alaska,02
5065307,null,1822,null,1594745,null,20676,null,1355723,null,19632,null,239022,null,11016,null,2456187,null,24220,null,1955149,null,21815,null,501038,null,14365,null,94210,null,5316,null,71655,null,5142,null,22555,null,3102,null,296455,null,8341,null,256670,null,8299,null,39785,null,3428,null,623710,null,14149,null,556210,null,13273,null,67500,null,5705,null,0400000US04,Arizona,04
2273362,null,2617,null,588242,null,10908,null,560267,null,11117,null,27975,null,3100,null,1179997,null,16830,null,1117392,null,16592,null,62605,null,3877,null,53949,null,3868,null,52412,null,3716,null,1537,null,652,null,166789,null,5227,null,162843,null,5111,null,3946,null,1120,null,284385,null,8089,null,278238,null,8075,null,6147,null,1638,null,0400000US05,Arkansas,05
29026913,null,3327,null,10197546,null,39978,null,7831873,null,32351,null,2365673,null,35016,null,13770246,null,48035,null,8123189,null,43668,null,5647057,null,33150,null,678822,null,13422,null,396936,null,8980,null,281886,null,9778,null,1563327,null,18505,null,1035077,null,15454,null,528250,null,12610,null,2816972,null,26950,null,2190617,null,24226,null,626355,null,13442,null,0400000US06,California,06
3932272,null,2038,null,1168494,null,17647,null,1057716,null,17062,null,110778,null,6667,null,2039640,null,19991,null,1757809,null,19723,null,281831,null,9109,null,67130,null,4983,null,54416,null,3872,null,12714,null,2436,null,187735,null,6567,null,165893,null,5872,null,21842,null,2878,null,469273,null,12345,null,435417,null,12105,null,33856,null,3336,null,0400000US08,Colorado,08
2839699,null,1329,null,903207,null,12251,null,802899,null,12141,null,100308,null,6276,null,1429748,null,16102,null,1167275,null,16223,null,262473,null,8002,null,41074,null,3454,null,31672,null,3018,null,9402,null,1694,null,181676,null,5853,null,155573,null,5460,null,26103,null,2426,null,283994,null,8553,null,249595,null,8007,null,34399,null,3102,null,0400000US09,Connecticut,09
702906,null,499,null,224412,null,6078,null,207640,null,6446,null,16772,null,2699,null,344917,null,8798,null,308074,null,7952,null,36843,null,3090,null,12281,null,1816,null,10893,null,1704,null,1388,null,704,null,44396,null,2694,null,41867,null,2614,null,2529,null,972,null,76900,null,4758,null,72722,null,4698,null,4178,null,1035,null,0400000US10,Delaware,10
499036,null,287,null,278099,null,5907,null,246278,null,5607,null,31821,null,3260,null,126553,null,6187,null,95290,null,5306,null,31263,null,3309,null,15178,null,2095,null,12935,null,1909,null,2243,null,1022,null,29254,null,1924,null,25648,null,1911,null,3606,null,1164,null,49952,null,3574,null,44318,null,3462,null,5634,null,1053,null,0400000US11,District of Columbia,11
15023092,null,5532,null,4302705,null,27637,null,3561990,null,29447,null,740715,null,19817,null,7384007,null,43084,null,5553722,null,39979,null,1830285,null,24891,null,353719,null,13545,null,255580,null,11727,null,98139,null,6486,null,1116385,null,16418,null,886299,null,14984,null,230086,null,8220,null,1866276,null,26307,null,1512923,null,23727,null,353353,null,12131,null,0400000US12,Florida,12
