B99191_001E,B99191_001EA,B99191_002E,B99191_002EA,B99191_003E,B99191_003EA,B99191_004E,B99191_004EA,B99191_005E,B99191_005EA,B99191_006E,B99191_006EA,B99191_007E,B99191_007EA,B99191_008E,B99191_008EA,GEO_ID,NAME,state
3735070,null,2902375,null,111679,null,18539,null,11199,null,15888,null,36811,null,638579,null,0400000US01,Alabama,01
537334,null,446125,null,5919,null,4323,null,2901,null,4559,null,30270,null,43237,null,0400000US02,Alaska,02
5065307,null,3967125,null,128178,null,20092,null,13116,null,16055,null,39031,null,881710,null,0400000US04,Arizona,04
2273362,null,1790565,null,58563,null,11444,null,6478,null,10937,null,25452,null,369923,null,0400000US05,Arkansas,05
29026913,null,22646444,null,797894,null,136896,null,77270,null,104035,null,254061,null,5010313,null,0400000US06,California,06
3932272,null,3234336,null,83012,null,19834,null,8698,null,11880,null,32383,null,542129,null,0400000US08,Colorado,08
2839699,null,2186632,null,75513,null,21957,null,9881,null,12143,null,31618,null,501955,null,0400000US09,Connecticut,09
702906,null,544178,null,15078,null,3890,null,2283,null,3701,null,6801,null,126975,null,0400000US10,Delaware,10
499036,null,362158,null,17180,null,2390,null,1345,null,2203,null,5714,null,108046,null,0400000US11,District of Columbia,11
15023092,null,11380172,null,474522,null,73269,null,43678,null,63976,null,148652,null,2838823,null,0400000US12,Florida,12
7561173,null,5676439,null,206632,null,39451,null,19472,null,26625,null,61163,null,1531391,null,0400000US13,Georgia,13
1052486,null,792280,null,24349,null,6346,null,3460,null,3791,null,10977,null,211283,null,0400000US15,Hawaii,15
1179440,null,989574,null,20211,null,5462,null,2874,null,6217,null,11006,null,144096,null,0400000US16,Idaho,16
10269170,null,7913292,null,264304,null,63328,null,30709,null,38796,null,90654,null,1868087,null,0400000US17,Illinois,17
5065862,null,4067248,null,131827,null,28794,null,13094,null,18292,null,47051,null,759556,null,0400000US18,Indiana,18
2418896,null,1973527,null,49858,null,17219,null,9976,null,11447,null,26211,null,330658,null,0400000US19,Iowa,19
2218840,null,1825824,null,46747,null,13904,null,6396,null,9895,null,24591,null,291483,null,0400000US20,Kansas,20
3435315,null,2793218,null,86855,null,16712,null,9130,null,15673,null,32114,null,481613,null,0400000US21,Kentucky,21
3493783,null,2634091,null,99007,null,16545,null,8344,null,13507,null,33640,null,688649,null,0400000US22,Louisiana,22
1094908,null,906232,null,18962,null,9412,null,4023,null,5598,null,11210,null,139471,null,0400000US23,Maine,23
4533816,null,3595854,null,117729,null,30950,null,12973,null,16968,null,37844,null,721498,null,0400000US24,Maryland,24
5328765,null,3959286,null,156971,null,35837,null,17880,null,25389,null,55230,null,1078172,null,0400000US25,Massachusetts,25
8054089,null,6417178,null,222602,null,47289,null,27677,null,33427,null,80131,null,1225785,null,0400000US26,Michigan,26
4190265,null,3460447,null,86020,null,24603,null,13930,null,16650,null,38803,null,549812,null,0400000US27,Minnesota,27
2305571,null,1759806,null,73290,null,10831,null,5537,null,9205,null,25195,null,421707,null,0400000US28,Mississippi,28
4743939,null,3752867,null,109437,null,30378,null,15744,null,20877,null,50520,null,764116,null,0400000US29,Missouri,29
785742,null,622902,null,15209,null,4276,null,2911,null,4833,null,9164,null,126447,null,0400000US30,Montana,30
1412195,null,1154258,null,24977,null,11653,null,4394,null,6942,null,17936,null,192035,null,0400000US31,Nebraska,31
2039602,null,1628098,null,42436,null,6804,null,4099,null,6009,null,16505,null,335651,null,0400000US32,Nevada,32
1079527,null,848533,null,20256,null,7433,null,3777,null,4389,null,11183,null,183956,null,0400000US33,New Hampshire,33
6996319,null,5334308,null,220630,null,43738,null,21757,null,26852,null,65441,null,1283593,null,0400000US34,New Jersey,34
1569164,null,1248776,null,37397,null,6260,null,4824,null,6040,null,16679,null,249188,null,0400000US35,New Mexico,35
15888014,null,11771367,null,513646,null,107026,null,47628,null,62346,null,136516,null,3249485,null,0400000US36,New York,36
7354084,null,5807203,null,185917,null,48430,null,21437,null,32599,null,72800,null,1185698,null,0400000US37,North Carolina,37
525574,null,418457,null,9579,null,4764,null,1915,null,2739,null,6769,null,81351,null,0400000US38,North Dakota,38
9243143,null,7471515,null,237770,null,56014,null,30416,null,38807,null,91763,null,1316858,null,0400000US39,Ohio,39
2890196,null,2305027,null,66029,null,15702,null,9754,null,15310,null,30293,null,448081,null,0400000US40,Oklahoma,40
3074258,null,2509246,null,67920,null,14852,null,12604,null,16770,null,30375,null,422491,null,0400000US41,Oregon,41
10200364,null,7956708,null,298765,null,68791,null,35883,null,47025,null,104134,null,1689058,null,0400000US42,Pennsylvania,42
865780,null,640501,null,25115,null,9162,null,4691,null,3742,null,11592,null,170977,null,0400000US44,Rhode Island,44
3601064,null,2713660,null,103445,null,15416,null,10346,null,13192,null,32053,null,712952,null,0400000US45,South Carolina,45
640393,null,528349,null,13278,null,4382,null,2537,null,3466,null,7491,null,80890,null,0400000US46,South Dakota,46
4989688,null,3972735,null,130883,null,27483,null,13411,null,19042,null,48345,null,777789,null,0400000US47,Tennessee,47
18671445,null,14793149,null,425914,null,75852,null,43225,null,57679,null,154057,null,3121569,null,0400000US48,Texas,48
2012454,null,1667385,null,39206,null,6957,null,4874,null,6313,null,12753,null,274966,null,0400000US49,Utah,49
518208,null,413810,null,10604,null,3629,null,1858,null,2498,null,6309,null,79500,null,0400000US50,Vermont,50
6261651,null,5000067,null,157874,null,41024,null,16360,null,21639,null,52653,null,972034,null,0400000US51,Virginia,51
5277716,null,4401046,null,107842,null,30023,null,14324,null,18703,null,49815,null,655963,null,0400000US53,Washington,53
1498929,null,1176676,null,40557,null,11764,null,5413,null,7677,null,15484,null,241358,null,0400000US54,West Virginia,54
4549531,null,3650364,null,96604,null,31716,null,16438,null,20465,null,47316,null,686628,null,0400000US55,Wisconsin,55
427057,null,354034,null,7210,null,2859,null,1256,null,1974,null,5166,null,54558,null,0400000US56,Wyoming,56
3149891,null,2648171,null,63173,null,3798,null,5117,null,6956,null,25243,null,397433,null,0400000US72,Puerto Rico,72
