C17022_001E,C17022_001EA,C17022_001M,C17022_001MA,C17022_002E,C17022_002EA,C17022_002M,C17022_002MA,C17022_003E,C17022_003EA,C17022_003M,C17022_003MA,C17022_004E,C17022_004EA,C17022_004M,C17022_004MA,C17022_005E,C17022_005EA,C17022_005M,C17022_005MA,C17022_006E,C17022_006EA,C17022_006M,C17022_006MA,C17022_007E,C17022_007EA,C17022_007M,C17022_007MA,C17022_008E,C17022_008EA,C17022_008M,C17022_008MA,C17022_009E,C17022_009EA,C17022_009M,C17022_009MA,C17022_010E,C17022_010EA,C17022_010M,C17022_010MA,C17022_011E,C17022_011EA,C17022_011M,C17022_011MA,C17022_012E,C17022_012EA,C17022_012M,C17022_012MA,C17022_013E,C17022_013EA,C17022_013M,C17022_013MA,C17022_014E,C17022_014EA,C17022_014M,C17022_014MA,C17022_015E,C17022_015EA,C17022_015M,C17022_015MA,C17022_016E,C17022_016EA,C17022_016M,C17022_016MA,C17022_017E,C17022_017EA,C17022_017M,C17022_017MA,C17022_018E,C17022_018EA,C17022_018M,C17022_018MA,C17022_019E,C17022_019EA,C17022_019M,C17022_019MA,C17022_020E,C17022_020EA,C17022_020M,C17022_020MA,C17022_021E,C17022_021EA,C17022_021M,C17022_021MA,GEO_ID,NAME,state
1216612,null,11381,null,212691,null,6407,null,78161,null,4722,null,134530,null,5427,null,18067,null,2513,null,116463,null,5281,null,45292,null,3642,null,24683,null,2368,null,20609,null,2466,null,3698,null,1275,null,16911,null,2071,null,77145,null,4377,null,48481,null,3474,null,28664,null,2848,null,5923,null,1304,null,22741,null,2458,null,881484,null,11145,null,735320,null,10186,null,146164,null,6084,null,44057,null,3423,null,102107,null,5320,null,0400000US01,Alabama,01
157273,null,3920,null,13851,null,1656,null,4487,null,700,null,9364,null,1412,null,2650,null,784,null,6714,null,1191,null,3052,null,851,null,1194,null,395,null,1858,null,675,null,574,null,318,null,1284,null,600,null,7296,null,1160,null,4144,null,890,null,3152,null,937,null,1191,null,672,null,1961,null,561,null,133074,null,3773,null,106356,null,3742,null,26718,null,2569,null,11598,null,1595,null,15120,null,1969,null,0400000US02,Alaska,02
1489192,null,13955,null,222508,null,8469,null,102096,null,6270,null,120412,null,6141,null,23319,null,2872,null,97093,null,5113,null,48641,null,3704,null,32018,null,3042,null,16623,null,2085,null,4265,null,1089,null,12358,null,1810,null,87958,null,5180,null,55630,null,3919,null,32328,null,3352,null,10470,null,2156,null,21858,null,2472,null,1130085,null,12062,null,917856,null,11298,null,212229,null,7967,null,78553,null,4803,null,133676,null,6274,null,0400000US04,Arizona,04
751956,null,8609,null,143823,null,5911,null,58118,null,3530,null,85705,null,4968,null,11298,null,1413,null,74407,null,4798,null,37095,null,2886,null,20628,null,2064,null,16467,null,1841,null,3349,null,1174,null,13118,null,1629,null,56976,null,3928,null,38720,null,3184,null,18256,null,2016,null,4323,null,1147,null,13933,null,1707,null,514062,null,9630,null,435622,null,9111,null,78440,null,3965,null,26546,null,2444,null,51894,null,3534,null,0400000US05,Arkansas,05
8265877,null,24391,null,1209702,null,19935,null,562913,null,14081,null,646789,null,12584,null,136308,null,6140,null,510481,null,10773,null,287511,null,10316,null,174520,null,8282,null,112991,null,6142,null,33390,null,2998,null,79601,null,5122,null,461744,null,10506,null,284272,null,8154,null,177472,null,7529,null,52975,null,4577,null,124497,null,6063,null,6306920,null,26663,null,4961840,null,25074,null,1345080,null,17007,null,480234,null,12974,null,864846,null,14250,null,0400000US06,California,06
1208994,null,12292,null,139356,null,5995,null,67999,null,4254,null,71357,null,4660,null,13887,null,2249,null,57470,null,3808,null,34726,null,3104,null,21974,null,2697,null,12752,null,1742,null,2827,null,1055,null,9925,null,1594,null,59698,null,3575,null,37762,null,3099,null,21936,null,2418,null,6619,null,1496,null,15317,null,1921,null,975214,null,11731,null,818924,null,10383,null,156290,null,6846,null,55968,null,3413,null,100322,null,5940,null,0400000US08,Colorado,08
888825,null,8063,null,81864,null,4837,null,25432,null,2628,null,56432,null,4217,null,7430,null,1610,null,49002,null,3829,null,15454,null,2034,null,7983,null,1420,null,7471,null,1521,null,848,null,518,null,6623,null,1429,null,32196,null,2975,null,14879,null,2010,null,17317,null,2370,null,3052,null,1117,null,14265,null,2002,null,759311,null,7971,null,620590,null,8280,null,138721,null,6657,null,42301,null,3348,null,96420,null,5536,null,0400000US09,Connecticut,09
222044,null,4500,null,22745,null,2167,null,7562,null,1318,null,15183,null,1841,null,2558,null,908,null,12625,null,1724,null,5100,null,1020,null,2476,null,799,null,2624,null,816,null,794,null,529,null,1830,null,697,null,10328,null,1806,null,5660,null,1120,null,4668,null,1325,null,1461,null,800,null,3207,null,1038,null,183871,null,4265,null,147130,null,3680,null,36741,null,2928,null,10581,null,1713,null,26160,null,2320,null,0400000US10,Delaware,10
107365,null,3934,null,18604,null,1985,null,3628,null,1009,null,14976,null,1892,null,1291,null,614,null,13685,null,1845,null,2790,null,1021,null,1075,null,575,null,1715,null,747,null,307,null,279,null,1408,null,663,null,5331,null,1152,null,1891,null,599,null,3440,null,996,null,133,null,157,null,3307,null,986,null,80640,null,3659,null,47845,null,3038,null,32795,null,2508,null,8212,null,1334,null,24583,null,2473,null,0400000US11,District of Columbia,11
4577227,null,27336,null,641376,null,15201,null,283663,null,9754,null,357713,null,12231,null,65082,null,5371,null,292631,null,9593,null,162100,null,7280,null,89645,null,5398,null,72455,null,4490,null,17020,null,2732,null,55435,null,3945,null,281276,null,9688,null,175059,null,7221,null,106217,null,5873,null,27645,null,3214,null,78572,null,5055,null,3492475,null,23124,null,2823801,null,24402,null,668674,null,13724,null,219614,null,8775,null,449060,null,11562,null,0400000US12,Florida,12
