C15003_001E,C15003_001EA,C15003_001M,C15003_001MA,C15003_002E,C15003_002EA,C15003_002M,C15003_002MA,C15003_003E,C15003_003EA,C15003_003M,C15003_003MA,C15003_004E,C15003_004EA,C15003_004M,C15003_004MA,C15003_005E,C15003_005EA,C15003_005M,C15003_005MA,C15003_006E,C15003_006EA,C15003_006M,C15003_006MA,C15003_007E,C15003_007EA,C15003_007M,C15003_007MA,C15003_008E,C15003_008EA,C15003_008M,C15003_008MA,C15003_009E,C15003_009EA,C15003_009M,C15003_009MA,C15003_010E,C15003_010EA,C15003_010M,C15003_010MA,C15003_011E,C15003_011EA,C15003_011M,C15003_011MA,C15003_012E,C15003_012EA,C15003_012M,C15003_012MA,C15003_013E,C15003_013EA,C15003_013M,C15003_013MA,C15003_014E,C15003_014EA,C15003_014M,C15003_014MA,C15003_015E,C15003_015EA,C15003_015M,C15003_015MA,C15003_016E,C15003_016EA,C15003_016M,C15003_016MA,C15003_017E,C15003_017EA,C15003_017M,C15003_017MA,C15003_018E,C15003_018EA,C15003_018M,C15003_018MA,GEO_ID,NAME,state
3078499,null,6085,null,38105,null,3804,null,21031,null,2268,null,41488,null,3052,null,88238,null,4683,null,85855,null,4813,null,111115,null,4773,null,116282,null,6129,null,55421,null,4232,null,801711,null,13395,null,172377,null,6953,null,183411,null,6675,null,476087,null,9264,null,210308,null,7171,null,439587,null,10668,null,170625,null,6680,null,41202,null,2810,null,25656,null,2642,null,0400000US01,Alabama,01
424901,null,2418,null,2338,null,624,null,2419,null,824,null,2731,null,856,null,5152,null,922,null,4455,null,1177,null,5638,null,1247,null,7261,null,1238,null,5563,null,1320,null,92760,null,4666,null,19796,null,2311,null,34487,null,2477,null,92145,null,3738,null,34122,null,2870,null,74728,null,3787,null,27470,null,2710,null,7409,null,1525,null,6427,null,1273,null,0400000US02,Alaska,02
4192547,null,3658,null,54836,null,4671,null,48427,null,4470,null,108262,null,7294,null,104872,null,6558,null,82867,null,6524,null,96519,null,6417,null,100259,null,6262,null,82063,null,4654,null,883096,null,14823,null,165015,null,7665,null,323628,null,8329,null,761762,null,12766,null,328608,null,9089,null,667004,null,13808,null,271435,null,7896,null,68078,null,3539,null,45816,null,3729,null,0400000US04,Arizona,04
1872814,null,5105,null,22632,null,2115,null,14720,null,1852,null,28406,null,3287,null,63008,null,4900,null,48555,null,3438,null,58590,null,4286,null,69674,null,4525,null,31375,null,2499,null,553980,null,11106,null,109128,null,4993,null,128827,null,4930,null,287455,null,8542,null,104524,null,5026,null,234355,null,6694,null,81176,null,4374,null,22826,null,2393,null,13583,null,1704,null,0400000US05,Arkansas,05
23528476,null,7194,null,537569,null,15272,null,484886,null,15844,null,997392,null,20471,null,481709,null,14024,null,532469,null,13258,null,434169,null,12031,null,577516,null,12814,null,605953,null,12832,null,4386305,null,37880,null,517004,null,11481,null,1374366,null,17043,null,3847636,null,33652,null,1789376,null,20688,null,4432116,null,30368,null,1654758,null,20039,null,539371,null,11835,null,335881,null,8955,null,0400000US06,California,06
3263026,null,4054,null,27342,null,2830,null,21682,null,2483,null,52953,null,4678,null,55330,null,4899,null,49914,null,4447,null,50257,null,4051,null,61779,null,4681,null,44239,null,3153,null,620536,null,11522,null,126397,null,5182,null,206238,null,6877,null,536373,null,10028,null,248519,null,7422,null,748494,null,11142,null,299716,null,7105,null,69123,null,3831,null,44134,null,2866,null,0400000US08,Colorado,08
2364317,null,2053,null,22536,null,2768,null,18259,null,2811,null,26079,null,3256,null,45307,null,3189,null,30213,null,2881,null,41215,null,3542,null,48075,null,3950,null,36869,null,2913,null,585548,null,12078,null,76202,null,4289,null,129893,null,5483,null,285854,null,8623,null,176357,null,6781,null,481976,null,10641,null,256635,null,6925,null,67102,null,3816,null,36197,null,2684,null,0400000US09,Connecticut,09
581811,null,1097,null,5302,null,1128,null,2439,null,1055,null,5248,null,1564,null,11308,null,1638,null,10501,null,1815,null,15569,null,2211,null,15814,null,1877,null,8172,null,1443,null,162323,null,5375,null,19940,null,2002,null,40506,null,3479,null,82745,null,4392,null,41966,null,2813,null,96864,null,5341,null,44629,null,3151,null,10459,null,1817,null,8026,null,1190,null,0400000US10,Delaware,10
403768,null,570,null,5499,null,1445,null,4856,null,1453,null,5612,null,1501,null,6792,null,1660,null,8474,null,2025,null,7875,null,1863,null,12029,null,1958,null,6313,null,1539,null,68599,null,4385,null,11470,null,1997,null,12882,null,2055,null,46618,null,3938,null,11990,null,1924,null,87093,null,4280,null,60583,null,3746,null,29912,null,2566,null,17171,null,1990,null,0400000US11,District of Columbia,11
12699412,null,7907,null,143300,null,7503,null,116350,null,7658,null,223265,null,9588,null,248648,null,10190,null,218119,null,9813,null,321550,null,9761,null,319251,null,10964,null,286333,null,9611,null,3265311,null,30587,null,537684,null,13700,null,823253,null,14764,null,1856243,null,17998,null,1061658,null,17636,null,2134466,null,23922,null,771580,null,14885,null,247981,null,9075,null,124420,null,5625,null,0400000US12,Florida,12
