C18130_001E,C18130_001EA,C18130_001M,C18130_001MA,C18130_002E,C18130_002EA,C18130_002M,C18130_002MA,C18130_003E,C18130_003EA,C18130_003M,C18130_003MA,C18130_004E,C18130_004EA,C18130_004M,C18130_004MA,C18130_005E,C18130_005EA,C18130_005M,C18130_005MA,C18130_006E,C18130_006EA,C18130_006M,C18130_006MA,C18130_007E,C18130_007EA,C18130_007M,C18130_007MA,C18130_008E,C18130_008EA,C18130_008M,C18130_008MA,C18130_009E,C18130_009EA,C18130_009M,C18130_009MA,C18130_010E,C18130_010EA,C18130_010M,C18130_010MA,C18130_011E,C18130_011EA,C18130_011M,C18130_011MA,C18130_012E,C18130_012EA,C18130_012M,C18130_012MA,C18130_013E,C18130_013EA,C18130_013M,C18130_013MA,C18130_014E,C18130_014EA,C18130_014M,C18130_014MA,C18130_015E,C18130_015EA,C18130_015M,C18130_015MA,C18130_016E,C18130_016EA,C18130_016M,C18130_016MA,C18130_017E,C18130_017EA,C18130_017M,C18130_017MA,C18130_018E,C18130_018EA,C18130_018M,C18130_018MA,C18130_019E,C18130_019EA,C18130_019M,C18130_019MA,C18130_020E,C18130_020EA,C18130_020M,C18130_020MA,C18130_021E,C18130_021EA,C18130_021M,C18130_021MA,C18130_022E,C18130_022EA,C18130_022M,C18130_022MA,GEO_ID,NAME,state
4527180,null,2903,null,1106013,null,3781,null,50847,null,3469,null,18893,null,2580,null,31954,null,2988,null,1055166,null,4291,null,221625,null,11465,null,833541,null,11601,null,2807205,null,4078,null,414891,null,11493,null,111951,null,6902,null,302940,null,10104,null,2392314,null,11587,null,285856,null,10338,null,2106458,null,14421,null,613962,null,2271,null,276485,null,6307,null,45905,null,3316,null,230580,null,5477,null,337477,null,6580,null,28280,null,2584,null,309197,null,6503,null,0400000US01,Alabama,01
653337,null,2835,null,176986,null,1606,null,6626,null,1335,null,723,null,441,null,5903,null,1272,null,170360,null,2306,null,18826,null,2917,null,151534,null,3621,null,428636,null,3005,null,52510,null,3960,null,8074,null,1755,null,44436,null,3489,null,376126,null,4455,null,26840,null,2958,null,349286,null,4743,null,47715,null,912,null,19247,null,1534,null,897,null,354,null,18350,null,1609,null,28468,null,1670,null,892,null,403,null,27576,null,1746,null,0400000US02,Alaska,02
6360208,null,5169,null,1680541,null,4845,null,59951,null,4413,null,14864,null,2869,null,45087,null,3670,null,1620590,null,6441,null,334526,null,15269,null,1286064,null,16712,null,3825251,null,4186,null,401112,null,11528,null,97875,null,7495,null,303237,null,8474,null,3424139,null,11837,null,417590,null,14490,null,3006549,null,17071,null,854416,null,3030,null,309064,null,8024,null,36217,null,3370,null,272847,null,7971,null,545352,null,7572,null,37678,null,3545,null,507674,null,7559,null,0400000US04,Arizona,04
2768119,null,2728,null,691325,null,2799,null,41403,null,3117,null,15624,null,1938,null,25779,null,2544,null,649922,null,4262,null,156225,null,9050,null,493697,null,8961,null,1691530,null,3694,null,271119,null,7951,null,75851,null,5237,null,195268,null,6745,null,1420411,null,8010,null,184654,null,9387,null,1235757,null,12345,null,385264,null,2567,null,172151,null,5029,null,29718,null,2681,null,142433,null,4834,null,213113,null,4612,null,18479,null,1686,null,194634,null,4535,null,0400000US05,Arkansas,05
35882285,null,10766,null,9217888,null,8551,null,267913,null,9323,null,67378,null,5767,null,200535,null,7637,null,8949975,null,11712,null,1633472,null,35952,null,7316503,null,38432,null,22662434,null,9884,null,1867903,null,25947,null,430445,null,14165,null,1437458,null,24053,null,20794531,null,28489,null,2298418,null,43769,null,18496113,null,46944,null,4001963,null,7473,null,1544874,null,17212,null,178939,null,7975,null,1365935,null,16181,null,2457089,null,17448,null,167241,null,7893,null,2289848,null,17942,null,0400000US06,California,06
4817023,null,3505,null,1190936,null,2973,null,29385,null,3118,null,6394,null,1587,null,22991,null,2684,null,1161551,null,4168,null,173015,null,11375,null,988536,null,11857,null,3130782,null,3096,null,254503,null,7627,null,55015,null,4652,null,199488,null,6484,null,2876279,null,8480,null,275921,null,11528,null,2600358,null,14129,null,495305,null,2323,null,172563,null,4642,null,19563,null,2331,null,153000,null,4445,null,322742,null,4561,null,21895,null,2384,null,300847,null,4632,null,0400000US08,Colorado,08
3385650,null,2701,null,799298,null,2790,null,28709,null,3046,null,6811,null,1722,null,21898,null,2594,null,770589,null,3807,null,92769,null,7353,null,677820,null,8033,null,2135668,null,2177,null,178480,null,7331,null,41997,null,4274,null,136483,null,5577,null,1957188,null,7823,null,138737,null,7930,null,1818451,null,10659,null,450684,null,1479,null,148729,null,4241,null,17221,null,1700,null,131508,null,4347,null,301955,null,4052,null,17180,null,2294,null,284775,null,4764,null,0400000US09,Connecticut,09
845364,null,1973,null,204436,null,895,null,9945,null,1570,null,2163,null,824,null,7782,null,1522,null,194491,null,1780,null,25570,null,3549,null,168921,null,3575,null,524541,null,2093,null,57057,null,3737,null,11480,null,1572,null,45577,null,3627,null,467484,null,3881,null,36954,null,3953,null,430530,null,4944,null,116387,null,879,null,44215,null,2437,null,5338,null,977,null,38877,null,2443,null,72172,null,2642,null,3589,null,789,null,68583,null,2619,null,0400000US10,Delaware,10
559590,null,1111,null,109538,null,1360,null,4881,null,1291,null,2292,null,793,null,2589,null,966,null,104657,null,1766,null,26073,null,3969,null,78584,null,4221,null,383738,null,1355,null,35309,null,3503,null,11627,null,2364,null,23682,null,2934,null,348429,null,3914,null,46670,null,3907,null,301759,null,4911,null,66314,null,617,null,23403,null,2205,null,5224,null,1135,null,18179,null,1940,null,42911,null,2208,null,4883,null,1195,null,38028,null,2463,null,0400000US11,District of Columbia,11
17875586,null,7316,null,3941456,null,8300,null,148949,null,6796,null,41561,null,4052,null,107388,null,5649,null,3792507,null,11243,null,679723,null,19728,null,3112784,null,20157,null,10829326,null,8499,null,1059168,null,19377,null,259850,null,13520,null,799318,null,15300,null,9770158,null,21834,null,1065741,null,24148,null,8704417,null,29114,null,3104804,null,4399,null,1108251,null,14110,null,149301,null,6808,null,958950,null,13429,null,1996553,null,13653,null,173784,null,6823,null,1822769,null,13680,null,0400000US12,Florida,12
