B11002F_001E,B11002F_001EA,B11002F_001M,B11002F_001MA,B11002F_002E,B11002F_002EA,B11002F_002M,B11002F_002MA,B11002F_003E,B11002F_003EA,B11002F_003M,B11002F_003MA,B11002F_004E,B11002F_004EA,B11002F_004M,B11002F_004MA,B11002F_005E,B11002F_005EA,B11002F_005M,B11002F_005MA,B11002F_006E,B11002F_006EA,B11002F_006M,B11002F_006MA,B11002F_007E,B11002F_007EA,B11002F_007M,B11002F_007MA,B11002F_008E,B11002F_008EA,B11002F_008M,B11002F_008MA,B11002F_009E,B11002F_009EA,B11002F_009M,B11002F_009MA,B11002F_010E,B11002F_010EA,B11002F_010M,B11002F_010MA,B11002F_011E,B11002F_011EA,B11002F_011M,B11002F_011MA,B11002F_012E,B11002F_012EA,B11002F_012M,B11002F_012MA,GEO_ID,NAME,state
30876,null,5243,null,26464,null,5085,null,18919,null,4736,null,18835,null,4731,null,84,null,122,null,2512,null,1355,null,2223,null,1278,null,289,null,190,null,5033,null,1933,null,4215,null,1607,null,818,null,506,null,4412,null,1510,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
440702,null,23864,null,403220,null,22999,null,254378,null,17539,null,250939,null,16985,null,3439,null,1684,null,48912,null,10247,null,42356,null,9063,null,6556,null,2164,null,99930,null,12155,null,92542,null,11145,null,7388,null,2178,null,37482,null,5229,null,0400000US04,Arizona,04
58940,null,5773,null,54772,null,5689,null,39848,null,6390,null,39678,null,6379,null,170,null,218,null,4672,null,1936,null,3816,null,1549,null,856,null,526,null,10252,null,3320,null,9908,null,3206,null,344,null,385,null,4168,null,1677,null,0400000US05,Arkansas,05
5168959,null,67887,null,4822409,null,68500,null,3075208,null,66210,null,3015234,null,65564,null,59974,null,7682,null,611882,null,35749,null,524194,null,31595,null,87688,null,7655,null,1135319,null,41769,null,1046903,null,37472,null,88416,null,8475,null,346550,null,16093,null,0400000US06,California,06
219543,null,15037,null,193552,null,14674,null,129972,null,13082,null,127368,null,12691,null,2604,null,1593,null,22296,null,6388,null,18802,null,5254,null,3494,null,1768,null,41284,null,6830,null,38416,null,6367,null,2868,null,1333,null,25991,null,3875,null,0400000US08,Colorado,08
151793,null,9499,null,132677,null,9791,null,65322,null,7264,null,64757,null,7181,null,565,null,422,null,13542,null,4503,null,10883,null,3656,null,2659,null,1337,null,53813,null,7804,null,49700,null,7211,null,4113,null,1247,null,19116,null,3660,null,0400000US09,Connecticut,09
14591,null,3704,null,12799,null,3574,null,6599,null,2708,null,6553,null,2711,null,46,null,79,null,3657,null,1886,null,3093,null,1636,null,564,null,357,null,2543,null,1851,null,1883,null,1435,null,660,null,645,null,1792,null,911,null,0400000US10,Delaware,10
17375,null,3904,null,13941,null,3335,null,6850,null,2801,null,6850,null,2801,null,0,null,296,null,3948,null,1862,null,3764,null,1807,null,184,null,294,null,3143,null,1545,null,3048,null,1523,null,95,null,153,null,3434,null,1623,null,0400000US11,District of Columbia,11
454728,null,24819,null,404971,null,24266,null,256605,null,20509,null,253820,null,20322,null,2785,null,1172,null,55401,null,8437,null,47748,null,7474,null,7653,null,2068,null,92965,null,11865,null,87704,null,11142,null,5261,null,1775,null,49757,null,6353,null,0400000US12,Florida,12
331360,null,19122,null,292437,null,18919,null,202083,null,17083,null,196831,null,16841,null,5252,null,2089,null,37538,null,8146,null,33833,null,7447,null,3705,null,1373,null,52816,null,9858,null,46623,null,9087,null,6193,null,1802,null,38923,null,6411,null,0400000US13,Georgia,13
17089,null,4217,null,16401,null,4221,null,10029,null,2974,null,10029,null,2974,null,0,null,275,null,5465,null,3240,null,4653,null,2892,null,812,null,554,null,907,null,741,null,907,null,741,null,0,null,275,null,688,null,401,null,0400000US15,Hawaii,15
25457,null,4457,null,23355,null,4361,null,16348,null,3692,null,16258,null,3660,null,90,null,114,null,3425,null,1768,null,2959,null,1595,null,466,null,330,null,3582,null,1918,null,3108,null,1607,null,474,null,457,null,2102,null,775,null,0400000US16,Idaho,16
820657,null,28618,null,762974,null,29091,null,504051,null,27352,null,499625,null,27285,null,4426,null,1849,null,103138,null,13330,null,89445,null,11977,null,13693,null,2592,null,155785,null,15062,null,142194,null,13985,null,13591,null,2777,null,57683,null,7240,null,0400000US17,Illinois,17
125599,null,9007,null,112421,null,9235,null,76257,null,9452,null,75708,null,9228,null,549,null,586,null,16096,null,4127,null,13348,null,3417,null,2748,null,1257,null,20068,null,5048,null,17957,null,4403,null,2111,null,901,null,13178,null,2983,null,0400000US18,Indiana,18
37050,null,4993,null,32166,null,4680,null,22874,null,4409,null,22737,null,4363,null,137,null,200,null,4830,null,1915,null,4238,null,1649,null,592,null,430,null,4462,null,1943,null,4215,null,1881,null,247,null,189,null,4884,null,1465,null,0400000US19,Iowa,19
69233,null,7783,null,63499,null,7607,null,43783,null,6598,null,43221,null,6504,null,562,null,618,null,4602,null,1701,null,3952,null,1442,null,650,null,487,null,15114,null,3992,null,13140,null,3414,null,1974,null,905,null,5734,null,1468,null,0400000US20,Kansas,20
27822,null,4509,null,24653,null,4206,null,14439,null,3353,null,14192,null,3263,null,247,null,266,null,3671,null,1376,null,3202,null,1282,null,469,null,264,null,6543,null,2719,null,5123,null,2115,null,1420,null,1486,null,3169,null,1235,null,0400000US21,Kentucky,21
36448,null,6255,null,31506,null,5977,null,18509,null,5153,null,18509,null,5153,null,0,null,277,null,6269,null,2299,null,5494,null,2061,null,775,null,409,null,6728,null,2773,null,5510,null,2399,null,1218,null,704,null,4942,null,1516,null,0400000US22,Louisiana,22
