C17001B_001E,C17001B_001EA,C17001B_001M,C17001B_001MA,C17001B_002E,C17001B_002EA,C17001B_002M,C17001B_002MA,C17001B_003E,C17001B_003EA,C17001B_003M,C17001B_003MA,C17001B_004E,C17001B_004EA,C17001B_004M,C17001B_004MA,C17001B_005E,C17001B_005EA,C17001B_005M,C17001B_005MA,C17001B_006E,C17001B_006EA,C17001B_006M,C17001B_006MA,C17001B_007E,C17001B_007EA,C17001B_007M,C17001B_007MA,C17001B_008E,C17001B_008EA,C17001B_008M,C17001B_008MA,C17001B_009E,C17001B_009EA,C17001B_009M,C17001B_009MA,C17001B_010E,C17001B_010EA,C17001B_010M,C17001B_010MA,C17001B_011E,C17001B_011EA,C17001B_011M,C17001B_011MA,C17001B_012E,C17001B_012EA,C17001B_012M,C17001B_012MA,C17001B_013E,C17001B_013EA,C17001B_013M,C17001B_013MA,C17001B_014E,C17001B_014EA,C17001B_014M,C17001B_014MA,C17001B_015E,C17001B_015EA,C17001B_015M,C17001B_015MA,C17001B_016E,C17001B_016EA,C17001B_016M,C17001B_016MA,C17001B_017E,C17001B_017EA,C17001B_017M,C17001B_017MA,C17001B_018E,C17001B_018EA,C17001B_018M,C17001B_018MA,C17001B_019E,C17001B_019EA,C17001B_019M,C17001B_019MA,GEO_ID,NAME,state
1170616,null,6322,null,324921,null,15444,null,132051,null,7347,null,66181,null,4626,null,60090,null,4753,null,5780,null,1108,null,192870,null,9824,null,63105,null,4949,null,109080,null,5480,null,20685,null,1902,null,845695,null,16282,null,399008,null,9631,null,102147,null,5436,null,262803,null,5949,null,34058,null,1871,null,446687,null,10124,null,104696,null,4976,null,292987,null,6301,null,49004,null,2199,null,0400000US01,Alabama,01
23522,null,3334,null,2024,null,1255,null,1613,null,1131,null,324,null,279,null,1289,null,1089,null,0,null,240,null,411,null,303,null,177,null,285,null,234,null,255,null,0,null,240,null,21498,null,3371,null,10994,null,1672,null,3285,null,1081,null,7146,null,1122,null,563,null,234,null,10504,null,2037,null,3017,null,1203,null,7308,null,1246,null,179,null,175,null,0400000US02,Alaska,02
225160,null,5514,null,45039,null,6891,null,22829,null,3484,null,10219,null,2385,null,11470,null,2000,null,1140,null,515,null,22210,null,4139,null,9187,null,2682,null,11889,null,1930,null,1134,null,521,null,180121,null,7136,null,93470,null,4192,null,27810,null,2857,null,59937,null,2615,null,5723,null,598,null,86651,null,4124,null,24182,null,2693,null,54469,null,2301,null,8000,null,692,null,0400000US04,Arizona,04
422275,null,4914,null,143483,null,10798,null,59964,null,5260,null,32515,null,3521,null,24090,null,3296,null,3359,null,810,null,83519,null,6972,null,28142,null,3370,null,47973,null,3896,null,7404,null,1002,null,278792,null,10425,null,138555,null,5594,null,35449,null,3539,null,93528,null,3822,null,9578,null,1036,null,140237,null,6530,null,33954,null,2928,null,92586,null,4409,null,13697,null,1045,null,0400000US05,Arkansas,05
2148782,null,13652,null,427268,null,19273,null,193128,null,9902,null,80975,null,6011,null,103286,null,6172,null,8867,null,1271,null,234140,null,12311,null,76312,null,6970,null,140778,null,7109,null,17050,null,1992,null,1721514,null,22728,null,838527,null,12650,null,214163,null,7256,null,552323,null,8565,null,72041,null,1977,null,882987,null,13576,null,200177,null,7715,null,579663,null,8107,null,103147,null,2505,null,0400000US06,California,06
179025,null,4686,null,39689,null,5196,null,18127,null,2976,null,8124,null,1936,null,9298,null,1754,null,705,null,387,null,21562,null,3047,null,7215,null,1470,null,12890,null,2056,null,1457,null,547,null,139336,null,5875,null,74036,null,3493,null,17696,null,1915,null,51201,null,2558,null,5139,null,575,null,65300,null,3589,null,19378,null,2134,null,39996,null,2305,null,5926,null,779,null,0400000US08,Colorado,08
315601,null,5681,null,67441,null,6961,null,28397,null,3522,null,12397,null,2343,null,14995,null,2055,null,1005,null,337,null,39044,null,4471,null,13169,null,2482,null,21224,null,2512,null,4651,null,1019,null,248160,null,7821,null,118633,null,4261,null,33250,null,2761,null,76680,null,3126,null,8703,null,568,null,129527,null,4982,null,31315,null,2824,null,87223,null,3098,null,10989,null,1098,null,0400000US09,Connecticut,09
173059,null,3445,null,28465,null,4429,null,12093,null,2263,null,5341,null,1335,null,6223,null,1583,null,529,null,423,null,16372,null,2935,null,5915,null,1605,null,8738,null,1748,null,1719,null,545,null,144594,null,4566,null,67035,null,2922,null,19573,null,1738,null,42217,null,1942,null,5245,null,487,null,77559,null,2850,null,19249,null,1593,null,51767,null,1870,null,6543,null,650,null,0400000US10,Delaware,10
305844,null,3226,null,72331,null,6633,null,30168,null,3471,null,12554,null,2089,null,14828,null,2278,null,2786,null,881,null,42163,null,4077,null,13049,null,2174,null,23739,null,2532,null,5375,null,1047,null,233513,null,7120,null,106243,null,3743,null,22652,null,2271,null,71548,null,2589,null,12043,null,849,null,127270,null,4530,null,22483,null,2212,null,83496,null,2891,null,21291,null,1162,null,0400000US11,District of Columbia,11
2695819,null,13593,null,594297,null,22385,null,258497,null,11444,null,122157,null,7453,null,120851,null,7797,null,15489,null,2100,null,335800,null,15316,null,113966,null,7213,null,186484,null,9893,null,35350,null,3038,null,2101522,null,24783,null,1005921,null,12808,null,282289,null,6966,null,649406,null,9311,null,74226,null,2587,null,1095601,null,16698,null,275963,null,8329,null,719565,null,10644,null,100073,null,3084,null,0400000US12,Florida,12
