B16005F_001E,B16005F_001EA,B16005F_001M,B16005F_001MA,B16005F_002E,B16005F_002EA,B16005F_002M,B16005F_002MA,B16005F_003E,B16005F_003EA,B16005F_003M,B16005F_003MA,B16005F_004E,B16005F_004EA,B16005F_004M,B16005F_004MA,B16005F_005E,B16005F_005EA,B16005F_005M,B16005F_005MA,B16005F_006E,B16005F_006EA,B16005F_006M,B16005F_006MA,B16005F_007E,B16005F_007EA,B16005F_007M,B16005F_007MA,B16005F_008E,B16005F_008EA,B16005F_008M,B16005F_008MA,B16005F_009E,B16005F_009EA,B16005F_009M,B16005F_009MA,B16005F_010E,B16005F_010EA,B16005F_010M,B16005F_010MA,B16005F_011E,B16005F_011EA,B16005F_011M,B16005F_011MA,GEO_ID,NAME,state
27645,null,4025,null,11159,null,2293,null,3827,null,1300,null,7332,null,2139,null,4468,null,1360,null,2864,null,1367,null,16486,null,2941,null,1190,null,608,null,15296,null,2985,null,4519,null,1334,null,10777,null,2252,null,0400000US01,Alabama,01
7681,null,2081,null,5646,null,1866,null,2592,null,1169,null,3054,null,1191,null,2820,null,1140,null,234,null,217,null,2035,null,813,null,285,null,228,null,1750,null,824,null,486,null,333,null,1264,null,693,null,0400000US02,Alaska,02
391002,null,20568,null,251626,null,14784,null,100637,null,10126,null,150989,null,9608,null,122931,null,8580,null,28058,null,3733,null,139376,null,10983,null,6579,null,2037,null,132797,null,10527,null,48103,null,5518,null,84694,null,8218,null,0400000US04,Arizona,04
53292,null,4786,null,20343,null,2887,null,5632,null,1688,null,14711,null,2384,null,11166,null,1963,null,3545,null,1256,null,32949,null,3435,null,1861,null,848,null,31088,null,3581,null,7191,null,1967,null,23897,null,3126,null,0400000US05,Arkansas,05
4700355,null,58663,null,2388251,null,41753,null,729919,null,25986,null,1658332,null,31920,null,1388066,null,30129,null,270266,null,9100,null,2312104,null,40659,null,68693,null,5844,null,2243411,null,41151,null,576574,null,16876,null,1666837,null,32894,null,0400000US06,California,06
208648,null,12215,null,139801,null,8773,null,76494,null,6015,null,63307,null,5456,null,49215,null,4422,null,14092,null,2395,null,68847,null,6960,null,2482,null,816,null,66365,null,6896,null,22134,null,4258,null,44231,null,4650,null,0400000US08,Colorado,08
144034,null,9191,null,101253,null,7947,null,22818,null,3478,null,78435,null,7286,null,53005,null,5465,null,25430,null,3840,null,42781,null,5475,null,2458,null,1193,null,40323,null,5343,null,12006,null,2256,null,28317,null,4281,null,0400000US09,Connecticut,09
12886,null,2587,null,7645,null,2086,null,1970,null,650,null,5675,null,1971,null,3716,null,1057,null,1959,null,1287,null,5241,null,1270,null,226,null,205,null,5015,null,1246,null,1313,null,533,null,3702,null,1056,null,0400000US10,Delaware,10
17691,null,3456,null,7374,null,2076,null,3194,null,1935,null,4180,null,1413,null,3511,null,1211,null,669,null,496,null,10317,null,2471,null,808,null,604,null,9509,null,2402,null,3086,null,1036,null,6423,null,2060,null,0400000US11,District of Columbia,11
436807,null,21538,null,224786,null,13861,null,59941,null,5982,null,164845,null,11147,null,126667,null,9254,null,38178,null,4407,null,212021,null,13496,null,19312,null,3620,null,192709,null,12699,null,61167,null,6686,null,131542,null,8639,null,0400000US12,Florida,12
293569,null,15553,null,102092,null,8628,null,25450,null,4475,null,76642,null,6736,null,62369,null,6415,null,14273,null,2727,null,191477,null,12237,null,5365,null,1645,null,186112,null,12130,null,51544,null,5615,null,134568,null,10354,null,0400000US13,Georgia,13
