B19081_001E,B19081_001EA,B19081_001M,B19081_001MA,B19081_002E,B19081_002EA,B19081_002M,B19081_002MA,B19081_003E,B19081_003EA,B19081_003M,B19081_003MA,B19081_004E,B19081_004EA,B19081_004M,B19081_004MA,B19081_005E,B19081_005EA,B19081_005M,B19081_005MA,B19081_006E,B19081_006EA,B19081_006M,B19081_006MA,GEO_ID,NAME,state
9510,null,204,null,24844,null,398,null,42944,null,563,null,67861,null,664,null,144625,null,3198,null,250805,null,10731,null,0400000US01,Alabama,01
19327,null,926,null,43713,null,1358,null,68548,null,1864,null,98734,null,2431,null,186792,null,10184,null,312214,null,35918,null,0400000US02,Alaska,02
12440,null,292,null,31672,null,390,null,51160,null,530,null,78191,null,639,null,166868,null,2864,null,296739,null,9513,null,0400000US04,Arizona,04
9356,null,260,null,23349,null,475,null,38947,null,608,null,61144,null,804,null,130163,null,2944,null,223815,null,9406,null,0400000US05,Arkansas,05
13887,null,149,null,36121,null,241,null,61229,null,300,null,96310,null,359,null,213826,null,1777,null,381005,null,5964,null,0400000US06,California,06
13496,null,322,null,34986,null,451,null,57258,null,585,null,87643,null,884,null,188927,null,3003,null,334628,null,9731,null,0400000US08,Colorado,08
14932,null,382,null,41106,null,787,null,68912,null,879,null,104987,null,1068,null,249468,null,5535,null,480989,null,18809,null,0400000US09,Connecticut,09
14621,null,666,null,35757,null,1034,null,57810,null,1342,null,86991,null,1822,null,183985,null,8027,null,332293,null,28071,null,0400000US10,Delaware,10
9412,null,762,null,32983,null,1487,null,58804,null,1951,null,99647,null,2814,null,264746,null,13518,null,506275,null,40516,null,0400000US11,District of Columbia,11
11694,null,145,null,29381,null,216,null,47903,null,289,null,74085,null,400,null,169403,null,2134,null,312338,null,6830,null,0400000US12,Florida,12
11294,null,249,null,30477,null,391,null,50930,null,499,null,78663,null,645,null,172885,null,2665,null,306221,null,9217,null,0400000US13,Georgia,13
