C23002H_001E,C23002H_001EA,C23002H_001M,C23002H_001MA,C23002H_002E,C23002H_002EA,C23002H_002M,C23002H_002MA,C23002H_003E,C23002H_003EA,C23002H_003M,C23002H_003MA,C23002H_004E,C23002H_004EA,C23002H_004M,C23002H_004MA,C23002H_005E,C23002H_005EA,C23002H_005M,C23002H_005MA,C23002H_006E,C23002H_006EA,C23002H_006M,C23002H_006MA,C23002H_007E,C23002H_007EA,C23002H_007M,C23002H_007MA,C23002H_008E,C23002H_008EA,C23002H_008M,C23002H_008MA,C23002H_009E,C23002H_009EA,C23002H_009M,C23002H_009MA,C23002H_010E,C23002H_010EA,C23002H_010M,C23002H_010MA,C23002H_011E,C23002H_011EA,C23002H_011M,C23002H_011MA,C23002H_012E,C23002H_012EA,C23002H_012M,C23002H_012MA,C23002H_013E,C23002H_013EA,C23002H_013M,C23002H_013MA,C23002H_014E,C23002H_014EA,C23002H_014M,C23002H_014MA,C23002H_015E,C23002H_015EA,C23002H_015M,C23002H_015MA,C23002H_016E,C23002H_016EA,C23002H_016M,C23002H_016MA,C23002H_017E,C23002H_017EA,C23002H_017M,C23002H_017MA,C23002H_018E,C23002H_018EA,C23002H_018M,C23002H_018MA,C23002H_019E,C23002H_019EA,C23002H_019M,C23002H_019MA,C23002H_020E,C23002H_020EA,C23002H_020M,C23002H_020MA,C23002H_021E,C23002H_021EA,C23002H_021M,C23002H_021MA,C23002H_022E,C23002H_022EA,C23002H_022M,C23002H_022MA,C23002H_023E,C23002H_023EA,C23002H_023M,C23002H_023MA,C23002H_024E,C23002H_024EA,C23002H_024M,C23002H_024MA,C23002H_025E,C23002H_025EA,C23002H_025M,C23002H_025MA,C23002H_026E,C23002H_026EA,C23002H_026M,C23002H_026MA,C23002H_027E,C23002H_027EA,C23002H_027M,C23002H_027MA,GEO_ID,NAME,state
6264329,null,4360,null,3062222,null,3383,null,2578158,null,3393,null,2071237,null,9834,null,5012,null,1091,null,2066225,null,9718,null,1879792,null,11375,null,186433,null,7138,null,506921,null,9978,null,484064,null,157,null,78865,null,2862,null,75370,null,2820,null,3495,null,650,null,405199,null,2862,null,3202107,null,2497,null,2553225,null,2506,null,1831575,null,8877,null,480,null,291,null,1831095,null,8827,null,1698890,null,10462,null,132205,null,4882,null,721650,null,8811,null,648882,null,263,null,64060,null,3449,null,61433,null,3354,null,2627,null,702,null,584822,null,3409,null,0400000US26,Michigan,26
3606502,null,2842,null,1769564,null,2075,null,1503646,null,2000,null,1304967,null,6279,null,3309,null,992,null,1301658,null,6177,null,1237377,null,6728,null,64281,null,3704,null,198679,null,6351,null,265918,null,264,null,55970,null,2709,null,54489,null,2706,null,1481,null,425,null,209948,null,2728,null,1836938,null,1774,null,1481227,null,1744,null,1200963,null,6714,null,322,null,254,null,1200641,null,6727,null,1159661,null,6800,null,40980,null,3408,null,280264,null,6715,null,355711,null,284,null,44988,null,2054,null,44245,null,2104,null,743,null,279,null,310723,null,2011,null,0400000US27,Minnesota,27
1381131,null,2275,null,668273,null,2031,null,554960,null,2101,null,440176,null,5295,null,9360,null,2008,null,430816,null,5486,null,411070,null,5671,null,19746,null,2268,null,114784,null,5345,null,113313,null,379,null,23073,null,1989,null,22485,null,2006,null,588,null,358,null,90240,null,2036,null,712858,null,2094,null,554210,null,2105,null,364612,null,6180,null,1453,null,623,null,363159,null,6190,null,343210,null,6015,null,19949,null,2195,null,189598,null,5906,null,158648,null,111,null,16202,null,1798,null,15818,null,1791,null,384,null,290,null,142446,null,1793,null,0400000US28,Mississippi,28
3903539,null,2786,null,1888216,null,2081,null,1582249,null,2082,null,1299642,null,8511,null,11759,null,1521,null,1287883,null,8667,null,1218317,null,8876,null,69566,null,4713,null,282607,null,8768,null,305967,null,11,null,59893,null,2966,null,57481,null,2890,null,2412,null,611,null,246074,null,2963,null,2015323,null,2183,null,1597011,null,2114,null,1177555,null,8479,null,3527,null,1638,null,1174028,null,8381,null,1117563,null,8589,null,56465,null,3726,null,419456,null,8210,null,418312,null,322,null,50797,null,2598,null,49182,null,2536,null,1615,null,528,null,367515,null,2707,null,0400000US29,Missouri,29
696056,null,1159,null,346349,null,954,null,287388,null,955,null,235166,null,3458,null,2633,null,829,null,232533,null,3443,null,221891,null,3595,null,10642,null,1918,null,52222,null,3368,null,58961,null,50,null,12177,null,1251,null,11924,null,1257,null,253,null,167,null,46784,null,1252,null,349707,null,877,null,278529,null,877,null,205855,null,3418,null,197,null,161,null,205658,null,3418,null,198235,null,3311,null,7423,null,1332,null,72674,null,3646,null,71178,null,10,null,9433,null,1014,null,9132,null,983,null,301,null,259,null,61745,null,1016,null,0400000US30,Montana,30
1204305,null,1848,null,585269,null,1321,null,489575,null,1320,null,427466,null,3248,null,5830,null,1047,null,421636,null,3457,null,405254,null,3840,null,16382,null,2220,null,62109,null,3290,null,95694,null,124,null,26538,null,1726,null,26154,null,1709,null,384,null,189,null,69156,null,1719,null,619036,null,1106,null,486894,null,1090,null,392696,null,4027,null,441,null,290,null,392255,null,4074,null,380527,null,4495,null,11728,null,1690,null,94198,null,3808,null,132142,null,63,null,19775,null,1368,null,19375,null,1377,null,400,null,180,null,112367,null,1373,null,0400000US31,Nebraska,31
1224237,null,2640,null,620275,null,1830,null,511855,null,1826,null,426490,null,4966,null,5316,null,1189,null,421174,null,4989,null,391417,null,5632,null,29757,null,3154,null,85365,null,4689,null,108420,null,165,null,23019,null,1888,null,21111,null,1909,null,1908,null,568,null,85401,null,1884,null,603962,null,1507,null,484536,null,1461,null,351607,null,5549,null,673,null,452,null,350934,null,5478,null,330845,null,5658,null,20089,null,2825,null,132929,null,5569,null,119426,null,486,null,18185,null,1920,null,17153,null,1896,null,1032,null,430,null,101241,null,1966,null,0400000US32,Nevada,32
998669,null,1864,null,486762,null,1257,null,415461,null,1257,null,355271,null,3640,null,1499,null,738,null,353772,null,3729,null,336488,null,4200,null,17284,null,2189,null,60190,null,3691,null,71301,null,253,null,16434,null,1723,null,16068,null,1753,null,366,null,204,null,54867,null,1723,null,511907,null,1206,null,417873,null,1210,null,324153,null,4196,null,138,null,135,null,324015,null,4179,null,310450,null,4064,null,13565,null,1538,null,93720,null,4284,null,94034,null,125,null,12929,null,1194,null,12715,null,1170,null,214,null,182,null,81105,null,1194,null,0400000US33,New Hampshire,33
4367782,null,4012,null,2099022,null,2449,null,1730166,null,2402,null,1456198,null,6397,null,6098,null,1458,null,1450100,null,6459,null,1368659,null,7676,null,81441,null,4545,null,273968,null,6182,null,368856,null,334,null,87680,null,3402,null,83717,null,3478,null,3963,null,910,null,281176,null,3376,null,2268760,null,2944,null,1744191,null,2900,null,1298420,null,8311,null,1345,null,751,null,1297075,null,8294,null,1236652,null,8644,null,60423,null,4051,null,445771,null,8331,null,524569,null,484,null,70064,null,3195,null,66748,null,3117,null,3316,null,715,null,454505,null,3233,null,0400000US34,New Jersey,34
698876,null,1758,null,338244,null,1447,null,267928,null,1412,null,211051,null,4403,null,4491,null,1120,null,206560,null,4487,null,196767,null,4618,null,9793,null,1849,null,56877,null,4300,null,70316,null,373,null,14028,null,1350,null,13568,null,1282,null,460,null,300,null,56288,null,1424,null,360632,null,1232,null,274274,null,1207,null,195627,null,4207,null,615,null,342,null,195012,null,4210,null,185861,null,4152,null,9151,null,1816,null,78647,null,4307,null,86358,null,471,null,9114,null,1321,null,8712,null,1282,null,402,null,282,null,77244,null,1428,null,0400000US35,New Mexico,35
