C01001B_001E,C01001B_001EA,C01001B_001M,C01001B_001MA,C01001B_002E,C01001B_002EA,C01001B_002M,C01001B_002MA,C01001B_003E,C01001B_003EA,C01001B_003M,C01001B_003MA,C01001B_004E,C01001B_004EA,C01001B_004M,C01001B_004MA,C01001B_005E,C01001B_005EA,C01001B_005M,C01001B_005MA,C01001B_006E,C01001B_006EA,C01001B_006M,C01001B_006MA,C01001B_007E,C01001B_007EA,C01001B_007M,C01001B_007MA,C01001B_008E,C01001B_008EA,C01001B_008M,C01001B_008MA,C01001B_009E,C01001B_009EA,C01001B_009M,C01001B_009MA,GEO_ID,NAME,state
1220643,null,5459,null,566475,null,4344,null,170637,null,2929,null,354132,null,2558,null,41706,null,1351,null,654168,null,4451,null,169299,null,3417,null,411747,null,2251,null,73122,null,1439,null,0400000US01,Alabama,01
24883,null,3362,null,13591,null,1847,null,3609,null,1109,null,9416,null,1542,null,566,null,233,null,11292,null,2048,null,3227,null,1194,null,7865,null,1231,null,200,null,182,null,0400000US02,Alaska,02
235758,null,5217,null,125234,null,3096,null,39632,null,2267,null,78651,null,1812,null,6951,null,491,null,110524,null,3284,null,33939,null,2421,null,67295,null,1671,null,9290,null,651,null,0400000US04,Arizona,04
442636,null,4009,null,212073,null,3287,null,69072,null,2270,null,128090,null,2289,null,14911,null,1113,null,230563,null,3114,null,63439,null,2222,null,144635,null,2124,null,22489,null,1117,null,0400000US05,Arkansas,05
2260601,null,14054,null,1115979,null,9567,null,302573,null,6611,null,728070,null,5549,null,85336,null,1115,null,1144622,null,7863,null,285105,null,4580,null,734203,null,5254,null,125314,null,1366,null,0400000US06,California,06
187556,null,4562,null,99045,null,2986,null,26386,null,2056,null,66654,null,2288,null,6005,null,442,null,88511,null,3024,null,26827,null,1868,null,53965,null,2028,null,7719,null,432,null,0400000US08,Colorado,08
331149,null,5145,null,158159,null,3061,null,46972,null,2071,null,100866,null,2355,null,10321,null,318,null,172990,null,3200,null,45095,null,2009,null,111313,null,2034,null,16582,null,823,null,0400000US09,Connecticut,09
179664,null,2808,null,84000,null,1987,null,25057,null,1673,null,52954,null,836,null,5989,null,178,null,95664,null,1302,null,25283,null,853,null,61633,null,956,null,8748,null,178,null,0400000US10,Delaware,10
316278,null,3298,null,142350,null,1811,null,36804,null,1185,null,89602,null,1278,null,15944,null,175,null,173928,null,1804,null,35941,null,871,null,109890,null,1176,null,28097,null,343,null,0400000US11,District of Columbia,11
2815369,null,12463,null,1353959,null,7811,null,412681,null,6147,null,847822,null,5591,null,93456,null,1946,null,1461410,null,8406,null,397505,null,5490,null,923075,null,5361,null,140830,null,1902,null,0400000US12,Florida,12
2904035,null,10163,null,1372807,null,6239,null,429668,null,4165,null,869177,null,4227,null,73962,null,1712,null,1531228,null,6875,null,410972,null,4751,null,993215,null,4168,null,127041,null,1821,null,0400000US13,Georgia,13
30666,null,3778,null,17684,null,2931,null,3964,null,2138,null,12820,null,1212,null,900,null,442,null,12982,null,2059,null,3727,null,1813,null,8793,null,591,null,462,null,390,null,0400000US15,Hawaii,15
7958,null,1361,null,5063,null,925,null,2240,null,657,null,2720,null,646,null,103,null,110,null,2895,null,674,null,1254,null,447,null,1433,null,352,null,208,null,211,null,0400000US16,Idaho,16
