B11001G_001E,B11001G_001EA,B11001G_001M,B11001G_001MA,B11001G_002E,B11001G_002EA,B11001G_002M,B11001G_002MA,B11001G_003E,B11001G_003EA,B11001G_003M,B11001G_003MA,B11001G_004E,B11001G_004EA,B11001G_004M,B11001G_004MA,B11001G_005E,B11001G_005EA,B11001G_005M,B11001G_005MA,B11001G_006E,B11001G_006EA,B11001G_006M,B11001G_006MA,B11001G_007E,B11001G_007EA,B11001G_007M,B11001G_007MA,B11001G_008E,B11001G_008EA,B11001G_008M,B11001G_008MA,B11001G_009E,B11001G_009EA,B11001G_009M,B11001G_009MA,GEO_ID,NAME,state
18976,null,2342,null,13076,null,1912,null,9637,null,1724,null,3439,null,895,null,676,null,364,null,2763,null,861,null,5900,null,1359,null,4840,null,1200,null,1060,null,699,null,0400000US01,Alabama,01
12720,null,1820,null,8940,null,1536,null,4105,null,966,null,4835,null,1232,null,2244,null,939,null,2591,null,736,null,3780,null,948,null,2703,null,862,null,1077,null,549,null,0400000US02,Alaska,02
33684,null,2571,null,20868,null,2095,null,13009,null,1860,null,7859,null,1484,null,2123,null,826,null,5736,null,1238,null,12816,null,1923,null,10019,null,1611,null,2797,null,825,null,0400000US04,Arizona,04
16070,null,1994,null,10513,null,1629,null,7070,null,1290,null,3443,null,999,null,374,null,236,null,3069,null,980,null,5557,null,1229,null,4640,null,1085,null,917,null,487,null,0400000US05,Arkansas,05
269030,null,7987,null,178870,null,5805,null,117669,null,4900,null,61201,null,3713,null,14787,null,2051,null,46414,null,3305,null,90160,null,5054,null,65918,null,4199,null,24242,null,2616,null,0400000US06,California,06
36632,null,3198,null,23231,null,2500,null,16252,null,2086,null,6979,null,1435,null,1795,null,670,null,5184,null,1293,null,13401,null,1884,null,10361,null,1663,null,3040,null,891,null,0400000US08,Colorado,08
17785,null,2218,null,12105,null,1864,null,6493,null,1268,null,5612,null,1235,null,956,null,561,null,4656,null,1079,null,5680,null,1133,null,4598,null,1013,null,1082,null,600,null,0400000US09,Connecticut,09
3783,null,959,null,2320,null,849,null,1361,null,466,null,959,null,716,null,212,null,278,null,747,null,660,null,1463,null,565,null,1191,null,508,null,272,null,212,null,0400000US10,Delaware,10
4196,null,1140,null,1582,null,773,null,758,null,480,null,824,null,557,null,102,null,122,null,722,null,524,null,2614,null,727,null,2169,null,651,null,445,null,250,null,0400000US11,District of Columbia,11
79818,null,4411,null,53415,null,3605,null,34193,null,2967,null,19222,null,2100,null,4466,null,1021,null,14756,null,2011,null,26403,null,2909,null,20120,null,2391,null,6283,null,1380,null,0400000US12,Florida,12
32677,null,3111,null,20513,null,2557,null,14322,null,1997,null,6191,null,1308,null,1259,null,697,null,4932,null,1176,null,12164,null,1957,null,9059,null,1748,null,3105,null,1093,null,0400000US13,Georgia,13
62242,null,3724,null,47554,null,3241,null,30708,null,2600,null,16846,null,2011,null,4949,null,1057,null,11897,null,1792,null,14688,null,2133,null,11395,null,1823,null,3293,null,828,null,0400000US15,Hawaii,15
8947,null,1653,null,6674,null,1375,null,4943,null,1111,null,1731,null,659,null,225,null,213,null,1506,null,649,null,2273,null,732,null,1758,null,635,null,515,null,297,null,0400000US16,Idaho,16
42172,null,3325,null,28114,null,2788,null,16834,null,2205,null,11280,null,1794,null,2878,null,1259,null,8402,null,1403,null,14058,null,1740,null,11864,null,1584,null,2194,null,631,null,0400000US17,Illinois,17
28254,null,2476,null,18460,null,2105,null,9966,null,1778,null,8494,null,1368,null,3269,null,899,null,5225,null,1212,null,9794,null,1581,null,8323,null,1534,null,1471,null,498,null,0400000US18,Indiana,18
9955,null,1823,null,5374,null,1385,null,3509,null,1033,null,1865,null,653,null,283,null,268,null,1582,null,636,null,4581,null,1422,null,3052,null,1080,null,1529,null,712,null,0400000US19,Iowa,19
18128,null,2076,null,11687,null,1556,null,7652,null,1355,null,4035,null,963,null,687,null,317,null,3348,null,927,null,6441,null,1247,null,4727,null,1077,null,1714,null,640,null,0400000US20,Kansas,20
14681,null,1834,null,7899,null,1221,null,4662,null,1033,null,3237,null,1051,null,766,null,459,null,2471,null,914,null,6782,null,1295,null,6169,null,1250,null,613,null,426,null,0400000US21,Kentucky,21
12388,null,1606,null,7542,null,1234,null,4784,null,1070,null,2758,null,752,null,619,null,326,null,2139,null,632,null,4846,null,1252,null,3895,null,1039,null,951,null,647,null,0400000US22,Louisiana,22
5954,null,903,null,3410,null,726,null,2241,null,611,null,1169,null,429,null,291,null,220,null,878,null,359,null,2544,null,621,null,2104,null,614,null,440,null,293,null,0400000US23,Maine,23
28086,null,2381,null,18578,null,2123,null,11639,null,1568,null,6939,null,1412,null,1105,null,614,null,5834,null,1290,null,9508,null,1451,null,7669,null,1371,null,1839,null,705,null,0400000US24,Maryland,24
30068,null,2499,null,19721,null,2150,null,10813,null,1704,null,8908,null,1709,null,2939,null,1028,null,5969,null,1386,null,10347,null,1579,null,7472,null,1262,null,2875,null,861,null,0400000US25,Massachusetts,25
45980,null,2962,null,28365,null,2117,null,16942,null,1800,null,11423,null,1565,null,1915,null,669,null,9508,null,1515,null,17615,null,2142,null,14416,null,1946,null,3199,null,891,null,0400000US26,Michigan,26
18125,null,2030,null,11447,null,1589,null,6946,null,1196,null,4501,null,1137,null,1521,null,751,null,2980,null,825,null,6678,null,1078,null,5219,null,895,null,1459,null,516,null,0400000US27,Minnesota,27
6217,null,1075,null,3655,null,872,null,2533,null,717,null,1122,null,600,null,163,null,165,null,959,null,560,null,2562,null,785,null,2257,null,752,null,305,null,296,null,0400000US28,Mississippi,28
30305,null,2529,null,19050,null,1609,null,11587,null,1453,null,7463,null,1151,null,2194,null,759,null,5269,null,1133,null,11255,null,1748,null,9249,null,1542,null,2006,null,644,null,0400000US29,Missouri,29
5087,null,1061,null,3114,null,768,null,1847,null,570,null,1267,null,535,null,213,null,258,null,1054,null,481,null,1973,null,644,null,1437,null,552,null,536,null,370,null,0400000US30,Montana,30
8513,null,1510,null,5443,null,1256,null,3455,null,991,null,1988,null,811,null,370,null,302,null,1618,null,685,null,3070,null,944,null,2666,null,921,null,404,null,293,null,0400000US31,Nebraska,31
19383,null,2142,null,12772,null,1833,null,8359,null,1453,null,4413,null,988,null,1543,null,583,null,2870,null,887,null,6611,null,1100,null,4902,null,1031,null,1709,null,561,null,0400000US32,Nevada,32
5995,null,971,null,3659,null,741,null,2224,null,606,null,1435,null,589,null,678,null,406,null,757,null,386,null,2336,null,939,null,1538,null,746,null,798,null,611,null,0400000US33,New Hampshire,33
37903,null,3111,null,25839,null,2406,null,17164,null,1792,null,8675,null,1508,null,2268,null,748,null,6407,null,1195,null,12064,null,2075,null,9692,null,1791,null,2372,null,856,null,0400000US34,New Jersey,34
15952,null,1837,null,10342,null,1539,null,5467,null,1101,null,4875,null,1278,null,942,null,531,null,3933,null,1106,null,5610,null,1194,null,3777,null,909,null,1833,null,661,null,0400000US35,New Mexico,35
97225,null,4897,null,56861,null,3532,null,30191,null,2965,null,26670,null,2333,null,6058,null,1331,null,20612,null,1852,null,40364,null,3626,null,32700,null,3249,null,7664,null,1408,null,0400000US36,New York,36
34748,null,3066,null,22961,null,2518,null,14954,null,2086,null,8007,null,1661,null,1821,null,725,null,6186,null,1462,null,11787,null,1738,null,8977,null,1564,null,2810,null,988,null,0400000US37,North Carolina,37
2137,null,647,null,1307,null,508,null,780,null,384,null,527,null,308,null,94,null,108,null,433,null,311,null,830,null,488,null,490,null,417,null,340,null,253,null,0400000US38,North Dakota,38
46791,null,2898,null,28508,null,2145,null,16191,null,1752,null,12317,null,1581,null,1963,null,659,null,10354,null,1485,null,18283,null,2054,null,15641,null,1943,null,2642,null,1035,null,0400000US39,Ohio,39
69690,null,3585,null,45417,null,3150,null,30666,null,2845,null,14751,null,1823,null,4320,null,1014,null,10431,null,1676,null,24273,null,2200,null,20609,null,2080,null,3664,null,977,null,0400000US40,Oklahoma,40
30759,null,2423,null,20200,null,1761,null,13315,null,1608,null,6885,null,1293,null,2255,null,759,null,4630,null,1096,null,10559,null,1695,null,7954,null,1401,null,2605,null,912,null,0400000US41,Oregon,41
41062,null,3354,null,26019,null,2653,null,15459,null,2013,null,10560,null,1701,null,2461,null,937,null,8099,null,1597,null,15043,null,2251,null,11845,null,1972,null,3198,null,1079,null,0400000US42,Pennsylvania,42
3482,null,905,null,2516,null,753,null,1300,null,600,null,1216,null,479,null,155,null,157,null,1061,null,465,null,966,null,412,null,807,null,369,null,159,null,210,null,0400000US44,Rhode Island,44
14613,null,1761,null,10351,null,1512,null,6352,null,1163,null,3999,null,991,null,740,null,410,null,3259,null,961,null,4262,null,1041,null,3470,null,974,null,792,null,437,null,0400000US45,South Carolina,45
3803,null,1138,null,3008,null,1050,null,1596,null,758,null,1412,null,545,null,174,null,214,null,1238,null,538,null,795,null,461,null,678,null,436,null,117,null,124,null,0400000US46,South Dakota,46
21760,null,2403,null,13437,null,1688,null,9217,null,1303,null,4220,null,971,null,1005,null,532,null,3215,null,837,null,8323,null,1401,null,7404,null,1221,null,919,null,535,null,0400000US47,Tennessee,47
115555,null,5371,null,80956,null,4207,null,51981,null,3532,null,28975,null,2852,null,6710,null,1363,null,22265,null,2826,null,34599,null,3139,null,28852,null,2833,null,5747,null,1279,null,0400000US48,Texas,48
9297,null,1676,null,6883,null,1415,null,4892,null,1206,null,1991,null,786,null,615,null,550,null,1376,null,563,null,2414,null,854,null,1617,null,628,null,797,null,502,null,0400000US49,Utah,49
2448,null,616,null,1692,null,528,null,1139,null,462,null,553,null,236,null,84,null,78,null,469,null,224,null,756,null,303,null,576,null,267,null,180,null,152,null,0400000US50,Vermont,50
36051,null,3148,null,24644,null,2840,null,17494,null,2465,null,7150,null,1551,null,1640,null,603,null,5510,null,1349,null,11407,null,1872,null,8533,null,1748,null,2874,null,865,null,0400000US51,Virginia,51
63145,null,3259,null,37893,null,2968,null,24521,null,2504,null,13372,null,1806,null,3970,null,1262,null,9402,null,1333,null,25252,null,2659,null,17344,null,2208,null,7908,null,1408,null,0400000US53,Washington,53
7104,null,1490,null,3653,null,1003,null,2548,null,731,null,1105,null,637,null,14,null,27,null,1091,null,634,null,3451,null,1018,null,2925,null,965,null,526,null,357,null,0400000US54,West Virginia,54
16612,null,2230,null,11220,null,1648,null,6204,null,1088,null,5016,null,1001,null,1456,null,713,null,3560,null,793,null,5392,null,1161,null,4494,null,1131,null,898,null,453,null,0400000US55,Wisconsin,55
4430,null,863,null,2409,null,647,null,1781,null,576,null,628,null,364,null,70,null,113,null,558,null,338,null,2021,null,678,null,1890,null,658,null,131,null,137,null,0400000US56,Wyoming,56
90364,null,4197,null,68554,null,3689,null,36222,null,2903,null,32332,null,2677,null,7363,null,1106,null,24969,null,2479,null,21810,null,1994,null,19040,null,1910,null,2770,null,692,null,0400000US72,Puerto Rico,72
