C17001G_001E,C17001G_001EA,C17001G_001M,C17001G_001MA,C17001G_002E,C17001G_002EA,C17001G_002M,C17001G_002MA,C17001G_003E,C17001G_003EA,C17001G_003M,C17001G_003MA,C17001G_004E,C17001G_004EA,C17001G_004M,C17001G_004MA,C17001G_005E,C17001G_005EA,C17001G_005M,C17001G_005MA,C17001G_006E,C17001G_006EA,C17001G_006M,C17001G_006MA,C17001G_007E,C17001G_007EA,C17001G_007M,C17001G_007MA,C17001G_008E,C17001G_008EA,C17001G_008M,C17001G_008MA,C17001G_009E,C17001G_009EA,C17001G_009M,C17001G_009MA,C17001G_010E,C17001G_010EA,C17001G_010M,C17001G_010MA,C17001G_011E,C17001G_011EA,C17001G_011M,C17001G_011MA,C17001G_012E,C17001G_012EA,C17001G_012M,C17001G_012MA,C17001G_013E,C17001G_013EA,C17001G_013M,C17001G_013MA,C17001G_014E,C17001G_014EA,C17001G_014M,C17001G_014MA,C17001G_015E,C17001G_015EA,C17001G_015M,C17001G_015MA,C17001G_016E,C17001G_016EA,C17001G_016M,C17001G_016MA,C17001G_017E,C17001G_017EA,C17001G_017M,C17001G_017MA,C17001G_018E,C17001G_018EA,C17001G_018M,C17001G_018MA,C17001G_019E,C17001G_019EA,C17001G_019M,C17001G_019MA,GEO_ID,NAME,state
58725,null,5456,null,14329,null,3466,null,4827,null,1676,null,2527,null,1190,null,2110,null,871,null,190,null,200,null,9502,null,2493,null,4609,null,1844,null,4701,null,1378,null,192,null,173,null,44396,null,4612,null,25811,null,3110,null,11805,null,2118,null,12408,null,1857,null,1598,null,625,null,18585,null,2420,null,7175,null,1321,null,9352,null,1440,null,2058,null,746,null,0400000US01,Alabama,01
53859,null,4397,null,5846,null,1774,null,3091,null,1057,null,1735,null,774,null,1356,null,616,null,0,null,240,null,2755,null,956,null,1753,null,692,null,1002,null,426,null,0,null,240,null,48013,null,4133,null,23738,null,2560,null,10901,null,1754,null,12334,null,1595,null,503,null,317,null,24275,null,2743,null,11974,null,1839,null,11306,null,1547,null,995,null,483,null,0400000US02,Alaska,02
161169,null,9427,null,25055,null,4561,null,11586,null,2280,null,7532,null,2072,null,3839,null,1089,null,215,null,181,null,13469,null,3091,null,7000,null,2142,null,6026,null,1430,null,443,null,337,null,136114,null,9131,null,67412,null,5261,null,36803,null,3802,null,27898,null,3155,null,2711,null,757,null,68702,null,5418,null,36387,null,3827,null,28866,null,3157,null,3449,null,820,null,0400000US04,Arizona,04
55241,null,4778,null,11330,null,2623,null,4483,null,1244,null,2671,null,893,null,1556,null,722,null,256,null,224,null,6847,null,1745,null,2663,null,1035,null,3623,null,1019,null,561,null,393,null,43911,null,4333,null,20724,null,2447,null,8783,null,1427,null,10512,null,1840,null,1429,null,609,null,23187,null,2878,null,10194,null,1992,null,11198,null,1632,null,1795,null,678,null,0400000US05,Arkansas,05
1272157,null,26269,null,158999,null,11162,null,71039,null,6010,null,39147,null,4188,null,30376,null,3745,null,1516,null,689,null,87960,null,6970,null,40667,null,4553,null,43831,null,4058,null,3462,null,816,null,1113158,null,22771,null,559790,null,13837,null,270845,null,9617,null,267230,null,8130,null,21715,null,2104,null,553368,null,14244,null,253650,null,9968,null,271059,null,7619,null,28659,null,2728,null,0400000US06,California,06
147731,null,8700,null,20347,null,3664,null,8908,null,1958,null,5443,null,1417,null,3057,null,871,null,408,null,387,null,11439,null,2278,null,4802,null,1510,null,6191,null,1406,null,446,null,439,null,127384,null,7289,null,63766,null,4215,null,29797,null,3419,null,32037,null,2933,null,1932,null,650,null,63618,null,4798,null,31402,null,3029,null,30326,null,2940,null,1890,null,560,null,0400000US08,Colorado,08
71579,null,6460,null,11029,null,2633,null,4999,null,1475,null,3398,null,1242,null,1324,null,768,null,277,null,273,null,6030,null,1720,null,3024,null,1398,null,2063,null,707,null,943,null,441,null,60550,null,5650,null,30061,null,3274,null,14457,null,2157,null,14979,null,1980,null,625,null,357,null,30489,null,3450,null,14489,null,2293,null,14769,null,1859,null,1231,null,594,null,0400000US09,Connecticut,09
14522,null,2497,null,2749,null,1396,null,1579,null,962,null,1157,null,925,null,374,null,320,null,48,null,82,null,1170,null,592,null,397,null,348,null,773,null,453,null,0,null,263,null,11773,null,1876,null,6399,null,1307,null,3097,null,932,null,2987,null,899,null,315,null,238,null,5374,null,1083,null,2468,null,719,null,2751,null,734,null,155,null,144,null,0400000US10,Delaware,10
11087,null,3401,null,1180,null,558,null,665,null,429,null,0,null,296,null,665,null,429,null,0,null,296,null,515,null,324,null,114,null,133,null,294,null,237,null,107,null,124,null,9907,null,3314,null,4659,null,2036,null,1524,null,1192,null,2970,null,1223,null,165,null,157,null,5248,null,1573,null,1305,null,696,null,3281,null,1021,null,662,null,468,null,0400000US11,District of Columbia,11
331098,null,14550,null,52244,null,6279,null,23937,null,3736,null,14977,null,3300,null,8122,null,1684,null,838,null,493,null,28307,null,3790,null,13538,null,2367,null,12615,null,2220,null,2154,null,704,null,278854,null,13698,null,139483,null,8074,null,63939,null,5537,null,67064,null,4975,null,8480,null,1350,null,139371,null,8616,null,63989,null,5590,null,67614,null,5131,null,7768,null,1389,null,0400000US12,Florida,12
129756,null,8603,null,22427,null,3208,null,9739,null,1864,null,5747,null,1517,null,3919,null,1140,null,73,null,106,null,12688,null,2280,null,6882,null,1601,null,5257,null,1338,null,549,null,403,null,107329,null,8089,null,51975,null,4749,null,25796,null,3157,null,24872,null,2897,null,1307,null,531,null,55354,null,5143,null,27207,null,3420,null,25508,null,3162,null,2639,null,908,null,0400000US13,Georgia,13
271024,null,11101,null,24030,null,4353,null,10521,null,2438,null,5444,null,1437,null,4532,null,1320,null,545,null,400,null,13509,null,2530,null,5691,null,1575,null,7369,null,1365,null,449,null,400,null,246994,null,10772,null,124283,null,6058,null,48663,null,3706,null,68698,null,4039,null,6922,null,1225,null,122711,null,6718,null,48880,null,3405,null,65391,null,4496,null,8440,null,1153,null,0400000US15,Hawaii,15
37442,null,3407,null,8125,null,2070,null,3567,null,1225,null,2696,null,1128,null,681,null,350,null,190,null,222,null,4558,null,1291,null,2702,null,937,null,1594,null,479,null,262,null,255,null,29317,null,3410,null,15372,null,2210,null,7640,null,1448,null,7307,null,1515,null,425,null,251,null,13945,null,1860,null,7242,null,1325,null,5766,null,1041,null,937,null,595,null,0400000US16,Idaho,16
215129,null,11999,null,37052,null,5208,null,17744,null,2950,null,12824,null,2589,null,4308,null,1108,null,612,null,411,null,19308,null,3499,null,10348,null,2464,null,8530,null,1581,null,430,null,342,null,178077,null,10748,null,90152,null,5719,null,50219,null,4097,null,37789,null,3378,null,2144,null,621,null,87925,null,7219,null,47744,null,5004,null,36293,null,3558,null,3888,null,1007,null,0400000US17,Illinois,17
118504,null,6700,null,25070,null,4155,null,12003,null,2380,null,6758,null,1781,null,5053,null,1175,null,192,null,222,null,13067,null,2350,null,8488,null,1884,null,4340,null,1068,null,239,null,201,null,93434,null,5979,null,45264,null,3654,null,24628,null,2567,null,18989,null,2296,null,1647,null,502,null,48170,null,3737,null,25645,null,2455,null,20119,null,2343,null,2406,null,691,null,0400000US18,Indiana,18
42788,null,3733,null,9635,null,1788,null,4916,null,1294,null,3022,null,969,null,1777,null,775,null,117,null,171,null,4719,null,1040,null,2183,null,668,null,2271,null,676,null,265,null,241,null,33153,null,3463,null,16505,null,2089,null,8637,null,1767,null,7509,null,1207,null,359,null,198,null,16648,null,2380,null,10264,null,1731,null,5844,null,1236,null,540,null,401,null,0400000US19,Iowa,19
