C11001G_001E,C11001G_001EA,C11001G_001M,C11001G_001MA,C11001G_002E,C11001G_002EA,C11001G_002M,C11001G_002MA,C11001G_003E,C11001G_003EA,C11001G_003M,C11001G_003MA,C11001G_004E,C11001G_004EA,C11001G_004M,C11001G_004MA,C11001G_005E,C11001G_005EA,C11001G_005M,C11001G_005MA,GEO_ID,NAME,state
18976,null,2342,null,13076,null,1912,null,9637,null,1724,null,3439,null,895,null,5900,null,1359,null,0400000US01,Alabama,01
12720,null,1820,null,8940,null,1536,null,4105,null,966,null,4835,null,1232,null,3780,null,948,null,0400000US02,Alaska,02
33684,null,2571,null,20868,null,2095,null,13009,null,1860,null,7859,null,1484,null,12816,null,1923,null,0400000US04,Arizona,04
16070,null,1994,null,10513,null,1629,null,7070,null,1290,null,3443,null,999,null,5557,null,1229,null,0400000US05,Arkansas,05
269030,null,7987,null,178870,null,5805,null,117669,null,4900,null,61201,null,3713,null,90160,null,5054,null,0400000US06,California,06
36632,null,3198,null,23231,null,2500,null,16252,null,2086,null,6979,null,1435,null,13401,null,1884,null,0400000US08,Colorado,08
17785,null,2218,null,12105,null,1864,null,6493,null,1268,null,5612,null,1235,null,5680,null,1133,null,0400000US09,Connecticut,09
3783,null,959,null,2320,null,849,null,1361,null,466,null,959,null,716,null,1463,null,565,null,0400000US10,Delaware,10
4196,null,1140,null,1582,null,773,null,758,null,480,null,824,null,557,null,2614,null,727,null,0400000US11,District of Columbia,11
79818,null,4411,null,53415,null,3605,null,34193,null,2967,null,19222,null,2100,null,26403,null,2909,null,0400000US12,Florida,12
32677,null,3111,null,20513,null,2557,null,14322,null,1997,null,6191,null,1308,null,12164,null,1957,null,0400000US13,Georgia,13
62242,null,3724,null,47554,null,3241,null,30708,null,2600,null,16846,null,2011,null,14688,null,2133,null,0400000US15,Hawaii,15
8947,null,1653,null,6674,null,1375,null,4943,null,1111,null,1731,null,659,null,2273,null,732,null,0400000US16,Idaho,16
42172,null,3325,null,28114,null,2788,null,16834,null,2205,null,11280,null,1794,null,14058,null,1740,null,0400000US17,Illinois,17
28254,null,2476,null,18460,null,2105,null,9966,null,1778,null,8494,null,1368,null,9794,null,1581,null,0400000US18,Indiana,18
9955,null,1823,null,5374,null,1385,null,3509,null,1033,null,1865,null,653,null,4581,null,1422,null,0400000US19,Iowa,19
18128,null,2076,null,11687,null,1556,null,7652,null,1355,null,4035,null,963,null,6441,null,1247,null,0400000US20,Kansas,20
14681,null,1834,null,7899,null,1221,null,4662,null,1033,null,3237,null,1051,null,6782,null,1295,null,0400000US21,Kentucky,21
12388,null,1606,null,7542,null,1234,null,4784,null,1070,null,2758,null,752,null,4846,null,1252,null,0400000US22,Louisiana,22
5954,null,903,null,3410,null,726,null,2241,null,611,null,1169,null,429,null,2544,null,621,null,0400000US23,Maine,23
28086,null,2381,null,18578,null,2123,null,11639,null,1568,null,6939,null,1412,null,9508,null,1451,null,0400000US24,Maryland,24
30068,null,2499,null,19721,null,2150,null,10813,null,1704,null,8908,null,1709,null,10347,null,1579,null,0400000US25,Massachusetts,25
45980,null,2962,null,28365,null,2117,null,16942,null,1800,null,11423,null,1565,null,17615,null,2142,null,0400000US26,Michigan,26
18125,null,2030,null,11447,null,1589,null,6946,null,1196,null,4501,null,1137,null,6678,null,1078,null,0400000US27,Minnesota,27
6217,null,1075,null,3655,null,872,null,2533,null,717,null,1122,null,600,null,2562,null,785,null,0400000US28,Mississippi,28
