B01001G_001E,B01001G_001EA,B01001G_001M,B01001G_001MA,B01001G_002E,B01001G_002EA,B01001G_002M,B01001G_002MA,B01001G_003E,B01001G_003EA,B01001G_003M,B01001G_003MA,B01001G_004E,B01001G_004EA,B01001G_004M,B01001G_004MA,B01001G_005E,B01001G_005EA,B01001G_005M,B01001G_005MA,B01001G_006E,B01001G_006EA,B01001G_006M,B01001G_006MA,B01001G_007E,B01001G_007EA,B01001G_007M,B01001G_007MA,B01001G_008E,B01001G_008EA,B01001G_008M,B01001G_008MA,B01001G_009E,B01001G_009EA,B01001G_009M,B01001G_009MA,B01001G_010E,B01001G_010EA,B01001G_010M,B01001G_010MA,B01001G_011E,B01001G_011EA,B01001G_011M,B01001G_011MA,B01001G_012E,B01001G_012EA,B01001G_012M,B01001G_012MA,B01001G_013E,B01001G_013EA,B01001G_013M,B01001G_013MA,B01001G_014E,B01001G_014EA,B01001G_014M,B01001G_014MA,B01001G_015E,B01001G_015EA,B01001G_015M,B01001G_015MA,B01001G_016E,B01001G_016EA,B01001G_016M,B01001G_016MA,B01001G_017E,B01001G_017EA,B01001G_017M,B01001G_017MA,B01001G_018E,B01001G_018EA,B01001G_018M,B01001G_018MA,B01001G_019E,B01001G_019EA,B01001G_019M,B01001G_019MA,B01001G_020E,B01001G_020EA,B01001G_020M,B01001G_020MA,B01001G_021E,B01001G_021EA,B01001G_021M,B01001G_021MA,B01001G_022E,B01001G_022EA,B01001G_022M,B01001G_022MA,B01001G_023E,B01001G_023EA,B01001G_023M,B01001G_023MA,B01001G_024E,B01001G_024EA,B01001G_024M,B01001G_024MA,B01001G_025E,B01001G_025EA,B01001G_025M,B01001G_025MA,B01001G_026E,B01001G_026EA,B01001G_026M,B01001G_026MA,B01001G_027E,B01001G_027EA,B01001G_027M,B01001G_027MA,B01001G_028E,B01001G_028EA,B01001G_028M,B01001G_028MA,B01001G_029E,B01001G_029EA,B01001G_029M,B01001G_029MA,B01001G_030E,B01001G_030EA,B01001G_030M,B01001G_030MA,B01001G_031E,B01001G_031EA,B01001G_031M,B01001G_031MA,GEO_ID,NAME,state
60615,null,5519,null,31300,null,3471,null,4925,null,1179,null,4658,null,1250,null,3256,null,953,null,1755,null,661,null,685,null,365,null,1019,null,449,null,2224,null,896,null,1694,null,604,null,3306,null,1211,null,3842,null,1061,null,2094,null,621,null,1017,null,452,null,548,null,408,null,277,null,209,null,29315,null,3450,null,4557,null,1571,null,4108,null,1145,null,2983,null,969,null,1056,null,571,null,1157,null,638,null,1333,null,707,null,1348,null,550,null,1328,null,600,null,2798,null,931,null,3821,null,1067,null,2522,null,645,null,1079,null,451,null,1020,null,479,null,205,null,167,null,0400000US01,Alabama,01
55613,null,4357,null,28058,null,2603,null,4816,null,1186,null,3799,null,906,null,2647,null,671,null,1995,null,921,null,1429,null,575,null,3337,null,984,null,1907,null,514,null,1660,null,766,null,3157,null,952,null,2029,null,842,null,779,null,383,null,419,null,286,null,84,null,97,null,0,null,240,null,27555,null,2899,null,4237,null,897,null,4273,null,886,null,3998,null,1075,null,1583,null,570,null,1151,null,545,null,2859,null,659,null,1271,null,613,null,1970,null,615,null,1823,null,744,null,2239,null,594,null,1156,null,411,null,569,null,307,null,398,null,287,null,28,null,44,null,0400000US02,Alaska,02
167353,null,9487,null,83373,null,5439,null,15675,null,2354,null,13081,null,1975,null,10750,null,2184,null,6155,null,1195,null,2883,null,864,null,5166,null,1271,null,6007,null,1391,null,5012,null,1098,null,7231,null,1335,null,4784,null,848,null,3629,null,925,null,2100,null,729,null,672,null,303,null,228,null,246,null,83980,null,6167,null,15378,null,2665,null,14102,null,2283,null,10149,null,1801,null,4533,null,994,null,2669,null,635,null,4857,null,1080,null,6250,null,1740,null,4649,null,1138,null,7153,null,1422,null,7192,null,1472,null,3058,null,703,null,2454,null,667,null,1215,null,519,null,321,null,233,null,0400000US04,Arizona,04
56502,null,4787,null,25836,null,2500,null,4426,null,1061,null,3408,null,996,null,2345,null,781,null,1476,null,565,null,1283,null,679,null,1219,null,509,null,1586,null,772,null,1339,null,641,null,2038,null,636,null,2996,null,693,null,2035,null,579,null,977,null,481,null,671,null,387,null,37,null,60,null,30666,null,3440,null,4570,null,1340,null,3674,null,1025,null,3530,null,1133,null,1558,null,563,null,1329,null,655,null,2259,null,865,null,1643,null,715,null,1401,null,625,null,3037,null,868,null,3603,null,862,null,1706,null,518,null,1695,null,761,null,491,null,307,null,170,null,147,null,0400000US05,Arkansas,05
1310498,null,26071,null,654358,null,15449,null,100646,null,5346,null,88838,null,4599,null,81761,null,4326,null,45618,null,3395,null,26951,null,2834,null,51668,null,3409,null,45407,null,4172,null,33008,null,3414,null,69180,null,4662,null,55160,null,3408,null,32170,null,2755,null,15975,null,1858,null,5662,null,1018,null,2314,null,697,null,656140,null,16000,null,100994,null,6201,null,75586,null,5027,null,77545,null,4259,null,45120,null,3366,null,27240,null,2646,null,53135,null,4303,null,44811,null,3626,null,32821,null,2999,null,72048,null,3842,null,55778,null,3389,null,37487,null,2572,null,18648,null,2092,null,9480,null,1568,null,5447,null,1507,null,0400000US06,California,06
152134,null,8663,null,75827,null,5065,null,12099,null,2013,null,10162,null,1649,null,9047,null,1727,null,4583,null,1057,null,3428,null,940,null,6248,null,1384,null,5663,null,1284,null,5075,null,1061,null,7256,null,1527,null,6707,null,1371,null,3016,null,959,null,1854,null,658,null,528,null,302,null,161,null,164,null,76307,null,5365,null,12155,null,1657,null,11386,null,1757,null,8373,null,1401,null,4598,null,1062,null,2797,null,873,null,4548,null,1027,null,5335,null,1189,null,4275,null,913,null,8069,null,1927,null,8252,null,1388,null,4150,null,933,null,970,null,446,null,1100,null,581,null,299,null,225,null,0400000US08,Colorado,08
74113,null,6532,null,36705,null,3791,null,6498,null,1370,null,4619,null,1062,null,4735,null,1079,null,2341,null,780,null,940,null,437,null,2703,null,852,null,2431,null,992,null,2415,null,781,null,3961,null,1100,null,3736,null,927,null,1361,null,577,null,830,null,391,null,102,null,138,null,33,null,53,null,37408,null,3832,null,4529,null,1041,null,4750,null,1215,null,5765,null,1199,null,2828,null,924,null,1107,null,552,null,2470,null,715,null,1945,null,655,null,2767,null,1061,null,3993,null,1071,null,3521,null,1047,null,1503,null,518,null,991,null,423,null,668,null,450,null,571,null,394,null,0400000US09,Connecticut,09
14791,null,2497,null,8164,null,1687,null,2085,null,833,null,714,null,304,null,1273,null,949,null,208,null,167,null,340,null,321,null,423,null,258,null,367,null,271,null,222,null,218,null,688,null,425,null,772,null,391,null,709,null,480,null,277,null,197,null,52,null,60,null,34,null,43,null,6627,null,1290,null,1042,null,434,null,868,null,452,null,703,null,383,null,252,null,167,null,315,null,240,null,448,null,221,null,969,null,497,null,156,null,122,null,709,null,454,null,547,null,332,null,436,null,256,null,132,null,138,null,23,null,41,null,27,null,44,null,0400000US10,Delaware,10
11819,null,3447,null,5692,null,2171,null,380,null,317,null,480,null,437,null,436,null,399,null,294,null,432,null,324,null,373,null,491,null,398,null,617,null,454,null,419,null,416,null,471,null,248,null,990,null,553,null,625,null,554,null,115,null,134,null,50,null,82,null,0,null,296,null,6127,null,1608,null,333,null,243,null,326,null,253,null,656,null,557,null,104,null,125,null,445,null,241,null,500,null,378,null,826,null,385,null,540,null,343,null,875,null,565,null,300,null,302,null,453,null,370,null,296,null,218,null,473,null,426,null,0,null,296,null,0400000US11,District of Columbia,11
341012,null,14559,null,169332,null,8662,null,29589,null,3774,null,21709,null,2868,null,18960,null,2356,null,10195,null,1934,null,6167,null,1678,null,12400,null,1999,null,8582,null,1558,null,10317,null,2082,null,16371,null,2472,null,15868,null,2233,null,9700,null,1557,null,5945,null,1123,null,2692,null,965,null,837,null,476,null,171680,null,9063,null,28118,null,3400,null,23561,null,2852,null,17475,null,2609,null,10311,null,1651,null,5073,null,1400,null,12110,null,2021,null,9973,null,1918,null,8741,null,1557,null,16491,null,2775,null,18275,null,2252,null,11409,null,1339,null,5805,null,1243,null,3442,null,976,null,896,null,401,null,0400000US12,Florida,12
