B19101I_001E,B19101I_001EA,B19101I_001M,B19101I_001MA,B19101I_002E,B19101I_002EA,B19101I_002M,B19101I_002MA,B19101I_003E,B19101I_003EA,B19101I_003M,B19101I_003MA,B19101I_004E,B19101I_004EA,B19101I_004M,B19101I_004MA,B19101I_005E,B19101I_005EA,B19101I_005M,B19101I_005MA,B19101I_006E,B19101I_006EA,B19101I_006M,B19101I_006MA,B19101I_007E,B19101I_007EA,B19101I_007M,B19101I_007MA,B19101I_008E,B19101I_008EA,B19101I_008M,B19101I_008MA,B19101I_009E,B19101I_009EA,B19101I_009M,B19101I_009MA,B19101I_010E,B19101I_010EA,B19101I_010M,B19101I_010MA,B19101I_011E,B19101I_011EA,B19101I_011M,B19101I_011MA,B19101I_012E,B19101I_012EA,B19101I_012M,B19101I_012MA,B19101I_013E,B19101I_013EA,B19101I_013M,B19101I_013MA,B19101I_014E,B19101I_014EA,B19101I_014M,B19101I_014MA,B19101I_015E,B19101I_015EA,B19101I_015M,B19101I_015MA,B19101I_016E,B19101I_016EA,B19101I_016M,B19101I_016MA,B19101I_017E,B19101I_017EA,B19101I_017M,B19101I_017MA,GEO_ID,NAME,state
24059,null,1797,null,1638,null,700,null,1529,null,769,null,4070,null,1382,null,1801,null,773,null,1616,null,721,null,1708,null,774,null,1884,null,511,null,1205,null,601,null,972,null,496,null,1643,null,553,null,1302,null,549,null,2292,null,613,null,1469,null,789,null,356,null,260,null,503,null,351,null,71,null,127,null,0400000US01,Alabama,01
7117,null,1439,null,326,null,281,null,151,null,162,null,44,null,74,null,248,null,284,null,381,null,356,null,207,null,246,null,36,null,68,null,752,null,729,null,722,null,531,null,564,null,363,null,1524,null,853,null,699,null,320,null,444,null,267,null,363,null,311,null,444,null,389,null,212,null,187,null,0400000US02,Alaska,02
373182,null,7183,null,28323,null,3268,null,22193,null,2909,null,21703,null,2403,null,26040,null,2720,null,29376,null,3112,null,26810,null,3285,null,23185,null,2950,null,20081,null,2245,null,22191,null,2644,null,31530,null,3321,null,39530,null,3569,null,41131,null,3597,null,19784,null,2504,null,9489,null,1762,null,8089,null,1315,null,3727,null,871,null,0400000US04,Arizona,04
30571,null,2146,null,2511,null,875,null,1938,null,737,null,3958,null,1176,null,4342,null,1287,null,1808,null,756,null,1866,null,712,null,2146,null,679,null,2300,null,783,null,1884,null,641,null,2235,null,747,null,2058,null,676,null,2080,null,765,null,550,null,383,null,489,null,405,null,296,null,229,null,110,null,116,null,0400000US05,Arkansas,05
2642869,null,14272,null,137592,null,6850,null,128474,null,6654,null,165928,null,7169,null,179517,null,6207,null,166741,null,7630,null,169655,null,8099,null,153599,null,6723,null,147862,null,5918,null,136248,null,6508,null,243539,null,7293,null,283307,null,8289,null,312102,null,8630,null,185882,null,6754,null,97047,null,5539,null,83095,null,4413,null,52281,null,4076,null,0400000US06,California,06
207041,null,4790,null,13346,null,2393,null,16201,null,2450,null,14413,null,1941,null,15638,null,2317,null,16102,null,2274,null,14285,null,2028,null,13077,null,1902,null,12407,null,1932,null,10653,null,1612,null,17216,null,2209,null,20804,null,2601,null,21282,null,2613,null,11133,null,1939,null,4606,null,1166,null,3572,null,982,null,2306,null,803,null,0400000US08,Colorado,08
92741,null,3435,null,9771,null,1654,null,6661,null,1420,null,6825,null,1599,null,5690,null,1333,null,4799,null,1392,null,5333,null,1348,null,6124,null,1242,null,2879,null,922,null,3764,null,1140,null,6627,null,1391,null,9730,null,1840,null,10754,null,1979,null,5072,null,1117,null,2925,null,894,null,2443,null,805,null,3344,null,897,null,0400000US09,Connecticut,09
12513,null,1247,null,537,null,360,null,822,null,518,null,832,null,549,null,683,null,394,null,1256,null,800,null,603,null,439,null,640,null,495,null,909,null,542,null,610,null,442,null,889,null,422,null,1627,null,670,null,1437,null,558,null,1027,null,554,null,423,null,330,null,114,null,137,null,104,null,109,null,0400000US10,Delaware,10
9570,null,1336,null,477,null,348,null,671,null,596,null,341,null,285,null,749,null,533,null,337,null,373,null,651,null,566,null,1048,null,625,null,853,null,639,null,162,null,172,null,1073,null,584,null,793,null,424,null,599,null,546,null,156,null,155,null,657,null,500,null,187,null,153,null,816,null,376,null,0400000US11,District of Columbia,11
895190,null,11625,null,45365,null,3386,null,50786,null,3588,null,57382,null,5238,null,61174,null,4805,null,61223,null,4236,null,61534,null,3709,null,52145,null,4104,null,54081,null,3812,null,43406,null,3591,null,81754,null,4710,null,95204,null,4764,null,95622,null,4273,null,53700,null,3372,null,29736,null,2707,null,25887,null,2757,null,26191,null,2544,null,0400000US12,Florida,12
142219,null,4874,null,7923,null,1391,null,7533,null,1691,null,11214,null,2089,null,9971,null,1685,null,10425,null,2066,null,11661,null,1862,null,9419,null,1927,null,8448,null,1876,null,8156,null,1546,null,15326,null,2473,null,14118,null,1931,null,12628,null,1945,null,7913,null,1488,null,2550,null,750,null,2785,null,870,null,2149,null,691,null,0400000US13,Georgia,13
21127,null,1430,null,1583,null,610,null,368,null,252,null,984,null,511,null,828,null,537,null,351,null,171,null,770,null,427,null,805,null,431,null,911,null,475,null,1527,null,772,null,1542,null,664,null,3152,null,1015,null,3282,null,972,null,2424,null,777,null,930,null,409,null,855,null,344,null,815,null,520,null,0400000US15,Hawaii,15
