C17001C_001E,C17001C_001EA,C17001C_001M,C17001C_001MA,C17001C_002E,C17001C_002EA,C17001C_002M,C17001C_002MA,C17001C_003E,C17001C_003EA,C17001C_003M,C17001C_003MA,C17001C_004E,C17001C_004EA,C17001C_004M,C17001C_004MA,C17001C_005E,C17001C_005EA,C17001C_005M,C17001C_005MA,C17001C_006E,C17001C_006EA,C17001C_006M,C17001C_006MA,C17001C_007E,C17001C_007EA,C17001C_007M,C17001C_007MA,C17001C_008E,C17001C_008EA,C17001C_008M,C17001C_008MA,C17001C_009E,C17001C_009EA,C17001C_009M,C17001C_009MA,C17001C_010E,C17001C_010EA,C17001C_010M,C17001C_010MA,C17001C_011E,C17001C_011EA,C17001C_011M,C17001C_011MA,C17001C_012E,C17001C_012EA,C17001C_012M,C17001C_012MA,C17001C_013E,C17001C_013EA,C17001C_013M,C17001C_013MA,C17001C_014E,C17001C_014EA,C17001C_014M,C17001C_014MA,C17001C_015E,C17001C_015EA,C17001C_015M,C17001C_015MA,C17001C_016E,C17001C_016EA,C17001C_016M,C17001C_016MA,C17001C_017E,C17001C_017EA,C17001C_017M,C17001C_017MA,C17001C_018E,C17001C_018EA,C17001C_018M,C17001C_018MA,C17001C_019E,C17001C_019EA,C17001C_019M,C17001C_019MA,GEO_ID,NAME,state
23598,null,2993,null,3491,null,1104,null,1498,null,640,null,495,null,259,null,916,null,509,null,87,null,114,null,1993,null,640,null,310,null,236,null,1632,null,580,null,51,null,65,null,20107,null,2975,null,9827,null,1952,null,2583,null,757,null,6524,null,1552,null,720,null,415,null,10280,null,1671,null,2612,null,687,null,6882,null,1237,null,786,null,424,null,0400000US01,Alabama,01
84847,null,3673,null,16976,null,2072,null,7903,null,1043,null,3092,null,557,null,4637,null,747,null,174,null,161,null,9073,null,1313,null,3182,null,716,null,5727,null,916,null,164,null,170,null,67871,null,3883,null,32976,null,2514,null,10528,null,920,null,20139,null,2059,null,2309,null,416,null,34895,null,2410,null,9901,null,1122,null,21560,null,1516,null,3434,null,472,null,0400000US02,Alaska,02
278432,null,7265,null,81498,null,8064,null,38052,null,4551,null,16365,null,2884,null,19417,null,2872,null,2270,null,430,null,43446,null,4524,null,15423,null,2737,null,24892,null,2987,null,3131,null,579,null,196934,null,8607,null,96483,null,4746,null,29552,null,2640,null,60960,null,3139,null,5971,null,976,null,100451,null,5174,null,28352,null,2788,null,64061,null,3722,null,8038,null,907,null,0400000US04,Arizona,04
14814,null,1884,null,3512,null,948,null,1635,null,559,null,640,null,343,null,995,null,426,null,0,null,269,null,1877,null,627,null,653,null,385,null,934,null,358,null,290,null,229,null,11302,null,1676,null,5545,null,1172,null,2357,null,759,null,2757,null,762,null,431,null,214,null,5757,null,1147,null,1174,null,515,null,3740,null,901,null,843,null,417,null,0400000US05,Arkansas,05
303559,null,14096,null,53952,null,5860,null,24386,null,3561,null,9543,null,1956,null,14010,null,2526,null,833,null,450,null,29566,null,3691,null,8323,null,1732,null,19508,null,2563,null,1735,null,564,null,249607,null,13128,null,126552,null,8119,null,27109,null,3339,null,88894,null,5956,null,10549,null,1364,null,123055,null,7625,null,29411,null,3491,null,81804,null,5136,null,11840,null,1399,null,0400000US06,California,06
45765,null,4520,null,8198,null,2170,null,3035,null,988,null,1007,null,605,null,1607,null,609,null,421,null,323,null,5163,null,1785,null,1742,null,999,null,3267,null,1047,null,154,null,173,null,37567,null,4403,null,19298,null,2704,null,5769,null,1549,null,13112,null,1779,null,417,null,226,null,18269,null,2923,null,3475,null,1049,null,13819,null,2426,null,975,null,543,null,0400000US08,Colorado,08
7766,null,1858,null,2093,null,947,null,911,null,619,null,171,null,166,null,519,null,489,null,221,null,285,null,1182,null,581,null,255,null,247,null,600,null,368,null,327,null,278,null,5673,null,1740,null,3552,null,1119,null,763,null,460,null,2424,null,887,null,365,null,242,null,2121,null,786,null,476,null,325,null,1645,null,608,null,0,null,275,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
45781,null,4869,null,11629,null,2925,null,4626,null,1673,null,1824,null,867,null,2664,null,1039,null,138,null,187,null,7003,null,1692,null,2383,null,914,null,4506,null,1110,null,114,null,122,null,34152,null,4018,null,17855,null,2763,null,3147,null,1267,null,13055,null,2053,null,1653,null,603,null,16297,null,2309,null,2629,null,879,null,11881,null,1800,null,1787,null,767,null,0400000US12,Florida,12
