B25072_001E,B25072_001EA,B25072_001M,B25072_001MA,B25072_002E,B25072_002EA,B25072_002M,B25072_002MA,B25072_003E,B25072_003EA,B25072_003M,B25072_003MA,B25072_004E,B25072_004EA,B25072_004M,B25072_004MA,B25072_005E,B25072_005EA,B25072_005M,B25072_005MA,B25072_006E,B25072_006EA,B25072_006M,B25072_006MA,B25072_007E,B25072_007EA,B25072_007M,B25072_007MA,B25072_008E,B25072_008EA,B25072_008M,B25072_008MA,B25072_009E,B25072_009EA,B25072_009M,B25072_009MA,B25072_010E,B25072_010EA,B25072_010M,B25072_010MA,B25072_011E,B25072_011EA,B25072_011M,B25072_011MA,B25072_012E,B25072_012EA,B25072_012M,B25072_012MA,B25072_013E,B25072_013EA,B25072_013M,B25072_013MA,B25072_014E,B25072_014EA,B25072_014M,B25072_014MA,B25072_015E,B25072_015EA,B25072_015M,B25072_015MA,B25072_016E,B25072_016EA,B25072_016M,B25072_016MA,B25072_017E,B25072_017EA,B25072_017M,B25072_017MA,B25072_018E,B25072_018EA,B25072_018M,B25072_018MA,B25072_019E,B25072_019EA,B25072_019M,B25072_019MA,B25072_020E,B25072_020EA,B25072_020M,B25072_020MA,B25072_021E,B25072_021EA,B25072_021M,B25072_021MA,B25072_022E,B25072_022EA,B25072_022M,B25072_022MA,B25072_023E,B25072_023EA,B25072_023M,B25072_023MA,B25072_024E,B25072_024EA,B25072_024M,B25072_024MA,B25072_025E,B25072_025EA,B25072_025M,B25072_025MA,B25072_026E,B25072_026EA,B25072_026M,B25072_026MA,B25072_027E,B25072_027EA,B25072_027M,B25072_027MA,B25072_028E,B25072_028EA,B25072_028M,B25072_028MA,B25072_029E,B25072_029EA,B25072_029M,B25072_029MA,GEO_ID,NAME,state
526710,null,11922,null,75835,null,4912,null,12655,null,1883,null,5754,null,1389,null,7330,null,1595,null,5682,null,1400,null,34145,null,3408,null,10269,null,1829,null,135933,null,6967,null,33836,null,3348,null,15899,null,2076,null,13694,null,2260,null,8338,null,1633,null,47668,null,3910,null,16498,null,2814,null,249150,null,6813,null,68969,null,4389,null,28779,null,3007,null,24167,null,2637,null,17879,null,2403,null,76935,null,5247,null,32421,null,2676,null,65792,null,3450,null,9296,null,1263,null,5454,null,1011,null,8806,null,1273,null,3539,null,801,null,23323,null,2241,null,15374,null,1807,null,0400000US01,Alabama,01
83273,null,3590,null,13418,null,1583,null,3107,null,974,null,1823,null,595,null,1955,null,767,null,1521,null,634,null,4057,null,1070,null,955,null,394,null,24976,null,2248,null,7136,null,1421,null,3079,null,1003,null,1910,null,622,null,3120,null,870,null,7232,null,1520,null,2499,null,734,null,39595,null,3322,null,11370,null,1833,null,5848,null,1419,null,4316,null,937,null,4229,null,1188,null,8742,null,1319,null,5090,null,870,null,5284,null,896,null,830,null,383,null,505,null,289,null,500,null,317,null,646,null,391,null,2058,null,606,null,745,null,342,null,0400000US02,Alaska,02
724952,null,12371,null,82748,null,4288,null,12885,null,2250,null,7921,null,1378,null,8493,null,1525,null,7018,null,1292,null,40964,null,3320,null,5467,null,1271,null,209232,null,7085,null,47714,null,3731,null,31044,null,3525,null,25018,null,2597,null,18851,null,2343,null,75149,null,5088,null,11456,null,1872,null,351795,null,9604,null,94751,null,5367,null,43568,null,3668,null,38711,null,3882,null,30986,null,3098,null,118698,null,6117,null,25081,null,2717,null,81177,null,4072,null,11347,null,1543,null,5648,null,1231,null,7411,null,1654,null,5639,null,1122,null,39238,null,2828,null,11894,null,1799,null,0400000US04,Arizona,04
363402,null,7994,null,53987,null,4354,null,10751,null,2086,null,6491,null,1507,null,5354,null,1428,null,3735,null,1079,null,23313,null,2433,null,4343,null,1325,null,91130,null,5026,null,20300,null,2490,null,10141,null,2082,null,11053,null,1877,null,6755,null,1493,null,33531,null,3188,null,9350,null,1593,null,172593,null,6483,null,47285,null,4042,null,21341,null,2552,null,15704,null,2381,null,15343,null,2128,null,52209,null,3859,null,20711,null,2211,null,45692,null,2811,null,6580,null,1331,null,4274,null,1052,null,5883,null,968,null,3971,null,914,null,14915,null,1532,null,10069,null,1277,null,0400000US05,Arkansas,05
5230328,null,29953,null,445972,null,9501,null,51223,null,4030,null,37300,null,3867,null,46456,null,3623,null,38896,null,3658,null,246319,null,6981,null,25778,null,2905,null,1387077,null,18305,null,302735,null,8768,null,193282,null,8816,null,168937,null,7518,null,125492,null,5597,null,551225,null,13279,null,45406,null,3843,null,2788748,null,21387,null,628644,null,13215,null,345625,null,9841,null,304382,null,9094,null,254108,null,8606,null,1134873,null,17769,null,121116,null,5401,null,608531,null,9738,null,71729,null,3572,null,41284,null,2968,null,68062,null,3972,null,56010,null,3771,null,320214,null,8372,null,51232,null,3452,null,0400000US06,California,06
617021,null,9872,null,90043,null,3357,null,13989,null,2073,null,10372,null,1679,null,9094,null,1659,null,7643,null,1425,null,46170,null,2873,null,2775,null,785,null,186969,null,5740,null,46086,null,3597,null,32147,null,3107,null,24034,null,2784,null,16689,null,2150,null,60075,null,4229,null,7938,null,1647,null,281739,null,9084,null,67246,null,3434,null,36715,null,3135,null,32261,null,3162,null,25733,null,2885,null,102735,null,5737,null,17049,null,2408,null,58270,null,3201,null,7125,null,1282,null,3871,null,904,null,7635,null,1269,null,5361,null,1230,null,27170,null,2171,null,7108,null,1318,null,0400000US08,Colorado,08
412243,null,8075,null,36032,null,2837,null,5685,null,1194,null,3353,null,841,null,3746,null,1060,null,2012,null,717,null,19580,null,2650,null,1656,null,710,null,96677,null,4326,null,23935,null,2666,null,13603,null,2081,null,11338,null,1841,null,10410,null,1621,null,33233,null,3667,null,4158,null,1243,null,206727,null,6427,null,51161,null,3114,null,27521,null,2648,null,22294,null,2540,null,17627,null,2410,null,77219,null,4663,null,10905,null,2022,null,72807,null,3616,null,9057,null,1161,null,8058,null,1398,null,9560,null,1628,null,7927,null,1312,null,30799,null,2598,null,7406,null,1147,null,0400000US09,Connecticut,09
87110,null,4274,null,10284,null,1520,null,1796,null,627,null,953,null,532,null,1003,null,562,null,1125,null,595,null,4371,null,1206,null,1036,null,551,null,23476,null,2261,null,6566,null,1086,null,2631,null,891,null,2590,null,917,null,2143,null,830,null,8056,null,1775,null,1490,null,742,null,40694,null,3415,null,9000,null,1745,null,5601,null,1402,null,4272,null,1048,null,3642,null,1098,null,15739,null,1991,null,2440,null,808,null,12656,null,1631,null,1612,null,704,null,1196,null,770,null,1892,null,580,null,838,null,507,null,5421,null,905,null,1697,null,537,null,0400000US10,Delaware,10
141425,null,4835,null,13689,null,1459,null,1525,null,666,null,1343,null,666,null,1443,null,568,null,1141,null,517,null,7242,null,1297,null,995,null,480,null,42983,null,2681,null,11660,null,1639,null,7916,null,1525,null,6147,null,1447,null,3702,null,1030,null,12380,null,1948,null,1178,null,637,null,66555,null,4162,null,19236,null,2262,null,7095,null,1406,null,7448,null,1500,null,5911,null,1236,null,24001,null,2564,null,2864,null,879,null,18198,null,1804,null,3957,null,1059,null,1225,null,454,null,2140,null,720,null,1767,null,630,null,8142,null,1399,null,967,null,422,null,0400000US11,District of Columbia,11
2140788,null,22439,null,230291,null,7726,null,24914,null,2659,null,22545,null,2849,null,24472,null,2753,null,21080,null,3035,null,119280,null,6114,null,18000,null,3019,null,557139,null,11899,null,101887,null,5472,null,71710,null,5194,null,74700,null,6083,null,54622,null,4985,null,228606,null,8821,null,25614,null,3404,null,1057327,null,18741,null,204758,null,8218,null,129922,null,8310,null,112157,null,6130,null,92202,null,4638,null,460457,null,11818,null,57831,null,4034,null,296031,null,7070,null,34714,null,3062,null,20419,null,2268,null,28652,null,2609,null,24231,null,2330,null,149307,null,6137,null,38708,null,3566,null,0400000US12,Florida,12
