B27002_001E,B27002_001EA,B27002_001M,B27002_001MA,B27002_002E,B27002_002EA,B27002_002M,B27002_002MA,B27002_003E,B27002_003EA,B27002_003M,B27002_003MA,B27002_004E,B27002_004EA,B27002_004M,B27002_004MA,B27002_005E,B27002_005EA,B27002_005M,B27002_005MA,B27002_006E,B27002_006EA,B27002_006M,B27002_006MA,B27002_007E,B27002_007EA,B27002_007M,B27002_007MA,B27002_008E,B27002_008EA,B27002_008M,B27002_008MA,B27002_009E,B27002_009EA,B27002_009M,B27002_009MA,B27002_010E,B27002_010EA,B27002_010M,B27002_010MA,GEO_ID,NAME,state
4574185,null,1943,null,1119732,null,2376,null,700500,null,13261,null,419232,null,13340,null,2840491,null,3691,null,2046058,null,15561,null,794433,null,15456,null,613962,null,2271,null,421564,null,5972,null,192398,null,5599,null,0400000US01,Alabama,01
659084,null,2654,null,180431,null,1224,null,119630,null,4210,null,60801,null,4214,null,430938,null,3005,null,295181,null,5317,null,135757,null,5611,null,47715,null,912,null,31901,null,1405,null,15814,null,1372,null,0400000US02,Alaska,02
6402786,null,2692,null,1705841,null,1499,null,963739,null,17282,null,742102,null,17505,null,3842529,null,4187,null,2508314,null,23230,null,1334215,null,22594,null,854416,null,3030,null,570433,null,7351,null,283983,null,7597,null,0400000US04,Arizona,04
2801628,null,1721,null,701489,null,1882,null,346992,null,9520,null,354497,null,9686,null,1714875,null,3649,null,1099939,null,14294,null,614936,null,14644,null,385264,null,2567,null,251724,null,4441,null,133540,null,4383,null,0400000US05,Arkansas,05
36160600,null,6633,null,9347714,null,2879,null,5599249,null,37170,null,3748465,null,37272,null,22810866,null,9812,null,15340211,null,43961,null,7470655,null,42854,null,4002020,null,7459,null,2438944,null,20416,null,1563076,null,20056,null,0400000US06,California,06
4853404,null,1990,null,1203936,null,1603,null,818188,null,11764,null,385748,null,11958,null,3154163,null,3072,null,2336448,null,16477,null,817715,null,16062,null,495305,null,2323,null,359477,null,5314,null,135828,null,5418,null,0400000US08,Colorado,08
3440844,null,1173,null,809967,null,951,null,607843,null,10446,null,202124,null,10343,null,2180193,null,2173,null,1743350,null,14112,null,436843,null,13750,null,450684,null,1479,null,343266,null,4885,null,107418,null,4793,null,0400000US09,Connecticut,09
856131,null,1689,null,206043,null,342,null,145188,null,5750,null,60855,null,5689,null,533701,null,1974,null,406481,null,6336,null,127220,null,6050,null,116387,null,879,null,88628,null,2035,null,27759,null,2054,null,0400000US10,Delaware,10
580464,null,653,null,111263,null,844,null,61799,null,3781,null,49464,null,3746,null,402887,null,1335,null,298014,null,4444,null,104873,null,4281,null,66314,null,617,null,47634,null,2153,null,18680,null,2209,null,0400000US11,District of Columbia,11
17995843,null,3547,null,3996332,null,5566,null,2334208,null,26875,null,1662124,null,27279,null,10894707,null,8241,null,7152677,null,33370,null,3742030,null,31851,null,3104804,null,4399,null,1983935,null,17014,null,1120869,null,16990,null,0400000US12,Florida,12
9473441,null,3655,null,2536058,null,3510,null,1486610,null,17095,null,1049448,null,17305,null,5986946,null,6627,null,4121994,null,26024,null,1864952,null,25343,null,950437,null,4347,null,620844,null,8370,null,329593,null,8086,null,0400000US13,Georgia,13
1236665,null,2981,null,284493,null,295,null,221508,null,4817,null,62985,null,4753,null,766424,null,3169,null,644282,null,7247,null,122142,null,7121,null,185748,null,841,null,147853,null,3057,null,37895,null,3060,null,0400000US15,Hawaii,15
1498787,null,900,null,412970,null,1233,null,266808,null,6778,null,146162,null,7024,null,912280,null,1920,null,655368,null,8574,null,256912,null,8200,null,173537,null,1578,null,135138,null,2829,null,38399,null,2733,null,0400000US16,Idaho,16
12709312,null,1736,null,3175518,null,2621,null,2093670,null,18487,null,1081848,null,18525,null,8038424,null,5514,null,5947148,null,30226,null,2091276,null,30070,null,1495370,null,4672,null,1069705,null,10091,null,425665,null,9482,null,0400000US17,Illinois,17
6271184,null,1579,null,1579871,null,2710,null,1049443,null,14222,null,530428,null,14557,null,3924912,null,4070,null,2943343,null,17425,null,981569,null,17515,null,766401,null,3095,null,570202,null,5680,null,196199,null,5582,null,0400000US18,Indiana,18
2951468,null,887,null,708251,null,1569,null,524831,null,8096,null,183420,null,8270,null,1830038,null,2461,null,1475154,null,10750,null,354884,null,10813,null,413179,null,1641,null,325388,null,3549,null,87791,null,3265,null,0400000US19,Iowa,19
2738746,null,1925,null,698223,null,1629,null,498703,null,7996,null,199520,null,8140,null,1697727,null,3489,null,1341616,null,9883,null,356111,null,9275,null,342796,null,2251,null,265262,null,5019,null,77534,null,4698,null,0400000US20,Kansas,20
4187839,null,1726,null,1004446,null,2676,null,620595,null,10560,null,383851,null,10918,null,2645727,null,2776,null,1848542,null,15743,null,797185,null,14891,null,537666,null,2564,null,376985,null,6160,null,160681,null,6239,null,0400000US21,Kentucky,21
