B11004_001E,B11004_001EA,B11004_001M,B11004_001MA,B11004_002E,B11004_002EA,B11004_002M,B11004_002MA,B11004_003E,B11004_003EA,B11004_003M,B11004_003MA,B11004_004E,B11004_004EA,B11004_004M,B11004_004MA,B11004_005E,B11004_005EA,B11004_005M,B11004_005MA,B11004_006E,B11004_006EA,B11004_006M,B11004_006MA,B11004_007E,B11004_007EA,B11004_007M,B11004_007MA,B11004_008E,B11004_008EA,B11004_008M,B11004_008MA,B11004_009E,B11004_009EA,B11004_009M,B11004_009MA,B11004_010E,B11004_010EA,B11004_010M,B11004_010MA,B11004_011E,B11004_011EA,B11004_011M,B11004_011MA,B11004_012E,B11004_012EA,B11004_012M,B11004_012MA,B11004_013E,B11004_013EA,B11004_013M,B11004_013MA,B11004_014E,B11004_014EA,B11004_014M,B11004_014MA,B11004_015E,B11004_015EA,B11004_015M,B11004_015MA,B11004_016E,B11004_016EA,B11004_016M,B11004_016MA,B11004_017E,B11004_017EA,B11004_017M,B11004_017MA,B11004_018E,B11004_018EA,B11004_018M,B11004_018MA,B11004_019E,B11004_019EA,B11004_019M,B11004_019MA,B11004_020E,B11004_020EA,B11004_020M,B11004_020MA,GEO_ID,NAME,state
1216612,null,11381,null,886645,null,11111,null,378817,null,9869,null,86884,null,4635,null,77019,null,4548,null,214914,null,7560,null,507828,null,7185,null,329967,null,9064,null,71745,null,4438,null,36921,null,2889,null,8319,null,1513,null,5497,null,1318,null,23105,null,2232,null,34824,null,3164,null,258222,null,8180,null,175224,null,6792,null,39351,null,3672,null,33174,null,3240,null,102699,null,5309,null,82998,null,4156,null,0400000US01,Alabama,01
157273,null,3920,null,116181,null,3856,null,57074,null,3573,null,12680,null,1857,null,14472,null,2155,null,29922,null,2435,null,59107,null,2476,null,41092,null,3123,null,16013,null,1939,null,10704,null,1760,null,2571,null,884,null,2434,null,718,null,5699,null,1302,null,5309,null,1026,null,25079,null,2388,null,19873,null,2249,null,4568,null,880,null,4129,null,922,null,11176,null,1822,null,5206,null,1069,null,0400000US02,Alaska,02
1489192,null,13955,null,1107600,null,13347,null,487054,null,10954,null,112973,null,5824,null,123066,null,5900,null,251015,null,6362,null,620546,null,8914,null,381592,null,9543,null,116607,null,5998,null,71562,null,4418,null,19233,null,2840,null,12538,null,1977,null,39791,null,3503,null,45045,null,3517,null,264985,null,7433,null,189043,null,6323,null,36422,null,3420,null,45370,null,4507,null,107251,null,5256,null,75942,null,4205,null,0400000US04,Arizona,04
751956,null,8609,null,553088,null,9408,null,228151,null,7039,null,52866,null,3246,null,51267,null,3604,null,124018,null,5304,null,324937,null,6743,null,198868,null,5769,null,45516,null,3015,null,25800,null,2129,null,5821,null,1373,null,3587,null,1185,null,16392,null,1920,null,19716,null,2262,null,153352,null,5277,null,109296,null,4741,null,26286,null,2677,null,22660,null,2831,null,60350,null,3693,null,44056,null,3108,null,0400000US05,Arkansas,05
8265877,null,24391,null,5983545,null,26241,null,3076188,null,22845,null,693229,null,12570,null,768755,null,13059,null,1614204,null,18530,null,2907357,null,18713,null,2282332,null,21674,null,702907,null,16437,null,396638,null,11714,null,97716,null,6259,null,75328,null,4940,null,223594,null,8715,null,306269,null,11469,null,1579425,null,17002,null,1047276,null,16373,null,190577,null,8193,null,221718,null,8128,null,634981,null,13467,null,532149,null,11161,null,0400000US06,California,06
1208994,null,12292,null,946659,null,10636,null,441775,null,8857,null,120620,null,5448,null,95976,null,4989,null,225179,null,6057,null,504884,null,8840,null,262335,null,7932,null,79301,null,4219,null,47476,null,4046,null,12574,null,2151,null,7152,null,1503,null,27750,null,2789,null,31825,null,2518,null,183034,null,6633,null,129484,null,5480,null,28084,null,3021,null,24977,null,2983,null,76423,null,4472,null,53550,null,3890,null,0400000US08,Colorado,08
888825,null,8063,null,668884,null,8268,null,305929,null,6352,null,71399,null,3605,null,61078,null,3794,null,173452,null,5220,null,362955,null,5983,null,219941,null,8097,null,53631,null,4167,null,25813,null,2727,null,9315,null,1889,null,2963,null,1155,null,13535,null,1775,null,27818,null,2817,null,166310,null,6918,null,109245,null,5967,null,20420,null,2534,null,21100,null,2593,null,67725,null,4759,null,57065,null,3437,null,0400000US09,Connecticut,09
222044,null,4500,null,162828,null,4147,null,66952,null,3577,null,15728,null,1639,null,14352,null,1897,null,36872,null,2520,null,95876,null,3029,null,59216,null,3527,null,15394,null,1910,null,9344,null,1688,null,3987,null,1231,null,860,null,450,null,4497,null,1271,null,6050,null,1247,null,43822,null,3072,null,29805,null,2568,null,6427,null,1348,null,5185,null,1396,null,18193,null,2256,null,14017,null,1676,null,0400000US10,Delaware,10
107365,null,3934,null,54439,null,3312,null,20771,null,2240,null,7400,null,1154,null,3873,null,964,null,9498,null,1734,null,33668,null,2529,null,52926,null,2812,null,9943,null,1492,null,4920,null,1216,null,1448,null,639,null,53,null,86,null,3419,null,982,null,5023,null,1156,null,42983,null,2824,null,27967,null,2621,null,5184,null,1187,null,6268,null,1427,null,16515,null,2220,null,15016,null,1619,null,0400000US11,District of Columbia,11
4577227,null,27336,null,3372168,null,24601,null,1299606,null,18164,null,301098,null,8568,null,264956,null,8541,null,733552,null,14099,null,2072562,null,17151,null,1205059,null,20021,null,329361,null,11815,null,176606,null,7883,null,46614,null,3948,null,26470,null,3093,null,103522,null,5869,null,152755,null,7596,null,875698,null,14770,null,577904,null,11201,null,118841,null,5234,null,108147,null,6531,null,350916,null,8863,null,297794,null,8949,null,0400000US12,Florida,12
2364041,null,20337,null,1685437,null,18613,null,812911,null,12627,null,189141,null,7529,null,185667,null,7203,null,438103,null,9550,null,872526,null,13441,null,678604,null,11336,null,157946,null,8241,null,88274,null,6656,null,23029,null,3011,null,10955,null,2284,null,54290,null,4795,null,69672,null,4877,null,520658,null,9701,null,367524,null,9500,null,75095,null,4883,null,82659,null,5703,null,209770,null,7508,null,153134,null,6323,null,0400000US13,Georgia,13
303344,null,5137,null,224330,null,4831,null,103206,null,4040,null,27369,null,2498,null,22375,null,2202,null,53462,null,3302,null,121124,null,4088,null,79014,null,4326,null,25233,null,2379,null,13611,null,2030,null,4067,null,1232,null,2539,null,924,null,7005,null,1318,null,11622,null,1724,null,53781,null,3727,null,30916,null,2826,null,6949,null,1619,null,5581,null,1142,null,18386,null,2434,null,22865,null,2045,null,0400000US15,Hawaii,15
