C11002F_001E,C11002F_001EA,C11002F_001M,C11002F_001MA,C11002F_002E,C11002F_002EA,C11002F_002M,C11002F_002MA,C11002F_003E,C11002F_003EA,C11002F_003M,C11002F_003MA,GEO_ID,NAME,state
30876,null,5243,null,26464,null,5085,null,4412,null,1510,null,0400000US01,Alabama,01
6766,null,2368,null,6380,null,2208,null,386,null,416,null,0400000US02,Alaska,02
440702,null,23864,null,403220,null,22999,null,37482,null,5229,null,0400000US04,Arizona,04
58940,null,5773,null,54772,null,5689,null,4168,null,1677,null,0400000US05,Arkansas,05
5168959,null,67887,null,4822409,null,68500,null,346550,null,16093,null,0400000US06,California,06
219543,null,15037,null,193552,null,14674,null,25991,null,3875,null,0400000US08,Colorado,08
151793,null,9499,null,132677,null,9791,null,19116,null,3660,null,0400000US09,Connecticut,09
14591,null,3704,null,12799,null,3574,null,1792,null,911,null,0400000US10,Delaware,10
17375,null,3904,null,13941,null,3335,null,3434,null,1623,null,0400000US11,District of Columbia,11
454728,null,24819,null,404971,null,24266,null,49757,null,6353,null,0400000US12,Florida,12
331360,null,19122,null,292437,null,18919,null,38923,null,6411,null,0400000US13,Georgia,13
17089,null,4217,null,16401,null,4221,null,688,null,401,null,0400000US15,Hawaii,15
25457,null,4457,null,23355,null,4361,null,2102,null,775,null,0400000US16,Idaho,16
820657,null,28618,null,762974,null,29091,null,57683,null,7240,null,0400000US17,Illinois,17
125599,null,9007,null,112421,null,9235,null,13178,null,2983,null,0400000US18,Indiana,18
37050,null,4993,null,32166,null,4680,null,4884,null,1465,null,0400000US19,Iowa,19
69233,null,7783,null,63499,null,7607,null,5734,null,1468,null,0400000US20,Kansas,20
27822,null,4509,null,24653,null,4206,null,3169,null,1235,null,0400000US21,Kentucky,21
36448,null,6255,null,31506,null,5977,null,4942,null,1516,null,0400000US22,Louisiana,22
2003,null,1349,null,1761,null,1351,null,242,null,193,null,0400000US23,Maine,23
130925,null,12356,null,117552,null,12100,null,13373,null,3593,null,0400000US24,Maryland,24
244136,null,15304,null,214707,null,14823,null,29429,null,4575,null,0400000US25,Massachusetts,25
126463,null,10616,null,114558,null,10337,null,11905,null,2353,null,0400000US26,Michigan,26
51157,null,6090,null,45018,null,5984,null,6139,null,1585,null,0400000US27,Minnesota,27
18403,null,3821,null,13654,null,3605,null,4749,null,2188,null,0400000US28,Mississippi,28
45523,null,6240,null,41188,null,5885,null,4335,null,1866,null,0400000US29,Missouri,29
4018,null,1868,null,2945,null,1768,null,1073,null,644,null,0400000US30,Montana,30
46908,null,5162,null,41577,null,4792,null,5331,null,2153,null,0400000US31,Nebraska,31
110822,null,10769,null,103343,null,10683,null,7479,null,2086,null,0400000US32,Nevada,32
7925,null,2672,null,6478,null,2547,null,1447,null,932,null,0400000US33,New Hampshire,33
493631,null,16018,null,447426,null,15731,null,46205,null,5465,null,0400000US34,New Jersey,34
202602,null,12027,null,173265,null,12065,null,29337,null,3043,null,0400000US35,New Mexico,35
1437809,null,35350,null,1279590,null,33065,null,158219,null,9497,null,0400000US36,New York,36
324294,null,15388,null,284935,null,15500,null,39359,null,6293,null,0400000US37,North Carolina,37
3011,null,1190,null,2755,null,1168,null,256,null,219,null,0400000US38,North Dakota,38
63518,null,6724,null,54923,null,6204,null,8595,null,2371,null,0400000US39,Ohio,39
73834,null,7433,null,69571,null,7322,null,4263,null,1026,null,0400000US40,Oklahoma,40
94991,null,9324,null,86289,null,9403,null,8702,null,2495,null,0400000US41,Oregon,41
219660,null,11441,null,192671,null,11646,null,26989,null,3785,null,0400000US42,Pennsylvania,42
62899,null,6200,null,56287,null,6093,null,6612,null,1648,null,0400000US44,Rhode Island,44
56831,null,6501,null,47491,null,5526,null,9340,null,2757,null,0400000US45,South Carolina,45
5110,null,2278,null,4864,null,2266,null,246,null,272,null,0400000US46,South Dakota,46
58617,null,7455,null,50329,null,7489,null,8288,null,2379,null,0400000US47,Tennessee,47
2101465,null,42027,null,1922012,null,43817,null,179453,null,12847,null,0400000US48,Texas,48
55704,null,7053,null,50252,null,6606,null,5452,null,1983,null,0400000US49,Utah,49
2005,null,890,null,1674,null,799,null,331,null,343,null,0400000US50,Vermont,50
169731,null,13282,null,150317,null,13221,null,19414,null,4671,null,0400000US51,Virginia,51
243221,null,13035,null,222207,null,12834,null,21014,null,4053,null,0400000US53,Washington,53
1818,null,988,null,1341,null,902,null,477,null,461,null,0400000US54,West Virginia,54
67215,null,6902,null,61823,null,6872,null,5392,null,1630,null,0400000US55,Wisconsin,55
7876,null,2369,null,6125,null,2198,null,1751,null,865,null,0400000US56,Wyoming,56
338421,null,13978,null,304348,null,13364,null,34073,null,3165,null,0400000US72,Puerto Rico,72
