B16005_001E,B16005_001EA,B16005_001M,B16005_001MA,B16005_002E,B16005_002EA,B16005_002M,B16005_002MA,B16005_003E,B16005_003EA,B16005_003M,B16005_003MA,B16005_004E,B16005_004EA,B16005_004M,B16005_004MA,B16005_005E,B16005_005EA,B16005_005M,B16005_005MA,B16005_006E,B16005_006EA,B16005_006M,B16005_006MA,B16005_007E,B16005_007EA,B16005_007M,B16005_007MA,B16005_008E,B16005_008EA,B16005_008M,B16005_008MA,B16005_009E,B16005_009EA,B16005_009M,B16005_009MA,B16005_010E,B16005_010EA,B16005_010M,B16005_010MA,B16005_011E,B16005_011EA,B16005_011M,B16005_011MA,B16005_012E,B16005_012EA,B16005_012M,B16005_012MA,B16005_013E,B16005_013EA,B16005_013M,B16005_013MA,B16005_014E,B16005_014EA,B16005_014M,B16005_014MA,B16005_015E,B16005_015EA,B16005_015M,B16005_015MA,B16005_016E,B16005_016EA,B16005_016M,B16005_016MA,B16005_017E,B16005_017EA,B16005_017M,B16005_017MA,B16005_018E,B16005_018EA,B16005_018M,B16005_018MA,B16005_019E,B16005_019EA,B16005_019M,B16005_019MA,B16005_020E,B16005_020EA,B16005_020M,B16005_020MA,B16005_021E,B16005_021EA,B16005_021M,B16005_021MA,B16005_022E,B16005_022EA,B16005_022M,B16005_022MA,B16005_023E,B16005_023EA,B16005_023M,B16005_023MA,B16005_024E,B16005_024EA,B16005_024M,B16005_024MA,B16005_025E,B16005_025EA,B16005_025M,B16005_025MA,B16005_026E,B16005_026EA,B16005_026M,B16005_026MA,B16005_027E,B16005_027EA,B16005_027M,B16005_027MA,B16005_028E,B16005_028EA,B16005_028M,B16005_028MA,B16005_029E,B16005_029EA,B16005_029M,B16005_029MA,B16005_030E,B16005_030EA,B16005_030M,B16005_030MA,B16005_031E,B16005_031EA,B16005_031M,B16005_031MA,B16005_032E,B16005_032EA,B16005_032M,B16005_032MA,B16005_033E,B16005_033EA,B16005_033M,B16005_033MA,B16005_034E,B16005_034EA,B16005_034M,B16005_034MA,B16005_035E,B16005_035EA,B16005_035M,B16005_035MA,B16005_036E,B16005_036EA,B16005_036M,B16005_036MA,B16005_037E,B16005_037EA,B16005_037M,B16005_037MA,B16005_038E,B16005_038EA,B16005_038M,B16005_038MA,B16005_039E,B16005_039EA,B16005_039M,B16005_039MA,B16005_040E,B16005_040EA,B16005_040M,B16005_040MA,B16005_041E,B16005_041EA,B16005_041M,B16005_041MA,B16005_042E,B16005_042EA,B16005_042M,B16005_042MA,B16005_043E,B16005_043EA,B16005_043M,B16005_043MA,B16005_044E,B16005_044EA,B16005_044M,B16005_044MA,B16005_045E,B16005_045EA,B16005_045M,B16005_045MA,GEO_ID,NAME,state
4354717,null,2804,null,4225072,null,6821,null,4145701,null,8680,null,53349,null,3470,null,37309,null,3105,null,8501,null,1361,null,6989,null,1339,null,550,null,498,null,15833,null,2130,null,13534,null,2088,null,1020,null,384,null,1190,null,441,null,89,null,124,null,7520,null,1689,null,6855,null,1687,null,587,null,376,null,78,null,131,null,0,null,271,null,2669,null,1133,null,2221,null,992,null,448,null,311,null,0,null,271,null,0,null,271,null,129645,null,6705,null,31122,null,3998,null,54547,null,3857,null,12731,null,1790,null,11314,null,1983,null,18702,null,2758,null,11800,null,2056,null,19100,null,3272,null,13039,null,2414,null,4190,null,1224,null,1673,null,878,null,198,null,254,null,20639,null,2619,null,9688,null,2054,null,6887,null,1304,null,3240,null,979,null,824,null,521,null,4237,null,1390,null,2730,null,1036,null,614,null,359,null,159,null,159,null,734,null,604,null,0400000US01,Alabama,01
634669,null,976,null,590613,null,3202,null,529953,null,4206,null,16521,null,2280,null,14694,null,2111,null,1474,null,608,null,353,null,274,null,0,null,240,null,7311,null,1650,null,6720,null,1543,null,439,null,250,null,152,null,152,null,0,null,240,null,8058,null,1524,null,6785,null,1571,null,998,null,495,null,267,null,239,null,8,null,14,null,28770,null,2321,null,19979,null,1967,null,7261,null,921,null,1482,null,380,null,48,null,49,null,44056,null,3224,null,11056,null,2086,null,6184,null,1652,null,3009,null,1016,null,1517,null,456,null,1111,null,641,null,547,null,552,null,5070,null,1278,null,3650,null,1098,null,1119,null,443,null,301,null,261,null,0,null,240,null,20478,null,1870,null,8216,null,1672,null,7032,null,1181,null,4920,null,1074,null,310,null,286,null,1268,null,596,null,424,null,353,null,601,null,430,null,179,null,155,null,64,null,106,null,0400000US02,Alaska,02
5984859,null,1678,null,5059550,null,19104,null,4218103,null,20098,null,653185,null,15350,null,524980,null,13235,null,88936,null,6258,null,31634,null,3509,null,7635,null,1828,null,48314,null,3661,null,42924,null,3438,null,3601,null,1076,null,1789,null,597,null,0,null,302,null,18458,null,2345,null,16203,null,2241,null,1716,null,767,null,539,null,362,null,0,null,302,null,121490,null,5457,null,90612,null,5901,null,18054,null,2070,null,8568,null,2709,null,4256,null,1085,null,925309,null,19109,null,120102,null,8087,null,630726,null,15352,null,170145,null,8531,null,126697,null,6999,null,180570,null,8728,null,153314,null,10006,null,78864,null,6731,null,52018,null,5021,null,17256,null,2386,null,7685,null,1877,null,1905,null,945,null,70539,null,5254,null,32083,null,3025,null,21388,null,2929,null,12257,null,2486,null,4811,null,1974,null,25078,null,5005,null,12041,null,3123,null,6352,null,1817,null,4981,null,2328,null,1704,null,1067,null,0400000US04,Arizona,04
2656308,null,2395,null,2548505,null,5402,null,2477402,null,7217,null,52336,null,4494,null,39481,null,3986,null,7441,null,1983,null,4974,null,1471,null,440,null,277,null,10072,null,1820,null,8738,null,1772,null,615,null,433,null,696,null,477,null,23,null,40,null,5181,null,1392,null,4212,null,1311,null,699,null,418,null,270,null,274,null,0,null,269,null,3514,null,1898,null,3385,null,1908,null,129,null,143,null,0,null,269,null,0,null,269,null,107803,null,4633,null,15776,null,2287,null,67337,null,3624,null,16395,null,2629,null,15637,null,2080,null,20521,null,2333,null,14784,null,2171,null,9904,null,1891,null,7451,null,1592,null,1983,null,743,null,287,null,248,null,183,null,249,null,12779,null,2099,null,4695,null,1178,null,3928,null,979,null,3235,null,1042,null,921,null,617,null,2007,null,1156,null,1792,null,1094,null,0,null,269,null,82,null,134,null,133,null,230,null,0400000US05,Arkansas,05
34063760,null,2634,null,24257037,null,44448,null,18717441,null,55424,null,4409476,null,37745,null,3651747,null,36750,null,546623,null,13781,null,175097,null,7984,null,36009,null,3644,null,421815,null,14537,null,372872,null,14058,null,33680,null,3477,null,13615,null,1966,null,1648,null,782,null,619479,null,14754,null,486612,null,13596,null,92084,null,5999,null,36081,null,2958,null,4702,null,1239,null,88826,null,7485,null,77819,null,6843,null,6397,null,1820,null,4312,null,1602,null,298,null,253,null,9806723,null,44992,null,929048,null,17856,null,5160922,null,43777,null,1305009,null,22725,null,1166045,null,18556,null,1594017,null,27002,null,1095851,null,23639,null,1067880,null,21419,null,630324,null,15484,null,233408,null,9932,null,137851,null,8188,null,66297,null,6529,null,2443224,null,23499,null,1031670,null,19188,null,703459,null,13969,null,528249,null,11499,null,179846,null,8611,null,205649,null,12640,null,122404,null,9000,null,50569,null,4278,null,22290,null,3812,null,10386,null,2408,null,0400000US06,California,06
4583067,null,1635,null,4090398,null,14768,null,3731618,null,16686,null,277568,null,9217,null,214124,null,8497,null,40167,null,3623,null,20684,null,3350,null,2593,null,803,null,49782,null,5605,null,43240,null,5077,null,3752,null,961,null,2722,null,851,null,68,null,109,null,20491,null,3008,null,17329,null,2728,null,1933,null,789,null,1019,null,611,null,210,null,201,null,10939,null,2322,null,9974,null,2237,null,808,null,424,null,157,null,141,null,0,null,275,null,492669,null,14816,null,74461,null,5016,null,271753,null,10796,null,79207,null,6359,null,64544,null,4963,null,89312,null,6776,null,38690,null,4635,null,62131,null,6141,null,39415,null,3880,null,13218,null,2418,null,7889,null,2049,null,1609,null,1017,null,63819,null,4227,null,27544,null,2981,null,18804,null,2347,null,13538,null,2120,null,3933,null,1259,null,20505,null,3676,null,12046,null,2680,null,6019,null,1452,null,1900,null,1057,null,540,null,573,null,0400000US08,Colorado,08
3290599,null,1400,null,2839439,null,12413,null,2519118,null,13377,null,207280,null,7566,null,148854,null,6706,null,29209,null,2873,null,21098,null,2958,null,8119,null,1785,null,95874,null,6930,null,84232,null,6769,null,8346,null,1400,null,3129,null,790,null,167,null,173,null,11649,null,1846,null,9861,null,1797,null,1332,null,554,null,456,null,365,null,0,null,275,null,5518,null,1564,null,5276,null,1499,null,242,null,206,null,0,null,275,null,0,null,275,null,451160,null,12250,null,118531,null,5677,null,110393,null,6894,null,39574,null,3589,null,28512,null,3054,null,30836,null,4112,null,11471,null,2324,null,153322,null,8781,null,86126,null,6029,null,41464,null,4340,null,19971,null,2716,null,5761,null,2371,null,55526,null,3463,null,27936,null,2825,null,16045,null,2106,null,8860,null,1302,null,2685,null,898,null,13388,null,2946,null,8912,null,1962,null,3161,null,994,null,1092,null,728,null,223,null,361,null,0400000US09,Connecticut,09
813290,null,526,null,747030,null,4670,null,709285,null,5404,null,25282,null,3355,null,18313,null,2833,null,4415,null,1480,null,2362,null,899,null,192,null,213,null,8732,null,1655,null,7025,null,1434,null,866,null,446,null,674,null,337,null,167,null,219,null,2431,null,815,null,2150,null,833,null,118,null,132,null,163,null,180,null,0,null,263,null,1300,null,672,null,1134,null,654,null,103,null,160,null,63,null,107,null,0,null,263,null,66260,null,4639,null,17984,null,2881,null,19531,null,2792,null,5586,null,1448,null,4444,null,1158,null,7147,null,1699,null,2354,null,927,null,12862,null,2587,null,9644,null,2210,null,2176,null,565,null,814,null,375,null,228,null,225,null,12057,null,1317,null,6849,null,1275,null,3663,null,1125,null,1139,null,560,null,406,null,349,null,3826,null,1868,null,2980,null,1645,null,846,null,620,null,0,null,263,null,0,null,263,null,0400000US10,Delaware,10
555473,null,193,null,478485,null,4635,null,447331,null,5706,null,16912,null,2252,null,14262,null,2096,null,1961,null,818,null,663,null,658,null,26,null,47,null,9990,null,1811,null,8874,null,1732,null,847,null,490,null,269,null,182,null,0,null,296,null,2563,null,917,null,2168,null,845,null,262,null,275,null,133,null,205,null,0,null,296,null,1689,null,1038,null,1516,null,1009,null,173,null,222,null,0,null,296,null,0,null,296,null,76988,null,4664,null,27938,null,3846,null,21176,null,2557,null,8542,null,1455,null,5591,null,1229,null,5692,null,1599,null,1351,null,692,null,12503,null,2367,null,9913,null,1846,null,1888,null,943,null,675,null,548,null,27,null,48,null,6960,null,1225,null,4083,null,1101,null,1675,null,576,null,1151,null,775,null,51,null,82,null,8411,null,2049,null,6077,null,1762,null,1609,null,709,null,645,null,535,null,80,null,136,null,0400000US11,District of Columbia,11
17188403,null,2806,null,13813262,null,32316,null,12092380,null,29570,null,1388158,null,23327,null,1100351,null,21798,null,178200,null,7694,null,90365,null,5973,null,19242,null,2782,null,262140,null,12341,null,229814,null,11441,null,22991,null,3142,null,8387,null,1606,null,948,null,557,null,43875,null,3711,null,36460,null,3721,null,4569,null,1310,null,2685,null,929,null,161,null,254,null,26709,null,3729,null,22799,null,3506,null,2598,null,1150,null,1114,null,606,null,198,null,324,null,3375141,null,32171,null,648575,null,15253,null,1862165,null,24640,null,634819,null,15597,null,430459,null,13835,null,482745,null,15005,null,314142,null,15362,null,602709,null,18111,null,296488,null,11085,null,177029,null,8387,null,99100,null,6776,null,30092,null,3912,null,195088,null,6593,null,91280,null,4881,null,62181,null,4069,null,33875,null,3687,null,7752,null,1944,null,66604,null,5961,null,44476,null,4222,null,16975,null,3253,null,3776,null,1251,null,1377,null,768,null,0400000US12,Florida,12
