B16005A_001E,B16005A_001EA,B16005A_001M,B16005A_001MA,B16005A_002E,B16005A_002EA,B16005A_002M,B16005A_002MA,B16005A_003E,B16005A_003EA,B16005A_003M,B16005A_003MA,B16005A_004E,B16005A_004EA,B16005A_004M,B16005A_004MA,B16005A_005E,B16005A_005EA,B16005A_005M,B16005A_005MA,B16005A_006E,B16005A_006EA,B16005A_006M,B16005A_006MA,B16005A_007E,B16005A_007EA,B16005A_007M,B16005A_007MA,B16005A_008E,B16005A_008EA,B16005A_008M,B16005A_008MA,B16005A_009E,B16005A_009EA,B16005A_009M,B16005A_009MA,B16005A_010E,B16005A_010EA,B16005A_010M,B16005A_010MA,B16005A_011E,B16005A_011EA,B16005A_011M,B16005A_011MA,GEO_ID,NAME,state
3079662,null,5212,null,3006804,null,6392,null,2958076,null,7598,null,48728,null,3855,null,36614,null,3348,null,12114,null,1665,null,72858,null,5654,null,19977,null,3085,null,52881,null,5041,null,18025,null,2559,null,34856,null,3882,null,0400000US01,Alabama,01
443088,null,2631,null,428797,null,3305,null,410195,null,3202,null,18602,null,2696,null,16360,null,2495,null,2242,null,699,null,14291,null,2045,null,5870,null,1217,null,8421,null,1635,null,5441,null,1510,null,2980,null,848,null,0400000US02,Alaska,02
4831422,null,22570,null,4182233,null,22269,null,3662999,null,18117,null,519234,null,15961,null,417877,null,14602,null,101357,null,7350,null,649189,null,17479,null,87829,null,6108,null,561360,null,16589,null,163709,null,7888,null,397651,null,15874,null,0400000US04,Arizona,04
2104251,null,5559,null,2051655,null,4448,null,2007789,null,5771,null,43866,null,4267,null,34524,null,4011,null,9342,null,2021,null,52596,null,3955,null,9211,null,1691,null,43385,null,3678,null,15256,null,2508,null,28129,null,3029,null,0400000US05,Arkansas,05
21435532,null,58940,null,17236345,null,49887,null,14299548,null,48917,null,2936797,null,36805,null,2431855,null,34687,null,504942,null,13836,null,4199187,null,43588,null,521295,null,12603,null,3677892,null,43379,null,1199128,null,21164,null,2478764,null,35515,null,0400000US06,California,06
3903861,null,13387,null,3594067,null,14366,null,3345429,null,15472,null,248638,null,9091,null,196648,null,9242,null,51990,null,4693,null,309794,null,13842,null,54705,null,4437,null,255089,null,13510,null,88821,null,6825,null,166268,null,9866,null,0400000US08,Colorado,08
2655445,null,9411,null,2404058,null,10678,null,2202161,null,11243,null,201897,null,8417,null,161778,null,7780,null,40119,null,3649,null,251387,null,10499,null,63183,null,3844,null,188204,null,9950,null,92475,null,5607,null,95729,null,7357,null,0400000US09,Connecticut,09
596722,null,2677,null,567293,null,2900,null,544122,null,3008,null,23171,null,2699,null,17455,null,2373,null,5716,null,1620,null,29429,null,3376,null,8160,null,1628,null,21269,null,3091,null,9245,null,1727,null,12024,null,2495,null,0400000US10,Delaware,10
208813,null,3444,null,175549,null,2856,null,160247,null,3232,null,15302,null,2002,null,13072,null,1923,null,2230,null,658,null,33264,null,3728,null,14676,null,2859,null,18588,null,2976,null,12620,null,2141,null,5968,null,1495,null,0400000US11,District of Columbia,11
13434588,null,23343,null,11182484,null,28131,null,9848778,null,23095,null,1333706,null,22133,null,1077776,null,21116,null,255930,null,11177,null,2252104,null,30569,null,314294,null,10849,null,1937810,null,29052,null,745598,null,16204,null,1192212,null,24513,null,0400000US12,Florida,12
