B01002D_001E,B01002D_001EA,B01002D_001M,B01002D_001MA,B01002D_002E,B01002D_002EA,B01002D_002M,B01002D_002MA,B01002D_003E,B01002D_003EA,B01002D_003M,B01002D_003MA,GEO_ID,NAME,state
30.8,null,1.2,null,28.2,null,3.2,null,32.8,null,2.2,null,0400000US01,Alabama,01
37.6,null,2.6,null,33.7,null,3.3,null,39.5,null,1.0,null,0400000US02,Alaska,02
35.2,null,0.4,null,33.7,null,0.8,null,36.7,null,1.2,null,0400000US04,Arizona,04
32.8,null,2.7,null,32.1,null,7.8,null,33.8,null,4.7,null,0400000US05,Arkansas,05
37.8,null,0.2,null,36.6,null,0.2,null,38.9,null,0.1,null,0400000US06,California,06
35.2,null,0.6,null,34.6,null,0.9,null,35.8,null,0.7,null,0400000US08,Colorado,08
33.7,null,0.5,null,33.4,null,0.8,null,34.2,null,0.9,null,0400000US09,Connecticut,09
35.1,null,0.6,null,35.0,null,1.0,null,35.2,null,0.7,null,0400000US10,Delaware,10
33.1,null,0.5,null,33.1,null,1.5,null,33.0,null,0.7,null,0400000US11,District of Columbia,11
37.1,null,0.4,null,35.9,null,0.5,null,37.8,null,0.5,null,0400000US12,Florida,12
34.1,null,0.5,null,33.5,null,0.8,null,34.6,null,0.5,null,0400000US13,Georgia,13
47.2,null,0.5,null,45.3,null,0.6,null,48.8,null,0.5,null,0400000US15,Hawaii,15
31.9,null,2.9,null,30.7,null,3.4,null,33.1,null,4.1,null,0400000US16,Idaho,16
35.1,null,0.2,null,34.5,null,0.4,null,35.4,null,0.3,null,0400000US17,Illinois,17
32.5,null,0.8,null,31.5,null,2.5,null,32.9,null,1.2,null,0400000US18,Indiana,18
28.9,null,2.2,null,29.4,null,3.2,null,28.8,null,1.9,null,0400000US19,Iowa,19
31.2,null,1.4,null,30.1,null,1.0,null,32.8,null,2.0,null,0400000US20,Kansas,20
33.0,null,2.0,null,32.8,null,2.5,null,33.6,null,1.9,null,0400000US21,Kentucky,21
35.4,null,1.5,null,32.8,null,2.5,null,37.5,null,1.4,null,0400000US22,Louisiana,22
34.0,null,3.8,null,33.4,null,8.5,null,34.2,null,4.7,null,0400000US23,Maine,23
36.3,null,0.3,null,35.7,null,0.4,null,36.9,null,0.5,null,0400000US24,Maryland,24
33.4,null,0.3,null,33.4,null,0.3,null,33.3,null,0.4,null,0400000US25,Massachusetts,25
32.9,null,0.5,null,32.7,null,0.5,null,33.3,null,0.9,null,0400000US26,Michigan,26
29.0,null,1.1,null,27.7,null,0.8,null,30.4,null,0.7,null,0400000US27,Minnesota,27
35.1,null,4.2,null,28.1,null,7.9,null,41.5,null,6.0,null,0400000US28,Mississippi,28
33.7,null,0.7,null,32.9,null,1.3,null,34.4,null,1.1,null,0400000US29,Missouri,29
25.9,null,5.7,null,28.3,null,11.5,null,25.1,null,4.7,null,0400000US30,Montana,30
31.0,null,1.4,null,30.9,null,2.6,null,31.2,null,3.2,null,0400000US31,Nebraska,31
39.8,null,0.7,null,37.8,null,1.3,null,41.3,null,0.7,null,0400000US32,Nevada,32
32.7,null,1.9,null,32.5,null,2.0,null,33.1,null,3.0,null,0400000US33,New Hampshire,33
36.1,null,0.2,null,36.0,null,0.3,null,36.3,null,0.3,null,0400000US34,New Jersey,34
36.0,null,1.5,null,33.4,null,2.4,null,39.8,null,4.5,null,0400000US35,New Mexico,35
36.2,null,0.2,null,35.8,null,0.2,null,36.6,null,0.3,null,0400000US36,New York,36
33.4,null,0.5,null,32.1,null,0.9,null,34.6,null,0.6,null,0400000US37,North Carolina,37
25.6,null,6.1,null,23.6,null,6.8,null,29.7,null,9.5,null,0400000US38,North Dakota,38
33.7,null,0.4,null,33.4,null,0.5,null,34.1,null,0.7,null,0400000US39,Ohio,39
33.3,null,1.4,null,33.3,null,2.0,null,33.1,null,3.1,null,0400000US40,Oklahoma,40
36.6,null,0.7,null,36.2,null,0.8,null,37.0,null,0.9,null,0400000US41,Oregon,41
33.7,null,0.4,null,32.8,null,0.6,null,34.5,null,0.6,null,0400000US42,Pennsylvania,42
31.3,null,2.5,null,30.7,null,3.4,null,31.9,null,3.3,null,0400000US44,Rhode Island,44
35.7,null,2.2,null,32.5,null,4.4,null,37.7,null,2.7,null,0400000US45,South Carolina,45
27.7,null,2.6,null,27.1,null,6.2,null,29.3,null,11.1,null,0400000US46,South Dakota,46
34.2,null,1.1,null,33.1,null,1.1,null,36.4,null,2.3,null,0400000US47,Tennessee,47
34.5,null,0.2,null,33.3,null,0.3,null,35.4,null,0.3,null,0400000US48,Texas,48
31.9,null,1.3,null,30.9,null,1.8,null,33.2,null,1.2,null,0400000US49,Utah,49
24.7,null,5.9,null,22.8,null,7.9,null,26.5,null,6.7,null,0400000US50,Vermont,50
36.0,null,0.4,null,34.3,null,0.5,null,37.3,null,0.5,null,0400000US51,Virginia,51
36.6,null,0.5,null,35.0,null,0.5,null,38.0,null,0.6,null,0400000US53,Washington,53
30.9,null,5.0,null,31.0,null,5.1,null,29.9,null,8.7,null,0400000US54,West Virginia,54
26.8,null,0.9,null,26.4,null,1.1,null,27.2,null,1.0,null,0400000US55,Wisconsin,55
28.2,null,7.2,null,24.9,null,3.3,null,38.1,null,14.8,null,0400000US56,Wyoming,56
35.3,null,4.4,null,42.0,null,4.1,null,32.4,null,7.3,null,0400000US72,Puerto Rico,72
