B25070_001E,B25070_001EA,B25070_001M,B25070_001MA,B25070_002E,B25070_002EA,B25070_002M,B25070_002MA,B25070_003E,B25070_003EA,B25070_003M,B25070_003MA,B25070_004E,B25070_004EA,B25070_004M,B25070_004MA,B25070_005E,B25070_005EA,B25070_005M,B25070_005MA,B25070_006E,B25070_006EA,B25070_006M,B25070_006MA,B25070_007E,B25070_007EA,B25070_007M,B25070_007MA,B25070_008E,B25070_008EA,B25070_008M,B25070_008MA,B25070_009E,B25070_009EA,B25070_009M,B25070_009MA,B25070_010E,B25070_010EA,B25070_010M,B25070_010MA,B25070_011E,B25070_011EA,B25070_011M,B25070_011MA,GEO_ID,NAME,state
529510,null,8714,null,20167,null,2222,null,44398,null,3134,null,61996,null,3918,null,68355,null,3827,null,59799,null,3790,null,56086,null,3609,null,31932,null,2892,null,43567,null,3360,null,113978,null,4461,null,29232,null,2162,null,0400000US27,Minnesota,27
327232,null,9164,null,11280,null,2177,null,25116,null,3152,null,32761,null,3581,null,29658,null,3011,null,27932,null,2887,null,24161,null,3002,null,16822,null,2257,null,25629,null,3534,null,73968,null,4755,null,59905,null,4825,null,0400000US28,Mississippi,28
696592,null,11799,null,32274,null,2537,null,68615,null,4522,null,87895,null,4861,null,91804,null,6242,null,70959,null,4992,null,55045,null,4531,null,37386,null,3685,null,54063,null,3659,null,139513,null,5579,null,59038,null,3398,null,0400000US29,Missouri,29
118244,null,4595,null,6663,null,1282,null,11157,null,1546,null,13968,null,1567,null,11983,null,1539,null,12915,null,1829,null,9306,null,1728,null,6886,null,1412,null,9245,null,1372,null,22363,null,2199,null,13758,null,1783,null,0400000US30,Montana,30
216152,null,5236,null,11131,null,1541,null,26533,null,2599,null,29141,null,2206,null,27507,null,2814,null,23366,null,2342,null,17910,null,2116,null,9658,null,1728,null,16082,null,1894,null,37885,null,2840,null,16939,null,1767,null,0400000US31,Nebraska,31
384431,null,8328,null,11100,null,2001,null,28655,null,2728,null,44165,null,3799,null,54805,null,4122,null,46199,null,4403,null,35728,null,3235,null,26628,null,3350,null,37178,null,3223,null,82492,null,5194,null,17481,null,2257,null,0400000US32,Nevada,32
139836,null,5203,null,3783,null,973,null,12298,null,2077,null,17386,null,2198,null,18512,null,2249,null,17273,null,2326,null,14097,null,2163,null,9300,null,1824,null,11619,null,1988,null,27787,null,2707,null,7781,null,1353,null,0400000US33,New Hampshire,33
1040038,null,10046,null,35163,null,3447,null,94422,null,5160,null,119964,null,5679,null,130993,null,7145,null,112559,null,4613,null,92517,null,4551,null,64541,null,4264,null,87246,null,5001,null,249722,null,7617,null,52911,null,4228,null,0400000US34,New Jersey,34
228545,null,5316,null,11096,null,2033,null,21253,null,2394,null,27794,null,2617,null,25070,null,2901,null,22366,null,2911,null,17786,null,2255,null,13430,null,1906,null,16053,null,2136,null,50354,null,3335,null,23343,null,2220,null,0400000US35,New Mexico,35
3191107,null,22691,null,158278,null,5849,null,280176,null,9384,null,362331,null,9438,null,355357,null,11213,null,339712,null,9109,null,268066,null,9647,null,187309,null,8443,null,249972,null,8715,null,822318,null,14575,null,167588,null,5930,null,0400000US36,New York,36
1144018,null,14306,null,48073,null,3535,null,107403,null,5613,null,141891,null,7448,null,140478,null,6480,null,117971,null,6411,null,88900,null,5316,null,64908,null,5667,null,86017,null,5599,null,238807,null,8872,null,109570,null,6109,null,0400000US37,North Carolina,37
91751,null,3244,null,6305,null,1088,null,10483,null,1542,null,14677,null,1735,null,12467,null,1508,null,7583,null,1245,null,6361,null,1305,null,3804,null,924,null,5501,null,1025,null,15867,null,1771,null,8703,null,1076,null,0400000US38,North Dakota,38
1395528,null,15973,null,54238,null,2970,null,124528,null,5871,null,176425,null,6089,null,165896,null,7059,null,148950,null,6182,null,112968,null,5004,null,79694,null,4886,null,108027,null,4945,null,315122,null,8452,null,109680,null,5761,null,0400000US39,Ohio,39
461234,null,8662,null,21411,null,2572,null,45803,null,3355,null,60024,null,4203,null,55870,null,4028,null,44550,null,3567,null,35861,null,2906,null,25441,null,2361,null,32423,null,2711,null,90940,null,5060,null,48911,null,3527,null,0400000US40,Oklahoma,40
525957,null,8894,null,14147,null,2218,null,45567,null,3517,null,65125,null,4336,null,63849,null,4248,null,59027,null,3738,null,41874,null,3656,null,34415,null,3352,null,46823,null,3653,null,126383,null,5444,null,28747,null,2716,null,0400000US41,Oregon,41
1429737,null,14379,null,56931,null,3462,null,136832,null,5636,null,179611,null,6532,null,173950,null,6966,null,147707,null,6181,null,115330,null,5910,null,75152,null,4408,null,106482,null,4922,null,326227,null,9320,null,111515,null,5341,null,0400000US42,Pennsylvania,42
149968,null,4868,null,5538,null,1367,null,10227,null,1605,null,17953,null,2328,null,18393,null,2303,null,20101,null,2454,null,15615,null,2208,null,9703,null,1451,null,9814,null,1710,null,34558,null,2877,null,8066,null,1702,null,0400000US44,Rhode Island,44
500792,null,10522,null,23780,null,2402,null,42586,null,3578,null,60076,null,4760,null,54887,null,4845,null,47601,null,3824,null,35056,null,3329,null,29301,null,3390,null,35551,null,3448,null,104501,null,5057,null,67453,null,4442,null,0400000US45,South Carolina,45
98531,null,3501,null,6385,null,1165,null,11633,null,1612,null,13236,null,1660,null,13217,null,2049,null,9555,null,1520,null,6758,null,1258,null,4201,null,928,null,6476,null,1198,null,16935,null,1630,null,10135,null,1368,null,0400000US46,South Dakota,46
