B20017F_001E,B20017F_001EA,B20017F_001M,B20017F_001MA,B20017F_002E,B20017F_002EA,B20017F_002M,B20017F_002MA,B20017F_003E,B20017F_003EA,B20017F_003M,B20017F_003MA,B20017F_004E,B20017F_004EA,B20017F_004M,B20017F_004MA,B20017F_005E,B20017F_005EA,B20017F_005M,B20017F_005MA,B20017F_006E,B20017F_006EA,B20017F_006M,B20017F_006MA,B20017F_007E,B20017F_007EA,B20017F_007M,B20017F_007MA,GEO_ID,NAME,state
19719,null,2909,null,24760,null,3061,null,26006,null,2629,null,14564,null,3236,null,12430,null,2937,null,15854,null,2760,null,8425,null,3493,null,0400000US01,Alabama,01
26483,null,4430,null,28281,null,4144,null,29774,null,9506,null,20134,null,31430,null,22748,null,9754,null,32058,null,14610,null,12319,null,6501,null,0400000US02,Alaska,02
22879,null,945,null,25914,null,1230,null,31705,null,1023,null,11209,null,1156,null,18521,null,1225,null,25848,null,1212,null,8181,null,1205,null,0400000US04,Arizona,04
18616,null,1105,null,19898,null,1233,null,21092,null,1066,null,8957,null,4100,null,16340,null,1476,null,20490,null,1495,null,8197,null,1981,null,0400000US05,Arkansas,05
21764,null,205,null,24734,null,410,null,30431,null,354,null,12090,null,299,null,17663,null,405,null,25940,null,520,null,9621,null,305,null,0400000US06,California,06
21847,null,1100,null,23924,null,1555,null,33976,null,2505,null,11443,null,1078,null,18336,null,1569,null,26997,null,2285,null,10269,null,838,null,0400000US08,Colorado,08
23907,null,2730,null,26925,null,2816,null,32384,null,1632,null,10284,null,1322,null,21152,null,2448,null,29593,null,1945,null,9394,null,1199,null,0400000US09,Connecticut,09
25949,null,2515,null,26611,null,3679,null,34589,null,10485,null,9800,null,14677,null,25453,null,7624,null,27372,null,4851,null,10100,null,8928,null,0400000US10,Delaware,10
28886,null,4042,null,32386,null,7516,null,35693,null,7623,null,25258,null,24267,null,21527,null,5490,null,22609,null,7885,null,20459,null,18976,null,0400000US11,District of Columbia,11
21869,null,682,null,24265,null,1089,null,29590,null,1353,null,11979,null,720,null,18683,null,1068,null,26043,null,916,null,9541,null,936,null,0400000US12,Florida,12
18455,null,976,null,19881,null,1049,null,25509,null,1113,null,12376,null,1526,null,15082,null,1449,null,23108,null,1203,null,9302,null,761,null,0400000US13,Georgia,13
28279,null,3468,null,31450,null,11018,null,33997,null,15959,null,16675,null,13044,null,20110,null,3699,null,22283,null,12896,null,5392,null,3975,null,0400000US15,Hawaii,15
20260,null,2184,null,22310,null,2345,null,26490,null,2988,null,11276,null,2535,null,12118,null,3783,null,21896,null,2380,null,5779,null,2597,null,0400000US16,Idaho,16
22249,null,536,null,25194,null,740,null,29227,null,1519,null,12666,null,1314,null,18366,null,912,null,24812,null,910,null,8817,null,870,null,0400000US17,Illinois,17
19505,null,1519,null,23225,null,2587,null,30893,null,2203,null,10850,null,1433,null,15659,null,1229,null,22537,null,2660,null,7967,null,1687,null,0400000US18,Indiana,18
20822,null,1425,null,22671,null,3184,null,29442,null,4798,null,10258,null,3848,null,12445,null,3990,null,23545,null,6097,null,4236,null,1711,null,0400000US19,Iowa,19
21640,null,1663,null,25839,null,1861,null,30625,null,4788,null,10158,null,3431,null,15484,null,1423,null,23045,null,2760,null,8328,null,2018,null,0400000US20,Kansas,20
16284,null,1932,null,17282,null,1754,null,19406,null,1510,null,11248,null,2181,null,11685,null,2311,null,21444,null,4254,null,6656,null,860,null,0400000US21,Kentucky,21
26684,null,2342,null,27480,null,5269,null,31524,null,6230,null,14054,null,4395,null,21784,null,5717,null,30625,null,1599,null,7810,null,3731,null,0400000US22,Louisiana,22
25167,null,2703,null,24521,null,4216,null,25883,null,11506,null,2499,"2,500-",0,***,25678,null,10475,null,27288,null,20060,null,2499,"2,500-",0,***,0400000US23,Maine,23
21993,null,1105,null,25765,null,1458,null,33135,null,3662,null,14776,null,1648,null,16775,null,1643,null,23619,null,3212,null,9388,null,1491,null,0400000US24,Maryland,24
23017,null,1147,null,27548,null,1679,null,36174,null,1350,null,12210,null,2476,null,18381,null,1557,null,26491,null,1453,null,9964,null,1421,null,0400000US25,Massachusetts,25
18822,null,2439,null,20717,null,3110,null,30174,null,2688,null,10923,null,937,null,16678,null,1815,null,26134,null,2156,null,7506,null,1948,null,0400000US26,Michigan,26
20402,null,1744,null,22728,null,2882,null,25788,null,2010,null,13486,null,2381,null,16883,null,1971,null,23680,null,2834,null,8877,null,1913,null,0400000US27,Minnesota,27
15924,null,3166,null,17063,null,4905,null,21057,null,8243,null,11987,null,2420,null,14469,null,2718,null,17452,null,5859,null,10432,null,2815,null,0400000US28,Mississippi,28
20021,null,1702,null,21308,null,2421,null,31146,null,3136,null,13001,null,1921,null,16732,null,3102,null,23867,null,2306,null,10312,null,1134,null,0400000US29,Missouri,29
16912,null,9202,null,17202,null,11474,null,27377,null,38317,null,6502,null,3215,null,16585,null,11604,null,34290,null,15659,null,8610,null,4976,null,0400000US30,Montana,30
22225,null,1222,null,25739,null,1983,null,31375,null,3229,null,16415,null,1092,null,16915,null,2661,null,21732,null,1404,null,8175,null,4328,null,0400000US31,Nebraska,31
26498,null,1100,null,30134,null,2132,null,35417,null,4253,null,17142,null,4347,null,23503,null,988,null,26149,null,1987,null,9730,null,2430,null,0400000US32,Nevada,32
22150,null,3465,null,24155,null,7036,null,28233,null,12917,null,4206,null,4974,null,15015,null,5635,null,28679,null,13709,null,9643,null,4804,null,0400000US33,New Hampshire,33
22959,null,1119,null,26929,null,951,null,31217,null,771,null,14427,null,1610,null,19377,null,1000,null,25565,null,1820,null,9396,null,908,null,0400000US34,New Jersey,34
22754,null,1250,null,27474,null,1615,null,31747,null,1554,null,8617,null,2178,null,17132,null,1199,null,25780,null,1818,null,8105,null,1042,null,0400000US35,New Mexico,35
21933,null,448,null,24606,null,922,null,30182,null,757,null,11028,null,574,null,18808,null,634,null,28248,null,1340,null,8653,null,517,null,0400000US36,New York,36
16964,null,718,null,19389,null,1274,null,22567,null,1183,null,11566,null,609,null,13288,null,874,null,18405,null,1059,null,7968,null,1067,null,0400000US37,North Carolina,37
15797,null,8232,null,11607,null,31966,null,32898,null,3645,null,8125,null,3050,null,16144,null,3873,null,27456,null,8101,null,10338,null,6249,null,0400000US38,North Dakota,38
18283,null,3033,null,19954,null,2806,null,30964,null,2737,null,9199,null,3304,null,16326,null,3989,null,25717,null,2748,null,6354,null,1726,null,0400000US39,Ohio,39
19504,null,1069,null,21871,null,1274,null,24703,null,1590,null,11766,null,3820,null,13509,null,3002,null,20080,null,1673,null,4604,null,1701,null,0400000US40,Oklahoma,40
21332,null,1106,null,25225,null,2156,null,28576,null,2126,null,13814,null,4879,null,16680,null,1036,null,24378,null,4720,null,9532,null,2062,null,0400000US41,Oregon,41
21933,null,880,null,25634,null,1294,null,30960,null,1516,null,11697,null,1696,null,19472,null,1614,null,25556,null,1586,null,8369,null,1854,null,0400000US42,Pennsylvania,42
22146,null,1787,null,26188,null,1790,null,28868,null,2926,null,15625,null,5725,null,16842,null,2302,null,24454,null,4613,null,11539,null,1717,null,0400000US44,Rhode Island,44
20007,null,1616,null,21364,null,1523,null,23923,null,1095,null,14372,null,2053,null,15603,null,3273,null,20364,null,3204,null,7189,null,1515,null,0400000US45,South Carolina,45
32398,null,11001,null,37723,null,13747,null,41315,null,13745,null,17891,null,28735,null,17798,null,17547,null,20972,null,3450,null,5938,null,2529,null,0400000US46,South Dakota,46
