B18101B_001E,B18101B_001EA,B18101B_001M,B18101B_001MA,B18101B_002E,B18101B_002EA,B18101B_002M,B18101B_002MA,B18101B_003E,B18101B_003EA,B18101B_003M,B18101B_003MA,B18101B_004E,B18101B_004EA,B18101B_004M,B18101B_004MA,B18101B_005E,B18101B_005EA,B18101B_005M,B18101B_005MA,B18101B_006E,B18101B_006EA,B18101B_006M,B18101B_006MA,B18101B_007E,B18101B_007EA,B18101B_007M,B18101B_007MA,B18101B_008E,B18101B_008EA,B18101B_008M,B18101B_008MA,B18101B_009E,B18101B_009EA,B18101B_009M,B18101B_009MA,B18101B_010E,B18101B_010EA,B18101B_010M,B18101B_010MA,GEO_ID,NAME,state
1186679,null,6200,null,339382,null,3457,null,18370,null,2335,null,321012,null,4092,null,737770,null,4389,null,128053,null,5688,null,609717,null,6783,null,109527,null,2320,null,60569,null,2574,null,48958,null,2555,null,0400000US01,Alabama,01
22151,null,3235,null,6830,null,2134,null,245,null,203,null,6585,null,2125,null,14579,null,2128,null,1550,null,609,null,13029,null,2154,null,742,null,318,null,187,null,176,null,555,null,292,null,0400000US02,Alaska,02
226681,null,5450,null,73221,null,3679,null,3453,null,1009,null,69768,null,3623,null,137463,null,3172,null,17498,null,2020,null,119965,null,3059,null,15997,null,915,null,6002,null,912,null,9995,null,1183,null,0400000US04,Arizona,04
427809,null,4339,null,131760,null,2293,null,9605,null,1688,null,122155,null,2779,null,262011,null,3414,null,51959,null,3828,null,210052,null,4205,null,34038,null,1749,null,18159,null,1713,null,15879,null,1584,null,0400000US05,Arkansas,05
2155664,null,13593,null,583881,null,8987,null,30265,null,3739,null,553616,null,9067,null,1370678,null,7775,null,186707,null,7117,null,1183971,null,10977,null,201105,null,2803,null,86662,null,3631,null,114443,null,3641,null,0400000US06,California,06
178524,null,4712,null,52864,null,3172,null,1472,null,678,null,51392,null,3266,null,112433,null,3097,null,14332,null,2214,null,98101,null,3472,null,13227,null,800,null,5184,null,989,null,8043,null,976,null,0400000US08,Colorado,08
319424,null,5330,null,91706,null,3081,null,3622,null,997,null,88084,null,3099,null,202370,null,3413,null,21058,null,2555,null,181312,null,4037,null,25348,null,1113,null,9757,null,1272,null,15591,null,1213,null,0400000US09,Connecticut,09
174101,null,2894,null,50283,null,1937,null,2246,null,927,null,48037,null,2019,null,109782,null,1568,null,16718,null,2201,null,93064,null,2355,null,14036,null,429,null,6111,null,869,null,7925,null,905,null,0400000US10,Delaware,10
310033,null,3229,null,72037,null,1947,null,4198,null,1180,null,67839,null,2122,null,196501,null,2110,null,28122,null,2972,null,168379,null,3352,null,41495,null,528,null,18340,null,1976,null,23155,null,1946,null,0400000US11,District of Columbia,11
2708242,null,12337,null,806555,null,8933,null,32741,null,3543,null,773814,null,9369,null,1676549,null,7742,null,187568,null,9195,null,1488981,null,11103,null,225138,null,3468,null,92512,null,4257,null,132626,null,4247,null,0400000US12,Florida,12
2809462,null,10939,null,837747,null,5269,null,36737,null,3914,null,801010,null,6038,null,1780770,null,7742,null,219717,null,9636,null,1561053,null,11760,null,190945,null,2833,null,91221,null,3706,null,99724,null,3576,null,0400000US13,Georgia,13
23524,null,3770,null,7691,null,2695,null,0,null,275,null,7691,null,2695,null,14471,null,2017,null,1236,null,784,null,13235,null,1998,null,1362,null,736,null,530,null,395,null,832,null,441,null,0400000US15,Hawaii,15
7818,null,1355,null,3494,null,943,null,281,null,291,null,3213,null,891,null,4013,null,762,null,315,null,234,null,3698,null,756,null,311,null,218,null,225,null,213,null,86,null,97,null,0400000US16,Idaho,16
1825056,null,12472,null,534131,null,6682,null,23645,null,2635,null,510486,null,6493,null,1123743,null,9347,null,152936,null,7328,null,970807,null,10509,null,167182,null,2557,null,75638,null,3636,null,91544,null,3879,null,0400000US17,Illinois,17
525783,null,5220,null,159702,null,3648,null,9232,null,1970,null,150470,null,3708,null,322433,null,3597,null,46715,null,3252,null,275718,null,4606,null,43648,null,1339,null,20780,null,1851,null,22868,null,1649,null,0400000US18,Indiana,18
72680,null,3075,null,25448,null,2365,null,2695,null,946,null,22753,null,2247,null,43431,null,1853,null,7535,null,1690,null,35896,null,2001,null,3801,null,888,null,1623,null,510,null,2178,null,712,null,0400000US19,Iowa,19
149669,null,4570,null,45848,null,3141,null,3536,null,1055,null,42312,null,3175,null,91990,null,2812,null,14335,null,2000,null,77655,null,2840,null,11831,null,919,null,6171,null,852,null,5660,null,919,null,0400000US20,Kansas,20
301364,null,5732,null,85982,null,3146,null,5979,null,1441,null,80003,null,3126,null,190654,null,3631,null,33042,null,2742,null,157612,null,3807,null,24728,null,1871,null,12303,null,1460,null,12425,null,1494,null,0400000US21,Kentucky,21
1361588,null,5575,null,421045,null,3245,null,20315,null,2643,null,400730,null,4011,null,826047,null,4594,null,128394,null,5454,null,697653,null,7042,null,114496,null,2218,null,59404,null,3014,null,55092,null,3078,null,0400000US22,Louisiana,22
11790,null,1748,null,5242,null,1082,null,213,null,179,null,5029,null,1038,null,6319,null,970,null,599,null,363,null,5720,null,831,null,229,null,266,null,79,null,102,null,150,null,230,null,0400000US23,Maine,23
1584799,null,7142,null,420766,null,4198,null,17193,null,2425,null,403573,null,4722,null,1028620,null,4679,null,97853,null,5925,null,930767,null,6636,null,135413,null,1822,null,49038,null,2578,null,86375,null,3009,null,0400000US24,Maryland,24
396032,null,8899,null,114133,null,4606,null,4642,null,1208,null,109491,null,4649,null,254259,null,4995,null,28199,null,2844,null,226060,null,5483,null,27640,null,1791,null,12513,null,1364,null,15127,null,1690,null,0400000US25,Massachusetts,25
