B17006_001E,B17006_001EA,B17006_001M,B17006_001MA,B17006_002E,B17006_002EA,B17006_002M,B17006_002MA,B17006_003E,B17006_003EA,B17006_003M,B17006_003MA,B17006_004E,B17006_004EA,B17006_004M,B17006_004MA,B17006_005E,B17006_005EA,B17006_005M,B17006_005MA,B17006_006E,B17006_006EA,B17006_006M,B17006_006MA,B17006_007E,B17006_007EA,B17006_007M,B17006_007MA,B17006_008E,B17006_008EA,B17006_008M,B17006_008MA,B17006_009E,B17006_009EA,B17006_009M,B17006_009MA,B17006_010E,B17006_010EA,B17006_010M,B17006_010MA,B17006_011E,B17006_011EA,B17006_011M,B17006_011MA,B17006_012E,B17006_012EA,B17006_012M,B17006_012MA,B17006_013E,B17006_013EA,B17006_013M,B17006_013MA,B17006_014E,B17006_014EA,B17006_014M,B17006_014MA,B17006_015E,B17006_015EA,B17006_015M,B17006_015MA,B17006_016E,B17006_016EA,B17006_016M,B17006_016MA,B17006_017E,B17006_017EA,B17006_017M,B17006_017MA,B17006_018E,B17006_018EA,B17006_018M,B17006_018MA,B17006_019E,B17006_019EA,B17006_019M,B17006_019MA,B17006_020E,B17006_020EA,B17006_020M,B17006_020MA,B17006_021E,B17006_021EA,B17006_021M,B17006_021MA,B17006_022E,B17006_022EA,B17006_022M,B17006_022MA,B17006_023E,B17006_023EA,B17006_023M,B17006_023MA,B17006_024E,B17006_024EA,B17006_024M,B17006_024MA,B17006_025E,B17006_025EA,B17006_025M,B17006_025MA,B17006_026E,B17006_026EA,B17006_026M,B17006_026MA,B17006_027E,B17006_027EA,B17006_027M,B17006_027MA,B17006_028E,B17006_028EA,B17006_028M,B17006_028MA,B17006_029E,B17006_029EA,B17006_029M,B17006_029MA,GEO_ID,NAME,state
1099865,null,3835,null,235347,null,12098,null,60025,null,6182,null,19413,null,2929,null,3180,null,989,null,37432,null,4403,null,175322,null,11173,null,13888,null,3067,null,4581,null,1495,null,879,null,483,null,8428,null,2160,null,161434,null,11098,null,56430,null,4904,null,8294,null,1660,null,96710,null,7756,null,864518,null,11665,null,654977,null,13840,null,176794,null,5933,null,34954,null,3356,null,443229,null,11019,null,209541,null,11738,null,44708,null,4879,null,11224,null,1989,null,2174,null,812,null,31310,null,3855,null,164833,null,10914,null,34679,null,3797,null,7154,null,1769,null,123000,null,8414,null,0400000US01,Alabama,01
175244,null,1778,null,18135,null,2830,null,5693,null,1438,null,1813,null,670,null,191,null,148,null,3689,null,1006,null,12442,null,2572,null,3127,null,998,null,1651,null,587,null,32,null,37,null,1444,null,626,null,9315,null,2427,null,3660,null,1037,null,593,null,339,null,5062,null,1635,null,157109,null,3506,null,116721,null,5133,null,33268,null,2250,null,6043,null,1121,null,77410,null,3918,null,40388,null,4773,null,14229,null,2697,null,3780,null,1117,null,705,null,349,null,9744,null,2104,null,26159,null,3934,null,6255,null,1455,null,1076,null,601,null,18828,null,2884,null,0400000US02,Alaska,02
1670377,null,5439,null,340990,null,15014,null,121248,null,11963,null,36883,null,4763,null,7185,null,1476,null,77180,null,8103,null,219742,null,13352,null,30570,null,5749,null,11393,null,2735,null,1709,null,895,null,17468,null,3347,null,189172,null,12872,null,68922,null,5961,null,12132,null,2331,null,108118,null,9403,null,1329387,null,16887,null,986428,null,15841,null,297597,null,7143,null,57245,null,3718,null,631586,null,11864,null,342959,null,12901,null,105423,null,8030,null,31880,null,4080,null,5414,null,1556,null,68129,null,5953,null,237536,null,10997,null,60162,null,4962,null,11510,null,2303,null,165864,null,8545,null,0400000US04,Arizona,04
686798,null,3348,null,168877,null,9236,null,51095,null,6024,null,17542,null,2691,null,3302,null,962,null,30251,null,4167,null,117782,null,8503,null,9219,null,1600,null,3785,null,1113,null,361,null,321,null,5073,null,1142,null,108563,null,8049,null,34730,null,3787,null,6337,null,1514,null,67496,null,5774,null,517921,null,8983,null,393667,null,10431,null,108963,null,3747,null,19689,null,2373,null,265015,null,8263,null,124254,null,5618,null,28388,null,3164,null,7370,null,1701,null,879,null,452,null,20139,null,2724,null,95866,null,5696,null,22270,null,2746,null,4561,null,1104,null,69035,null,4533,null,0400000US05,Arkansas,05
9174511,null,9796,null,1661141,null,36860,null,707149,null,24559,null,226142,null,10129,null,41550,null,3855,null,439457,null,17322,null,953992,null,30333,null,159834,null,12259,null,58711,null,6400,null,8874,null,1813,null,92249,null,7714,null,794158,null,26787,null,248580,null,11914,null,42947,null,3905,null,502631,null,18562,null,7513370,null,38188,null,5656220,null,40064,null,1662727,null,18442,null,300899,null,8710,null,3692594,null,31760,null,1857150,null,33069,null,573508,null,22302,null,168867,null,10869,null,26167,null,2898,null,378474,null,15872,null,1283642,null,28769,null,283069,null,12276,null,56974,null,4353,null,943599,null,22892,null,0400000US06,California,06
1185951,null,3371,null,175371,null,11577,null,75915,null,9115,null,29659,null,4251,null,5264,null,1385,null,40992,null,5996,null,99456,null,9328,null,16003,null,4240,null,6125,null,2163,null,1636,null,980,null,8242,null,2739,null,83453,null,7950,null,27642,null,3430,null,5359,null,1680,null,50452,null,5655,null,1010580,null,12089,null,796678,null,14279,null,234156,null,6607,null,46568,null,3730,null,515954,null,9999,null,213902,null,8898,null,63360,null,6123,null,17026,null,2724,null,3778,null,1378,null,42556,null,4498,null,150542,null,7392,null,35725,null,4341,null,7227,null,1374,null,107590,null,5979,null,0400000US08,Colorado,08
795491,null,2894,null,96095,null,7961,null,17971,null,3597,null,5123,null,1418,null,810,null,551,null,12038,null,2723,null,78124,null,7051,null,7282,null,2212,null,2599,null,1116,null,675,null,472,null,4008,null,1407,null,70842,null,6986,null,23437,null,3214,null,2781,null,965,null,44624,null,5045,null,699396,null,8082,null,543594,null,10049,null,143956,null,4147,null,27883,null,2215,null,371755,null,8252,null,155802,null,8245,null,32260,null,3531,null,9129,null,1851,null,2259,null,985,null,20872,null,2909,null,123542,null,8029,null,24384,null,3085,null,4928,null,1257,null,94230,null,6773,null,0400000US09,Connecticut,09
203696,null,962,null,26993,null,3761,null,7587,null,2363,null,2230,null,908,null,545,null,577,null,4812,null,1566,null,19406,null,3475,null,3197,null,1474,null,1002,null,753,null,41,null,72,null,2154,null,1313,null,16209,null,3104,null,5219,null,1381,null,973,null,493,null,10017,null,2616,null,176703,null,3743,null,128819,null,4686,null,37351,null,2566,null,7017,null,1196,null,84451,null,3731,null,47884,null,4573,null,12994,null,2465,null,5930,null,1761,null,544,null,420,null,6520,null,1491,null,34890,null,3917,null,7480,null,1603,null,2237,null,774,null,25173,null,3151,null,0400000US10,Delaware,10
109273,null,1433,null,28100,null,4158,null,1743,null,1158,null,474,null,359,null,65,null,108,null,1204,null,882,null,26357,null,4202,null,2167,null,1565,null,401,null,390,null,0,null,296,null,1766,null,1524,null,24190,null,4109,null,8405,null,1661,null,1150,null,540,null,14635,null,3222,null,81173,null,4293,null,43680,null,3850,null,17481,null,1392,null,2094,null,674,null,24105,null,3042,null,37493,null,4181,null,6938,null,2261,null,1804,null,1003,null,330,null,325,null,4804,null,2053,null,30555,null,4134,null,7117,null,1685,null,1573,null,831,null,21865,null,2977,null,0400000US11,District of Columbia,11
3925249,null,8443,null,707503,null,20012,null,217301,null,13520,null,72954,null,6940,null,10607,null,1871,null,133740,null,9307,null,490202,null,19635,null,64923,null,7256,null,24884,null,3489,null,3096,null,1100,null,36943,null,5115,null,425279,null,17729,null,143199,null,8333,null,27348,null,3043,null,254732,null,13675,null,3217746,null,21022,null,2306817,null,24671,null,660804,null,12594,null,120874,null,5653,null,1525139,null,20449,null,910929,null,20557,null,237936,null,11429,null,68709,null,5613,null,11694,null,2045,null,157533,null,8814,null,672993,null,19737,null,150946,null,7655,null,28380,null,3460,null,493667,null,15422,null,0400000US12,Florida,12
