C01001H_001E,C01001H_001EA,C01001H_001M,C01001H_001MA,C01001H_002E,C01001H_002EA,C01001H_002M,C01001H_002MA,C01001H_003E,C01001H_003EA,C01001H_003M,C01001H_003MA,C01001H_004E,C01001H_004EA,C01001H_004M,C01001H_004MA,C01001H_005E,C01001H_005EA,C01001H_005M,C01001H_005MA,C01001H_006E,C01001H_006EA,C01001H_006M,C01001H_006MA,C01001H_007E,C01001H_007EA,C01001H_007M,C01001H_007MA,C01001H_008E,C01001H_008EA,C01001H_008M,C01001H_008MA,C01001H_009E,C01001H_009EA,C01001H_009M,C01001H_009MA,GEO_ID,NAME,state
3188300,null,975,null,1557399,null,1779,null,351915,null,1734,null,989276,null,626,null,216208,null,318,null,1630901,null,1944,null,335333,null,1805,null,999852,null,349,null,295716,null,213,null,0400000US01,Alabama,01
450038,null,866,null,237868,null,609,null,52209,null,488,null,167617,null,292,null,18042,null,176,null,212170,null,521,null,48146,null,425,null,145783,null,227,null,18241,null,113,null,0400000US02,Alaska,02
3781993,null,2452,null,1865244,null,2251,null,374094,null,1736,null,1168007,null,1618,null,323143,null,379,null,1916749,null,1954,null,355351,null,1485,null,1170651,null,1227,null,390747,null,416,null,0400000US04,Arizona,04
2159061,null,1658,null,1056887,null,2340,null,241392,null,1482,null,661742,null,1697,null,153753,null,376,null,1102174,null,2165,null,228305,null,1623,null,670762,null,1421,null,203107,null,172,null,0400000US05,Arkansas,05
15453123,null,8603,null,7665030,null,4671,null,1436229,null,2998,null,5108347,null,3014,null,1120454,null,757,null,7788093,null,6279,null,1361226,null,3107,null,4950359,null,3722,null,1476508,null,900,null,0400000US06,California,06
3496374,null,2336,null,1743323,null,1626,null,368793,null,1232,null,1186103,null,918,null,188427,null,119,null,1753051,null,1954,null,350319,null,1279,null,1159658,null,1315,null,243074,null,285,null,0400000US08,Colorado,08
2577077,null,2138,null,1251547,null,1209,null,269125,null,847,null,808030,null,576,null,174392,null,148,null,1325530,null,1164,null,256576,null,542,null,822723,null,991,null,246231,null,152,null,0400000US09,Connecticut,09
595514,null,943,null,288634,null,477,null,61706,null,179,null,182641,null,328,null,44287,null,263,null,306880,null,522,null,58489,null,220,null,190869,null,368,null,57522,null,263,null,0400000US10,Delaware,10
194261,null,1162,null,97085,null,545,null,11365,null,227,null,75927,null,414,null,9793,null,128,null,97176,null,763,null,10356,null,564,null,75519,null,330,null,11301,null,137,null,0400000US11,District of Columbia,11
11015640,null,6957,null,5388023,null,4209,null,1015669,null,2994,null,3262769,null,2308,null,1109585,null,791,null,5627617,null,4103,null,956419,null,2488,null,3293121,null,2416,null,1378077,null,481,null,0400000US12,Florida,12
