B17005_001E,B17005_001EA,B17005_001M,B17005_001MA,B17005_002E,B17005_002EA,B17005_002M,B17005_002MA,B17005_003E,B17005_003EA,B17005_003M,B17005_003MA,B17005_004E,B17005_004EA,B17005_004M,B17005_004MA,B17005_005E,B17005_005EA,B17005_005M,B17005_005MA,B17005_006E,B17005_006EA,B17005_006M,B17005_006MA,B17005_007E,B17005_007EA,B17005_007M,B17005_007MA,B17005_008E,B17005_008EA,B17005_008M,B17005_008MA,B17005_009E,B17005_009EA,B17005_009M,B17005_009MA,B17005_010E,B17005_010EA,B17005_010M,B17005_010MA,B17005_011E,B17005_011EA,B17005_011M,B17005_011MA,B17005_012E,B17005_012EA,B17005_012M,B17005_012MA,B17005_013E,B17005_013EA,B17005_013M,B17005_013MA,B17005_014E,B17005_014EA,B17005_014M,B17005_014MA,B17005_015E,B17005_015EA,B17005_015M,B17005_015MA,B17005_016E,B17005_016EA,B17005_016M,B17005_016MA,B17005_017E,B17005_017EA,B17005_017M,B17005_017MA,B17005_018E,B17005_018EA,B17005_018M,B17005_018MA,B17005_019E,B17005_019EA,B17005_019M,B17005_019MA,B17005_020E,B17005_020EA,B17005_020M,B17005_020MA,B17005_021E,B17005_021EA,B17005_021M,B17005_021MA,B17005_022E,B17005_022EA,B17005_022M,B17005_022MA,B17005_023E,B17005_023EA,B17005_023M,B17005_023MA,GEO_ID,NAME,state
3548821,null,4031,null,494853,null,14641,null,185051,null,8691,null,80314,null,5177,null,58001,null,4308,null,22313,null,3111,null,104737,null,5626,null,309802,null,10249,null,114470,null,5901,null,84822,null,5979,null,29648,null,2766,null,195332,null,7699,null,3053968,null,15472,null,1489507,null,8857,null,1090963,null,9959,null,1032607,null,10128,null,58356,null,4818,null,398544,null,7420,null,1564461,null,11555,null,937046,null,11238,null,894507,null,10625,null,42539,null,3554,null,627415,null,9406,null,0400000US01,Alabama,01
497177,null,3141,null,38721,null,3901,null,19358,null,2489,null,11708,null,1918,null,8625,null,1731,null,3083,null,967,null,7650,null,1471,null,19363,null,2234,null,10063,null,1545,null,7993,null,1317,null,2070,null,590,null,9300,null,1530,null,458456,null,4281,null,231564,null,3258,null,183739,null,3913,null,169911,null,4008,null,13828,null,1674,null,47825,null,3136,null,226892,null,2603,null,159358,null,3547,null,150192,null,3521,null,9166,null,1465,null,67534,null,3039,null,0400000US02,Alaska,02
4859600,null,4829,null,624763,null,18009,null,266121,null,9934,null,133155,null,7794,null,102120,null,7099,null,31035,null,3664,null,132966,null,7615,null,358642,null,11894,null,133231,null,7682,null,107212,null,6664,null,26019,null,3602,null,225411,null,8426,null,4234837,null,17961,null,2120139,null,10039,null,1580130,null,9761,null,1505505,null,11170,null,74625,null,4873,null,540009,null,6921,null,2114698,null,12192,null,1285067,null,12782,null,1227618,null,12559,null,57449,null,4136,null,829631,null,12451,null,0400000US04,Arizona,04
2156388,null,3639,null,324902,null,12696,null,125582,null,6681,null,57257,null,4313,null,43795,null,3876,null,13462,null,2002,null,68325,null,5348,null,199320,null,8303,null,78042,null,4650,null,60252,null,4114,null,17790,null,2518,null,121278,null,6342,null,1831486,null,13095,null,908839,null,7980,null,652548,null,8562,null,618787,null,8510,null,33761,null,3370,null,256291,null,6067,null,922647,null,8089,null,566596,null,6719,null,543659,null,6658,null,22937,null,2534,null,356051,null,6574,null,0400000US05,Arkansas,05
27756355,null,12371,null,3257552,null,51307,null,1406959,null,27344,null,738255,null,17850,null,562095,null,15273,null,176160,null,7848,null,668704,null,18953,null,1850593,null,29721,null,688128,null,14939,null,510402,null,11371,null,177726,null,7100,null,1162465,null,23154,null,24498803,null,52244,null,12245411,null,27987,null,9390464,null,29304,null,8800482,null,30546,null,589982,null,14920,null,2854947,null,25639,null,12253392,null,31375,null,7637678,null,31651,null,7200972,null,31943,null,436706,null,12794,null,4615714,null,26983,null,0400000US06,California,06
3756909,null,4330,null,390148,null,13783,null,166582,null,7925,null,97566,null,6092,null,81073,null,6148,null,16493,null,2494,null,69016,null,4718,null,223566,null,8862,null,99973,null,5970,null,81258,null,5485,null,18715,null,2222,null,123593,null,5886,null,3366761,null,13728,null,1698208,null,8890,null,1379449,null,9848,null,1325813,null,10227,null,53636,null,4056,null,318759,null,6478,null,1668553,null,9286,null,1129787,null,10369,null,1087983,null,10538,null,41804,null,3477,null,538766,null,8858,null,0400000US08,Colorado,08
2683342,null,3265,null,225752,null,9230,null,85734,null,5336,null,41646,null,3753,null,27318,null,2777,null,14328,null,2390,null,44088,null,3536,null,140018,null,6118,null,56705,null,4133,null,40922,null,3785,null,15783,null,2336,null,83313,null,4348,null,2457590,null,10167,null,1197954,null,5742,null,947917,null,7976,null,895465,null,9058,null,52452,null,3713,null,250037,null,5776,null,1259636,null,7458,null,846148,null,8858,null,810630,null,8167,null,35518,null,3044,null,413488,null,7399,null,0400000US09,Connecticut,09
665087,null,2389,null,61167,null,4549,null,22940,null,2891,null,12146,null,1992,null,9139,null,1755,null,3007,null,956,null,10794,null,1947,null,38227,null,2928,null,15761,null,2569,null,11557,null,1999,null,4204,null,1110,null,22466,null,2356,null,603920,null,4923,null,292131,null,3757,null,217757,null,4348,null,205134,null,4457,null,12623,null,1839,null,74374,null,3438,null,311789,null,3046,null,202000,null,3885,null,192241,null,4107,null,9759,null,1509,null,109789,null,3530,null,0400000US10,Delaware,10
462050,null,1178,null,71630,null,5018,null,28760,null,3254,null,11678,null,1952,null,8488,null,2214,null,3190,null,1185,null,17082,null,2910,null,42870,null,3045,null,14803,null,2148,null,10097,null,1775,null,4706,null,1500,null,28067,null,2704,null,390420,null,5092,null,184787,null,3622,null,146195,null,3873,null,136950,null,3944,null,9245,null,1919,null,38592,null,2930,null,205633,null,3516,null,152509,null,3968,null,144474,null,3914,null,8035,null,1736,null,53124,null,2918,null,0400000US11,District of Columbia,11
14391722,null,10054,null,1716040,null,32019,null,722853,null,17113,null,336180,null,13918,null,249802,null,13471,null,86378,null,6064,null,386673,null,12653,null,993187,null,21488,null,368589,null,11876,null,272861,null,9516,null,95728,null,6244,null,624598,null,16113,null,12675682,null,32293,null,6188886,null,19067,null,4432188,null,19121,null,4154508,null,20522,null,277680,null,9164,null,1756698,null,15622,null,6486796,null,21574,null,3920397,null,18737,null,3704977,null,20703,null,215420,null,9619,null,2566399,null,20135,null,0400000US12,Florida,12
