C19201_001E,C19201_001EA,C19201_001M,C19201_001MA,C19201_002E,C19201_002EA,C19201_002M,C19201_002MA,C19201_003E,C19201_003EA,C19201_003M,C19201_003MA,C19201_004E,C19201_004EA,C19201_004M,C19201_004MA,C19201_005E,C19201_005EA,C19201_005M,C19201_005MA,C19201_006E,C19201_006EA,C19201_006M,C19201_006MA,C19201_007E,C19201_007EA,C19201_007M,C19201_007MA,C19201_008E,C19201_008EA,C19201_008M,C19201_008MA,C19201_009E,C19201_009EA,C19201_009M,C19201_009MA,C19201_010E,C19201_010EA,C19201_010M,C19201_010MA,C19201_011E,C19201_011EA,C19201_011M,C19201_011MA,GEO_ID,NAME,state
599253,null,8644,null,116511,null,4793,null,81045,null,4404,null,114679,null,4847,null,83481,null,4922,null,82127,null,4719,null,72136,null,4220,null,25668,null,2860,null,16536,null,2017,null,3547,null,984,null,3523,null,1062,null,0400000US01,Alabama,01
80334,null,3702,null,6197,null,1147,null,4615,null,953,null,9668,null,1346,null,9937,null,1665,null,14470,null,1562,null,15045,null,1923,null,9671,null,1545,null,7459,null,1228,null,1528,null,558,null,1744,null,705,null,0400000US02,Alaska,02
784650,null,11111,null,100138,null,4496,null,67240,null,4049,null,129418,null,5968,null,104836,null,4903,null,131350,null,5575,null,126002,null,4983,null,61115,null,3974,null,44052,null,3402,null,10056,null,1815,null,10443,null,1592,null,0400000US04,Arizona,04
362085,null,8523,null,77031,null,4508,null,50196,null,3257,null,72736,null,3747,null,49391,null,3256,null,48661,null,3602,null,38422,null,2838,null,13011,null,1729,null,9330,null,1804,null,1445,null,530,null,1862,null,634,null,0400000US05,Arkansas,05
3910883,null,22061,null,404451,null,11161,null,392088,null,9857,null,519596,null,11728,null,418163,null,10137,null,531476,null,12960,null,662140,null,12826,null,382634,null,9671,null,350146,null,9613,null,128071,null,6928,null,122118,null,5113,null,0400000US06,California,06
688841,null,9469,null,81080,null,4252,null,59258,null,3878,null,97555,null,5217,null,94619,null,5209,null,113950,null,5517,null,120706,null,5591,null,53009,null,3259,null,46516,null,3514,null,10817,null,1712,null,11331,null,1704,null,0400000US08,Colorado,08
440480,null,6820,null,51076,null,3328,null,37037,null,3095,null,63511,null,3448,null,48331,null,3264,null,62543,null,3759,null,83236,null,4102,null,44778,null,3291,null,31099,null,2815,null,8321,null,1296,null,10548,null,1661,null,0400000US09,Connecticut,09
106610,null,3928,null,13539,null,1729,null,9655,null,1566,null,15390,null,1752,null,14475,null,1526,null,17748,null,1988,null,18223,null,2003,null,9466,null,1473,null,5222,null,1049,null,1200,null,462,null,1692,null,697,null,0400000US10,Delaware,10
142631,null,5123,null,18908,null,2507,null,7357,null,1205,null,13523,null,1897,null,10810,null,1656,null,18126,null,1961,null,23243,null,2205,null,18479,null,1810,null,17731,null,2071,null,7444,null,1255,null,7010,null,1157,null,0400000US11,District of Columbia,11
2480058,null,25048,null,346884,null,9503,null,254121,null,8769,null,427562,null,10609,null,354156,null,10475,null,393568,null,10732,null,362097,null,11059,null,158057,null,6505,null,110300,null,4789,null,35376,null,3440,null,37937,null,3456,null,0400000US12,Florida,12
1105804,null,17668,null,163580,null,7059,null,118208,null,6545,null,169255,null,6931,null,141378,null,5404,null,172140,null,7744,null,178003,null,6928,null,75131,null,4345,null,55617,null,4151,null,16065,null,1863,null,16427,null,2068,null,0400000US13,Georgia,13
133761,null,5175,null,18227,null,2292,null,11597,null,1846,null,18082,null,2221,null,12862,null,1532,null,19789,null,2071,null,22874,null,2363,null,13596,null,2112,null,11593,null,1826,null,2513,null,670,null,2628,null,825,null,0400000US15,Hawaii,15
169751,null,6269,null,23395,null,2520,null,21265,null,2195,null,30590,null,3036,null,24684,null,2452,null,27585,null,2511,null,24533,null,3009,null,9146,null,1815,null,5667,null,1160,null,1235,null,652,null,1651,null,606,null,0400000US16,Idaho,16
1627495,null,17825,null,215732,null,7805,null,153876,null,6079,null,260589,null,7894,null,204682,null,7882,null,244008,null,8606,null,272000,null,9678,null,127475,null,6513,null,94304,null,5136,null,27835,null,2334,null,26994,null,2275,null,0400000US17,Illinois,17
832139,null,12770,null,115547,null,5397,null,93413,null,4646,null,159363,null,6290,null,135537,null,7032,null,132839,null,5399,null,117739,null,5087,null,40174,null,3333,null,25661,null,2594,null,6011,null,1204,null,5855,null,1098,null,0400000US18,Indiana,18
423561,null,6511,null,58972,null,3106,null,51837,null,3443,null,80787,null,4208,null,69432,null,2825,null,67584,null,3557,null,59830,null,3332,null,19509,null,1953,null,10295,null,1597,null,2449,null,745,null,2866,null,669,null,0400000US19,Iowa,19
374565,null,6655,null,52119,null,3896,null,39820,null,2545,null,67858,null,4251,null,61557,null,3974,null,63626,null,4397,null,53067,null,3893,null,18420,null,1880,null,12247,null,1724,null,2526,null,744,null,3325,null,808,null,0400000US20,Kansas,20
560647,null,10407,null,118106,null,5880,null,75016,null,4082,null,101876,null,5507,null,79030,null,4636,null,76244,null,4442,null,65201,null,3946,null,23890,null,2293,null,14903,null,1851,null,2513,null,706,null,3868,null,1007,null,0400000US21,Kentucky,21
531012,null,9438,null,103005,null,5092,null,66958,null,3936,null,94341,null,5097,null,72395,null,4570,null,74656,null,4244,null,66049,null,3716,null,25845,null,2775,null,19074,null,2234,null,4229,null,906,null,4460,null,965,null,0400000US22,Louisiana,22
198541,null,5198,null,29496,null,2297,null,26184,null,2325,null,35938,null,2424,null,28805,null,2570,null,28921,null,2591,null,28721,null,2177,null,10494,null,1381,null,7123,null,1110,null,1840,null,636,null,1019,null,379,null,0400000US23,Maine,23
696914,null,10276,null,72850,null,3638,null,46129,null,3044,null,80608,null,4565,null,78159,null,3937,null,114418,null,5048,null,132376,null,5345,null,78908,null,4733,null,63327,null,4466,null,18591,null,1983,null,11548,null,1649,null,0400000US24,Maryland,24
898682,null,9682,null,120243,null,5328,null,78370,null,4350,null,121597,null,5378,null,91768,null,4336,null,124766,null,4994,null,156463,null,6104,null,85549,null,4421,null,74401,null,4391,null,21885,null,2298,null,23640,null,3221,null,0400000US25,Massachusetts,25
1285413,null,13139,null,195572,null,6990,null,132333,null,4512,null,233751,null,6780,null,193488,null,6523,null,204786,null,6671,null,181868,null,5920,null,73446,null,4149,null,48691,null,2852,null,12620,null,1741,null,8858,null,1274,null,0400000US26,Michigan,26
