B16009_001E,B16009_001EA,B16009_001M,B16009_001MA,B16009_002E,B16009_002EA,B16009_002M,B16009_002MA,B16009_003E,B16009_003EA,B16009_003M,B16009_003MA,B16009_004E,B16009_004EA,B16009_004M,B16009_004MA,B16009_005E,B16009_005EA,B16009_005M,B16009_005MA,B16009_006E,B16009_006EA,B16009_006M,B16009_006MA,B16009_007E,B16009_007EA,B16009_007M,B16009_007MA,B16009_008E,B16009_008EA,B16009_008M,B16009_008MA,B16009_009E,B16009_009EA,B16009_009M,B16009_009MA,B16009_010E,B16009_010EA,B16009_010M,B16009_010MA,B16009_011E,B16009_011EA,B16009_011M,B16009_011MA,B16009_012E,B16009_012EA,B16009_012M,B16009_012MA,B16009_013E,B16009_013EA,B16009_013M,B16009_013MA,B16009_014E,B16009_014EA,B16009_014M,B16009_014MA,B16009_015E,B16009_015EA,B16009_015M,B16009_015MA,B16009_016E,B16009_016EA,B16009_016M,B16009_016MA,B16009_017E,B16009_017EA,B16009_017M,B16009_017MA,B16009_018E,B16009_018EA,B16009_018M,B16009_018MA,B16009_019E,B16009_019EA,B16009_019M,B16009_019MA,B16009_020E,B16009_020EA,B16009_020M,B16009_020MA,B16009_021E,B16009_021EA,B16009_021M,B16009_021MA,B16009_022E,B16009_022EA,B16009_022M,B16009_022MA,B16009_023E,B16009_023EA,B16009_023M,B16009_023MA,B16009_024E,B16009_024EA,B16009_024M,B16009_024MA,B16009_025E,B16009_025EA,B16009_025M,B16009_025MA,B16009_026E,B16009_026EA,B16009_026M,B16009_026MA,B16009_027E,B16009_027EA,B16009_027M,B16009_027MA,GEO_ID,NAME,state
4238635,null,3564,null,632411,null,19818,null,160094,null,9271,null,149477,null,8757,null,9003,null,1771,null,483,null,319,null,664,null,654,null,467,null,522,null,472317,null,13621,null,446964,null,12914,null,17203,null,2993,null,5000,null,1725,null,2422,null,1621,null,728,null,487,null,3606224,null,19864,null,642798,null,9442,null,616603,null,8784,null,18585,null,2710,null,3837,null,1471,null,3015,null,886,null,758,null,526,null,2963426,null,13841,null,2852823,null,12828,null,60552,null,4257,null,24226,null,3125,null,21153,null,2327,null,4672,null,1429,null,0400000US01,Alabama,01
619356,null,1118,null,49272,null,4871,null,12425,null,2208,null,9179,null,1866,null,446,null,439,null,358,null,455,null,539,null,437,null,1903,null,495,null,36847,null,3646,null,27888,null,3140,null,969,null,656,null,1306,null,756,null,1999,null,795,null,4685,null,797,null,570084,null,4944,null,114134,null,2744,null,99625,null,3067,null,3372,null,1004,null,1973,null,901,null,4521,null,1251,null,4643,null,821,null,455950,null,3498,null,391451,null,4196,null,17015,null,2188,null,8332,null,1445,null,21276,null,1722,null,17876,null,2166,null,0400000US02,Alaska,02
5872429,null,3531,null,821726,null,24384,null,232192,null,11646,null,107408,null,7336,null,111178,null,8521,null,1584,null,1172,null,2048,null,1117,null,9974,null,2548,null,589534,null,17154,null,334904,null,13734,null,202532,null,11237,null,7745,null,1838,null,9631,null,2435,null,34722,null,4361,null,5050703,null,24490,null,941512,null,12278,null,707887,null,11514,null,196998,null,10187,null,13828,null,2116,null,8860,null,1752,null,13939,null,2405,null,4109191,null,17213,null,3107517,null,19560,null,748322,null,14639,null,102408,null,6462,null,66948,null,4473,null,83996,null,6113,null,0400000US04,Arizona,04
2579492,null,2983,null,424494,null,16440,null,115792,null,6954,null,102421,null,6671,null,12294,null,2551,null,252,null,235,null,423,null,284,null,402,null,475,null,308702,null,11554,null,283547,null,11761,null,20784,null,3438,null,1316,null,653,null,2295,null,1058,null,760,null,727,null,2154998,null,16782,null,380873,null,7465,null,354749,null,7440,null,20021,null,2690,null,1905,null,840,null,2547,null,979,null,1651,null,1434,null,1774125,null,11779,null,1679658,null,12377,null,64027,null,4641,null,15615,null,2409,null,12240,null,1829,null,2585,null,1221,null,0400000US05,Arkansas,05
33336365,null,6443,null,4244685,null,66990,null,1167477,null,26353,null,438984,null,13640,null,637476,null,21075,null,24610,null,3415,null,55982,null,6187,null,10425,null,2852,null,3077208,null,48845,null,1454614,null,29744,null,1186457,null,31367,null,127990,null,9217,null,271461,null,11999,null,36686,null,5053,null,29091680,null,67485,null,5402375,null,27679,null,3236477,null,24088,null,1631058,null,25831,null,171790,null,8880,null,323718,null,10668,null,39332,null,5444,null,23689305,null,48316,null,14029868,null,49517,null,5949822,null,42732,null,1144444,null,22864,null,2362073,null,23361,null,203098,null,12507,null,0400000US06,California,06
4485073,null,2379,null,489463,null,20149,null,115983,null,9234,null,64956,null,6845,null,45492,null,5738,null,2471,null,1417,null,1026,null,654,null,2038,null,1152,null,373480,null,13077,null,261159,null,10965,null,90837,null,8183,null,10357,null,2260,null,5881,null,1539,null,5246,null,1579,null,3995610,null,20224,null,724620,null,9285,null,614436,null,8659,null,81856,null,6475,null,13229,null,2160,null,11639,null,1907,null,3460,null,1235,null,3270990,null,13336,null,2785146,null,13997,null,318652,null,12025,null,83561,null,6689,null,64141,null,4036,null,19490,null,3158,null,0400000US08,Colorado,08
3182037,null,2509,null,283647,null,12821,null,68421,null,6341,null,42561,null,5226,null,21650,null,2915,null,1889,null,1086,null,1527,null,990,null,794,null,905,null,215226,null,8699,null,145679,null,7341,null,49595,null,4668,null,13396,null,2678,null,4714,null,1516,null,1842,null,965,null,2898390,null,12697,null,522249,null,6467,null,443087,null,6919,null,43048,null,3032,null,25548,null,3470,null,8414,null,1401,null,2152,null,1079,null,2376141,null,8627,null,1923825,null,12627,null,190548,null,5259,null,198707,null,9669,null,49552,null,3082,null,13509,null,2302,null,0400000US09,Connecticut,09
791620,null,834,null,76643,null,6352,null,19282,null,3006,null,14917,null,2799,null,3516,null,1445,null,345,null,304,null,411,null,338,null,93,null,157,null,57361,null,4213,null,47385,null,4138,null,6499,null,1515,null,2357,null,1026,null,939,null,702,null,181,null,273,null,714977,null,6370,null,125942,null,3079,null,114227,null,3498,null,6289,null,1528,null,2772,null,948,null,1847,null,682,null,807,null,953,null,589035,null,4266,null,532668,null,5082,null,25521,null,2360,null,15629,null,2578,null,11241,null,1389,null,3976,null,1507,null,0400000US10,Delaware,10
526192,null,500,null,87489,null,6751,null,19085,null,3365,null,18389,null,3388,null,448,null,396,null,0,null,296,null,248,null,266,null,0,null,296,null,68404,null,4767,null,58910,null,4373,null,5131,null,1643,null,1916,null,982,null,1336,null,688,null,1111,null,757,null,438703,null,6782,null,54771,null,3466,null,47829,null,3811,null,4087,null,1152,null,2341,null,1171,null,344,null,281,null,170,null,206,null,383932,null,4755,null,325765,null,6267,null,26408,null,2737,null,16620,null,2565,null,6692,null,1403,null,8447,null,2219,null,0400000US11,District of Columbia,11
16801987,null,4976,null,2129771,null,37894,null,480247,null,14865,null,321811,null,13186,null,127003,null,7830,null,25257,null,3969,null,4357,null,1441,null,1819,null,1009,null,1649524,null,29935,null,1107688,null,24974,null,417805,null,17718,null,93033,null,6846,null,19293,null,3393,null,11705,null,2661,null,14672216,null,38644,null,2339889,null,16764,null,1773752,null,15641,null,424172,null,9924,null,100537,null,7368,null,29397,null,2881,null,12031,null,2954,null,12332327,null,30409,null,9224619,null,32712,null,2223692,null,20975,null,634110,null,19153,null,183900,null,6306,null,66006,null,5841,null,0400000US12,Florida,12
