C01001A_001E,C01001A_001EA,C01001A_001M,C01001A_001MA,C01001A_002E,C01001A_002EA,C01001A_002M,C01001A_002MA,C01001A_003E,C01001A_003EA,C01001A_003M,C01001A_003MA,C01001A_004E,C01001A_004EA,C01001A_004M,C01001A_004MA,C01001A_005E,C01001A_005EA,C01001A_005M,C01001A_005MA,C01001A_006E,C01001A_006EA,C01001A_006M,C01001A_006MA,C01001A_007E,C01001A_007EA,C01001A_007M,C01001A_007MA,C01001A_008E,C01001A_008EA,C01001A_008M,C01001A_008MA,C01001A_009E,C01001A_009EA,C01001A_009M,C01001A_009MA,GEO_ID,NAME,state
3276551,null,5764,null,1607180,null,4331,null,370615,null,2867,null,1018866,null,2885,null,217699,null,618,null,1669371,null,4198,null,351086,null,2783,null,1020504,null,2159,null,297781,null,747,null,0400000US01,Alabama,01
474317,null,2992,null,252021,null,2053,null,57373,null,1029,null,176221,null,1450,null,18427,null,331,null,222296,null,1649,null,51575,null,919,null,152091,null,958,null,18630,null,310,null,0400000US02,Alaska,02
5203987,null,24782,null,2601348,null,14068,null,647117,null,7103,null,1599512,null,9146,null,354719,null,1886,null,2602639,null,13436,null,612852,null,7309,null,1555575,null,7558,null,434212,null,1663,null,0400000US04,Arizona,04
2247623,null,5990,null,1106206,null,4437,null,261898,null,2739,null,689710,null,2875,null,154598,null,518,null,1141417,null,3883,null,244741,null,2554,null,692692,null,2194,null,203984,null,457,null,0400000US05,Arkansas,05
22961988,null,65263,null,11490854,null,36869,null,2757964,null,16674,null,7410083,null,25851,null,1322807,null,4518,null,11471134,null,36218,null,2632071,null,17457,null,7100428,null,22322,null,1738635,null,5648,null,0400000US06,California,06
4185668,null,14863,null,2105507,null,8851,null,493634,null,4282,null,1406355,null,6253,null,205518,null,1265,null,2080161,null,8694,null,468546,null,5478,null,1346557,null,4422,null,265058,null,1219,null,0400000US08,Colorado,08
2805744,null,10563,null,1365968,null,5881,null,307426,null,2969,null,878543,null,4207,null,179999,null,902,null,1439776,null,5732,null,294582,null,2931,null,891663,null,3695,null,253531,null,947,null,0400000US09,Connecticut,09
634981,null,3460,null,309201,null,1905,null,69479,null,954,null,194715,null,1369,null,45007,null,393,null,325780,null,2039,null,66475,null,1384,null,200983,null,1145,null,58322,null,523,null,0400000US10,Delaware,10
221911,null,3817,null,111393,null,2037,null,14229,null,781,null,86490,null,1601,null,10674,null,169,null,110518,null,2186,null,13200,null,918,null,84687,null,1471,null,12631,null,440,null,0400000US11,District of Columbia,11
14215502,null,25777,null,6999373,null,16932,null,1432540,null,6968,null,4299397,null,14029,null,1267436,null,2091,null,7216129,null,14298,null,1350574,null,6538,null,4272302,null,9420,null,1593253,null,2925,null,0400000US12,Florida,12
